fecha,exp,tipo,strike,oi,vol,iv
2026-09-24,2026-09-25,C,325.0,0,1,0.0
2026-09-24,2026-09-25,C,367.5,15,15,1.168
2026-09-24,2026-09-25,C,370.0,1,1,1.1953
2026-09-24,2026-09-25,C,372.5,56,50,1.1787
2026-09-24,2026-09-25,C,375.0,16,2,0.9644
2026-09-24,2026-09-25,C,377.5,14,3,0.7793
2026-09-24,2026-09-25,C,380.0,61,1,0.7207
2026-09-24,2026-09-25,C,382.5,65,2,0.5273
2026-09-24,2026-09-25,C,385.0,79,3,0.5439
2026-09-24,2026-09-25,C,387.5,43,15,0.5645
2026-09-24,2026-09-25,C,390.0,123,6,0.832
2026-09-24,2026-09-25,C,392.5,21,5,0.5586
2026-09-24,2026-09-25,C,395.0,111,6,0.7148
2026-09-24,2026-09-25,C,397.5,44,3,0.7551
2026-09-24,2026-09-25,C,400.0,769,52,0.582
2026-09-24,2026-09-25,C,402.5,28,21,0.6577
2026-09-24,2026-09-25,C,405.0,71,8,0.5149
2026-09-24,2026-09-25,C,407.5,17,18,0.6238
2026-09-24,2026-09-25,C,410.0,520,95,0.4849
2026-09-24,2026-09-25,C,412.5,47,25,0.5107
2026-09-24,2026-09-25,C,415.0,311,58,0.5203
2026-09-24,2026-09-25,C,417.5,18,160,0.4194
2026-09-24,2026-09-25,C,420.0,209,25,0.3799
2026-09-24,2026-09-25,C,422.5,47,3,0.8196
2026-09-24,2026-09-25,C,425.0,240,17,0.5225
2026-09-24,2026-09-25,C,427.5,106,4,0.6104
2026-09-24,2026-09-25,C,430.0,66,1,0.6406
2026-09-24,2026-09-25,C,432.5,13,2,1.1069
2026-09-24,2026-09-25,C,435.0,89,6,1.1743
2026-09-24,2026-09-25,C,437.5,37,2,1.3347
2026-09-24,2026-09-25,C,440.0,67,15,0.8418
2026-09-24,2026-09-25,C,445.0,38,13,1.3096
2026-09-24,2026-09-25,C,447.5,35,1,0.7578
2026-09-24,2026-09-25,C,450.0,293,11,0.6563
2026-09-24,2026-09-25,C,452.5,13,3,0.9824
2026-09-24,2026-09-25,C,455.0,10,1,0.8711
2026-09-24,2026-09-25,C,460.0,13,6,1.1016
2026-09-24,2026-09-25,C,465.0,18,3,1.4434
2026-09-24,2026-09-25,C,470.0,33,2,1.5176
2026-09-24,2026-09-25,C,475.0,16,2,2.0952
2026-09-24,2026-09-25,C,480.0,28,25,1.5293
2026-09-24,2026-09-25,C,485.0,20,19,1.3047
2026-09-24,2026-09-25,P,325.0,5,4,3.0508
2026-09-24,2026-09-25,P,330.0,540,15,1.25
2026-09-24,2026-09-25,P,335.0,111,4,2.7236
2026-09-24,2026-09-25,P,340.0,11,5,1.5234
2026-09-24,2026-09-25,P,345.0,12,1,0.9844
2026-09-24,2026-09-25,P,347.5,4,1,2.3189
2026-09-24,2026-09-25,P,350.0,15,2,2.2383
2026-09-24,2026-09-25,P,355.0,16,2,1.9492
2026-09-24,2026-09-25,P,357.5,1,0,1.8721
2026-09-24,2026-09-25,P,360.0,29,6,1.7944
2026-09-24,2026-09-25,P,362.5,46,42,1.7173
2026-09-24,2026-09-25,P,365.0,18,20,1.1152
2026-09-24,2026-09-25,P,367.5,19,3,1.0732
2026-09-24,2026-09-25,P,370.0,49,1,1.4839
2026-09-24,2026-09-25,P,372.5,259,1,1.2153
2026-09-24,2026-09-25,P,375.0,48,1,1.4233
2026-09-24,2026-09-25,P,377.5,231,20,1.2481
