fecha,exp,tipo,strike,oi,vol,iv
2026-09-24,2026-09-25,C,165.0,6,1,2.0625
2026-09-24,2026-09-25,C,170.0,13,2,2.5439
2026-09-24,2026-09-25,C,172.5,1,0,1.6523
2026-09-24,2026-09-25,C,175.0,43,1,2.1699
2026-09-24,2026-09-25,C,177.5,2,0,1.5664
2026-09-24,2026-09-25,C,180.0,58,1,1.9912
2026-09-24,2026-09-25,C,182.5,50,2,0.9453
2026-09-24,2026-09-25,C,185.0,25,1,1.1074
2026-09-24,2026-09-25,C,187.5,112,2,1.0449
2026-09-24,2026-09-25,C,190.0,471,32,0.7734
2026-09-24,2026-09-25,C,192.5,27,4,0.5625
2026-09-24,2026-09-25,C,195.0,313,28,0.5547
2026-09-24,2026-09-25,C,197.5,700,22,0.8936
2026-09-24,2026-09-25,C,200.0,1626,52,0.5068
2026-09-24,2026-09-25,C,202.5,437,164,0.5342
2026-09-24,2026-09-25,C,205.0,737,457,0.5513
2026-09-24,2026-09-25,C,207.5,1371,1243,0.5278
2026-09-24,2026-09-25,C,210.0,1031,1266,0.5107
2026-09-24,2026-09-25,C,212.5,444,81,0.5137
2026-09-24,2026-09-25,C,215.0,4533,171,0.5361
2026-09-24,2026-09-25,C,217.5,477,62,0.5703
2026-09-24,2026-09-25,C,220.0,1079,265,0.5625
2026-09-24,2026-09-25,C,222.5,83,39,0.6758
2026-09-24,2026-09-25,C,225.0,149,16,0.8848
2026-09-24,2026-09-25,C,227.5,125,1,1.1367
2026-09-24,2026-09-25,C,230.0,455,21,0.9453
2026-09-24,2026-09-25,C,232.5,97,25,1.0859
2026-09-24,2026-09-25,C,235.0,1018,145,1.1016
2026-09-24,2026-09-25,C,237.5,64,51,1.5449
2026-09-24,2026-09-25,C,240.0,50,1,1.6133
2026-09-24,2026-09-25,C,245.0,27,2,1.2969
2026-09-24,2026-09-25,P,165.0,244,5,2.0273
2026-09-24,2026-09-25,P,167.5,946,3,1.5938
2026-09-24,2026-09-25,P,170.0,548,11,1.5156
2026-09-24,2026-09-25,P,172.5,481,2,1.7148
2026-09-24,2026-09-25,P,175.0,233,32,1.3438
2026-09-24,2026-09-25,P,177.5,462,35,1.3984
2026-09-24,2026-09-25,P,180.0,351,41,1.0625
2026-09-24,2026-09-25,P,182.5,1548,7,0.9844
2026-09-24,2026-09-25,P,185.0,463,170,0.9766
2026-09-24,2026-09-25,P,187.5,243,186,0.9727
2026-09-24,2026-09-25,P,190.0,402,71,0.8438
2026-09-24,2026-09-25,P,192.5,283,68,0.7051
2026-09-24,2026-09-25,P,195.0,411,174,0.5957
2026-09-24,2026-09-25,P,197.5,223,137,0.5488
2026-09-24,2026-09-25,P,200.0,213,69,0.5107
2026-09-24,2026-09-25,P,202.5,165,263,0.5708
2026-09-24,2026-09-25,P,205.0,295,106,0.5464
2026-09-24,2026-09-25,P,207.5,7,19,0.6558
2026-09-24,2026-09-25,P,210.0,233,2,0.5342
2026-09-24,2026-09-25,P,212.5,2,1,0.5098
2026-09-24,2026-09-25,P,215.0,17,1,0.6357
2026-09-24,2026-09-25,P,220.0,26,1,0.918
2026-09-24,2026-09-25,P,230.0,1,2,1.2891
2026-09-24,2026-10-02,C,165.0,3,1,0.7285
2026-09-24,2026-10-02,C,167.5,1,0,0.7022
2026-09-24,2026-10-02,C,170.0,23,2,0.7539
2026-09-24,2026-10-02,C,175.0,5,1,0.6094
2026-09-24,2026-10-02,C,177.5,4,5,0.5938
2026-09-24,2026-10-02,C,180.0,25,3,0.6831
2026-09-24,2026-10-02,C,182.5,2,1,0.5239
2026-09-24,2026-10-02,C,185.0,25,1,0.585
2026-09-24,2026-10-02,C,187.5,7,26,0.7422
2026-09-24,2026-10-02,C,190.0,581,12,0.6211
2026-09-24,2026-10-02,C,192.5,45,1,0.6836
2026-09-24,2026-10-02,C,195.0,205,2,0.5492
2026-09-24,2026-10-02,C,197.5,27,6,0.5454
2026-09-24,2026-10-02,C,200.0,400,34,0.5254
2026-09-24,2026-10-02,C,202.5,291,111,0.5118
2026-09-24,2026-10-02,C,205.0,340,554,0.4778
2026-09-24,2026-10-02,C,207.5,187,77,0.48
2026-09-24,2026-10-02,C,210.0,470,115,0.4851
2026-09-24,2026-10-02,C,212.5,64,75,0.5214
2026-09-24,2026-10-02,C,215.0,344,346,0.4663
2026-09-24,2026-10-02,C,217.5,62,177,0.4956
2026-09-24,2026-10-02,C,220.0,379,415,0.4795
2026-09-24,2026-10-02,C,222.5,113,18,0.478
2026-09-24,2026-10-02,C,225.0,306,77,0.4995
2026-09-24,2026-10-02,C,227.5,137,9,0.502
2026-09-24,2026-10-02,C,230.0,267,130,0.502
2026-09-24,2026-10-02,C,232.5,39,10,0.5088
2026-09-24,2026-10-02,C,235.0,78,3,0.5552
2026-09-24,2026-10-02,C,237.5,7,2,0.5068
2026-09-24,2026-10-02,C,240.0,56,1,0.5088
2026-09-24,2026-10-02,C,245.0,79,3,0.6758
2026-09-24,2026-10-02,P,165.0,126,58,0.6172
2026-09-24,2026-10-02,P,167.5,4,2,0.7119
2026-09-24,2026-10-02,P,170.0,239,81,0.7119
2026-09-24,2026-10-02,P,172.5,18,11,0.6006
2026-09-24,2026-10-02,P,175.0,178,112,0.5674
2026-09-24,2026-10-02,P,177.5,131,6,0.5273
2026-09-24,2026-10-02,P,180.0,259,27,0.5391
2026-09-24,2026-10-02,P,182.5,132,71,0.5015
2026-09-24,2026-10-02,P,185.0,444,437,0.5044
2026-09-24,2026-10-02,P,187.5,74,24,0.5195
2026-09-24,2026-10-02,P,190.0,174,48,0.5452
2026-09-24,2026-10-02,P,192.5,77,127,0.5064
2026-09-24,2026-10-02,P,195.0,298,115,0.5044
2026-09-24,2026-10-02,P,197.5,29,26,0.4954
2026-09-24,2026-10-02,P,200.0,267,312,0.5076
2026-09-24,2026-10-02,P,202.5,68,9,0.4863
2026-09-24,2026-10-02,P,205.0,68,48,0.4861
2026-09-24,2026-10-02,P,207.5,80,24,0.5461
2026-09-24,2026-10-02,P,210.0,46,15,0.5444
2026-09-24,2026-10-02,P,212.5,5,0,0.5303
2026-09-24,2026-10-02,P,215.0,2,2,0.5535
2026-09-24,2026-10-02,P,217.5,1,0,0.5828
2026-09-24,2026-10-02,P,220.0,1,1,0.652
2026-09-24,2026-10-02,P,230.0,8,6,0.5029
2026-09-24,2026-10-09,C,170.0,5,2,0.6118
2026-09-24,2026-10-09,C,175.0,4,1,0.5266
2026-09-24,2026-10-09,C,180.0,60,25,0.5027
2026-09-24,2026-10-09,C,185.0,90,5,0.5806
2026-09-24,2026-10-09,C,190.0,46,3,0.5593
2026-09-24,2026-10-09,C,192.5,28,60,0.5521
2026-09-24,2026-10-09,C,195.0,310,1,0.5249
2026-09-24,2026-10-09,C,197.5,17,24,0.53
2026-09-24,2026-10-09,C,200.0,135,44,0.5055
2026-09-24,2026-10-09,C,202.5,9,180,0.5247
2026-09-24,2026-10-09,C,205.0,261,221,0.4846
2026-09-24,2026-10-09,C,207.5,23,58,0.483
2026-09-24,2026-10-09,C,210.0,930,25,0.4801
2026-09-24,2026-10-09,C,212.5,2,3,0.4917
2026-09-24,2026-10-09,C,215.0,101,46,0.4806
2026-09-24,2026-10-09,C,217.5,46,4,0.4854
2026-09-24,2026-10-09,C,220.0,294,16,0.4835
2026-09-24,2026-10-09,C,222.5,12,2,0.4758
2026-09-24,2026-10-09,C,225.0,240,4,0.4793
2026-09-24,2026-10-09,C,230.0,146,5,0.4907
2026-09-24,2026-10-09,C,235.0,59,607,0.4966
2026-09-24,2026-10-09,C,240.0,26,11,0.5483
2026-09-24,2026-10-09,C,245.0,3,1,0.5237
2026-09-24,2026-10-09,P,165.0,107,3,0.5547
2026-09-24,2026-10-09,P,170.0,117,3,0.5391
2026-09-24,2026-10-09,P,175.0,109,12,0.5132
2026-09-24,2026-10-09,P,177.5,8,1,0.5112
2026-09-24,2026-10-09,P,180.0,124,5,0.5183
2026-09-24,2026-10-09,P,182.5,8,2,0.5056
2026-09-24,2026-10-09,P,185.0,81,14,0.4883
2026-09-24,2026-10-09,P,187.5,15,11,0.5544
2026-09-24,2026-10-09,P,190.0,149,3,0.4751
2026-09-24,2026-10-09,P,192.5,4,12,0.4822
2026-09-24,2026-10-09,P,195.0,271,4,0.4896
2026-09-24,2026-10-09,P,197.5,5,5,0.4601
2026-09-24,2026-10-09,P,200.0,23,6,0.5088
2026-09-24,2026-10-09,P,202.5,1,2,0.5247
2026-09-24,2026-10-09,P,205.0,9,2,0.5209
2026-09-24,2026-10-09,P,207.5,4,0,0.4982
2026-09-24,2026-10-09,P,210.0,29,6,0.5167
2026-09-24,2026-10-09,P,212.5,1,0,0.5167
