fecha,exp,tipo,strike,oi,vol,iv
2026-09-24,2026-10-16,C,72.5,200,8,0.5635
2026-09-24,2026-10-16,C,75.0,611,1,0.5044
2026-09-24,2026-10-16,C,77.5,1406,30,0.5974
2026-09-24,2026-10-16,C,80.0,2709,47,0.458
2026-09-24,2026-10-16,C,82.5,2986,65,0.4446
2026-09-24,2026-10-16,C,85.0,8510,258,0.4287
2026-09-24,2026-10-16,C,87.5,4559,42,0.436
2026-09-24,2026-10-16,C,90.0,6173,115,0.4331
2026-09-24,2026-10-16,C,92.5,1189,168,0.4309
2026-09-24,2026-10-16,C,95.0,2285,19,0.4287
2026-09-24,2026-10-16,P,72.5,3905,79,0.436
2026-09-24,2026-10-16,P,75.0,2846,93,0.4226
2026-09-24,2026-10-16,P,77.5,1900,165,0.4307
2026-09-24,2026-10-16,P,80.0,1383,47,0.4221
2026-09-24,2026-10-16,P,82.5,438,11,0.4297
2026-09-24,2026-10-16,P,85.0,1137,5,0.4199
2026-09-24,2026-10-16,P,87.5,178,15,0.4802
2026-09-24,2026-10-16,P,90.0,120,40,0.4609
2026-09-24,2026-10-16,P,92.5,1299,19,0.6043
2026-09-24,2026-10-16,P,95.0,208,1,0.563
2026-09-24,2026-11-20,C,72.5,64,2,0.5801
2026-09-24,2026-11-20,C,75.0,251,15,0.5299
2026-09-24,2026-11-20,C,77.5,195,5,0.5256
2026-09-24,2026-11-20,C,80.0,7168,25,0.51
2026-09-24,2026-11-20,C,82.5,1775,10,0.507
2026-09-24,2026-11-20,C,85.0,1282,37,0.5001
2026-09-24,2026-11-20,C,87.5,2587,142,0.4976
2026-09-24,2026-11-20,C,90.0,4259,58,0.5
2026-09-24,2026-11-20,C,92.5,831,299,0.4923
2026-09-24,2026-11-20,C,95.0,2905,40,0.4961
2026-09-24,2026-11-20,P,72.5,631,121,0.471
2026-09-24,2026-11-20,P,75.0,915,72,0.4729
2026-09-24,2026-11-20,P,77.5,1276,11,0.4648
2026-09-24,2026-11-20,P,80.0,714,7,0.4767
2026-09-24,2026-11-20,P,82.5,653,5,0.4824
2026-09-24,2026-11-20,P,85.0,279,15,0.5369
2026-09-24,2026-11-20,P,87.5,131,2,0.5502
2026-09-24,2026-11-20,P,90.0,59,44,0.4824
2026-09-24,2026-11-20,P,92.5,7,0,0.4907
2026-09-24,2026-11-20,P,95.0,29,5,0.4807
