fecha,exp,tipo,strike,oi,vol,iv
2026-09-24,2026-09-25,C,247.5,32,2,1.75
2026-09-24,2026-09-25,C,250.0,199,13,1.6758
2026-09-24,2026-09-25,C,252.5,70,12,2.8525
2026-09-24,2026-09-25,C,255.0,228,11,1.5859
2026-09-24,2026-09-25,C,257.5,73,13,1.4609
2026-09-24,2026-09-25,C,260.0,195,12,1.3867
2026-09-24,2026-09-25,C,262.5,57,2,1.3633
2026-09-24,2026-09-25,C,265.0,808,23,1.293
2026-09-24,2026-09-25,C,267.5,90,3,1.2559
2026-09-24,2026-09-25,C,270.0,467,21,1.3779
2026-09-24,2026-09-25,C,272.5,1808,25,1.0742
2026-09-24,2026-09-25,C,275.0,587,20,1.0879
2026-09-24,2026-09-25,C,277.5,170,5,0.959
2026-09-24,2026-09-25,C,280.0,2444,34,0.9336
2026-09-24,2026-09-25,C,282.5,172,28,0.8105
2026-09-24,2026-09-25,C,285.0,520,26,0.9966
2026-09-24,2026-09-25,C,287.5,143,26,0.9141
2026-09-24,2026-09-25,C,290.0,416,60,0.8545
2026-09-24,2026-09-25,C,292.5,167,7,0.8652
2026-09-24,2026-09-25,C,295.0,155,29,0.9238
2026-09-24,2026-09-25,C,297.5,143,44,0.8843
2026-09-24,2026-09-25,C,300.0,2821,394,0.9009
2026-09-24,2026-09-25,C,302.5,618,276,0.9009
2026-09-24,2026-09-25,C,305.0,415,291,0.9019
2026-09-24,2026-09-25,C,307.5,156,416,0.9226
2026-09-24,2026-09-25,C,310.0,1632,1402,0.925
2026-09-24,2026-09-25,C,312.5,383,612,0.9343
2026-09-24,2026-09-25,C,315.0,872,1789,0.9473
2026-09-24,2026-09-25,C,317.5,1779,925,0.9634
2026-09-24,2026-09-25,C,320.0,918,3693,0.978
2026-09-24,2026-09-25,C,322.5,288,1053,0.9932
2026-09-24,2026-09-25,C,325.0,2387,3185,1.0078
2026-09-24,2026-09-25,C,327.5,378,1728,1.0254
2026-09-24,2026-09-25,C,330.0,896,9593,1.0469
2026-09-24,2026-09-25,C,332.5,546,1813,1.0566
2026-09-24,2026-09-25,C,335.0,2353,3559,1.0752
2026-09-24,2026-09-25,C,337.5,580,5115,1.0977
2026-09-24,2026-09-25,C,340.0,836,5029,1.1201
2026-09-24,2026-09-25,C,342.5,208,1037,1.2998
2026-09-24,2026-09-25,C,345.0,1399,366,1.457
2026-09-24,2026-09-25,C,347.5,267,246,1.2305
2026-09-24,2026-09-25,C,350.0,1691,2375,1.2559
2026-09-24,2026-09-25,C,352.5,1067,68,1.6816
2026-09-24,2026-09-25,C,355.0,1094,283,1.6582
2026-09-24,2026-09-25,C,357.5,297,118,1.8584
2026-09-24,2026-09-25,C,360.0,1834,1008,1.3086
2026-09-24,2026-09-25,C,362.5,72,36,1.3164
2026-09-24,2026-09-25,C,365.0,5685,1748,1.4141
2026-09-24,2026-09-25,C,367.5,41,20,2.6211
2026-09-24,2026-09-25,P,247.5,501,2,1.8906
2026-09-24,2026-09-25,P,250.0,341,20,1.6367
2026-09-24,2026-09-25,P,252.5,145,76,1.9414
2026-09-24,2026-09-25,P,255.0,353,1,1.4531
2026-09-24,2026-09-25,P,257.5,101,2,1.2344
2026-09-24,2026-09-25,P,260.0,404,154,1.0938
2026-09-24,2026-09-25,P,262.5,238,3,1.5488
2026-09-24,2026-09-25,P,265.0,454,39,1.2266
2026-09-24,2026-09-25,P,267.5,337,30,1.2773
2026-09-24,2026-09-25,P,270.0,1616,185,1.2305
2026-09-24,2026-09-25,P,272.5,386,352,0.9766
2026-09-24,2026-09-25,P,275.0,555,98,1.0215
2026-09-24,2026-09-25,P,277.5,529,51,0.9922
2026-09-24,2026-09-25,P,280.0,679,307,0.9063
2026-09-24,2026-09-25,P,282.5,403,286,0.8652
2026-09-24,2026-09-25,P,285.0,424,361,0.8818
2026-09-24,2026-09-25,P,287.5,249,578,0.8691
2026-09-24,2026-09-25,P,290.0,826,1412,0.8701
2026-09-24,2026-09-25,P,292.5,230,354,0.8677
2026-09-24,2026-09-25,P,295.0,455,1068,0.8691
2026-09-24,2026-09-25,P,297.5,379,332,0.8699
2026-09-24,2026-09-25,P,300.0,1534,3642,0.8687
2026-09-24,2026-09-25,P,302.5,422,1025,0.8748
2026-09-24,2026-09-25,P,305.0,345,2582,0.8845
2026-09-24,2026-09-25,P,307.5,112,831,0.8896
2026-09-24,2026-09-25,P,310.0,974,2144,0.8994
2026-09-24,2026-09-25,P,312.5,1278,1251,0.9075
2026-09-24,2026-09-25,P,315.0,281,961,0.9163
2026-09-24,2026-09-25,P,317.5,787,453,0.9294
2026-09-24,2026-09-25,P,320.0,990,1289,0.958
