fecha,exp,tipo,strike,oi,vol,iv
2026-09-24,2026-09-25,C,1400.0,3,1,1.9282
2026-09-24,2026-09-25,C,1405.0,3,2,1.832
2026-09-24,2026-09-25,C,1410.0,4,1,1.8184
2026-09-24,2026-09-25,C,1425.0,4,2,1.7065
2026-09-24,2026-09-25,C,1430.0,3,1,1.7803
2026-09-24,2026-09-25,C,1450.0,5,1,1.3369
2026-09-24,2026-09-25,C,1455.0,6,2,1.3672
2026-09-24,2026-09-25,C,1460.0,1,1,1.3428
2026-09-24,2026-09-25,C,1465.0,5,8,1.2656
2026-09-24,2026-09-25,C,1470.0,4,0,1.3364
2026-09-24,2026-09-25,C,1475.0,2,2,1.2178
2026-09-24,2026-09-25,C,1480.0,6,2,1.2451
2026-09-24,2026-09-25,C,1485.0,6,2,1.2202
2026-09-24,2026-09-25,C,1490.0,24,1,1.1465
2026-09-24,2026-09-25,C,1495.0,6,1,1.1719
2026-09-24,2026-09-25,C,1500.0,12,1,1.1475
2026-09-24,2026-09-25,C,1505.0,0,4,0.0
2026-09-24,2026-09-25,C,1510.0,3,4,1.0986
2026-09-24,2026-09-25,C,1520.0,1,0,1.1172
2026-09-24,2026-09-25,C,1530.0,2,1,1.0361
2026-09-24,2026-09-25,C,1540.0,1,0,0.9707
2026-09-24,2026-09-25,C,1545.0,1,3,0.9102
2026-09-24,2026-09-25,C,1550.0,2,2,0.9219
2026-09-24,2026-09-25,C,1555.0,5,0,0.8628
2026-09-24,2026-09-25,C,1560.0,3,0,0.9014
2026-09-24,2026-09-25,C,1565.0,5,0,0.8486
2026-09-24,2026-09-25,C,1570.0,17,1,0.792
2026-09-24,2026-09-25,C,1575.0,11,1,0.8706
2026-09-24,2026-09-25,C,1580.0,26,1,0.7749
2026-09-24,2026-09-25,C,1585.0,6,1,0.7637
2026-09-24,2026-09-25,C,1590.0,14,11,0.8494
2026-09-24,2026-09-25,C,1595.0,10,3,0.7363
2026-09-24,2026-09-25,C,1600.0,58,5,0.6494
2026-09-24,2026-09-25,C,1605.0,23,1,0.6953
2026-09-24,2026-09-25,C,1610.0,23,10,0.6499
2026-09-24,2026-09-25,C,1615.0,4,1,0.6436
2026-09-24,2026-09-25,C,1620.0,27,1,0.626
2026-09-24,2026-09-25,C,1625.0,1,1,0.615
2026-09-24,2026-09-25,C,1630.0,14,3,0.5483
2026-09-24,2026-09-25,C,1635.0,355,1,0.8647
2026-09-24,2026-09-25,C,1640.0,88,3,0.5469
2026-09-24,2026-09-25,C,1645.0,30,3,0.5418
2026-09-24,2026-09-25,C,1650.0,68,18,0.5079
2026-09-24,2026-09-25,C,1655.0,19,3,0.8726
2026-09-24,2026-09-25,C,1660.0,39,6,0.8394
2026-09-24,2026-09-25,C,1665.0,15,4,0.5013
2026-09-24,2026-09-25,C,1670.0,51,1,0.8004
2026-09-24,2026-09-25,C,1675.0,16,1,0.7526
2026-09-24,2026-09-25,C,1680.0,328,4,0.7531
2026-09-24,2026-09-25,C,1685.0,14,20,0.7494
2026-09-24,2026-09-25,C,1690.0,19,1,0.6485
2026-09-24,2026-09-25,C,1695.0,9,5,0.5965
