fecha,exp,tipo,strike,oi,vol,iv
2026-09-24,2026-09-25,C,210.0,440,6,2.7129
2026-09-24,2026-09-25,C,212.5,31,2,2.0234
2026-09-24,2026-09-25,C,215.0,229,42,2.3125
2026-09-24,2026-09-25,C,217.5,195,12,1.9023
2026-09-24,2026-09-25,C,220.0,1144,37,2.2178
2026-09-24,2026-09-25,C,222.5,109,3,2.0156
2026-09-24,2026-09-25,C,225.0,356,32,2.2354
2026-09-24,2026-09-25,C,227.5,106,26,1.8506
2026-09-24,2026-09-25,C,230.0,405,25,1.5156
2026-09-24,2026-09-25,C,232.5,218,5,1.8037
2026-09-24,2026-09-25,C,235.0,452,65,1.3545
2026-09-24,2026-09-25,C,237.5,1122,35,1.4575
2026-09-24,2026-09-25,C,240.0,2783,416,1.0156
2026-09-24,2026-09-25,C,242.5,745,53,1.2754
2026-09-24,2026-09-25,C,245.0,1136,101,0.9521
2026-09-24,2026-09-25,C,247.5,639,111,0.6602
2026-09-24,2026-09-25,C,250.0,4791,733,0.7324
2026-09-24,2026-09-25,C,252.5,1243,148,0.6694
2026-09-24,2026-09-25,C,255.0,2712,297,0.6038
2026-09-24,2026-09-25,C,257.5,596,952,0.7163
2026-09-24,2026-09-25,C,260.0,3375,1924,0.593
2026-09-24,2026-09-25,C,262.5,2017,2898,0.5962
2026-09-24,2026-09-25,C,265.0,2873,6639,0.5918
2026-09-24,2026-09-25,C,267.5,977,872,0.6035
2026-09-24,2026-09-25,C,270.0,3722,4512,0.6064
2026-09-24,2026-09-25,C,272.5,1757,1013,0.6299
2026-09-24,2026-09-25,C,275.0,2211,931,0.6699
2026-09-24,2026-09-25,C,277.5,539,188,0.6641
2026-09-24,2026-09-25,C,280.0,1875,371,0.6816
2026-09-24,2026-09-25,C,282.5,335,109,0.7109
2026-09-24,2026-09-25,C,285.0,720,337,0.7422
2026-09-24,2026-09-25,C,287.5,52,24,1.1016
2026-09-24,2026-09-25,C,290.0,475,459,1.082
2026-09-24,2026-09-25,C,295.0,94,7,0.875
2026-09-24,2026-09-25,C,300.0,1590,258,0.9063
2026-09-24,2026-09-25,C,305.0,4,2,1.1797
2026-09-24,2026-09-25,C,310.0,175,16,1.0938
2026-09-24,2026-09-25,P,210.0,775,43,1.4063
2026-09-24,2026-09-25,P,212.5,104,20,1.3438
2026-09-24,2026-09-25,P,215.0,1207,58,1.4375
2026-09-24,2026-09-25,P,217.5,546,8,1.4219
2026-09-24,2026-09-25,P,220.0,1492,205,1.2344
2026-09-24,2026-09-25,P,222.5,471,71,1.125
2026-09-24,2026-09-25,P,225.0,1086,146,1.0547
2026-09-24,2026-09-25,P,227.5,488,100,1.3164
2026-09-24,2026-09-25,P,230.0,1871,246,1.1504
2026-09-24,2026-09-25,P,232.5,1502,119,0.8359
2026-09-24,2026-09-25,P,235.0,2859,401,0.8047
2026-09-24,2026-09-25,P,237.5,1333,112,0.8164
2026-09-24,2026-09-25,P,240.0,1590,700,0.7324
2026-09-24,2026-09-25,P,242.5,764,102,0.6992
2026-09-24,2026-09-25,P,245.0,1829,1377,0.6426
2026-09-24,2026-09-25,P,247.5,600,279,0.6211
2026-09-24,2026-09-25,P,250.0,1564,2515,0.6035
2026-09-24,2026-09-25,P,252.5,702,812,0.6016
2026-09-24,2026-09-25,P,255.0,883,1921,0.5884
2026-09-24,2026-09-25,P,257.5,934,2017,0.6106
2026-09-24,2026-09-25,P,260.0,1045,2540,0.5772
2026-09-24,2026-09-25,P,262.5,374,1927,0.5845
2026-09-24,2026-09-25,P,265.0,114,1240,0.5737
2026-09-24,2026-09-25,P,270.0,104,324,1.1914
2026-09-24,2026-09-25,P,272.5,1,2,1.5283
2026-09-24,2026-09-25,P,275.0,22,1,1.459
2026-09-24,2026-09-25,P,280.0,72,1456,1.6533
2026-09-24,2026-09-25,P,285.0,4,1,1.9751
2026-09-24,2026-09-25,P,290.0,1,1,2.2222
2026-09-24,2026-09-25,P,300.0,0,1,2.6328
2026-09-24,2026-09-25,P,310.0,0,16,3.0112
2026-09-24,2026-10-02,C,210.0,45,5,1.1397
2026-09-24,2026-10-02,C,212.5,1,0,0.9668
2026-09-24,2026-10-02,C,215.0,636,2,0.709
2026-09-24,2026-10-02,C,217.5,23,1,0.8362
2026-09-24,2026-10-02,C,220.0,319,1,0.8262
2026-09-24,2026-10-02,C,222.5,21,1,0.9077
2026-09-24,2026-10-02,C,225.0,221,3,0.6514
2026-09-24,2026-10-02,C,227.5,15,7,0.6543
2026-09-24,2026-10-02,C,230.0,506,30,0.5518
2026-09-24,2026-10-02,C,232.5,20,1,0.6272
2026-09-24,2026-10-02,C,235.0,545,12,0.7263
2026-09-24,2026-10-02,C,237.5,47,25,0.7007
2026-09-24,2026-10-02,C,240.0,535,73,0.5112
2026-09-24,2026-10-02,C,242.5,53,15,0.6365
2026-09-24,2026-10-02,C,245.0,458,39,0.5643
2026-09-24,2026-10-02,C,247.5,75,22,0.519
2026-09-24,2026-10-02,C,250.0,960,150,0.5431
2026-09-24,2026-10-02,C,252.5,774,30,0.5013
2026-09-24,2026-10-02,C,255.0,606,305,0.5501
2026-09-24,2026-10-02,C,257.5,164,35,0.5317
2026-09-24,2026-10-02,C,260.0,939,850,0.5175
2026-09-24,2026-10-02,C,262.5,242,231,0.5294
2026-09-24,2026-10-02,C,265.0,490,1056,0.5321
2026-09-24,2026-10-02,C,267.5,121,163,0.5322
2026-09-24,2026-10-02,C,270.0,959,464,0.5336
2026-09-24,2026-10-02,C,272.5,66,56,0.5634
2026-09-24,2026-10-02,C,275.0,513,391,0.5382
2026-09-24,2026-10-02,C,277.5,38,154,0.5398
2026-09-24,2026-10-02,C,280.0,820,482,0.543
2026-09-24,2026-10-02,C,282.5,33,48,0.5903
2026-09-24,2026-10-02,C,285.0,381,260,0.5693
2026-09-24,2026-10-02,C,287.5,49,48,0.5923
