fecha,exp,tipo,strike,oi,vol,iv
2026-09-24,2026-09-25,C,165.0,1,2,2.6172
2026-09-24,2026-09-25,C,175.0,3,2,2.1504
2026-09-24,2026-09-25,C,180.0,3,2,1.8535
2026-09-24,2026-09-25,C,185.0,8,2,1.4824
2026-09-24,2026-09-25,C,190.0,52,1,0.9648
2026-09-24,2026-09-25,C,192.5,5,2,1.0928
2026-09-24,2026-09-25,C,195.0,121,4,0.8945
2026-09-24,2026-09-25,C,197.5,3,2,0.751
2026-09-24,2026-09-25,C,200.0,268,58,0.5625
2026-09-24,2026-09-25,C,202.5,153,32,0.6694
2026-09-24,2026-09-25,C,205.0,858,424,0.3999
2026-09-24,2026-09-25,C,207.5,3224,769,0.2988
2026-09-24,2026-09-25,C,210.0,4319,1898,0.3066
2026-09-24,2026-09-25,C,212.5,750,341,0.3438
2026-09-24,2026-09-25,C,215.0,4514,171,0.4414
2026-09-24,2026-09-25,C,217.5,501,46,0.4961
2026-09-24,2026-09-25,C,220.0,3695,241,0.5508
2026-09-24,2026-09-25,C,222.5,343,56,0.8203
2026-09-24,2026-09-25,C,225.0,1454,48,0.7578
2026-09-24,2026-09-25,C,227.5,235,1,0.8906
2026-09-24,2026-09-25,C,230.0,13669,2,0.75
2026-09-24,2026-09-25,C,232.5,80,1,1.1738
2026-09-24,2026-09-25,C,235.0,147,1,0.9375
2026-09-24,2026-09-25,C,237.5,3,1,0.9375
2026-09-24,2026-09-25,C,240.0,45,40,1.4414
2026-09-24,2026-09-25,P,165.0,173,1,1.7734
2026-09-24,2026-09-25,P,170.0,15,1,2.6865
2026-09-24,2026-09-25,P,175.0,78,10,1.0625
2026-09-24,2026-09-25,P,180.0,170,1,0.875
2026-09-24,2026-09-25,P,185.0,79,15,0.7188
2026-09-24,2026-09-25,P,187.5,70,4,0.6719
2026-09-24,2026-09-25,P,190.0,463,9,0.7539
2026-09-24,2026-09-25,P,192.5,103,11,0.7246
2026-09-24,2026-09-25,P,195.0,1862,41,0.4766
2026-09-24,2026-09-25,P,197.5,1228,83,0.3789
2026-09-24,2026-09-25,P,200.0,2021,312,0.3613
2026-09-24,2026-09-25,P,202.5,1870,750,0.3306
2026-09-24,2026-09-25,P,205.0,808,2410,0.3242
2026-09-24,2026-09-25,P,207.5,1381,649,0.3389
2026-09-24,2026-09-25,P,210.0,1398,11,0.4492
2026-09-24,2026-09-25,P,212.5,554,5,0.7412
2026-09-24,2026-09-25,P,215.0,384,7,0.8936
2026-09-24,2026-09-25,P,217.5,2,4,0.8662
2026-09-24,2026-09-25,P,220.0,1,4,1.0156
2026-09-24,2026-09-25,P,222.5,1,2,1.1631
2026-09-24,2026-09-25,P,225.0,0,2,1.1924
2026-09-24,2026-09-25,P,232.5,0,1,1.6123
2026-09-24,2026-09-25,P,235.0,0,1,1.7168
2026-09-24,2026-10-02,C,165.0,1,1,1.0078
2026-09-24,2026-10-02,C,170.0,4,3,0.8984
2026-09-24,2026-10-02,C,175.0,0,10,0.0
2026-09-24,2026-10-02,C,180.0,1,2,0.6772
2026-09-24,2026-10-02,C,185.0,24,1,0.584
2026-09-24,2026-10-02,C,190.0,8,2,0.6565
2026-09-24,2026-10-02,C,192.5,42,9,0.5608
2026-09-24,2026-10-02,C,195.0,26,1,0.4775
2026-09-24,2026-10-02,C,197.5,20,1,0.4662
2026-09-24,2026-10-02,C,200.0,166,63,0.4519
2026-09-24,2026-10-02,C,202.5,511,40,0.3388
2026-09-24,2026-10-02,C,205.0,738,118,0.3023
2026-09-24,2026-10-02,C,207.5,223,301,0.2749
2026-09-24,2026-10-02,C,210.0,855,288,0.2947
2026-09-24,2026-10-02,C,212.5,233,431,0.2888
2026-09-24,2026-10-02,C,215.0,1036,628,0.3096
2026-09-24,2026-10-02,C,217.5,292,429,0.2883
2026-09-24,2026-10-02,C,220.0,863,92,0.3086
2026-09-24,2026-10-02,C,222.5,217,19,0.334
2026-09-24,2026-10-02,C,225.0,286,7,0.3359
2026-09-24,2026-10-02,C,227.5,93,23,0.3691
2026-09-24,2026-10-02,C,230.0,291,35,0.4443
2026-09-24,2026-10-02,C,232.5,32,27,0.5916
2026-09-24,2026-10-02,C,235.0,77,4,0.5195
2026-09-24,2026-10-02,C,237.5,2,1,0.7092
2026-09-24,2026-10-02,C,240.0,63,1,0.4775
2026-09-24,2026-10-02,C,245.0,8,2,0.5
2026-09-24,2026-10-02,P,165.0,46,5,0.6758
2026-09-24,2026-10-02,P,170.0,22,10,0.8779
2026-09-24,2026-10-02,P,175.0,45,3,0.73
2026-09-24,2026-10-02,P,180.0,65,1,0.4121
2026-09-24,2026-10-02,P,185.0,164,30,0.4121
2026-09-24,2026-10-02,P,187.5,10,10,0.3311
2026-09-24,2026-10-02,P,190.0,1621,11,0.3286
2026-09-24,2026-10-02,P,192.5,107,58,0.2983
2026-09-24,2026-10-02,P,195.0,238,52,0.2891
2026-09-24,2026-10-02,P,197.5,228,153,0.2788
2026-09-24,2026-10-02,P,200.0,1110,469,0.2759
2026-09-24,2026-10-02,P,202.5,338,576,0.2737
2026-09-24,2026-10-02,P,205.0,306,360,0.27
