fecha,exp,tipo,strike,oi,vol,iv
2026-09-24,2026-09-25,C,740.0,1,0,1.9238
2026-09-24,2026-09-25,C,745.0,1,0,1.7627
2026-09-24,2026-09-25,C,810.0,1,0,1.3413
2026-09-24,2026-09-25,C,845.0,2,3,0.9766
2026-09-24,2026-09-25,C,850.0,4,3,0.9229
2026-09-24,2026-09-25,C,855.0,1,2,0.875
2026-09-24,2026-09-25,C,860.0,1,2,0.8208
2026-09-24,2026-09-25,C,865.0,1,2,0.7666
2026-09-24,2026-09-25,C,870.0,1,2,0.7168
2026-09-24,2026-09-25,C,875.0,5,2,0.6658
2026-09-24,2026-09-25,C,880.0,3,2,0.6179
2026-09-24,2026-09-25,C,885.0,11,8,0.5684
2026-09-24,2026-09-25,C,890.0,3,2,0.5198
2026-09-24,2026-09-25,C,895.0,6,10,0.7618
2026-09-24,2026-09-25,C,900.0,32,7,0.5626
2026-09-24,2026-09-25,C,905.0,133,86,0.6414
2026-09-24,2026-09-25,C,910.0,135,9,0.5601
2026-09-24,2026-09-25,C,915.0,18,71,0.4552
2026-09-24,2026-09-25,C,920.0,35,327,0.4182
2026-09-24,2026-09-25,C,925.0,133,227,0.4081
2026-09-24,2026-09-25,C,930.0,71,302,0.37
2026-09-24,2026-09-25,C,935.0,42,181,0.3654
2026-09-24,2026-09-25,C,940.0,185,1257,0.3679
2026-09-24,2026-09-25,C,945.0,168,260,0.3838
2026-09-24,2026-09-25,C,950.0,491,552,0.3735
2026-09-24,2026-09-25,C,955.0,377,108,0.3814
2026-09-24,2026-09-25,C,960.0,605,566,0.3999
2026-09-24,2026-09-25,C,965.0,781,113,0.4155
2026-09-24,2026-09-25,C,970.0,387,409,0.5249
2026-09-24,2026-09-25,C,975.0,479,173,0.4912
2026-09-24,2026-09-25,C,980.0,470,105,0.502
2026-09-24,2026-09-25,C,985.0,173,28,0.5391
2026-09-24,2026-09-25,C,990.0,543,107,0.6758
2026-09-24,2026-09-25,C,995.0,254,56,0.5566
2026-09-24,2026-09-25,C,1000.0,1735,642,0.5898
2026-09-24,2026-09-25,C,1005.0,599,11,0.6289
2026-09-24,2026-09-25,C,1007.5,64,15,1.0024
2026-09-24,2026-09-25,C,1010.0,295,20,0.8545
2026-09-24,2026-09-25,C,1012.5,33,3,1.1567
2026-09-24,2026-09-25,C,1015.0,209,22,0.8623
2026-09-24,2026-09-25,C,1020.0,319,15,0.6758
2026-09-24,2026-09-25,C,1022.5,23,2,1.2788
2026-09-24,2026-09-25,C,1025.0,396,23,0.7578
2026-09-24,2026-09-25,C,1027.5,14,12,1.3794
2026-09-24,2026-09-25,C,1030.0,255,4,0.8789
2026-09-24,2026-09-25,C,1032.5,15,4,1.4268
2026-09-24,2026-09-25,C,1035.0,91,1,0.6719
2026-09-24,2026-09-25,C,1037.5,33,2,1.4734
2026-09-24,2026-09-25,C,1040.0,150,3,0.998
2026-09-24,2026-09-25,C,1042.5,22,5,1.5195
2026-09-24,2026-09-25,C,1045.0,56,2,1.2676
2026-09-24,2026-09-25,C,1047.5,47,11,1.5652
2026-09-24,2026-09-25,C,1050.0,709,4,1.0293
2026-09-24,2026-09-25,C,1052.5,23,1,1.6104
2026-09-24,2026-09-25,C,1055.0,97,1,1.6328
2026-09-24,2026-09-25,C,1060.0,74,8,1.6772
2026-09-24,2026-09-25,C,1065.0,119,8,1.7212
2026-09-24,2026-09-25,C,1070.0,158,1,1.7646
