fecha,exp,tipo,strike,oi,vol,iv
2026-09-24,2026-10-16,C,400.0,1,1,0.865
2026-09-24,2026-10-16,C,410.0,1,0,0.786
2026-09-24,2026-10-16,C,430.0,3,1,0.371
2026-09-24,2026-10-16,C,445.0,2,1,0.3017
2026-09-24,2026-10-16,C,450.0,8,8,0.2857
2026-09-24,2026-10-16,C,455.0,8,1,0.268
2026-09-24,2026-10-16,C,460.0,210,1,0.2616
2026-09-24,2026-10-16,C,465.0,49,4,0.253
2026-09-24,2026-10-16,C,470.0,87,1,0.2526
2026-09-24,2026-10-16,C,475.0,249,2,0.2536
2026-09-24,2026-10-16,C,480.0,589,19,0.2376
2026-09-24,2026-10-16,C,485.0,233,1,0.2443
2026-09-24,2026-10-16,C,490.0,361,22,0.2528
2026-09-24,2026-10-16,C,495.0,90,7,0.3115
2026-09-24,2026-10-16,C,500.0,381,108,0.2443
2026-09-24,2026-10-16,C,505.0,52,2,0.3702
2026-09-24,2026-10-16,C,510.0,136,1,0.2816
2026-09-24,2026-10-16,C,515.0,88,1,0.4086
2026-09-24,2026-10-16,C,520.0,175,6,0.2778
2026-09-24,2026-10-16,C,525.0,315,5,0.476
2026-09-24,2026-10-16,C,530.0,130,2,0.5006
2026-09-24,2026-10-16,C,535.0,48,2,0.5246
2026-09-24,2026-10-16,P,400.0,99,1,0.4015
2026-09-24,2026-10-16,P,405.0,25,1,0.5438
2026-09-24,2026-10-16,P,410.0,169,5,0.4164
2026-09-24,2026-10-16,P,415.0,31,2,0.4327
2026-09-24,2026-10-16,P,420.0,106,5,0.3778
2026-09-24,2026-10-16,P,425.0,80,1,0.3748
2026-09-24,2026-10-16,P,430.0,145,1,0.3395
2026-09-24,2026-10-16,P,435.0,205,10,0.3187
2026-09-24,2026-10-16,P,440.0,367,11,0.2725
2026-09-24,2026-10-16,P,445.0,237,1,0.265
2026-09-24,2026-10-16,P,450.0,385,44,0.2356
2026-09-24,2026-10-16,P,455.0,277,42,0.242
2026-09-24,2026-10-16,P,460.0,501,2,0.2488
2026-09-24,2026-10-16,P,465.0,345,3,0.243
2026-09-24,2026-10-16,P,470.0,212,5,0.2405
2026-09-24,2026-10-16,P,475.0,816,5,0.2322
2026-09-24,2026-10-16,P,480.0,88,2,0.2386
2026-09-24,2026-10-16,P,485.0,268,1,0.2429
2026-09-24,2026-10-16,P,490.0,60,4,0.2456
2026-09-24,2026-10-16,P,495.0,45,1,0.2571
2026-09-24,2026-10-16,P,500.0,108,1,0.2712
2026-09-24,2026-10-16,P,505.0,27,1,0.2861
2026-09-24,2026-10-16,P,510.0,7,1,0.3146
2026-09-24,2026-10-16,P,515.0,20,63,0.3175
2026-09-24,2026-10-16,P,520.0,9,27,0.3399
2026-09-24,2026-10-16,P,525.0,11,33,0.38
