fecha,exp,tipo,strike,oi,vol,iv
2026-09-24,2026-09-25,C,119.0,3,7,3.168
2026-09-24,2026-09-25,C,120.0,5,4,2.3086
2026-09-24,2026-09-25,C,121.0,5,4,2.7383
2026-09-24,2026-09-25,C,122.0,3,2,2.5273
2026-09-24,2026-09-25,C,123.0,5,8,2.4434
2026-09-24,2026-09-25,C,124.0,2,2,2.1387
2026-09-24,2026-09-25,C,126.0,5,5,2.166
2026-09-24,2026-09-25,C,127.0,3,4,1.8457
2026-09-24,2026-09-25,C,128.0,8,22,2.3887
2026-09-24,2026-09-25,C,129.0,7,24,1.7734
2026-09-24,2026-09-25,C,130.0,7,23,1.6699
2026-09-24,2026-09-25,C,131.0,6,16,1.8125
2026-09-24,2026-09-25,C,132.0,1,8,1.8535
2026-09-24,2026-09-25,C,133.0,9,6,0.9688
2026-09-24,2026-09-25,C,134.0,21,15,1.3106
2026-09-24,2026-09-25,C,135.0,7,4,1.2793
2026-09-24,2026-09-25,C,136.0,18,6,1.334
2026-09-24,2026-09-25,C,137.0,17,8,1.2656
2026-09-24,2026-09-25,C,138.0,31,2,1.3418
2026-09-24,2026-09-25,C,139.0,26,1,1.0781
2026-09-24,2026-09-25,C,140.0,496,20,1.0205
2026-09-24,2026-09-25,C,141.0,100,15,0.8301
2026-09-24,2026-09-25,C,142.0,46,11,0.6504
2026-09-24,2026-09-25,C,143.0,43,3,0.5996
2026-09-24,2026-09-25,C,144.0,33,4,0.9844
2026-09-24,2026-09-25,C,145.0,356,50,0.5625
2026-09-24,2026-09-25,C,146.0,557,20,0.6606
2026-09-24,2026-09-25,C,147.0,282,31,0.502
2026-09-24,2026-09-25,C,148.0,147,58,0.4209
2026-09-24,2026-09-25,C,149.0,487,94,0.4756
2026-09-24,2026-09-25,C,150.0,1100,1967,0.4053
2026-09-24,2026-09-25,C,152.5,989,645,0.4356
2026-09-24,2026-09-25,C,155.0,798,212,0.4453
2026-09-24,2026-09-25,C,157.5,3400,98,0.5547
2026-09-24,2026-09-25,C,160.0,1009,4,0.6563
2026-09-24,2026-09-25,C,162.5,127,1,0.8359
2026-09-24,2026-09-25,C,165.0,1161,80,0.7969
2026-09-24,2026-09-25,C,167.5,173,2,1.2383
2026-09-24,2026-09-25,C,170.0,210,13,1.1328
2026-09-24,2026-09-25,C,172.5,85,2,2.2481
2026-09-24,2026-09-25,C,175.0,51,2,1.543
2026-09-24,2026-09-25,C,177.5,53,3,2.6973
2026-09-24,2026-09-25,P,119.0,2,2,3.248
2026-09-24,2026-09-25,P,120.0,49,5,2.5469
2026-09-24,2026-09-25,P,121.0,7,2,3.0586
2026-09-24,2026-09-25,P,122.0,16,2,2.9648
2026-09-24,2026-09-25,P,123.0,6,2,2.8701
2026-09-24,2026-09-25,P,124.0,5,2,2.7754
2026-09-24,2026-09-25,P,125.0,32,7,2.3262
2026-09-24,2026-09-25,P,126.0,20,7,2.5889
2026-09-24,2026-09-25,P,127.0,16,8,2.4951
2026-09-24,2026-09-25,P,128.0,50,1,2.0352
2026-09-24,2026-09-25,P,129.0,24,3,2.3086
2026-09-24,2026-09-25,P,130.0,32,11,1.3867
2026-09-24,2026-09-25,P,131.0,48,42,0.8438
2026-09-24,2026-09-25,P,132.0,5,4,2.0273
2026-09-24,2026-09-25,P,133.0,142,2,1.9336
2026-09-24,2026-09-25,P,134.0,129,69,1.8398
2026-09-24,2026-09-25,P,135.0,473,165,0.6563
2026-09-24,2026-09-25,P,136.0,14,3,1.6504
2026-09-24,2026-09-25,P,137.0,29,7,1.417
2026-09-24,2026-09-25,P,138.0,67,2,0.9785
2026-09-24,2026-09-25,P,139.0,161,7,0.5898
2026-09-24,2026-09-25,P,140.0,334,12,0.6211
2026-09-24,2026-09-25,P,141.0,120,6,0.5352
2026-09-24,2026-09-25,P,142.0,211,26,0.5293
2026-09-24,2026-09-25,P,143.0,270,1,0.5693
2026-09-24,2026-09-25,P,144.0,197,26,0.4688
2026-09-24,2026-09-25,P,145.0,457,17,0.5225
2026-09-24,2026-09-25,P,146.0,55,1,0.5898
2026-09-24,2026-09-25,P,147.0,80,13,0.3711
2026-09-24,2026-09-25,P,148.0,1106,4,0.4175
2026-09-24,2026-09-25,P,149.0,534,9,0.4316
2026-09-24,2026-09-25,P,150.0,326,192,0.4365
2026-09-24,2026-09-25,P,152.5,453,3,0.5635
2026-09-24,2026-09-25,P,155.0,14,1,1.1816
2026-09-24,2026-09-25,P,157.5,0,3,1.3779
2026-09-24,2026-09-25,P,160.0,0,2,1.7222
2026-09-24,2026-09-25,P,162.5,0,2,1.9219
2026-09-24,2026-09-25,P,165.0,0,1,1.8447
2026-09-24,2026-09-25,P,170.0,0,2,2.5225
2026-09-24,2026-10-02,C,120.0,0,210,0.9023
2026-09-24,2026-10-02,C,126.0,1,1,0.7393
2026-09-24,2026-10-02,C,127.0,0,1,0.8457
2026-09-24,2026-10-02,C,129.0,0,2,0.0
2026-09-24,2026-10-02,C,130.0,1,1,0.6846
2026-09-24,2026-10-02,C,135.0,5,15,0.501
2026-09-24,2026-10-02,C,136.0,2,1,0.7881
2026-09-24,2026-10-02,C,137.0,6,3,0.7024
2026-09-24,2026-10-02,C,138.0,10,1,0.731
2026-09-24,2026-10-02,C,139.0,4,1,0.6973
2026-09-24,2026-10-02,C,140.0,61,10,0.6697
2026-09-24,2026-10-02,C,141.0,7,7,0.6206
2026-09-24,2026-10-02,C,142.0,12,4,0.5447
2026-09-24,2026-10-02,C,143.0,5,2,0.5147
2026-09-24,2026-10-02,C,144.0,21,14,0.5198
2026-09-24,2026-10-02,C,145.0,62,27,0.5327
2026-09-24,2026-10-02,C,146.0,79,2,0.5115
2026-09-24,2026-10-02,C,147.0,12,130,0.5679
2026-09-24,2026-10-02,C,148.0,202,196,0.4932
2026-09-24,2026-10-02,C,149.0,219,194,0.5066
2026-09-24,2026-10-02,C,150.0,409,1017,0.3857
2026-09-24,2026-10-02,C,152.5,334,73,0.408
2026-09-24,2026-10-02,C,155.0,576,129,0.4104
2026-09-24,2026-10-02,C,157.5,139,16,0.3633
2026-09-24,2026-10-02,C,160.0,250,42,0.4004
2026-09-24,2026-10-02,C,162.5,30,7,0.6162
2026-09-24,2026-10-02,C,165.0,266,52,0.3477
2026-09-24,2026-10-02,C,167.5,156,9,0.4629
2026-09-24,2026-10-02,C,170.0,125,67,0.4736
2026-09-24,2026-10-02,C,172.5,62,25,0.502
2026-09-24,2026-10-02,C,175.0,73,1,0.5547
2026-09-24,2026-10-02,C,177.5,22,1,0.6523
2026-09-24,2026-10-02,P,120.0,6,2,1.1148
2026-09-24,2026-10-02,P,121.0,11,2,1.0815
2026-09-24,2026-10-02,P,122.0,116,4,1.0479
2026-09-24,2026-10-02,P,123.0,2,2,1.0147
2026-09-24,2026-10-02,P,124.0,6,2,0.9814
2026-09-24,2026-10-02,P,125.0,27,4,0.9482
2026-09-24,2026-10-02,P,126.0,5,2,0.915
2026-09-24,2026-10-02,P,127.0,38,36,0.8823
2026-09-24,2026-10-02,P,128.0,54,37,0.8491
2026-09-24,2026-10-02,P,129.0,73,1,0.5923
2026-09-24,2026-10-02,P,130.0,93,11,0.5371
2026-09-24,2026-10-02,P,131.0,7,2,0.6753
2026-09-24,2026-10-02,P,132.0,6,2,0.7192
2026-09-24,2026-10-02,P,133.0,102,101,0.687
2026-09-24,2026-10-02,P,134.0,6,36,0.3721
2026-09-24,2026-10-02,P,135.0,118,86,0.3965
2026-09-24,2026-10-02,P,136.0,24,8,0.3965
2026-09-24,2026-10-02,P,137.0,24,22,0.5606
2026-09-24,2026-10-02,P,138.0,50,10,0.502
2026-09-24,2026-10-02,P,139.0,11,2,0.3779
2026-09-24,2026-10-02,P,140.0,156,3,0.3638
2026-09-24,2026-10-02,P,141.0,49,2,0.3818
2026-09-24,2026-10-02,P,142.0,197,7,0.4041
2026-09-24,2026-10-02,P,143.0,232,1085,0.3279
2026-09-24,2026-10-02,P,144.0,620,157,0.3372
2026-09-24,2026-10-02,P,145.0,417,42,0.3162
2026-09-24,2026-10-02,P,146.0,66,6,0.325
2026-09-24,2026-10-02,P,147.0,410,13,0.3694
2026-09-24,2026-10-02,P,148.0,196,14,0.4395
2026-09-24,2026-10-02,P,149.0,33,10,0.4641
2026-09-24,2026-10-02,P,150.0,65,48,0.4846
2026-09-24,2026-10-02,P,152.5,15,37,0.3926
2026-09-24,2026-10-02,P,155.0,1,1,0.489
2026-09-24,2026-10-02,P,160.0,1,2,0.5762
2026-09-24,2026-10-02,P,165.0,0,1,0.7107
2026-09-24,2026-10-02,P,167.5,0,5,0.8291
2026-09-24,2026-10-02,P,175.0,0,1,1.0103
2026-09-24,2026-10-09,C,130.0,2,2,0.5513
2026-09-24,2026-10-09,C,135.0,16,1,0.644
2026-09-24,2026-10-09,C,137.0,9,6,0.6116
2026-09-24,2026-10-09,C,138.0,1,0,0.5862
2026-09-24,2026-10-09,C,139.0,2,2,0.5752
2026-09-24,2026-10-09,C,140.0,3,1,0.5581
2026-09-24,2026-10-09,C,141.0,1,1,0.5304
2026-09-24,2026-10-09,C,142.0,3,1,0.5205
2026-09-24,2026-10-09,C,143.0,9,10,0.5177
2026-09-24,2026-10-09,C,144.0,6,10,0.4954
2026-09-24,2026-10-09,C,145.0,25,10,0.3803
2026-09-24,2026-10-09,C,146.0,18,7,0.3735
2026-09-24,2026-10-09,C,147.0,88,5,0.3977
2026-09-24,2026-10-09,C,148.0,23,2,0.3727
2026-09-24,2026-10-09,C,149.0,123,65,0.3406
2026-09-24,2026-10-09,C,150.0,72,5,0.343
2026-09-24,2026-10-09,C,152.5,282,12,0.3347
2026-09-24,2026-10-09,C,155.0,532,159,0.3489
2026-09-24,2026-10-09,C,157.5,1074,314,0.3428
2026-09-24,2026-10-09,C,160.0,145,4,0.3916
2026-09-24,2026-10-09,C,162.5,235,1,0.6023
2026-09-24,2026-10-09,C,165.0,701,38,0.4563
2026-09-24,2026-10-09,C,167.5,43,6,0.5439
2026-09-24,2026-10-09,C,170.0,105,62,0.5029
2026-09-24,2026-10-09,C,172.5,9,1,0.5894
2026-09-24,2026-10-09,C,175.0,38,2,0.4219
2026-09-24,2026-10-09,C,177.5,38,6,0.4453
2026-09-24,2026-10-09,P,125.0,3,2,0.6934
2026-09-24,2026-10-09,P,130.0,107,2,0.4365
2026-09-24,2026-10-09,P,131.0,2,0,0.7097
2026-09-24,2026-10-09,P,133.0,1,4,0.3633
2026-09-24,2026-10-09,P,134.0,4,4,0.6375
2026-09-24,2026-10-09,P,135.0,16,6,0.6145
2026-09-24,2026-10-09,P,136.0,3,1,0.5925
2026-09-24,2026-10-09,P,137.0,2,1,0.5698
2026-09-24,2026-10-09,P,138.0,29,1,0.3281
2026-09-24,2026-10-09,P,139.0,8,1,0.5186
2026-09-24,2026-10-09,P,140.0,26,1,0.3384
2026-09-24,2026-10-09,P,141.0,14,1,0.3367
2026-09-24,2026-10-09,P,142.0,6,4,0.4815
2026-09-24,2026-10-09,P,143.0,4,2,0.3223
2026-09-24,2026-10-09,P,144.0,4,3,0.3176
2026-09-24,2026-10-09,P,145.0,41,1,0.3152
2026-09-24,2026-10-09,P,146.0,6,20,0.3239
2026-09-24,2026-10-09,P,147.0,293,1,0.3626
2026-09-24,2026-10-09,P,148.0,16,21,0.3878
2026-09-24,2026-10-09,P,149.0,23,15,0.3557
2026-09-24,2026-10-09,P,150.0,10,2,0.3497
2026-09-24,2026-10-09,P,152.5,35,0,0.3958
2026-09-24,2026-10-09,P,170.0,0,2,0.6514
2026-09-25,2026-09-25,C,127.0,4,2,2.0625
2026-09-25,2026-09-25,C,128.0,8,5,2.0313
2026-09-25,2026-09-25,C,129.0,7,5,1.9941
2026-09-25,2026-09-25,C,130.0,7,1,1.7734
2026-09-25,2026-09-25,C,131.0,11,52,1.4707
2026-09-25,2026-09-25,C,132.0,2,52,1.3984
2026-09-25,2026-09-25,C,133.0,9,6,1.2617
2026-09-25,2026-09-25,C,134.0,21,15,1.4121
2026-09-25,2026-09-25,C,135.0,11,4,1.457
2026-09-25,2026-09-25,C,136.0,18,5,1.1641
2026-09-25,2026-09-25,C,137.0,17,9,1.0898
2026-09-25,2026-09-25,C,138.0,31,4,1.0156
2026-09-25,2026-09-25,C,139.0,26,9,1.3018
2026-09-25,2026-09-25,C,140.0,490,14,0.9043
2026-09-25,2026-09-25,C,141.0,98,10,0.7871
2026-09-25,2026-09-25,C,142.0,48,2,0.6719
2026-09-25,2026-09-25,C,143.0,46,3,0.6309
2026-09-25,2026-09-25,C,144.0,32,8,0.5498
2026-09-25,2026-09-25,C,145.0,345,26,0.4375
2026-09-25,2026-09-25,C,146.0,557,50,0.332
2026-09-25,2026-09-25,C,147.0,262,109,0.2793
2026-09-25,2026-09-25,C,148.0,157,116,0.1641
2026-09-25,2026-09-25,C,149.0,487,166,0.0855
2026-09-25,2026-09-25,C,150.0,2492,211,0.0859
2026-09-25,2026-09-25,C,152.5,1053,910,0.2188
2026-09-25,2026-09-25,C,155.0,916,113,0.3438
2026-09-25,2026-09-25,C,157.5,3418,27,0.4531
2026-09-25,2026-09-25,C,160.0,1012,10,0.5313
2026-09-25,2026-09-25,C,162.5,127,46,0.625
2026-09-25,2026-09-25,C,165.0,1106,80,0.7188
2026-09-25,2026-09-25,C,167.5,173,1,2.001
2026-09-25,2026-09-25,C,170.0,221,2,2.168
2026-09-25,2026-09-25,P,127.0,16,8,2.5547
2026-09-25,2026-09-25,P,128.0,50,1,2.4619
2026-09-25,2026-09-25,P,129.0,24,158,2.3691
2026-09-25,2026-09-25,P,130.0,32,11,1.4336
2026-09-25,2026-09-25,P,131.0,48,42,0.875
2026-09-25,2026-09-25,P,132.0,5,4,2.0908
2026-09-25,2026-09-25,P,133.0,142,2,1.998
2026-09-25,2026-09-25,P,134.0,129,69,1.9043
2026-09-25,2026-09-25,P,135.0,638,165,0.6875
