fecha,exp,tipo,strike,oi,vol,iv
2026-09-24,2026-09-25,C,160.0,1,0,1.8438
2026-09-24,2026-09-25,C,165.0,1,1,1.6563
2026-09-24,2026-09-25,C,170.0,2,2,2.3457
2026-09-24,2026-09-25,C,175.0,3,0,0.7813
2026-09-24,2026-09-25,C,177.5,3,0,0.8359
2026-09-24,2026-09-25,C,182.5,4,0,1.4873
2026-09-24,2026-09-25,C,185.0,26,10,0.7227
2026-09-24,2026-09-25,C,190.0,44,4,0.9058
2026-09-24,2026-09-25,C,192.5,22,1,0.7422
2026-09-24,2026-09-25,C,195.0,24,48,0.4824
2026-09-24,2026-09-25,C,197.5,21,230,0.4775
2026-09-24,2026-09-25,C,200.0,185,394,0.3525
2026-09-24,2026-09-25,C,202.5,218,220,0.3789
2026-09-24,2026-09-25,C,205.0,434,49,0.3438
2026-09-24,2026-09-25,C,207.5,198,13,0.5156
2026-09-24,2026-09-25,C,210.0,1070,24,0.6094
2026-09-24,2026-09-25,C,212.5,348,7,0.9414
2026-09-24,2026-09-25,C,215.0,294,3,0.8438
2026-09-24,2026-09-25,C,217.5,123,15,1.0527
2026-09-24,2026-09-25,C,220.0,786,4,1.3848
2026-09-24,2026-09-25,C,222.5,84,12,1.9141
2026-09-24,2026-09-25,C,225.0,480,7,1.3164
2026-09-24,2026-09-25,C,227.5,38,2,1.6621
2026-09-24,2026-09-25,C,230.0,221,2,1.1719
2026-09-24,2026-09-25,C,232.5,6,0,2.3779
2026-09-24,2026-09-25,C,235.0,356,4,1.9023
2026-09-24,2026-09-25,P,170.0,5,11,2.2012
2026-09-24,2026-09-25,P,175.0,7,1,1.8672
2026-09-24,2026-09-25,P,177.5,2,1,2.1519
2026-09-24,2026-09-25,P,180.0,77,2,1.0947
2026-09-24,2026-09-25,P,182.5,1,0,1.7627
2026-09-24,2026-09-25,P,185.0,61,2,0.5781
2026-09-24,2026-09-25,P,187.5,315,33,0.4609
2026-09-24,2026-09-25,P,190.0,636,110,0.4356
2026-09-24,2026-09-25,P,192.5,449,332,0.5269
2026-09-24,2026-09-25,P,195.0,1033,320,0.5225
2026-09-24,2026-09-25,P,197.5,3426,2876,0.5576
2026-09-24,2026-09-25,P,200.0,1261,76,0.4815
2026-09-24,2026-09-25,P,202.5,336,31,0.6865
2026-09-24,2026-09-25,P,205.0,447,176,0.9009
2026-09-24,2026-09-25,P,207.5,61,95,0.5957
2026-09-24,2026-09-25,P,210.0,27,40,1.2793
2026-09-24,2026-09-25,P,212.5,0,1,1.4224
2026-09-24,2026-09-25,P,215.0,0,2,1.0625
2026-09-24,2026-09-25,P,217.5,1,1,1.2129
2026-09-24,2026-09-25,P,220.0,0,2,1.1875
2026-09-24,2026-09-25,P,225.0,0,1,2.0645
2026-09-24,2026-09-25,P,230.0,0,24,2.2969
2026-09-24,2026-10-02,C,175.0,11,10,0.5283
2026-09-24,2026-10-02,C,180.0,10,0,0.7178
2026-09-24,2026-10-02,C,190.0,4,9,0.3947
2026-09-24,2026-10-02,C,192.5,2,42,0.4592
2026-09-24,2026-10-02,C,195.0,20,78,0.364
2026-09-24,2026-10-02,C,197.5,16,26,0.358
2026-09-24,2026-10-02,C,200.0,62,183,0.3118
2026-09-24,2026-10-02,C,202.5,85,90,0.313
2026-09-24,2026-10-02,C,205.0,346,63,0.3198
2026-09-24,2026-10-02,C,207.5,111,28,0.3164
2026-09-24,2026-10-02,C,210.0,167,299,0.3252
2026-09-24,2026-10-02,C,212.5,84,34,0.3389
2026-09-24,2026-10-02,C,215.0,130,15,0.3574
2026-09-24,2026-10-02,C,217.5,87,10,0.3721
2026-09-24,2026-10-02,C,220.0,180,10,0.3848
2026-09-24,2026-10-02,C,222.5,2,2,0.6787
2026-09-24,2026-10-02,C,225.0,98,2,0.5523
2026-09-24,2026-10-02,C,227.5,2,0,0.7612
2026-09-24,2026-10-02,C,230.0,1015,25,0.3828
2026-09-24,2026-10-02,C,232.5,12,0,0.8408
2026-09-24,2026-10-02,C,235.0,1468,1,0.666
2026-09-24,2026-10-02,P,175.0,15,39,0.3945
2026-09-24,2026-10-02,P,177.5,4,7,0.4072
2026-09-24,2026-10-02,P,180.0,181,2,0.3735
2026-09-24,2026-10-02,P,185.0,122,115,0.3718
2026-09-24,2026-10-02,P,187.5,319,57,0.3269
2026-09-24,2026-10-02,P,190.0,509,167,0.328
2026-09-24,2026-10-02,P,192.5,199,286,0.3223
2026-09-24,2026-10-02,P,195.0,456,246,0.3179
2026-09-24,2026-10-02,P,197.5,152,56,0.3079
2026-09-24,2026-10-02,P,200.0,506,192,0.3685
2026-09-24,2026-10-02,P,202.5,168,117,0.3723
2026-09-24,2026-10-02,P,205.0,829,26,0.3496
2026-09-24,2026-10-02,P,207.5,80,23,0.4124
2026-09-24,2026-10-02,P,210.0,74,2,0.4661
2026-09-24,2026-10-02,P,215.0,64,2,0.6228
2026-09-24,2026-10-02,P,217.5,1,1,0.6655
2026-09-24,2026-10-02,P,220.0,18,27,0.7134
2026-09-24,2026-10-02,P,225.0,5,10,0.519
2026-09-24,2026-10-09,C,170.0,5,5,0.5437
2026-09-24,2026-10-09,C,187.5,0,1,0.4382
2026-09-24,2026-10-09,C,190.0,1,10,0.4236
2026-09-24,2026-10-09,C,195.0,2,0,0.3517
2026-09-24,2026-10-09,C,197.5,3,1,0.3561
2026-09-24,2026-10-09,C,200.0,51,106,0.3235
2026-09-24,2026-10-09,C,202.5,6,21,0.3167
2026-09-24,2026-10-09,C,205.0,90,38,0.3173
2026-09-24,2026-10-09,C,207.5,71,17,0.3147
2026-09-24,2026-10-09,C,210.0,43,33,0.3179
2026-09-24,2026-10-09,C,212.5,53,5,0.3746
2026-09-24,2026-10-09,C,215.0,64,2,0.3252
2026-09-24,2026-10-09,C,217.5,69,65,0.4048
2026-09-24,2026-10-09,C,220.0,291,14,0.3345
2026-09-24,2026-10-09,C,222.5,1,0,0.3772
2026-09-24,2026-10-09,C,225.0,128,147,0.3311
2026-09-24,2026-10-09,C,230.0,40,86,0.4404
2026-09-24,2026-10-09,C,235.0,64,1,0.4785
2026-09-24,2026-10-09,P,170.0,14,16,0.4014
2026-09-24,2026-10-09,P,175.0,4,9,0.3618
2026-09-24,2026-10-09,P,177.5,1,0,0.3826
2026-09-24,2026-10-09,P,180.0,94,10,0.3337
2026-09-24,2026-10-09,P,182.5,16,1,0.3377
2026-09-24,2026-10-09,P,185.0,212,40,0.3174
2026-09-24,2026-10-09,P,187.5,162,11,0.3107
2026-09-24,2026-10-09,P,190.0,1558,39,0.312
2026-09-24,2026-10-09,P,192.5,41,13,0.3101
2026-09-24,2026-10-09,P,195.0,144,43,0.3213
2026-09-24,2026-10-09,P,197.5,49,10,0.3385
2026-09-24,2026-10-09,P,200.0,144,61,0.3346
2026-09-24,2026-10-09,P,202.5,16,52,0.3285
2026-09-24,2026-10-09,P,205.0,74,9,0.3617
2026-09-24,2026-10-09,P,207.5,11,6,0.3656
2026-09-24,2026-10-09,P,210.0,20,4,0.3778
2026-09-24,2026-10-09,P,215.0,177,2,0.4297
2026-09-24,2026-10-09,P,220.0,21,3,0.5469
2026-09-25,2026-09-25,C,170.0,2,2,1.1875
2026-09-25,2026-09-25,C,175.0,3,0,1.1797
2026-09-25,2026-09-25,C,177.5,3,0,1.8486
2026-09-25,2026-09-25,C,182.5,4,0,0.6563
2026-09-25,2026-09-25,C,185.0,26,10,1.2705
2026-09-25,2026-09-25,C,190.0,44,12,0.8765
2026-09-25,2026-09-25,C,192.5,22,1,0.5068
2026-09-25,2026-09-25,C,195.0,57,138,0.3735
2026-09-25,2026-09-25,C,197.5,173,272,0.0645
2026-09-25,2026-09-25,C,200.0,377,214,0.1641
2026-09-25,2026-09-25,C,202.5,321,9,0.2578
2026-09-25,2026-09-25,C,205.0,428,46,0.3789
2026-09-25,2026-09-25,C,207.5,188,14,0.4922
2026-09-25,2026-09-25,C,210.0,1056,30,0.5078
2026-09-25,2026-09-25,C,212.5,343,17,0.5469
2026-09-25,2026-09-25,C,215.0,292,20,0.6641
2026-09-25,2026-09-25,C,217.5,115,9,0.7344
2026-09-25,2026-09-25,C,220.0,783,196,1.0859
2026-09-25,2026-09-25,C,222.5,74,12,1.1953
2026-09-25,2026-09-25,C,225.0,473,2,1.293
2026-09-25,2026-09-25,P,170.0,5,11,2.2012
2026-09-25,2026-09-25,P,175.0,7,1,1.8662
2026-09-25,2026-09-25,P,177.5,2,1,2.1514
2026-09-25,2026-09-25,P,180.0,77,2,1.5293
2026-09-25,2026-09-25,P,182.5,1,0,1.7617
2026-09-25,2026-09-25,P,185.0,59,1,0.5
2026-09-25,2026-09-25,P,187.5,316,48,0.3984
2026-09-25,2026-09-25,P,190.0,642,79,0.2734
2026-09-25,2026-09-25,P,192.5,558,98,0.2188
2026-09-25,2026-09-25,P,195.0,1109,230,0.0947
2026-09-25,2026-09-25,P,197.5,1302,347,0.1201
2026-09-25,2026-09-25,P,200.0,1242,175,0.585
2026-09-25,2026-09-25,P,202.5,222,58,0.4795
2026-09-25,2026-09-25,P,205.0,253,24,0.8223
2026-09-25,2026-09-25,P,207.5,0,95,1.0508
2026-09-25,2026-09-25,P,210.0,3,40,1.1738
2026-09-25,2026-09-25,P,212.5,0,1,1.377
2026-09-25,2026-09-25,P,215.0,0,2,0.832
2026-09-25,2026-09-25,P,217.5,1,1,1.0117
2026-09-25,2026-09-25,P,220.0,0,2,0.8125
2026-09-25,2026-09-25,P,225.0,0,1,2.0088
2026-09-25,2026-10-02,C,175.0,11,10,0.748
2026-09-25,2026-10-02,C,180.0,10,0,0.6333
2026-09-25,2026-10-02,C,190.0,12,12,0.3954
2026-09-25,2026-10-02,C,192.5,44,1,0.3818
2026-09-25,2026-10-02,C,195.0,72,51,0.3121
2026-09-25,2026-10-02,C,197.5,34,145,0.2786
2026-09-25,2026-10-02,C,200.0,119,249,0.2774
2026-09-25,2026-10-02,C,202.5,144,214,0.2815
2026-09-25,2026-10-02,C,205.0,346,157,0.3096
2026-09-25,2026-10-02,C,207.5,109,325,0.271
2026-09-25,2026-10-02,C,210.0,400,328,0.2754
2026-09-25,2026-10-02,C,212.5,70,5,0.2891
2026-09-25,2026-10-02,C,215.0,133,26,0.3076
2026-09-25,2026-10-02,C,217.5,87,20,0.333
2026-09-25,2026-10-02,C,220.0,184,11,0.3242
2026-09-25,2026-10-02,C,222.5,2,2,0.6221
2026-09-25,2026-10-02,C,225.0,98,1,0.5147
2026-09-25,2026-10-02,P,175.0,46,4,0.3809
2026-09-25,2026-10-02,P,177.5,9,3,0.3633
2026-09-25,2026-10-02,P,180.0,182,227,0.3164
2026-09-25,2026-10-02,P,185.0,189,30,0.2964
2026-09-25,2026-10-02,P,187.5,350,85,0.2869
2026-09-25,2026-10-02,P,190.0,571,353,0.2749
2026-09-25,2026-10-02,P,192.5,358,67,0.271
2026-09-25,2026-10-02,P,195.0,517,233,0.2693
2026-09-25,2026-10-02,P,197.5,165,33,0.2682
2026-09-25,2026-10-02,P,200.0,547,131,0.2661
2026-09-25,2026-10-02,P,202.5,218,14,0.3206
2026-09-25,2026-10-02,P,205.0,830,115,0.2976
2026-09-25,2026-10-02,P,207.5,71,19,0.436
2026-09-25,2026-10-02,P,210.0,74,2,0.4299
2026-09-25,2026-10-02,P,215.0,12,1,0.5942
2026-09-25,2026-10-02,P,217.5,0,1,0.6279
2026-09-25,2026-10-02,P,220.0,3,2,0.6743
2026-09-25,2026-10-02,P,225.0,0,10,0.7632
2026-09-25,2026-10-09,C,170.0,5,5,0.7046
2026-09-25,2026-10-09,C,187.5,0,1,0.3785
2026-09-25,2026-10-09,C,190.0,9,1,0.3649
2026-09-25,2026-10-09,C,195.0,2,4,0.3045
2026-09-25,2026-10-09,C,197.5,4,5,0.328
2026-09-25,2026-10-09,C,200.0,104,222,0.2976
2026-09-25,2026-10-09,C,202.5,24,41,0.3106
2026-09-25,2026-10-09,C,205.0,112,35,0.3003
2026-09-25,2026-10-09,C,207.5,84,7,0.3031
2026-09-25,2026-10-09,C,210.0,47,224,0.2927
2026-09-25,2026-10-09,C,212.5,56,6,0.294
2026-09-25,2026-10-09,C,215.0,64,6,0.3001
2026-09-25,2026-10-09,C,217.5,69,3,0.2979
2026-09-25,2026-10-09,C,220.0,287,8,0.3814
2026-09-25,2026-10-09,C,222.5,1,0,0.4544
2026-09-25,2026-10-09,C,225.0,186,147,0.3911
2026-09-25,2026-10-09,P,170.0,30,16,0.4727
2026-09-25,2026-10-09,P,175.0,10,9,0.3418
2026-09-25,2026-10-09,P,177.5,1,3,0.4019
2026-09-25,2026-10-09,P,180.0,94,9,0.3147
2026-09-25,2026-10-09,P,182.5,16,10,0.3247
2026-09-25,2026-10-09,P,185.0,224,18,0.3142
2026-09-25,2026-10-09,P,187.5,162,10,0.3113
2026-09-25,2026-10-09,P,190.0,1537,28,0.2888
2026-09-25,2026-10-09,P,192.5,47,1,0.3131
2026-09-25,2026-10-09,P,195.0,144,15,0.2765
2026-09-25,2026-10-09,P,197.5,51,23,0.2971
2026-09-25,2026-10-09,P,200.0,149,2,0.3665
2026-09-25,2026-10-09,P,202.5,68,8,0.2715
2026-09-25,2026-10-09,P,205.0,83,3,0.2883
2026-09-25,2026-10-09,P,207.5,17,8,0.2764
2026-09-25,2026-10-09,P,210.0,20,4,0.3494
2026-09-25,2026-10-09,P,215.0,177,2,0.434
2026-09-25,2026-10-09,P,220.0,4,3,0.5093
