fecha,exp,tipo,strike,oi,vol,iv
2026-09-24,2026-09-25,C,60.0,81,34,2.332
2026-09-24,2026-09-25,C,62.0,50,6,2.4961
2026-09-24,2026-09-25,C,63.0,16,15,2.2344
2026-09-24,2026-09-25,C,64.0,10,2,2.4395
2026-09-24,2026-09-25,C,65.0,96,13,1.8457
2026-09-24,2026-09-25,C,66.0,41,3,1.7031
2026-09-24,2026-09-25,C,67.0,62,2,1.3145
2026-09-24,2026-09-25,C,68.0,129,44,0.7402
2026-09-24,2026-09-25,C,69.0,173,11,0.8965
2026-09-24,2026-09-25,C,70.0,1016,617,0.5039
2026-09-24,2026-09-25,C,71.0,2906,2645,0.3359
2026-09-24,2026-09-25,C,72.0,6828,17045,0.3242
2026-09-24,2026-09-25,C,73.0,11034,17417,0.3516
2026-09-24,2026-09-25,C,74.0,10353,4738,0.4102
2026-09-24,2026-09-25,C,75.0,11739,4345,0.4844
2026-09-24,2026-09-25,C,76.0,6858,2312,0.5
2026-09-24,2026-09-25,C,77.0,5617,651,0.5625
2026-09-24,2026-09-25,C,78.0,9241,654,0.6406
2026-09-24,2026-09-25,C,79.0,4592,209,0.7188
2026-09-24,2026-09-25,C,80.0,10840,71,0.8125
2026-09-24,2026-09-25,C,81.0,3117,22,0.875
2026-09-24,2026-09-25,C,82.0,3236,42,0.9688
2026-09-24,2026-09-25,C,83.0,5036,2016,1.0625
2026-09-24,2026-09-25,C,84.0,2191,5,1.125
2026-09-24,2026-09-25,C,85.0,3204,63,1.1875
2026-09-24,2026-09-25,C,86.0,1960,45,1.25
2026-09-24,2026-09-25,P,60.0,235,10,1.9219
2026-09-24,2026-09-25,P,62.0,318,2,1.668
2026-09-24,2026-09-25,P,63.0,264,10,0.9375
2026-09-24,2026-09-25,P,64.0,327,231,0.9688
2026-09-24,2026-09-25,P,65.0,1262,148,0.75
2026-09-24,2026-09-25,P,66.0,3122,105,0.6406
2026-09-24,2026-09-25,P,67.0,1917,198,0.5313
2026-09-24,2026-09-25,P,68.0,2490,312,0.5
2026-09-24,2026-09-25,P,69.0,7052,3062,0.4063
2026-09-24,2026-09-25,P,70.0,9927,6213,0.3399
2026-09-24,2026-09-25,P,71.0,7359,10009,0.3106
2026-09-24,2026-09-25,P,72.0,10020,3807,0.3184
2026-09-24,2026-09-25,P,73.0,2981,763,0.3418
2026-09-24,2026-09-25,P,74.0,3022,433,0.4102
2026-09-24,2026-09-25,P,75.0,3338,1002,0.5273
2026-09-24,2026-09-25,P,76.0,2381,4263,0.7109
2026-09-24,2026-09-25,P,77.0,1480,2335,0.6641
2026-09-24,2026-09-25,P,78.0,954,2212,1.6016
2026-09-24,2026-09-25,P,79.0,288,1503,1.5781
2026-09-24,2026-09-25,P,80.0,18,33,1.6133
2026-09-24,2026-09-25,P,81.0,513,2228,2.1602
