fecha,exp,tipo,strike,oi,vol,iv
2026-09-24,2026-09-25,C,33.0,1,1,2.6836
2026-09-24,2026-09-25,C,34.0,1,1,2.5313
2026-09-24,2026-09-25,C,35.0,34,1,1.457
2026-09-24,2026-09-25,C,36.0,8,2,1.6719
2026-09-24,2026-09-25,C,37.0,64,10,1.0508
2026-09-24,2026-09-25,C,38.0,2375,377,0.6797
2026-09-24,2026-09-25,C,38.5,439,1062,0.3672
2026-09-24,2026-09-25,C,39.0,1351,3663,0.375
2026-09-24,2026-09-25,C,39.5,1221,797,0.4023
2026-09-24,2026-09-25,C,40.0,2820,850,0.4219
2026-09-24,2026-09-25,C,40.5,811,140,0.5313
2026-09-24,2026-09-25,C,41.0,1610,39,0.5625
2026-09-24,2026-09-25,C,41.5,2283,105,0.5938
2026-09-24,2026-09-25,C,42.0,3752,20,0.8438
2026-09-24,2026-09-25,C,42.5,325,2,1.2852
2026-09-24,2026-09-25,C,43.0,2997,1,0.875
2026-09-24,2026-09-25,C,43.5,990,11,1.3281
2026-09-24,2026-09-25,C,44.0,2232,21,1.1719
2026-09-24,2026-09-25,C,44.5,723,103,1.625
2026-09-24,2026-09-25,C,45.0,2579,21,1.1875
2026-09-24,2026-09-25,C,45.5,1120,1,2.4336
2026-09-24,2026-09-25,C,46.0,1590,13,1.6094
2026-09-24,2026-09-25,P,34.0,117,40,1.0938
2026-09-24,2026-09-25,P,35.0,35,3,1.0156
2026-09-24,2026-09-25,P,36.0,188,122,0.5938
2026-09-24,2026-09-25,P,37.0,1820,365,0.5156
2026-09-24,2026-09-25,P,38.0,2927,418,0.3438
2026-09-24,2026-09-25,P,38.5,1012,337,0.3672
2026-09-24,2026-09-25,P,39.0,1564,113,0.4023
2026-09-24,2026-09-25,P,39.5,2735,35,0.5
2026-09-24,2026-09-25,P,40.0,3819,614,0.6172
2026-09-24,2026-09-25,P,40.5,583,575,0.6797
2026-09-24,2026-09-25,P,41.0,3495,7716,0.9492
2026-09-24,2026-09-25,P,41.5,602,915,1.0938
2026-09-24,2026-09-25,P,42.0,2291,3458,1.3047
2026-09-24,2026-09-25,P,42.5,26,8,2.1836
2026-09-24,2026-09-25,P,43.0,4825,10036,1.5547
2026-09-24,2026-09-25,P,43.5,15,32,1.875
2026-09-24,2026-09-25,P,44.0,2,4,1.8672
2026-09-24,2026-09-25,P,44.5,1,4,1.9844
2026-09-24,2026-09-25,P,45.0,1302,4544,1.9297
2026-09-24,2026-09-25,P,45.5,10,24,1.9375
2026-09-24,2026-09-25,P,46.0,0,1,2.4688
2026-09-24,2026-10-02,C,34.0,1,0,0.8184
2026-09-24,2026-10-02,C,35.0,202,122,0.7568
2026-09-24,2026-10-02,C,36.0,201,100,0.6465
2026-09-24,2026-10-02,C,37.0,89,73,0.7129
2026-09-24,2026-10-02,C,37.5,9,8,0.3857
2026-09-24,2026-10-02,C,38.0,424,322,0.3311
2026-09-24,2026-10-02,C,38.5,86,124,0.333
2026-09-24,2026-10-02,C,39.0,280,364,0.3159
2026-09-24,2026-10-02,C,39.5,1637,107,0.3301
2026-09-24,2026-10-02,C,40.0,1969,386,0.3272
2026-09-24,2026-10-02,C,40.5,280,100,0.3369
2026-09-24,2026-10-02,C,41.0,977,437,0.3525
2026-09-24,2026-10-02,C,41.5,327,16,0.3516
2026-09-24,2026-10-02,C,42.0,306,63,0.3828
2026-09-24,2026-10-02,C,42.5,206,28,0.4102
2026-09-24,2026-10-02,C,43.0,446,305,0.502
2026-09-24,2026-10-02,C,43.5,161,2,0.5762
2026-09-24,2026-10-02,C,44.0,479,281,0.4609
2026-09-24,2026-10-02,C,44.5,821,699,0.5391
2026-09-24,2026-10-02,C,45.0,1003,11,0.5234
2026-09-24,2026-10-02,C,45.5,177,1,0.5391
2026-09-24,2026-10-02,C,46.0,667,7,0.6133
2026-09-24,2026-10-02,P,34.0,13,0,1.1748
2026-09-24,2026-10-02,P,35.0,192,3,0.4922
2026-09-24,2026-10-02,P,36.0,707,51,0.3633
2026-09-24,2026-10-02,P,37.0,772,320,0.3145
2026-09-24,2026-10-02,P,37.5,150,719,0.3066
2026-09-24,2026-10-02,P,38.0,2330,506,0.2988
2026-09-24,2026-10-02,P,38.5,650,110,0.3066
2026-09-24,2026-10-02,P,39.0,1417,106,0.3164
2026-09-24,2026-10-02,P,39.5,608,11,0.4375
2026-09-24,2026-10-02,P,40.0,1238,57,0.3857
2026-09-24,2026-10-02,P,40.5,69,3,0.5664
2026-09-24,2026-10-02,P,41.0,514,119,0.4512
2026-09-24,2026-10-02,P,41.5,77,38,0.6572
2026-09-24,2026-10-02,P,42.0,408,20,0.5029
2026-09-24,2026-10-02,P,42.5,280,35,0.5059
2026-09-24,2026-10-02,P,43.0,406,3,0.5508
2026-09-24,2026-10-02,P,43.5,6,1,0.8301
2026-09-24,2026-10-02,P,44.0,1,1,0.7285
2026-09-24,2026-10-02,P,44.5,0,1,0.9941
2026-09-24,2026-10-02,P,45.0,10,29,0.5625
2026-09-24,2026-10-02,P,45.5,0,1,1.0723
2026-09-24,2026-10-02,P,46.0,4,4,1.0449
2026-09-24,2026-10-09,C,35.0,21,20,0.7324
2026-09-24,2026-10-09,C,36.0,3,3,0.4932
2026-09-24,2026-10-09,C,37.5,8,74,0.3467
2026-09-24,2026-10-09,C,38.0,29,26,0.3359
2026-09-24,2026-10-09,C,38.5,145,18,0.3203
2026-09-24,2026-10-09,C,39.0,93,52,0.3408
2026-09-24,2026-10-09,C,39.5,148,16,0.3467
2026-09-24,2026-10-09,C,40.0,414,60,0.3154
2026-09-24,2026-10-09,C,40.5,176,12,0.3174
2026-09-24,2026-10-09,C,41.0,275,157,0.3252
2026-09-24,2026-10-09,C,41.5,20,53,0.3281
2026-09-24,2026-10-09,C,42.0,434,13,0.3399
2026-09-24,2026-10-09,C,42.5,172,17,0.4658
2026-09-24,2026-10-09,C,43.0,1343,881,0.375
2026-09-24,2026-10-09,C,44.0,905,106,0.4668
2026-09-24,2026-10-09,C,44.5,3,0,0.5859
2026-09-24,2026-10-09,C,45.0,430,23,0.5039
2026-09-24,2026-10-09,C,45.5,51,0,0.8916
2026-09-24,2026-10-09,C,46.0,286,29,0.4805
2026-09-24,2026-10-09,P,32.0,50,0,1.0381
2026-09-24,2026-10-09,P,35.0,35,26,0.6465
2026-09-24,2026-10-09,P,36.0,178,13,0.3125
2026-09-24,2026-10-09,P,37.0,736,8,0.2979
2026-09-24,2026-10-09,P,37.5,43,224,0.2891
2026-09-24,2026-10-09,P,38.0,461,9,0.2959
2026-09-24,2026-10-09,P,38.5,45,19,0.3076
2026-09-24,2026-10-09,P,39.0,154,30,0.3115
2026-09-24,2026-10-09,P,39.5,110,59,0.313
2026-09-24,2026-10-09,P,40.0,702,21,0.4072
2026-09-24,2026-10-09,P,40.5,6,15,0.4609
2026-09-24,2026-10-09,P,41.0,311,18,0.3652
2026-09-24,2026-10-09,P,41.5,3,1,0.5391
2026-09-24,2026-10-09,P,42.0,492,5,0.5225
2026-09-24,2026-10-09,P,42.5,7,1,0.686
2026-09-24,2026-10-09,P,43.0,232,3,0.5576
2026-09-24,2026-10-09,P,44.0,291,4,0.6787
2026-09-24,2026-10-09,P,45.0,32,1,0.6113
2026-09-24,2026-10-09,P,46.0,0,4,0.6719
