fecha,exp,tipo,strike,oi,vol,iv
2026-09-24,2026-09-25,C,302.5,14,626,2.3555
2026-09-24,2026-09-25,C,305.0,97,447,2.2813
2026-09-24,2026-09-25,C,307.5,10,97,2.7061
2026-09-24,2026-09-25,C,310.0,155,118,2.5606
2026-09-24,2026-09-25,C,312.5,21,32,2.0635
2026-09-24,2026-09-25,C,315.0,281,100,1.9238
2026-09-24,2026-09-25,C,317.5,16,84,1.8359
2026-09-24,2026-09-25,C,320.0,156,4,1.7842
2026-09-24,2026-09-25,C,322.5,89,16,2.1689
2026-09-24,2026-09-25,C,325.0,174,71,1.5195
2026-09-24,2026-09-25,C,327.5,11,12,1.5273
2026-09-24,2026-09-25,C,330.0,703,178,1.5898
2026-09-24,2026-09-25,C,332.5,43,10,1.8408
2026-09-24,2026-09-25,C,335.0,333,26,1.3252
2026-09-24,2026-09-25,C,337.5,93,9,1.3125
2026-09-24,2026-09-25,C,340.0,535,80,1.2676
2026-09-24,2026-09-25,C,342.5,102,25,1.1084
2026-09-24,2026-09-25,C,345.0,584,91,1.0283
2026-09-24,2026-09-25,C,347.5,81,6,1.0859
2026-09-24,2026-09-25,C,350.0,1727,196,0.9307
2026-09-24,2026-09-25,C,352.5,211,166,0.9824
2026-09-24,2026-09-25,C,355.0,2164,480,0.8911
2026-09-24,2026-09-25,C,357.5,1180,92,0.6919
2026-09-24,2026-09-25,C,360.0,2943,724,0.6772
2026-09-24,2026-09-25,C,362.5,2166,277,0.5879
2026-09-24,2026-09-25,C,365.0,3211,4520,0.5425
2026-09-24,2026-09-25,C,367.5,12106,2657,0.5225
2026-09-24,2026-09-25,C,370.0,10039,12585,0.4458
2026-09-24,2026-09-25,C,372.5,2966,6626,0.4509
2026-09-24,2026-09-25,C,375.0,5704,18135,0.4365
2026-09-24,2026-09-25,C,377.5,2817,48275,0.4407
2026-09-24,2026-09-25,C,380.0,16811,127169,0.4312
2026-09-24,2026-09-25,C,382.5,12369,68435,0.4419
2026-09-24,2026-09-25,C,385.0,14508,102656,0.447
2026-09-24,2026-09-25,C,387.5,4867,38689,0.4546
2026-09-24,2026-09-25,C,390.0,17943,54283,0.4697
2026-09-24,2026-09-25,C,392.5,8403,19233,0.4834
2026-09-24,2026-09-25,C,395.0,11364,17748,0.502
2026-09-24,2026-09-25,C,397.5,3081,5450,0.5225
2026-09-24,2026-09-25,C,400.0,21846,40687,0.543
2026-09-24,2026-09-25,C,402.5,4406,3353,0.5781
2026-09-24,2026-09-25,C,405.0,7600,5110,0.6074
2026-09-24,2026-09-25,C,407.5,3027,1387,0.6211
2026-09-24,2026-09-25,C,410.0,6798,4067,0.6641
2026-09-24,2026-09-25,C,412.5,879,563,0.6875
2026-09-24,2026-09-25,C,415.0,3254,2021,0.7148
2026-09-24,2026-09-25,C,417.5,1302,193,0.7422
2026-09-24,2026-09-25,C,420.0,7150,2947,0.7813
2026-09-24,2026-09-25,C,422.5,1118,1645,0.7813
2026-09-24,2026-09-25,C,425.0,3589,1450,0.8125
2026-09-24,2026-09-25,C,427.5,289,649,0.8516
2026-09-24,2026-09-25,C,430.0,2821,2478,0.8906
2026-09-24,2026-09-25,C,432.5,440,75,0.9219
2026-09-24,2026-09-25,C,435.0,3002,206,0.9531
2026-09-24,2026-09-25,C,437.5,728,907,0.9531
2026-09-24,2026-09-25,C,440.0,2100,830,0.9375
2026-09-24,2026-09-25,C,442.5,974,102,1.0156
2026-09-24,2026-09-25,C,445.0,1239,195,0.9844
2026-09-24,2026-09-25,C,447.5,57,599,1.0938
2026-09-24,2026-09-25,C,450.0,2410,702,1.0625
2026-09-24,2026-09-25,P,302.5,342,278,1.5156
2026-09-24,2026-09-25,P,305.0,1771,563,1.4688
2026-09-24,2026-09-25,P,307.5,317,306,1.4141
2026-09-24,2026-09-25,P,310.0,4744,1143,1.3594
2026-09-24,2026-09-25,P,312.5,309,809,1.3125
2026-09-24,2026-09-25,P,315.0,3399,2440,1.2891
2026-09-24,2026-09-25,P,317.5,604,309,1.2422
2026-09-24,2026-09-25,P,320.0,3432,516,1.1875
2026-09-24,2026-09-25,P,322.5,486,411,1.1406
2026-09-24,2026-09-25,P,325.0,2082,252,1.0859
2026-09-24,2026-09-25,P,327.5,1180,287,1.0391
2026-09-24,2026-09-25,P,330.0,3316,280,0.9922
2026-09-24,2026-09-25,P,332.5,1131,71,0.9609
2026-09-24,2026-09-25,P,335.0,2801,489,0.9063
2026-09-24,2026-09-25,P,337.5,935,430,0.875
2026-09-24,2026-09-25,P,340.0,4127,404,0.8203
2026-09-24,2026-09-25,P,342.5,1112,115,0.7813
2026-09-24,2026-09-25,P,345.0,4270,529,0.7188
2026-09-24,2026-09-25,P,347.5,1462,533,0.6914
2026-09-24,2026-09-25,P,350.0,5959,2334,0.6563
2026-09-24,2026-09-25,P,352.5,1711,1047,0.6016
2026-09-24,2026-09-25,P,355.0,4793,2323,0.5742
2026-09-24,2026-09-25,P,357.5,1871,4998,0.5293
2026-09-24,2026-09-25,P,360.0,5554,8067,0.5039
2026-09-24,2026-09-25,P,362.5,3140,7934,0.4815
2026-09-24,2026-09-25,P,365.0,4957,18405,0.4541
2026-09-24,2026-09-25,P,367.5,1979,20819,0.4356
2026-09-24,2026-09-25,P,370.0,6135,48739,0.4238
2026-09-24,2026-09-25,P,372.5,2037,43627,0.4199
2026-09-24,2026-09-25,P,375.0,4547,82132,0.4204
2026-09-24,2026-09-25,P,377.5,2216,74305,0.4268
2026-09-24,2026-09-25,P,380.0,3557,64637,0.4324
2026-09-24,2026-09-25,P,382.5,831,22231,0.4419
2026-09-24,2026-09-25,P,385.0,1221,8868,0.4556
2026-09-24,2026-09-25,P,387.5,251,3763,0.5347
2026-09-24,2026-09-25,P,390.0,875,2736,0.519
2026-09-24,2026-09-25,P,392.5,118,235,0.6167
2026-09-24,2026-09-25,P,395.0,292,189,0.5557
2026-09-24,2026-09-25,P,397.5,39,15,0.7134
2026-09-24,2026-09-25,P,400.0,476,1052,0.7261
2026-09-24,2026-09-25,P,402.5,21,25,0.7866
2026-09-24,2026-09-25,P,405.0,71,127,0.5703
2026-09-24,2026-09-25,P,407.5,3,0,1.3726
2026-09-24,2026-09-25,P,410.0,43,75,1.042
2026-09-24,2026-09-25,P,415.0,10,23,1.1787
2026-09-24,2026-09-25,P,420.0,5,18,0.9121
2026-09-24,2026-09-25,P,425.0,4,10,1.4043
2026-09-24,2026-09-25,P,427.5,0,2,1.2227
2026-09-24,2026-09-25,P,430.0,0,4,1.2695
2026-09-24,2026-09-25,P,435.0,0,6,1.2383
2026-09-24,2026-09-25,P,437.5,0,6,1.4492
2026-09-24,2026-09-25,P,440.0,0,6,1.3555
2026-09-24,2026-09-25,P,445.0,0,6,1.4395
2026-09-24,2026-09-25,P,450.0,0,24,1.5801
2026-09-24,2026-09-28,C,307.5,1,0,1.0957
2026-09-24,2026-09-28,C,315.0,4,54,0.9795
2026-09-24,2026-09-28,C,320.0,6,122,0.9458
2026-09-24,2026-09-28,C,325.0,2,84,0.9668
2026-09-24,2026-09-28,C,327.5,5,112,0.8369
2026-09-24,2026-09-28,C,330.0,8,97,0.6387
2026-09-24,2026-09-28,C,332.5,6,4,0.8306
2026-09-24,2026-09-28,C,335.0,29,48,0.7344
2026-09-24,2026-09-28,C,337.5,4,3,0.7542
2026-09-24,2026-09-28,C,340.0,19,5,0.7158
2026-09-24,2026-09-28,C,342.5,15,1,0.6204
2026-09-24,2026-09-28,C,345.0,32,2,0.6348
2026-09-24,2026-09-28,C,347.5,14,52,0.6045
2026-09-24,2026-09-28,C,350.0,41,5,0.5247
2026-09-24,2026-09-28,C,352.5,40,10,0.6255
2026-09-24,2026-09-28,C,355.0,90,29,0.523
2026-09-24,2026-09-28,C,357.5,379,2,0.4627
2026-09-24,2026-09-28,C,360.0,529,66,0.4273
2026-09-24,2026-09-28,C,362.5,355,14,0.3955
2026-09-24,2026-09-28,C,365.0,470,972,0.3713
2026-09-24,2026-09-28,C,367.5,289,104,0.3381
2026-09-24,2026-09-28,C,370.0,430,898,0.3478
2026-09-24,2026-09-28,C,372.5,173,299,0.3272
2026-09-24,2026-09-28,C,375.0,939,2647,0.3241
2026-09-24,2026-09-28,C,377.5,787,4806,0.325
2026-09-24,2026-09-28,C,380.0,2238,8431,0.3231
2026-09-24,2026-09-28,C,382.5,1042,7009,0.3218
2026-09-24,2026-09-28,C,385.0,1216,8426,0.3239
2026-09-24,2026-09-28,C,387.5,366,3465,0.3262
2026-09-24,2026-09-28,C,390.0,1386,5100,0.3262
2026-09-24,2026-09-28,C,392.5,330,2139,0.3308
2026-09-24,2026-09-28,C,395.0,724,3191,0.3359
2026-09-24,2026-09-28,C,397.5,438,1165,0.3423
2026-09-24,2026-09-28,C,400.0,3099,11107,0.3491
2026-09-24,2026-09-28,C,402.5,339,1564,0.3604
2026-09-24,2026-09-28,C,405.0,1494,764,0.3687
2026-09-24,2026-09-28,C,407.5,212,178,0.3818
2026-09-24,2026-09-28,C,410.0,2698,728,0.395
2026-09-24,2026-09-28,C,412.5,86,31,0.4102
2026-09-24,2026-09-28,C,415.0,1263,398,0.4229
2026-09-24,2026-09-28,C,417.5,427,102,0.4404
2026-09-24,2026-09-28,C,420.0,1169,173,0.4561
2026-09-24,2026-09-28,C,422.5,293,4,0.4707
2026-09-24,2026-09-28,C,425.0,776,117,0.4922
2026-09-24,2026-09-28,C,430.0,385,234,0.5156
2026-09-24,2026-09-28,C,435.0,3817,3858,0.5488
2026-09-24,2026-09-28,P,305.0,24,255,0.8125
2026-09-24,2026-09-28,P,307.5,18,1772,0.7852
2026-09-24,2026-09-28,P,310.0,132,138,0.7578
2026-09-24,2026-09-28,P,312.5,20,145,0.7383
2026-09-24,2026-09-28,P,315.0,4035,16,0.7109
2026-09-24,2026-09-28,P,317.5,7,1,0.6895
2026-09-24,2026-09-28,P,320.0,245,59,0.6621
2026-09-24,2026-09-28,P,322.5,6,1,0.6445
2026-09-24,2026-09-28,P,325.0,138,26,0.6172
2026-09-24,2026-09-28,P,327.5,14,1,0.5898
2026-09-24,2026-09-28,P,330.0,265,113,0.5723
2026-09-24,2026-09-28,P,332.5,124,5,0.543
2026-09-24,2026-09-28,P,335.0,142,40,0.5234
2026-09-24,2026-09-28,P,337.5,64,6,0.502
2026-09-24,2026-09-28,P,340.0,351,185,0.4834
2026-09-24,2026-09-28,P,342.5,46,21,0.46
2026-09-24,2026-09-28,P,345.0,373,199,0.4356
2026-09-24,2026-09-28,P,347.5,257,90,0.419
