fecha,exp,tipo,strike,oi,vol,iv
2026-09-24,2026-09-25,C,130.0,51,2,3.1602
2026-09-24,2026-09-25,C,135.0,1,2,1.2813
2026-09-24,2026-09-25,C,139.0,4,1,1.5
2026-09-24,2026-09-25,C,140.0,4,5,2.4189
2026-09-24,2026-09-25,C,141.0,2,5,2.2393
2026-09-24,2026-09-25,C,142.0,2,3,0.9688
2026-09-24,2026-09-25,C,143.0,1,3,2.5352
2026-09-24,2026-09-25,C,145.0,55,1,1.0352
2026-09-24,2026-09-25,C,146.0,0,10,0.0
2026-09-24,2026-09-25,C,147.0,1,3,1.0625
2026-09-24,2026-09-25,C,149.0,2,1,0.8164
2026-09-24,2026-09-25,C,150.0,282,1,1.2022
2026-09-24,2026-09-25,C,152.5,29,2,1.1748
2026-09-24,2026-09-25,C,155.0,467,5,0.8174
2026-09-24,2026-09-25,C,157.5,300,95,0.5898
2026-09-24,2026-09-25,C,160.0,1189,527,0.4297
2026-09-24,2026-09-25,C,162.5,2249,2077,0.3218
2026-09-24,2026-09-25,C,165.0,3748,4360,0.3154
2026-09-24,2026-09-25,C,167.5,3458,5563,0.3555
2026-09-24,2026-09-25,C,170.0,3997,939,0.4219
2026-09-24,2026-09-25,C,172.5,2341,122,0.4844
2026-09-24,2026-09-25,C,175.0,11514,89,0.5313
2026-09-24,2026-09-25,C,177.5,743,136,0.625
2026-09-24,2026-09-25,C,180.0,971,12,0.7188
2026-09-24,2026-09-25,C,182.5,210,12,0.8125
2026-09-24,2026-09-25,C,185.0,1051,108,0.875
2026-09-24,2026-09-25,C,187.5,63,20,1.4219
2026-09-24,2026-09-25,C,190.0,78,1,1.9863
2026-09-24,2026-09-25,C,192.5,21,0,2.5254
2026-09-24,2026-09-25,P,130.0,17,1,3.2031
2026-09-24,2026-09-25,P,135.0,120,11,2.7783
2026-09-24,2026-09-25,P,139.0,15,1,2.4424
2026-09-24,2026-09-25,P,140.0,46,2,0.9688
2026-09-24,2026-09-25,P,141.0,29,1,2.2715
2026-09-24,2026-09-25,P,142.0,121,1,0.9688
2026-09-24,2026-09-25,P,143.0,30,2,1.6055
2026-09-24,2026-09-25,P,144.0,91,1,1.3047
2026-09-24,2026-09-25,P,145.0,204,1,1.1133
2026-09-24,2026-09-25,P,146.0,327,2,0.9219
2026-09-24,2026-09-25,P,147.0,112,3,0.7344
2026-09-24,2026-09-25,P,148.0,145,1,0.9492
2026-09-24,2026-09-25,P,149.0,125,24,0.6719
2026-09-24,2026-09-25,P,150.0,632,17,0.6719
2026-09-24,2026-09-25,P,152.5,1773,447,0.4844
2026-09-24,2026-09-25,P,155.0,2843,557,0.4492
2026-09-24,2026-09-25,P,157.5,2571,1032,0.4248
2026-09-24,2026-09-25,P,160.0,2299,5335,0.3525
2026-09-24,2026-09-25,P,162.5,645,1892,0.3516
2026-09-24,2026-09-25,P,165.0,297,556,0.4981
2026-09-24,2026-09-25,P,167.5,102,30,0.5117
2026-09-24,2026-09-25,P,170.0,207,13,0.752
2026-09-24,2026-09-25,P,172.5,1,10,0.8203
2026-09-24,2026-09-25,P,175.0,0,1,0.9141
2026-09-24,2026-09-25,P,180.0,0,4,0.8047
2026-09-24,2026-09-25,P,187.5,0,2,1.0781
2026-09-24,2026-09-25,P,192.5,0,2,1.4844
2026-09-24,2026-10-02,C,130.0,1,1,0.6953
2026-09-24,2026-10-02,C,135.0,4,3,0.7246
2026-09-24,2026-10-02,C,140.0,7,1,0.5566
2026-09-24,2026-10-02,C,145.0,12,21,0.5195
2026-09-24,2026-10-02,C,146.0,7,21,0.7202
2026-09-24,2026-10-02,C,149.0,3,2,0.6497
2026-09-24,2026-10-02,C,150.0,32,18,0.6169
2026-09-24,2026-10-02,C,152.5,21,10,0.5483
2026-09-24,2026-10-02,C,155.0,33,12,0.4351
2026-09-24,2026-10-02,C,157.5,76,48,0.3831
2026-09-24,2026-10-02,C,160.0,517,96,0.3218
2026-09-24,2026-10-02,C,162.5,609,322,0.3125
2026-09-24,2026-10-02,C,165.0,1714,1005,0.2979
2026-09-24,2026-10-02,C,167.5,1145,2079,0.2878
2026-09-24,2026-10-02,C,170.0,1233,1004,0.2886
2026-09-24,2026-10-02,C,172.5,619,1436,0.2959
2026-09-24,2026-10-02,C,175.0,745,298,0.3272
2026-09-24,2026-10-02,C,177.5,178,55,0.3916
2026-09-24,2026-10-02,C,180.0,503,52,0.375
2026-09-24,2026-10-02,C,182.5,763,2,0.4092
2026-09-24,2026-10-02,C,185.0,364,40,0.4473
2026-09-24,2026-10-02,C,187.5,57,14,0.4258
2026-09-24,2026-10-02,C,190.0,79,4,0.4219
2026-09-24,2026-10-02,C,192.5,6,2,0.5732
2026-09-24,2026-10-02,P,135.0,30,10,0.8184
2026-09-24,2026-10-02,P,140.0,116,1,0.5088
2026-09-24,2026-10-02,P,142.0,9,1,0.4336
2026-09-24,2026-10-02,P,143.0,14,2,0.5234
2026-09-24,2026-10-02,P,144.0,10,1,0.5293
2026-09-24,2026-10-02,P,145.0,366,35,0.375
2026-09-24,2026-10-02,P,146.0,12,3,0.5684
2026-09-24,2026-10-02,P,147.0,87,6,0.3623
2026-09-24,2026-10-02,P,148.0,299,55,0.3662
2026-09-24,2026-10-02,P,149.0,85,85,0.3399
2026-09-24,2026-10-02,P,150.0,1452,532,0.3374
