Date,Open,High,Low,Close,Volume
2021-09-29,114.31,115.8,111.35,113.1,469800
2021-09-30,114.07,114.76,110.78,110.94,479000
2021-10-01,110.75,114.17,109.81,113.29,292100
2021-10-04,112.98,113.8,110.34,110.58,214700
2021-10-05,111.24,113.93,111.2,113.08,324300
2021-10-06,112.39,115.26,111.37,115.13,255900
2021-10-07,119.15,126.87,118.37,125.66,1092400
2021-10-08,126.0,127.88,125.34,126.94,566600
2021-10-11,126.82,128.85,126.01,128.79,454400
2021-10-12,129.0,130.29,128.63,129.84,712800
2021-10-13,129.51,130.46,128.5,129.84,527400
2021-10-14,130.27,130.27,128.2,129.26,552100
2021-10-15,131.08,134.64,130.47,134.26,432000
2021-10-18,133.05,134.51,132.0,132.5,372800
2021-10-19,133.62,134.68,132.42,132.73,254000
2021-10-20,131.83,132.51,130.64,131.61,350300
2021-10-21,130.38,132.95,130.38,132.75,199600
2021-10-22,132.86,133.13,130.0,130.49,296400
2021-10-25,131.69,131.69,129.68,131.48,293000
2021-10-26,131.72,131.86,128.49,128.93,849200
2021-10-27,128.18,131.04,127.6,130.03,345900
2021-10-28,129.87,132.32,129.23,130.43,268500
2021-10-29,130.19,130.64,128.77,129.66,474400
2021-11-01,130.08,134.82,129.53,134.28,275200
2021-11-02,133.77,134.44,130.66,132.25,491900
2021-11-03,131.5,133.35,129.95,130.23,533700
2021-11-04,129.75,132.39,126.73,127.7,498600
2021-11-05,129.99,131.06,126.32,127.69,447600
2021-11-08,127.94,128.61,126.24,127.11,404000
2021-11-09,125.97,127.88,124.37,124.75,338500
2021-11-10,124.98,126.59,124.95,125.8,662300
2021-11-11,126.64,128.17,125.7,127.61,254500
2021-11-12,127.21,128.27,127.02,128.23,178400
2021-11-15,127.55,129.16,126.07,126.32,313300
2021-11-16,126.03,127.96,124.72,124.9,257200
2021-11-17,123.66,123.66,119.73,120.92,261400
2021-11-18,120.28,122.09,120.13,120.4,635000
2021-11-19,119.91,121.2,118.91,120.35,430300
2021-11-22,121.34,121.34,117.6,118.03,279900
2021-11-23,118.97,121.1,117.74,120.46,295800
2021-11-24,120.16,122.24,118.98,121.86,277700
2021-11-26,120.04,120.05,113.59,116.78,266700
2021-11-29,118.26,119.55,115.36,118.48,311700
2021-11-30,117.2,119.94,115.35,118.0,689400
2021-12-01,119.78,120.0,112.73,113.12,690500
2021-12-02,114.53,116.26,113.01,115.19,418000
2021-12-03,115.58,118.14,112.86,113.69,241100
2021-12-06,114.73,116.47,114.52,115.11,483900
2021-12-07,115.88,117.61,115.7,116.26,685400
2021-12-08,116.3,117.87,114.48,114.99,279600
2021-12-09,113.62,116.09,113.42,114.57,376600
2021-12-10,115.0,115.0,111.81,112.37,581400
2021-12-13,111.78,113.5,109.68,110.31,425900
2021-12-14,110.27,111.07,108.41,109.28,607100
2021-12-15,109.19,109.94,108.05,108.98,1420600
2021-12-16,109.95,115.78,109.49,114.71,805000
2021-12-17,114.29,116.99,113.44,116.87,469200
2021-12-20,114.46,116.6,113.97,115.46,314100
2021-12-21,116.77,119.89,116.6,118.46,197000
2021-12-22,118.14,119.35,116.66,118.72,168500
2021-12-23,119.17,120.86,119.17,119.89,143500
2021-12-27,119.92,122.92,119.54,122.8,186400
2021-12-28,122.33,123.41,121.13,122.84,289400
2021-12-29,122.85,123.7,121.32,121.77,181100
2021-12-30,122.55,125.46,122.35,125.1,231400
2021-12-31,124.99,125.12,121.96,122.07,114600
2022-01-03,121.93,124.89,121.17,124.19,183400
2022-01-04,124.86,129.18,124.86,128.52,269500
2022-01-05,129.5,131.3,128.85,129.4,425600
2022-01-06,130.55,133.73,129.47,132.06,229700
2022-01-07,132.62,135.75,132.13,134.12,505900
2022-01-10,134.82,134.94,131.14,131.98,255000
2022-01-11,132.0,138.92,132.0,138.09,316700
2022-01-12,138.81,143.84,138.35,143.75,412400
2022-01-13,143.96,147.03,142.47,145.25,518600
2022-01-14,143.94,145.93,143.62,145.02,247400
2022-01-18,144.7,145.76,142.24,142.58,311900
2022-01-19,143.0,144.0,141.9,142.42,403600
2022-01-20,142.36,144.88,140.51,140.75,374600
2022-01-21,140.07,140.35,136.49,137.29,378500
2022-01-24,134.5,137.8,131.73,137.56,326000
2022-01-25,135.13,139.28,133.44,138.1,280700
2022-01-26,139.35,139.86,134.0,135.88,205400
2022-01-27,137.95,139.04,134.75,136.24,348500
2022-01-28,136.15,139.79,135.01,139.59,196300
2022-01-31,139.44,144.24,139.0,143.22,298200
2022-02-01,142.0,143.52,136.7,138.12,603000
2022-02-02,138.1,139.96,133.44,138.35,617100
2022-02-03,136.92,137.02,133.45,133.95,478600
2022-02-04,133.95,136.93,132.8,135.24,692600
2022-02-07,135.28,136.63,134.76,135.0,242700
2022-02-08,135.0,153.23,132.73,145.29,1133800
2022-02-09,145.58,153.75,145.58,150.8,669900
2022-02-10,150.0,157.66,149.82,154.68,843600
2022-02-11,153.7,158.54,152.64,153.82,526000
2022-02-14,154.22,156.62,152.29,152.95,563300
2022-02-15,155.02,160.36,155.02,159.19,325800
2022-02-16,158.73,160.8,157.63,158.09,359900
2022-02-17,156.01,156.97,153.03,154.8,686800
2022-02-18,153.67,156.4,152.69,153.92,293800
2022-02-22,154.19,155.78,150.98,151.56,290500
2022-02-23,152.39,153.92,149.82,150.13,265500
2022-02-24,143.0,145.63,142.07,145.19,532700
2022-02-25,147.36,151.28,147.29,150.98,133800
2022-02-28,148.01,151.46,146.37,151.25,296100
2022-03-01,150.86,152.97,148.76,150.15,219500
2022-03-02,150.92,153.51,148.76,152.51,577500
2022-03-03,152.57,156.49,152.57,156.0,451600
2022-03-04,153.6,157.62,152.63,154.84,768200
2022-03-07,152.01,153.19,146.91,147.91,784500
2022-03-08,149.0,156.44,148.94,153.09,1405900
2022-03-09,156.45,163.42,154.84,162.08,656900
2022-03-10,159.51,161.85,158.68,160.51,617000
2022-03-11,162.15,163.98,160.34,161.62,292700
2022-03-14,163.17,166.3,161.23,163.19,542900
2022-03-15,163.39,164.74,160.1,164.7,383700
2022-03-16,165.0,169.79,163.97,167.82,338300
2022-03-17,167.99,171.13,167.02,168.65,574300
2022-03-18,168.63,168.99,165.6,167.85,1001000
2022-03-21,168.53,171.6,166.81,168.93,329300
2022-03-22,170.89,175.7,169.19,174.94,405800
2022-03-23,174.39,179.07,172.76,177.92,834500
2022-03-24,177.57,178.38,173.72,174.66,595000
2022-03-25,175.32,179.38,175.14,176.6,493600
2022-03-28,175.89,177.83,173.13,177.63,238700
2022-03-29,179.23,179.98,176.38,177.01,432200
2022-03-30,177.61,182.11,172.73,173.0,664700
2022-03-31,173.34,175.32,170.9,171.87,433400
2022-04-01,175.6,176.61,169.65,170.5,515100
2022-04-04,170.96,172.34,169.08,169.39,323800
2022-04-05,169.44,170.69,167.24,167.64,299700
2022-04-06,165.68,165.9,160.61,162.12,482900
2022-04-07,162.47,162.54,156.88,159.03,825900
2022-04-08,159.11,159.54,145.74,146.29,2212100
2022-04-11,146.84,150.1,144.77,148.34,774700
2022-04-12,148.8,150.62,144.5,144.79,701600
2022-04-13,144.51,146.36,142.82,144.6,286800
2022-04-14,144.45,146.44,144.15,144.81,187100
2022-04-18,143.38,145.07,140.91,142.3,272300
2022-04-19,143.6,146.18,143.15,146.07,983100
2022-04-20,147.28,152.65,146.83,151.67,1117800
2022-04-21,152.88,155.5,151.51,153.84,1778500
2022-04-22,154.06,154.98,147.12,147.13,391600
2022-04-25,145.35,145.45,137.71,139.84,515300
2022-04-26,137.71,139.37,134.24,136.03,549300
2022-04-27,136.03,139.12,134.68,138.38,459600
2022-04-28,139.38,139.63,134.75,138.89,244600
2022-04-29,139.52,140.5,138.41,138.89,567300
2022-05-02,139.24,139.86,136.22,138.11,212600
2022-05-03,138.48,141.48,138.07,140.63,729900
2022-05-04,141.18,143.17,138.49,142.91,466600
2022-05-05,141.44,141.44,132.04,132.8,838200
2022-05-06,130.0,136.9,128.71,132.82,556400
2022-05-09,131.54,132.39,125.62,125.87,286300
2022-05-10,126.34,129.24,123.62,126.63,282900
2022-05-11,126.14,128.76,124.44,124.5,344100
2022-05-12,122.0,124.49,118.81,120.7,734300
2022-05-13,122.55,133.33,122.4,131.94,606100
2022-05-16,132.81,135.44,132.11,132.59,439900
2022-05-17,134.5,141.39,134.19,140.05,785800
2022-05-18,138.19,140.31,131.59,132.09,336600
2022-05-19,126.68,134.77,126.0,133.42,364200
2022-05-20,135.42,137.41,131.78,134.16,506300
2022-05-23,135.73,139.98,133.95,138.77,360200
2022-05-24,137.39,139.28,135.21,138.33,338300
2022-05-25,137.37,140.17,137.37,139.22,405700
2022-05-26,140.74,143.48,139.97,140.68,576400
2022-05-27,140.25,144.89,140.25,142.41,339500
2022-05-31,142.57,144.61,140.01,140.38,1748100
2022-06-01,140.53,142.15,136.91,137.63,385600
2022-06-02,138.64,143.28,138.28,143.24,174300
2022-06-03,141.07,141.41,139.07,140.13,176800
2022-06-06,141.11,141.11,136.38,136.79,288000
2022-06-07,135.38,137.12,134.67,135.95,199700
2022-06-08,135.29,136.59,134.04,135.07,174800
2022-06-09,134.9,134.9,131.4,131.46,192400
2022-06-10,128.71,129.9,125.7,125.78,203900
2022-06-13,122.1,125.55,120.27,123.88,334800
2022-06-14,123.81,124.48,122.3,123.14,315100
2022-06-15,124.42,129.6,123.71,127.31,244800
2022-06-16,123.88,126.05,121.17,122.53,204800
2022-06-17,123.87,125.94,122.44,124.9,580500
2022-06-21,128.13,132.27,125.55,126.54,308500
2022-06-22,123.45,125.76,123.32,124.63,240500
2022-06-23,124.86,125.05,123.07,123.87,333900
2022-06-24,123.98,126.94,123.73,124.91,273100
2022-06-27,125.04,125.78,123.43,124.55,252400
2022-06-28,126.06,128.99,122.49,123.73,297600
2022-06-29,124.12,124.4,121.98,122.7,136700
2022-06-30,121.18,121.63,118.23,119.91,357900
2022-07-01,119.53,122.49,118.85,122.49,322700
2022-07-05,120.02,121.02,117.21,120.61,382700
2022-07-06,119.6,121.46,115.21,116.97,436500
2022-07-07,118.89,125.35,118.89,122.93,435600
2022-07-08,123.44,126.5,122.35,122.88,547400
2022-07-11,122.05,123.04,119.93,120.39,152900
2022-07-12,120.28,122.25,119.61,119.74,190700
2022-07-13,117.98,118.72,116.63,118.11,231900
2022-07-14,115.61,117.21,113.21,115.03,202000
2022-07-15,116.95,117.11,113.34,115.95,425300
2022-07-18,117.76,121.3,117.56,119.58,274000
2022-07-19,123.15,126.77,123.01,126.71,244700
2022-07-20,126.26,127.79,125.52,125.74,455600
2022-07-21,124.82,126.07,124.18,125.54,165200
2022-07-22,125.41,126.97,124.22,125.35,229000
2022-07-25,126.49,130.8,125.77,130.5,290000
2022-07-26,129.3,130.88,128.3,129.51,242500
2022-07-27,129.05,129.89,125.72,127.82,518500
2022-07-28,129.25,131.33,128.39,131.09,274200
2022-07-29,131.74,132.59,129.28,129.4,369800
2022-08-01,128.61,131.55,128.32,129.97,569400
2022-08-02,130.64,132.06,128.5,129.06,311900
2022-08-03,130.8,130.93,127.35,130.5,370000
2022-08-04,132.5,133.34,128.99,129.92,429400
2022-08-05,128.92,132.15,128.92,131.65,523800
2022-08-08,133.2,138.85,133.2,138.08,539300
2022-08-09,138.01,139.2,135.05,136.54,250000
2022-08-10,138.14,142.46,136.25,141.8,466600
2022-08-11,143.2,143.8,140.85,141.85,401700
2022-08-12,138.88,139.52,135.96,138.63,410700
2022-08-15,136.22,138.18,135.7,136.3,250700
2022-08-16,135.61,138.6,135.61,138.29,173100
2022-08-17,137.26,138.32,136.41,137.09,333800
2022-08-18,136.1,136.8,134.22,135.06,204200
2022-08-19,133.5,133.5,131.63,132.37,86600
2022-08-22,129.59,132.64,128.03,131.77,211100
2022-08-23,132.16,133.4,131.02,132.04,178000
2022-08-24,131.78,132.92,130.12,130.35,204700
2022-08-25,131.51,133.59,130.68,133.46,132900
2022-08-26,133.59,134.43,130.26,130.88,267500
2022-08-29,128.6,130.43,128.01,129.44,209100
2022-08-30,129.81,130.29,127.33,128.18,203400
2022-08-31,128.91,131.29,128.57,128.89,494900
2022-09-01,128.54,128.72,123.71,126.46,289700
2022-09-02,127.67,129.56,126.22,126.85,201500
2022-09-06,127.39,128.64,126.08,126.42,156400
2022-09-07,125.98,127.81,124.44,127.54,165200
2022-09-08,127.12,129.5,127.1,129.38,120200
2022-09-09,131.51,132.7,130.75,130.85,226000
2022-09-12,132.1,132.83,130.61,131.58,423600
2022-09-13,128.83,129.7,126.8,127.23,201200
2022-09-14,128.01,128.77,126.87,127.58,117600
2022-09-15,126.77,130.43,126.62,127.6,413500
2022-09-16,126.55,129.78,125.57,129.23,485500
2022-09-19,127.93,130.71,127.74,130.11,433700
2022-09-20,129.04,131.76,129.04,131.04,211200
2022-09-21,130.91,133.0,130.0,131.23,368900
2022-09-22,131.42,131.42,128.8,129.01,448900
2022-09-23,126.55,126.98,122.54,122.93,602600
2022-09-26,122.0,123.24,118.33,118.4,279600
2022-09-27,118.82,120.95,118.62,119.91,370000
2022-09-28,119.74,126.63,119.48,125.54,409200
2022-09-29,123.54,123.92,121.71,122.55,227500
2022-09-30,122.93,125.25,122.09,122.8,287400
2022-10-03,124.29,127.3,122.9,126.4,211200
2022-10-04,129.96,133.57,128.58,133.51,356600
2022-10-05,131.34,132.28,130.5,130.61,247800
2022-10-06,129.69,130.88,128.51,129.71,190000
2022-10-07,129.08,132.49,128.77,130.68,281500
2022-10-10,131.13,131.59,127.5,127.85,162000
2022-10-11,127.29,129.4,125.98,127.85,247200
2022-10-12,127.98,130.53,126.78,129.38,312800
2022-10-13,127.87,131.63,126.75,130.42,554200
2022-10-14,131.33,132.27,126.17,127.91,313300
2022-10-17,130.15,132.04,129.58,130.28,329100
2022-10-18,132.35,133.52,131.22,133.3,290700
2022-10-19,132.22,132.9,130.43,132.08,187100
2022-10-20,132.0,133.33,131.57,132.08,583900
2022-10-21,132.5,134.1,131.09,133.15,818000
2022-10-24,133.25,134.7,130.77,134.49,351800
2022-10-25,133.97,139.66,133.93,137.79,373000
2022-10-26,137.55,140.86,137.55,140.07,484200
2022-10-27,140.34,143.24,139.76,143.08,341700
2022-10-28,143.45,144.42,142.07,143.94,246400
2022-10-31,143.0,146.77,142.72,146.36,369600
2022-11-01,148.04,152.38,148.04,152.27,435200
2022-11-02,151.43,151.62,143.89,144.15,411900
2022-11-03,142.15,145.4,141.71,144.5,210900
2022-11-04,147.51,154.99,147.14,152.65,479100
2022-11-07,153.04,155.25,151.64,153.56,418000
2022-11-08,153.38,155.3,152.07,154.05,324600
2022-11-09,152.2,152.2,149.68,152.0,294700
2022-11-10,156.32,156.46,152.36,154.98,431700
2022-11-11,155.7,157.46,154.79,156.98,300900
2022-11-14,156.99,158.21,155.73,156.38,154300
2022-11-15,158.61,158.95,154.84,157.0,328400
2022-11-16,157.0,157.5,155.02,155.83,222700
2022-11-17,153.36,155.46,149.82,151.71,332800
2022-11-18,152.06,153.14,149.79,151.14,203300
2022-11-21,151.01,151.01,148.51,150.16,204500
2022-11-22,151.21,154.03,150.22,153.32,215600
2022-11-23,153.29,155.48,152.49,153.92,231300
2022-11-25,152.35,154.99,148.44,153.48,192300
2022-11-28,152.99,152.99,147.56,147.64,437200
2022-11-29,148.25,150.1,146.59,146.93,309700
2022-11-30,148.27,153.58,146.29,153.55,642900
2022-12-01,153.45,154.26,148.94,151.22,295000
2022-12-02,149.3,151.23,147.83,150.04,207100
2022-12-05,148.31,149.12,146.29,149.07,553100
2022-12-06,149.73,149.97,145.8,148.29,395500
2022-12-07,147.39,147.71,138.05,144.6,1489600
2022-12-08,147.05,148.48,144.26,145.21,414700
2022-12-09,145.0,148.41,143.64,147.78,392900
2022-12-12,146.8,147.7,138.67,139.16,415400
2022-12-13,143.59,143.59,138.07,138.51,341300
2022-12-14,138.35,140.93,135.64,135.78,491500
2022-12-15,135.0,135.08,132.26,133.91,546500
2022-12-16,133.09,134.69,132.07,133.77,866000
2022-12-19,133.69,135.4,132.75,134.29,358300
2022-12-20,135.83,137.16,134.68,135.44,392300
2022-12-21,136.39,136.99,135.14,135.99,344100
2022-12-22,134.76,135.56,131.64,133.4,357600
2022-12-23,133.4,135.04,131.85,134.67,629200
2022-12-27,134.62,135.0,133.29,133.82,320600
2022-12-28,133.82,135.68,133.68,134.69,342900
2022-12-29,135.84,136.39,133.35,135.61,354700
2022-12-30,134.32,136.15,133.71,135.66,364300
2023-01-03,137.0,139.03,136.36,138.12,334800
2023-01-04,140.0,141.25,139.42,140.14,344100
2023-01-05,140.5,142.81,139.44,142.81,583700
2023-01-06,143.49,146.38,142.88,146.0,303700
2023-01-09,147.26,149.1,147.2,147.71,379100
2023-01-10,146.54,149.63,146.54,148.0,391900
2023-01-11,147.99,148.47,144.26,145.02,472700
2023-01-12,145.16,148.41,143.59,148.4,347200
2023-01-13,148.28,149.77,147.45,148.68,378700
2023-01-17,148.76,148.76,143.35,143.44,398500
2023-01-18,144.37,144.87,142.83,142.93,274100
2023-01-19,141.86,144.11,140.81,142.87,365200
2023-01-20,143.64,143.64,139.76,140.27,347600
2023-01-23,140.61,141.95,139.93,140.63,236400
2023-01-24,141.41,141.41,138.5,139.55,189800
2023-01-25,138.99,139.8,138.19,138.95,456000
2023-01-26,139.72,143.92,139.25,143.49,177000
2023-01-27,142.88,142.92,139.68,140.73,238400
2023-01-30,139.7,139.7,131.73,133.59,1124100
2023-01-31,132.81,135.22,132.02,134.3,829500
2023-02-01,134.0,134.8,132.61,134.72,868700
2023-02-02,135.02,135.51,133.67,135.2,338000
2023-02-03,134.02,136.22,133.34,135.73,466800
2023-02-06,135.4,136.35,134.28,135.46,442900
2023-02-07,135.94,137.94,135.41,137.33,316000
2023-02-08,137.31,138.55,136.95,137.97,219400
2023-02-09,138.21,139.24,136.98,137.1,248000
2023-02-10,132.22,134.18,124.86,127.1,1517100
2023-02-13,127.27,132.45,127.07,132.4,857900
2023-02-14,132.01,133.37,129.61,129.73,298600
2023-02-15,127.0,129.79,125.01,129.78,427000
2023-02-16,129.25,129.77,127.32,129.03,374300
2023-02-17,128.9,129.62,127.45,129.57,302000
2023-02-21,129.15,131.35,128.62,129.9,377100
2023-02-22,129.54,130.56,128.27,129.9,547700
2023-02-23,131.06,131.69,129.05,129.05,358300
2023-02-24,128.6,129.79,126.42,128.57,226800
2023-02-27,130.0,130.23,126.64,127.49,292800
2023-02-28,127.89,127.89,125.86,127.42,462200
2023-03-01,128.17,131.41,127.43,131.27,457500
2023-03-02,130.28,130.99,129.78,130.61,386700
2023-03-03,130.72,132.0,129.81,131.91,229100
2023-03-06,131.94,133.21,131.5,132.5,204500
2023-03-07,131.92,132.7,130.4,131.65,558700
2023-03-08,131.85,133.01,131.02,132.84,412600
2023-03-09,132.46,132.81,129.88,130.0,1072700
2023-03-10,129.11,131.25,127.23,128.77,432400
2023-03-13,125.61,127.15,124.33,126.57,482100
2023-03-14,129.27,131.45,128.47,129.85,673500
2023-03-15,126.3,127.38,123.88,127.34,771800
2023-03-16,125.73,128.57,124.62,127.04,836200
2023-03-17,123.95,125.68,120.99,124.61,1382400
