Date,Open,High,Low,Close,Volume
2021-09-30,37.05,37.53,36.85,37.04,14700
2021-10-01,36.8,38.15,36.53,37.89,54450
2021-10-04,37.59,37.59,36.85,37.09,77250
2021-10-05,36.87,37.59,36.87,37.43,43350
2021-10-06,36.84,37.57,36.73,37.32,15750
2021-10-07,37.62,38.7,37.62,38.16,34200
2021-10-08,38.49,38.94,38.17,38.62,14400
2021-10-11,38.73,38.73,38.33,38.47,7500
2021-10-12,38.6,39.11,38.25,38.61,47100
2021-10-13,38.87,38.99,38.29,38.99,12600
2021-10-14,39.42,39.82,39.13,39.82,22350
2021-10-15,39.87,40.44,39.87,40.16,44550
2021-10-18,39.93,40.4,39.72,40.15,19950
2021-10-19,40.47,40.47,40.05,40.14,24900
2021-10-20,40.4,40.95,40.03,40.95,31650
2021-10-21,40.78,41.29,40.78,41.29,35100
2021-10-22,41.29,42.13,41.29,42.13,16500
2021-10-25,42.15,42.29,41.52,42.04,39450
2021-10-26,42.29,42.42,41.89,41.98,10650
2021-10-27,41.93,42.0,41.45,41.45,33600
2021-10-28,41.79,42.32,41.55,42.15,35100
2021-10-29,41.91,42.24,41.07,41.1,53850
2021-11-01,41.2,41.47,40.96,41.23,28650
2021-11-02,41.01,41.74,41.01,41.69,82800
2021-11-03,41.69,42.04,41.31,42.04,136500
2021-11-04,42.0,42.11,41.45,41.77,53850
2021-11-05,41.99,42.69,41.99,42.28,28050
2021-11-08,42.53,42.6,41.89,42.37,34950
2021-11-09,42.5,42.5,41.78,42.22,19950
2021-11-10,42.2,42.21,41.16,41.32,35250
2021-11-11,41.21,41.21,40.11,40.21,49800
2021-11-12,40.17,41.86,40.17,41.31,27600
2021-11-15,41.66,41.66,40.56,40.99,38850
2021-11-16,41.03,41.63,40.93,41.57,49050
2021-11-17,41.46,41.71,40.93,40.93,94050
2021-11-18,40.79,41.27,40.63,40.83,22500
2021-11-19,40.73,40.8,40.34,40.8,20550
2021-11-22,40.9,41.11,40.0,40.07,39300
2021-11-23,39.95,40.15,39.27,39.71,29550
2021-11-24,39.37,40.39,39.37,40.39,17400
2021-11-26,39.4,39.4,38.69,39.29,35400
2021-11-29,39.63,39.82,39.02,39.27,62700
2021-11-30,39.04,39.04,38.03,38.23,54000
2021-12-01,38.92,38.98,37.65,37.75,43050
2021-12-02,37.81,38.89,37.81,38.66,30150
2021-12-03,38.79,38.79,37.35,37.75,35550
2021-12-06,37.91,39.18,37.91,38.94,33450
2021-12-07,39.45,40.43,39.45,40.03,13350
2021-12-08,40.0,40.41,39.81,40.01,17850
2021-12-09,39.53,39.8,39.27,39.53,16500
2021-12-10,39.69,39.96,39.37,39.84,14250
2021-12-13,39.77,39.9,39.37,39.72,37350
2021-12-14,39.24,39.74,38.92,39.21,21900
2021-12-15,39.13,40.26,38.93,40.26,29700
2021-12-16,40.41,40.49,39.66,39.83,27300
2021-12-17,39.35,39.41,38.7,39.03,77400
2021-12-20,38.58,38.75,37.72,38.55,61950
2021-12-21,38.9,39.63,38.9,39.25,26250
2021-12-22,39.25,40.02,39.25,40.02,21150
2021-12-23,40.15,41.0,40.03,40.88,25500
2021-12-27,40.92,41.34,40.92,41.21,9750
2021-12-28,41.29,41.76,41.05,41.32,12150
2021-12-29,41.25,41.5,40.97,41.34,35700
2021-12-30,41.38,42.01,41.23,41.91,27900
2021-12-31,41.65,42.02,41.53,41.75,17700
2022-01-03,41.87,42.51,41.15,41.81,49950
2022-01-04,41.98,42.73,41.97,42.39,41100
2022-01-05,42.55,42.72,40.91,41.02,45900
2022-01-06,40.77,40.91,39.74,39.88,56250
2022-01-07,39.91,40.2,39.39,40.13,23400
2022-01-10,40.0,40.0,38.73,39.37,27300
2022-01-11,39.59,40.71,39.35,40.71,17400
2022-01-12,40.93,41.28,40.44,40.55,23850
2022-01-13,40.64,40.73,39.8,39.9,21000
2022-01-14,39.34,39.61,38.71,39.29,16650
2022-01-18,39.25,39.25,37.75,37.81,33600
2022-01-19,37.91,38.18,37.61,37.79,20850
2022-01-20,37.87,38.65,37.32,37.36,14700
2022-01-21,37.1,37.15,36.45,36.5,33450
2022-01-24,35.62,36.44,34.52,36.26,57000
2022-01-25,35.55,37.23,35.55,36.78,42750
2022-01-26,37.33,37.62,35.63,35.77,26100
2022-01-27,36.07,36.38,35.47,35.47,17550
2022-01-28,35.37,36.27,35.23,36.25,62550
2022-01-31,36.14,37.53,36.14,37.49,19800
2022-02-01,37.58,37.97,37.22,37.96,18750
2022-02-02,38.17,38.3,37.54,38.12,31800
2022-02-03,37.6,37.79,37.49,37.5,19200
2022-02-04,37.34,37.85,37.06,37.49,15900
2022-02-07,38.17,38.23,37.69,38.06,18300
2022-02-08,37.81,38.23,37.47,38.13,19200
2022-02-09,38.48,39.14,38.48,38.77,28500
2022-02-10,40.13,42.25,40.11,40.54,45450
2022-02-11,40.61,40.61,39.25,39.27,38850
2022-02-14,39.57,39.57,38.01,38.22,33750
2022-02-15,38.79,38.79,37.97,38.1,16800
2022-02-16,37.93,38.13,37.65,37.92,22350
2022-02-17,37.94,37.94,36.79,36.79,13350
2022-02-18,36.74,36.93,35.81,35.81,23850
2022-02-22,35.73,36.22,35.69,36.03,28650
2022-02-23,36.3,36.3,35.22,35.22,13650
2022-02-24,34.23,36.17,34.23,36.17,119550
2022-02-25,36.4,37.01,35.76,36.96,22350
2022-02-28,36.39,36.87,36.37,36.87,18000
2022-03-01,36.73,36.73,35.75,36.14,12600
2022-03-02,36.95,37.29,36.58,36.99,31200
2022-03-03,36.82,36.9,36.41,36.42,9000
2022-03-04,36.39,36.39,35.71,36.33,17850
2022-03-07,36.04,36.45,35.17,35.29,19200
