Date,Open,High,Low,Close,Volume
2026-07-01,31.0,43.98,30.7,40.5,17370300
2026-07-02,39.49,40.29,34.25,35.93,7301600
2026-07-06,37.5,37.5,33.05,36.27,5714900
2026-07-07,35.48,38.77,34.02,36.88,2431800
2026-07-08,36.87,36.87,33.5,34.23,3136400
2026-07-09,34.11,34.42,32.05,34.32,2992100
2026-07-10,34.32,34.43,32.52,32.91,1495000
2026-07-13,33.36,33.66,30.97,31.78,3556100
2026-07-14,31.47,33.38,30.11,32.5,2727000
2026-07-15,32.7,33.74,31.41,33.35,1011800
2026-07-16,33.48,35.1,31.5,32.12,1967600
2026-07-17,32.06,33.0,31.26,32.4,1222600
2026-07-20,33.23,33.89,32.24,33.42,2803100
2026-07-21,33.87,35.14,33.16,33.88,1551700
2026-07-22,33.5,36.13,33.01,33.78,1946300
2026-07-23,33.49,34.51,32.9,33.35,2051600
2026-07-24,33.26,34.84,33.0,34.06,2202500
2026-07-27,34.97,34.97,32.0,33.26,3308400
2026-07-28,33.59,33.98,32.44,32.69,2801700
2026-07-29,33.0,33.52,32.44,32.7,1432600
2026-07-30,32.75,34.83,32.26,34.74,1318900
2026-07-31,34.75,35.69,33.75,35.2,1106300
2026-08-03,35.59,37.35,34.51,36.22,1294200
2026-08-04,36.84,38.0,34.82,37.45,2214400
2026-08-05,37.93,45.72,37.13,43.75,5172600
2026-08-06,43.55,45.98,42.21,45.15,2601500
2026-08-07,45.55,48.25,42.6,44.45,1887900
2026-08-10,44.46,58.18,44.36,51.43,7008800
2026-08-11,52.99,58.94,51.87,53.44,4473000
2026-08-12,48.13,51.44,47.63,48.98,3435300
2026-08-13,46.83,46.91,39.1,40.92,4636900
2026-08-14,41.28,42.2,39.26,39.31,2253600
2026-08-17,39.2,39.48,37.3,38.5,1231200
2026-08-18,38.29,40.31,37.72,38.75,1550000
2026-08-19,38.9,42.29,38.09,41.46,1518900
2026-08-20,40.9,41.47,38.71,39.93,1048900
2026-08-21,39.93,41.6,38.98,41.35,913300
2026-08-24,41.39,42.26,40.05,41.18,916600
2026-08-25,41.13,42.89,40.82,42.47,1226400
2026-08-26,42.35,42.81,41.5,42.39,1232700
2026-08-27,42.99,46.94,42.5,46.15,1246100
2026-08-28,46.26,46.69,43.0,43.59,1188500
2026-08-31,43.11,44.31,41.29,41.35,657400
2026-09-01,41.4,42.59,39.66,40.5,758500
2026-09-02,40.38,42.04,40.3,40.87,485400
2026-09-03,41.58,42.49,40.51,41.69,1059600
2026-09-04,41.33,42.2,39.1,39.58,1057900
2026-09-08,39.74,39.81,38.41,39.08,852300
2026-09-09,39.0,39.75,37.63,37.75,1238700
2026-09-10,38.0,41.37,37.75,39.67,2792900
2026-09-11,39.51,40.37,38.67,38.77,2058700
2026-09-14,38.75,42.15,38.5,41.05,3090100
2026-09-15,40.35,40.9,38.69,39.4,1563400
2026-09-16,40.18,40.48,38.88,39.19,2213900
2026-09-17,39.68,40.46,37.75,38.55,2655900
2026-09-18,38.85,39.05,37.5,38.08,2493800
2026-09-21,38.65,38.99,36.91,38.81,1873900
2026-09-23,36.18,36.28,34.31,34.64,3678620
