Date,Open,High,Low,Close,Volume
2021-09-27,33.15,34.33,33.15,33.94,195500
2021-09-28,33.36,33.84,32.7,33.3,286200
2021-09-29,33.87,33.93,32.6,33.09,220900
2021-09-30,33.41,33.87,32.74,32.74,360300
2021-10-01,32.98,34.69,32.85,34.25,315000
2021-10-04,34.21,34.69,32.92,33.12,197500
2021-10-05,33.18,33.92,32.78,33.49,191200
2021-10-06,32.64,33.11,31.6,32.72,209600
2021-10-07,33.21,34.27,33.06,33.73,181900
2021-10-08,33.82,34.03,33.21,33.31,139200
2021-10-11,33.75,35.1,33.62,33.82,164900
2021-10-12,33.93,34.24,33.4,33.43,143100
2021-10-13,33.11,33.14,31.82,32.85,219300
2021-10-14,33.48,34.09,33.14,33.35,259000
2021-10-15,34.33,35.14,33.65,33.67,368900
2021-10-18,33.18,33.42,32.44,33.03,204400
2021-10-19,33.21,33.21,32.73,33.09,158600
2021-10-20,32.88,33.57,32.4,33.4,177500
2021-10-21,32.81,33.0,32.22,32.76,214100
2021-10-22,32.98,33.25,31.91,32.03,166700
2021-10-25,32.1,32.25,30.8,30.95,263800
2021-10-26,31.01,31.71,30.39,30.95,245700
2021-10-27,30.53,30.92,30.19,30.41,241500
2021-10-28,30.2,32.14,29.8,31.49,406700
2021-10-29,31.15,31.71,30.49,30.88,375500
2021-11-01,30.85,32.15,30.16,32.03,319600
2021-11-02,31.55,31.86,30.79,31.03,244800
2021-11-03,30.9,31.91,30.58,31.58,252700
2021-11-04,31.95,32.63,30.71,31.17,275000
2021-11-05,31.67,33.0,31.41,32.76,319400
2021-11-08,33.6,34.09,33.06,33.86,240700
2021-11-09,33.66,33.92,32.66,33.75,232000
2021-11-10,33.4,34.21,32.6,32.89,283900
2021-11-11,33.3,33.57,32.97,33.51,151300
2021-11-12,33.49,34.43,33.11,34.05,303700
2021-11-15,34.1,34.27,33.3,33.53,241200
2021-11-16,33.39,33.39,32.39,32.45,184500
2021-11-17,32.16,32.45,30.99,31.13,226500
2021-11-18,31.33,31.41,30.47,31.39,216200
2021-11-19,30.77,30.88,30.25,30.63,189100
2021-11-22,31.26,32.15,30.74,31.26,234100
2021-11-23,31.47,32.03,31.07,31.14,177100
2021-11-24,30.79,31.37,30.62,30.82,116500
2021-11-26,29.5,29.79,27.84,29.26,234500
2021-11-29,29.97,29.97,28.1,28.21,331700
2021-11-30,27.88,28.65,26.84,27.48,542700
2021-12-01,28.67,29.01,27.54,27.66,266200
2021-12-02,28.04,29.19,27.98,28.78,238400
2021-12-03,28.74,29.05,27.97,28.19,204400
2021-12-06,28.78,29.62,28.36,29.02,337100
2021-12-07,29.69,30.47,29.1,29.4,219400
2021-12-08,29.38,29.85,29.22,29.36,225800
2021-12-09,28.91,29.37,28.02,28.58,218100
2021-12-10,29.15,29.74,28.64,29.58,286000
2021-12-13,29.58,29.73,28.29,29.24,446100
2021-12-14,28.82,30.25,28.82,29.29,398200
2021-12-15,29.0,29.95,28.05,29.88,514400
2021-12-16,30.21,30.51,28.61,28.83,395100
2021-12-17,28.66,30.62,28.31,30.54,1419700
2021-12-20,29.98,30.13,28.01,28.65,391900
2021-12-21,28.72,30.05,28.72,29.85,268200
2021-12-22,29.58,29.83,28.45,28.9,394200
2021-12-23,28.83,29.07,28.34,28.98,257400
2021-12-27,29.0,30.34,28.48,30.31,360200
2021-12-28,30.08,30.32,29.4,29.96,252100
2021-12-29,30.07,30.15,29.58,29.78,243400
2021-12-30,29.85,30.08,28.93,28.96,211100
2021-12-31,28.92,29.66,28.67,29.19,298800
2022-01-03,29.49,31.04,29.37,30.25,271400
2022-01-04,30.79,32.0,30.75,31.53,343300
2022-01-05,31.75,32.82,31.72,31.95,359100
2022-01-06,32.13,32.71,31.71,32.1,214300
2022-01-07,32.25,33.67,32.25,32.48,336400
2022-01-10,32.39,33.2,31.92,32.3,271900
2022-01-11,32.5,32.78,31.42,32.73,281400
2022-01-12,33.24,33.65,32.2,32.5,237300
2022-01-13,33.64,34.58,32.94,33.1,304400
2022-01-14,32.5,33.34,32.46,32.65,772200
2022-01-18,32.21,32.43,31.5,31.91,308900
2022-01-19,32.01,32.45,30.69,31.2,386900
2022-01-20,31.33,31.89,29.87,30.0,524400
2022-01-21,29.78,30.07,28.9,29.13,312800
2022-01-24,28.24,30.56,27.86,30.49,507300
2022-01-25,30.1,30.92,29.27,30.38,499800
2022-01-26,30.75,31.12,28.6,29.05,638300
2022-01-27,29.11,30.56,28.33,28.52,582400
2022-01-28,28.25,29.23,27.56,28.78,572700
2022-01-31,28.17,29.96,28.01,28.72,1749200
2022-02-01,28.97,30.07,28.6,29.88,525400
2022-02-02,29.44,31.61,29.19,30.87,684700
2022-02-03,30.58,30.82,29.32,29.52,621400
2022-02-04,29.42,29.5,28.57,28.92,450800
2022-02-07,29.12,29.65,29.0,29.31,823700
2022-02-08,29.63,29.92,28.66,29.45,487400
2022-02-09,29.74,31.8,29.44,31.36,1041900
2022-02-10,30.92,33.92,30.85,33.19,767900
2022-02-11,34.04,39.95,33.71,38.73,1839500
2022-02-14,38.73,39.46,38.07,38.2,904900
2022-02-15,37.97,40.09,37.64,39.61,514300
2022-02-16,39.9,40.14,38.3,38.53,440900
2022-02-17,38.05,38.74,37.74,38.54,656600
2022-02-18,38.53,38.82,37.63,38.07,289500
2022-02-22,38.04,38.35,36.98,37.05,269300
2022-02-23,37.56,37.56,36.09,36.22,254300
2022-02-24,35.38,36.76,35.12,36.56,605000
2022-02-25,36.8,38.75,36.58,38.65,493800
2022-02-28,38.25,39.22,37.74,38.39,457200
2022-03-01,38.65,39.3,36.26,36.48,684200
2022-03-02,36.97,39.66,36.78,39.21,546100
2022-03-03,39.43,39.43,37.09,38.39,459300
2022-03-04,37.68,37.74,36.19,36.62,361100
2022-03-07,36.77,37.49,35.39,35.79,501600
2022-03-08,35.68,37.42,34.88,35.95,449700
2022-03-09,36.17,36.42,34.59,34.7,390300
2022-03-10,34.3,35.98,34.3,35.9,312000
2022-03-11,35.9,36.89,34.75,34.85,369700
2022-03-14,34.77,36.42,33.84,35.82,478200
2022-03-15,35.4,37.68,35.4,37.01,598000
2022-03-16,37.17,38.54,36.07,36.95,456300
2022-03-17,36.86,38.35,36.37,37.89,468600
2022-03-18,37.97,38.78,36.85,38.03,1368200
2022-03-21,38.2,39.5,38.06,39.49,456400
2022-03-22,40.03,41.91,39.82,41.12,530800
2022-03-23,40.9,41.29,40.3,40.91,380000
2022-03-24,41.51,41.54,40.63,41.42,237500
2022-03-25,41.39,42.58,41.17,42.58,387600
2022-03-28,41.98,42.0,40.7,41.97,328700
2022-03-29,41.74,42.32,40.64,42.02,332700
2022-03-30,42.48,43.2,42.0,42.52,390500
2022-03-31,42.21,43.17,41.92,41.98,414400
2022-04-01,42.16,43.43,42.12,43.35,354800
2022-04-04,43.62,43.75,42.45,43.27,238000
2022-04-05,43.48,43.83,40.68,41.02,372600
2022-04-06,40.93,41.29,40.15,40.66,242600
2022-04-07,40.79,41.09,39.67,40.54,353600
2022-04-08,40.59,41.1,39.88,40.45,285900
2022-04-11,40.59,41.51,39.68,39.84,265000
2022-04-12,40.26,41.23,39.27,39.54,363400
2022-04-13,39.65,40.78,38.95,40.73,478700
2022-04-14,40.77,42.69,40.76,42.46,366700
2022-04-18,42.55,43.06,41.93,42.52,251100
2022-04-19,42.25,43.96,42.02,43.83,290300
2022-04-20,44.63,44.96,43.0,43.16,259400
2022-04-21,43.56,43.59,40.35,40.8,261200
2022-04-22,40.65,40.92,39.6,40.42,344100
2022-04-25,39.58,40.06,37.68,39.12,368400
2022-04-26,38.74,39.33,37.55,37.78,522100
2022-04-27,38.12,38.42,36.6,37.19,428700
2022-04-28,40.14,42.27,38.01,40.73,858900
2022-04-29,39.78,40.63,37.2,38.18,654700
2022-05-02,37.84,38.6,36.13,37.8,651300
2022-05-03,37.53,38.64,37.1,37.55,371000
2022-05-04,37.44,39.63,37.44,39.58,367100
2022-05-05,38.98,38.98,35.54,35.98,396900
2022-05-06,35.5,35.8,34.3,34.78,431000
2022-05-09,33.81,34.63,32.93,33.79,455500
2022-05-10,34.37,34.66,32.43,33.24,440200
2022-05-11,33.57,34.38,32.91,33.08,412400
2022-05-12,32.77,34.14,32.02,33.3,447800
2022-05-13,33.59,34.15,32.67,33.2,424300
2022-05-16,33.19,33.84,32.54,32.63,288800
2022-05-17,33.72,35.33,33.55,35.07,338400
2022-05-18,35.33,36.76,34.62,34.93,559900
2022-05-19,34.49,35.21,32.88,34.4,588800
2022-05-20,34.94,35.38,31.44,32.46,348900
2022-05-23,33.05,33.64,32.21,33.36,290300
2022-05-24,32.87,32.98,31.8,32.95,303200
2022-05-25,32.84,34.59,32.84,34.09,268100
2022-05-26,34.48,35.75,34.39,35.15,277300
2022-05-27,35.52,36.2,35.1,36.11,271700
2022-05-31,35.89,36.06,34.92,35.23,407400
2022-06-01,35.49,35.76,34.1,34.62,195500
2022-06-02,34.9,36.42,34.9,36.05,280000
2022-06-03,35.75,35.81,34.6,35.01,307300
2022-06-06,35.4,35.91,34.98,35.79,213000
2022-06-07,35.37,36.06,35.11,35.84,323600
2022-06-08,35.13,35.35,34.17,34.72,203200
2022-06-09,34.28,34.38,33.31,33.35,182900
2022-06-10,32.48,32.86,31.88,32.26,270300
2022-06-13,31.15,31.62,30.58,30.94,287300
2022-06-14,30.98,31.95,30.58,31.24,329100
2022-06-15,31.79,31.92,30.44,30.78,289800
2022-06-16,29.95,30.18,28.56,28.59,503300
2022-06-17,29.1,29.61,28.28,29.59,812500
2022-06-21,30.55,30.75,29.59,30.3,486900
2022-06-22,29.32,29.93,29.12,29.35,311200
2022-06-23,29.4,29.59,27.73,28.54,266500
2022-06-24,28.81,30.14,28.74,29.57,483400
2022-06-27,29.89,29.91,28.89,29.52,260400
2022-06-28,29.99,30.5,28.74,28.9,385700
2022-06-29,28.9,29.4,27.0,27.71,461000
2022-06-30,27.16,28.19,26.62,27.91,447500
2022-07-01,27.4,27.9,26.74,27.4,264200
2022-07-05,26.58,26.58,25.21,26.11,751500
2022-07-06,25.9,26.24,24.76,25.35,344600
2022-07-07,26.0,26.75,25.79,26.05,234200
2022-07-08,26.05,26.68,25.19,26.09,338800
2022-07-11,25.56,26.29,25.55,26.05,261900
2022-07-12,25.96,27.42,25.59,27.06,288800
2022-07-13,26.8,27.65,26.65,27.55,183300
2022-07-14,26.73,27.55,26.63,27.48,219700
2022-07-15,28.17,28.22,27.17,27.62,211900
2022-07-18,28.35,28.96,27.68,27.9,209500
2022-07-19,28.1,29.48,28.1,29.16,205800
2022-07-20,29.16,29.58,28.85,29.24,220900
2022-07-21,28.54,28.96,27.87,28.95,300800
2022-07-22,29.12,29.12,27.84,28.21,209900
2022-07-25,28.61,29.04,28.19,28.96,186200
2022-07-26,28.64,29.01,28.48,28.86,204600
2022-07-27,29.02,29.8,28.67,29.67,356900
2022-07-28,30.61,31.59,29.75,31.12,385200
2022-07-29,31.52,32.43,31.16,32.14,461800
2022-08-01,31.94,33.07,31.63,33.01,398800
2022-08-02,32.94,33.29,32.26,32.78,296500
2022-08-03,33.06,33.44,32.18,33.12,246300
2022-08-04,33.21,34.44,32.81,33.72,277500
2022-08-05,33.36,35.17,33.36,34.06,266300
2022-08-08,34.36,35.12,33.35,33.5,303700
2022-08-09,33.21,33.7,32.95,33.67,255700
2022-08-10,34.45,35.2,33.95,35.08,799400
2022-08-11,35.74,36.87,35.51,36.49,531700
2022-08-12,36.46,37.87,36.37,37.3,371700
2022-08-15,36.53,37.34,35.61,37.32,417800
2022-08-16,37.51,39.36,36.96,39.05,367400
2022-08-17,38.25,38.25,37.01,37.56,164600
2022-08-18,37.47,38.67,37.47,38.46,219700
2022-08-19,37.94,38.23,37.22,38.16,291200
2022-08-22,37.21,37.21,36.11,36.36,221100
