Date,Open,High,Low,Close,Volume
2021-09-28,120.63,120.71,117.67,117.84,189600
2021-09-29,118.47,119.75,117.04,118.41,229900
2021-09-30,119.49,119.49,115.37,115.38,146600
2021-10-01,116.43,118.68,115.19,118.12,391100
2021-10-04,118.02,120.06,117.25,119.76,246600
2021-10-05,120.19,120.49,118.4,119.07,146200
2021-10-06,117.56,118.39,114.93,118.22,176800
2021-10-07,118.98,120.9,118.61,119.01,232000
2021-10-08,118.71,119.78,118.01,118.21,126300
2021-10-11,117.89,118.8,116.61,116.64,143000
2021-10-12,116.62,117.28,115.18,115.56,185000
2021-10-13,115.3,116.35,114.41,116.17,182700
2021-10-14,117.51,119.06,116.98,118.64,160900
2021-10-15,120.78,120.78,116.15,116.23,283300
2021-10-18,115.42,118.29,115.27,117.79,242400
2021-10-19,118.43,118.66,116.59,117.69,123200
2021-10-20,117.83,119.75,117.27,119.16,115000
2021-10-21,119.21,120.71,119.01,120.67,164700
2021-10-22,121.21,122.96,121.0,121.13,181000
2021-10-25,121.03,122.04,120.25,121.37,148300
2021-10-26,121.48,121.88,120.1,120.13,193400
2021-10-27,119.54,120.09,116.33,116.52,189800
2021-10-28,121.55,125.46,120.82,124.45,341000
2021-10-29,124.54,126.7,121.43,121.49,258100
2021-11-01,122.31,123.58,122.3,123.13,334400
2021-11-02,123.75,124.25,121.95,122.72,165500
2021-11-03,121.81,123.66,119.96,123.07,235300
2021-11-04,123.97,126.83,123.45,126.83,222700
2021-11-05,128.84,132.91,127.99,132.25,345700
2021-11-08,134.85,135.98,129.82,130.19,246900
2021-11-09,130.55,131.76,130.01,131.52,181200
2021-11-10,131.55,132.0,129.71,130.6,137500
2021-11-11,130.44,130.74,129.51,129.96,117900
2021-11-12,130.75,130.75,129.45,130.08,85600
2021-11-15,131.3,131.3,127.82,129.05,139500
2021-11-16,128.81,131.42,128.09,129.92,152500
2021-11-17,130.11,130.11,126.72,128.56,157900
2021-11-18,128.61,128.98,127.18,128.66,189100
2021-11-19,128.0,130.08,127.62,129.43,146800
2021-11-22,130.23,132.73,129.29,130.64,177500
2021-11-23,130.62,131.32,129.41,131.08,156000
2021-11-24,130.65,131.34,128.27,128.62,177300
2021-11-26,123.97,124.65,120.95,122.62,238100
2021-11-29,124.74,124.74,121.51,121.96,227300
2021-11-30,120.68,121.61,118.22,119.34,445100
2021-12-01,121.84,122.72,119.43,119.51,340500
2021-12-02,120.39,124.96,120.39,124.3,184800
2021-12-03,124.28,124.28,121.68,123.82,173400
2021-12-06,125.0,127.05,124.86,125.18,250700
2021-12-07,126.63,128.14,125.94,126.75,217700
2021-12-08,126.7,129.05,126.27,128.91,191600
2021-12-09,127.89,128.2,126.14,126.18,177100
2021-12-10,127.1,127.1,124.94,126.09,145600
2021-12-13,125.21,126.14,123.82,124.96,214800
2021-12-14,124.95,125.39,121.96,122.86,252900
2021-12-15,123.22,123.94,121.11,123.54,284500
2021-12-16,125.18,125.48,122.97,123.57,362200
2021-12-17,122.62,124.09,120.08,121.5,547900
2021-12-20,120.05,120.05,116.3,118.31,245300
2021-12-21,119.28,122.74,119.07,122.52,191800
2021-12-22,123.0,124.72,122.28,124.46,168200
