Date,Open,High,Low,Close,Volume
2021-09-23,77.17,77.62,75.66,75.91,160900
2021-09-24,75.94,75.97,74.51,75.4,327700
2021-09-27,75.4,77.54,75.37,76.93,196300
2021-09-28,76.74,77.17,75.18,75.42,132000
2021-09-29,75.41,76.19,74.24,75.18,201800
2021-09-30,75.73,76.16,74.29,74.89,172100
2021-10-01,75.15,76.12,74.24,75.62,263400
2021-10-04,75.12,75.98,73.69,75.54,226200
2021-10-05,75.34,76.15,74.61,75.29,214200
2021-10-06,74.99,75.03,72.91,73.65,285400
2021-10-07,73.97,74.29,71.86,72.3,308200
2021-10-08,72.47,74.02,71.92,72.51,179800
2021-10-11,72.51,72.96,71.18,71.3,207800
2021-10-12,71.58,72.69,71.18,72.39,156600
2021-10-13,72.14,73.1,71.76,72.27,163900
2021-10-14,72.9,73.85,72.25,72.73,152400
2021-10-15,73.78,74.08,72.17,72.84,175700
2021-10-18,72.53,73.92,71.43,73.74,277700
2021-10-19,74.18,74.43,72.9,73.87,197000
2021-10-20,74.23,74.96,71.39,72.09,482500
2021-10-21,72.32,73.58,71.2,73.47,603400
2021-10-22,73.5,74.06,71.83,72.15,296800
2021-10-25,72.4,72.94,69.08,69.43,536500
2021-10-26,69.44,70.69,68.29,70.32,513100
2021-10-27,70.24,70.74,68.73,69.25,428500
2021-10-28,73.74,76.18,71.33,76.18,1024100
2021-10-29,75.09,78.68,74.45,78.01,533900
2021-11-01,78.38,78.72,77.05,78.28,305900
2021-11-02,78.28,78.28,74.96,75.78,282400
2021-11-03,75.34,78.65,74.83,78.34,329900
2021-11-04,78.81,79.03,77.2,77.37,140000
2021-11-05,77.86,83.56,77.86,83.13,426200
2021-11-08,83.15,83.22,81.26,81.52,208200
2021-11-09,81.39,82.68,80.11,82.25,190900
2021-11-10,81.83,82.55,81.0,81.3,155200
2021-11-11,81.59,83.19,80.53,81.95,219400
2021-11-12,81.26,83.36,81.26,82.16,131300
2021-11-15,81.75,83.24,80.97,81.4,255900
2021-11-16,81.24,82.29,79.98,81.56,210300
2021-11-17,81.23,82.85,80.95,82.09,195100
2021-11-18,81.9,82.15,79.97,82.01,282400
2021-11-19,81.57,82.09,79.96,80.34,240200
2021-11-22,80.9,82.74,80.31,82.16,171100
2021-11-23,81.77,82.49,81.22,81.66,151600
2021-11-24,81.28,81.53,80.39,81.16,202700
2021-11-26,79.32,80.6,76.79,77.75,258000
2021-11-29,78.61,78.9,77.13,77.2,200200
2021-11-30,77.14,78.27,76.02,76.33,269100
2021-12-01,77.81,78.85,74.8,74.83,194100
2021-12-02,74.79,76.71,74.61,76.41,232500
2021-12-03,76.77,76.91,71.01,75.51,194900
2021-12-06,76.71,78.44,76.17,78.13,252000
2021-12-07,78.92,80.72,77.67,79.74,171700
2021-12-08,79.97,80.92,79.03,80.29,152700
2021-12-09,79.66,80.96,78.21,78.29,130000
2021-12-10,78.95,79.93,75.56,79.22,167500
2021-12-13,78.52,79.71,78.22,78.6,179800
2021-12-14,78.74,79.49,78.01,79.01,187900
2021-12-15,78.9,78.97,76.76,78.01,350100
2021-12-16,78.5,79.33,75.67,76.09,208100
2021-12-17,76.13,79.63,75.0,77.89,1568100
2021-12-20,77.04,79.9,74.77,77.04,260200
2021-12-21,78.02,80.64,77.77,80.14,207200
2021-12-22,78.98,82.53,78.98,82.14,254100
2021-12-23,82.12,82.51,81.33,81.8,161100
2021-12-27,81.78,84.28,81.0,84.14,265900
2021-12-28,84.24,85.37,83.82,85.07,250400
2021-12-29,85.04,85.46,83.84,85.08,172000
2021-12-30,84.84,85.94,83.54,83.71,117000
2021-12-31,83.55,84.21,82.95,83.96,169500
2022-01-03,83.81,86.4,83.22,85.27,224100
2022-01-04,85.34,86.7,82.88,83.86,173500
2022-01-05,84.39,85.5,82.96,83.07,183500
2022-01-06,82.6,83.77,81.58,81.77,196600
2022-01-07,81.74,83.0,80.27,80.29,180100
2022-01-10,79.59,81.18,77.96,80.99,172800
2022-01-11,80.88,81.8,79.83,80.63,164200
2022-01-12,80.94,81.08,78.22,78.41,177700
2022-01-13,78.8,81.45,77.95,80.28,133700
2022-01-14,79.92,80.62,78.19,80.43,151200
2022-01-18,79.92,80.68,76.96,77.39,194300
2022-01-19,77.92,78.79,75.66,76.0,172600
2022-01-20,76.04,78.96,75.58,75.89,121100
2022-01-21,75.89,78.0,74.55,75.52,190200
2022-01-24,74.56,77.26,73.63,77.0,505900
2022-01-25,76.72,76.72,74.12,75.12,322600
2022-01-26,75.91,77.11,73.13,74.0,282200
2022-01-27,73.38,74.58,72.54,73.41,291100
2022-01-28,73.23,74.0,72.01,73.99,304500
2022-01-31,73.49,75.59,73.49,75.43,305000
2022-02-01,75.15,75.99,73.5,74.57,340700
2022-02-02,75.04,75.49,73.5,74.32,229800
2022-02-03,73.92,75.14,72.33,73.43,216800
2022-02-04,73.38,73.5,70.59,72.89,180500
2022-02-07,72.57,73.22,70.73,70.96,215000
2022-02-08,71.49,73.65,70.66,73.17,171200
2022-02-09,73.66,75.47,73.38,74.99,208500
2022-02-10,76.0,80.99,74.93,78.98,538400
2022-02-11,79.56,79.82,77.12,78.05,235800
2022-02-14,77.88,79.45,76.73,77.57,279200
2022-02-15,78.09,80.87,77.78,80.57,177000
2022-02-16,80.0,81.07,78.74,80.95,144300
2022-02-17,80.12,80.91,79.34,79.92,170200
2022-02-18,79.35,81.12,79.35,79.79,198000
2022-02-22,79.09,80.65,78.22,78.96,165800
2022-02-23,79.05,79.61,77.52,77.75,138900
2022-02-24,75.9,79.78,75.9,79.51,145400
2022-02-25,79.55,82.44,79.08,82.19,158500
2022-02-28,81.13,84.57,81.13,84.04,241700
2022-03-01,83.57,84.19,81.3,82.86,273800
2022-03-02,83.53,84.76,83.09,84.5,217600
2022-03-03,85.0,85.94,84.12,84.98,224100
2022-03-04,84.47,85.78,83.64,85.39,119300
2022-03-07,85.94,86.89,84.7,85.99,232000
2022-03-08,86.0,88.44,85.63,87.44,227500
2022-03-09,88.82,88.82,86.76,87.46,296600
2022-03-10,86.7,86.7,84.71,85.99,156200
2022-03-11,86.04,86.27,84.75,84.82,182400
2022-03-14,84.84,85.61,83.2,83.61,189100
2022-03-15,83.91,85.21,83.22,84.64,215900
2022-03-16,85.14,86.7,83.94,86.51,218900
2022-03-17,86.0,87.87,85.52,87.81,181500
2022-03-18,87.97,88.1,86.26,87.02,387500
2022-03-21,86.77,88.69,86.77,87.34,175600
2022-03-22,87.5,87.75,86.81,87.23,132500
2022-03-23,87.11,87.11,84.48,85.13,170500
2022-03-24,85.19,85.78,84.07,85.43,181400
2022-03-25,86.06,86.72,85.41,86.51,172800
2022-03-28,86.35,87.22,86.35,87.04,105700
2022-03-29,87.54,89.5,87.28,88.91,220200
2022-03-30,88.97,89.6,87.92,89.35,213900
2022-03-31,88.94,91.02,88.94,90.01,507500
2022-04-01,89.79,94.25,89.79,94.23,385400
2022-04-04,94.08,94.08,88.3,89.98,833700
2022-04-05,90.45,91.78,88.64,89.14,299500
2022-04-06,88.68,89.5,87.79,88.0,225500
2022-04-07,88.14,88.83,87.77,88.05,294000
2022-04-08,88.18,88.91,86.96,87.0,237200
2022-04-11,87.06,88.64,85.4,85.42,238000
2022-04-12,82.98,85.46,80.48,82.41,476900
2022-04-13,83.01,84.95,82.07,84.45,287400
2022-04-14,84.95,85.72,84.36,85.35,223500
2022-04-18,85.41,86.11,83.5,83.93,352200
2022-04-19,84.21,86.3,83.24,84.82,173700
2022-04-20,85.56,87.53,85.34,87.05,286900
2022-04-21,87.57,88.78,86.81,87.3,229200
2022-04-22,86.64,86.64,80.61,81.18,316500
2022-04-25,81.15,84.06,80.43,83.79,378400
2022-04-26,83.03,83.67,82.08,82.84,345600
2022-04-27,83.11,84.14,80.67,81.5,546900
2022-04-28,82.81,83.75,78.84,81.97,401800
2022-04-29,81.25,83.53,79.59,80.33,332600
2022-05-02,80.07,83.56,77.55,79.1,294200
2022-05-03,79.65,79.65,78.04,78.4,244400
2022-05-04,79.01,79.59,77.22,78.94,304500
2022-05-05,78.25,79.23,77.11,77.76,342400
2022-05-06,77.45,78.09,74.95,75.98,368400
2022-05-09,75.5,77.54,74.47,76.74,389200
2022-05-10,77.14,78.18,75.83,77.45,213300
2022-05-11,77.59,78.82,76.11,76.35,216700
2022-05-12,76.16,77.94,75.46,77.87,189100
2022-05-13,78.19,79.59,77.68,78.8,232000
2022-05-16,78.38,79.22,77.91,78.62,149300
2022-05-17,79.53,81.94,79.13,81.54,190200
2022-05-18,80.72,81.22,78.4,79.12,249900
2022-05-19,78.62,80.19,78.24,78.93,178300
2022-05-20,79.19,80.05,76.93,79.03,211900
2022-05-23,79.92,80.94,77.81,79.43,326400
2022-05-24,79.32,79.32,77.18,78.55,237200
2022-05-25,78.6,80.22,78.0,79.47,169500
2022-05-26,80.11,81.51,78.09,80.6,195200
2022-05-27,81.31,82.47,79.6,82.41,163600
2022-05-31,81.86,82.61,80.85,81.17,231900
2022-06-01,81.71,81.71,77.94,78.14,235300
2022-06-02,78.02,80.39,77.37,80.26,143600
2022-06-03,79.81,80.3,79.06,79.21,143700
2022-06-06,79.85,80.01,78.74,79.53,154900
2022-06-07,78.74,80.37,78.57,79.83,152100
2022-06-08,79.73,80.64,76.19,76.5,219100
2022-06-09,76.23,77.21,75.64,76.27,164900
2022-06-10,75.11,76.5,75.11,75.87,130300
2022-06-13,74.39,75.2,73.27,73.65,198600
2022-06-14,74.13,74.13,71.81,72.77,299400
2022-06-15,73.32,74.36,72.5,73.51,233100
2022-06-16,72.23,72.81,71.24,72.79,240400
2022-06-17,74.63,75.92,73.97,74.0,463100
2022-06-21,74.51,75.34,70.88,71.06,409600
2022-06-22,70.75,72.31,70.29,71.84,213300
2022-06-23,72.01,73.04,71.89,72.92,156800
2022-06-24,73.67,75.39,73.67,75.25,352100
2022-06-27,75.57,76.66,74.86,75.91,149700
2022-06-28,76.03,76.84,73.83,73.92,154900
2022-06-29,73.89,75.68,73.39,75.58,149600
2022-06-30,74.52,75.3,72.99,73.47,286900
2022-07-01,73.62,76.22,72.57,75.69,209700
2022-07-05,74.89,75.36,73.02,75.25,273800
2022-07-06,75.83,75.96,73.53,74.24,224200
2022-07-07,74.79,75.88,73.49,75.1,144200
2022-07-08,74.75,75.94,74.45,75.06,136100
2022-07-11,74.63,74.67,73.28,73.47,169900
2022-07-12,73.27,74.48,72.87,73.87,192500
2022-07-13,72.86,74.02,72.51,73.69,133800
2022-07-14,72.73,73.76,71.72,73.63,117600
2022-07-15,75.11,75.79,74.2,75.33,173100
2022-07-18,75.39,76.08,74.46,74.52,156000
2022-07-19,75.39,76.93,75.39,76.02,215500
2022-07-20,76.36,76.75,75.81,76.46,193900
2022-07-21,76.6,78.05,72.53,78.03,199800
2022-07-22,78.36,79.55,77.66,78.77,190100
2022-07-25,78.92,79.46,78.38,78.77,108800
2022-07-26,78.77,79.78,78.12,79.69,98400
2022-07-27,79.29,80.23,78.81,79.54,157000
2022-07-28,79.59,80.12,78.1,79.95,135000
2022-07-29,79.56,79.97,78.23,79.69,149800
2022-08-01,80.4,82.13,79.77,81.87,272200
2022-08-02,82.81,88.13,82.41,87.23,283800
2022-08-03,87.4,87.99,85.16,85.97,247100
2022-08-04,86.16,86.34,83.54,83.87,170600
2022-08-05,83.55,85.25,83.25,84.87,138400
2022-08-08,84.72,86.35,84.7,85.89,139800
2022-08-09,85.38,86.75,84.62,85.31,163000
2022-08-10,85.8,87.38,85.4,86.75,155500
2022-08-11,86.6,87.63,85.75,86.11,139300
2022-08-12,86.22,87.99,86.22,87.84,107800
2022-08-15,86.92,89.27,86.8,89.27,208500
2022-08-16,88.67,89.66,87.9,88.54,179000
2022-08-17,87.92,90.66,87.52,90.06,277700
2022-08-18,90.0,91.26,89.58,91.24,298000
2022-08-19,90.72,91.54,89.92,90.71,206800
2022-08-22,89.91,90.73,88.49,89.74,163700
2022-08-23,89.42,90.71,89.38,89.42,165500
2022-08-24,89.16,89.96,89.03,89.59,113900
2022-08-25,89.8,91.05,89.44,90.5,184100
2022-08-26,90.33,90.33,86.54,86.93,183200
2022-08-29,86.8,87.24,85.31,87.03,165900
2022-08-30,87.03,87.11,84.39,84.69,173800
2022-08-31,85.08,86.24,84.14,85.3,157300
2022-09-01,85.04,85.27,82.75,84.01,406300
2022-09-02,84.22,84.37,81.78,82.48,214500
2022-09-06,82.75,83.78,82.51,83.48,264300
2022-09-07,83.19,87.14,83.19,86.96,233000
2022-09-08,86.51,87.8,86.21,86.76,157600
2022-09-09,87.06,88.04,86.49,87.12,157400
2022-09-12,87.52,88.55,86.6,87.17,293100
2022-09-13,86.16,87.58,84.08,84.38,209800
2022-09-14,84.1,85.17,83.42,84.33,209000
2022-09-15,85.5,88.02,84.62,84.95,284100
2022-09-16,84.98,85.25,83.77,84.77,807400
2022-09-19,83.92,86.45,83.35,86.41,274400
2022-09-20,86.14,86.14,84.19,85.64,245900
2022-09-21,85.97,87.79,85.74,86.34,306500
2022-09-22,86.02,86.02,83.49,84.02,280000
2022-09-23,83.54,83.54,79.18,79.64,527500
2022-09-26,79.64,81.03,79.32,80.62,201600
2022-09-27,80.95,81.15,78.84,79.55,175100
2022-09-28,80.09,81.47,79.23,81.0,255500
2022-09-29,80.39,81.12,79.17,80.95,248700
2022-09-30,81.25,82.0,79.42,79.5,401800
2022-10-03,81.11,82.04,79.49,81.45,295200
2022-10-04,82.1,83.84,81.59,83.28,293000
2022-10-05,82.59,84.61,81.79,84.12,413700
2022-10-06,83.71,85.05,83.33,83.93,333900
2022-10-07,83.09,83.77,81.9,82.5,337000
2022-10-10,82.82,85.49,82.41,85.38,332800
2022-10-11,84.98,86.16,84.34,85.34,361100
2022-10-12,85.25,85.25,83.43,83.57,191500
2022-10-13,82.41,85.57,81.17,85.48,364100
2022-10-14,86.66,86.69,82.84,82.9,262800
2022-10-17,84.21,86.7,83.52,86.34,221000
2022-10-18,87.74,88.54,85.11,85.36,276600
2022-10-19,85.16,85.95,83.61,84.7,249900
2022-10-20,84.7,85.4,83.81,84.46,327400
2022-10-21,83.82,85.7,82.21,85.51,288000
2022-10-24,86.15,87.76,85.55,87.54,267700
2022-10-25,87.5,89.17,87.1,88.18,229300
2022-10-26,89.22,91.04,88.4,90.09,433100
2022-10-27,91.08,91.1,86.33,86.51,358200
2022-10-28,86.89,90.47,86.02,89.96,349000
2022-10-31,89.52,91.43,89.18,89.78,241800
2022-11-01,90.77,92.39,89.78,91.69,320500
2022-11-02,91.84,93.66,90.54,90.67,241800
2022-11-03,90.3,91.65,89.02,91.25,227300
2022-11-04,91.92,92.25,89.59,91.24,138700
2022-11-07,91.6,92.54,90.84,92.01,181500
2022-11-08,92.15,92.81,91.05,91.73,142000
2022-11-09,91.6,92.07,89.6,90.04,139200
2022-11-10,92.09,95.0,91.44,94.88,230400
2022-11-11,95.0,95.14,90.61,92.32,273900
2022-11-14,91.49,93.51,90.77,91.85,181200
2022-11-15,92.53,93.92,91.13,91.9,161100
2022-11-16,91.91,92.45,90.4,91.32,173600
2022-11-17,90.73,91.93,89.65,91.76,119700
2022-11-18,93.08,94.45,91.76,92.5,207000
2022-11-21,92.9,93.88,92.21,93.38,196100
2022-11-22,94.08,94.75,93.17,94.24,200700
2022-11-23,94.56,94.82,92.22,92.93,171500
2022-11-25,93.4,94.31,93.28,94.12,68900
2022-11-28,93.55,94.34,92.09,92.71,152800
2022-11-29,92.78,93.88,92.48,93.23,122400
2022-11-30,92.92,95.06,91.92,95.0,277900
2022-12-01,95.78,96.51,94.18,94.35,192000
2022-12-02,94.09,95.31,90.6,94.28,200300
2022-12-05,93.83,93.83,91.07,91.7,237400
2022-12-06,92.03,92.33,90.38,91.53,174800
2022-12-07,91.89,92.92,91.6,92.1,167300
2022-12-08,91.96,93.89,91.85,93.61,176400
2022-12-09,92.82,93.53,90.87,90.87,221700
2022-12-12,91.09,94.27,90.32,92.94,195800
2022-12-13,94.25,94.93,92.97,93.18,242400
2022-12-14,93.68,96.68,93.68,95.44,309500
2022-12-15,94.44,95.79,93.29,95.12,495100
2022-12-16,93.52,95.8,93.43,95.67,1251800
2022-12-19,95.2,96.12,94.47,95.25,258000
2022-12-20,95.54,96.3,94.92,95.32,228700
2022-12-21,96.18,97.42,96.12,96.79,194300
2022-12-22,96.52,96.72,93.84,94.47,204100
2022-12-23,94.47,95.21,93.73,95.04,150700
2022-12-27,95.05,96.21,94.42,95.26,134500
2022-12-28,95.55,95.91,93.25,93.41,122800
2022-12-29,93.84,95.65,93.42,95.43,159500
2022-12-30,95.27,95.49,93.64,94.61,182100
2023-01-03,95.23,95.69,93.32,94.51,229000
2023-01-04,94.51,96.3,94.37,95.88,245400
2023-01-05,95.88,95.88,94.19,94.19,247200
2023-01-06,95.43,98.1,94.59,96.08,256100
2023-01-09,96.0,96.49,94.58,94.64,236700
2023-01-10,94.69,95.0,93.32,94.19,245900
2023-01-11,94.11,95.92,93.83,95.73,244500
2023-01-12,96.0,97.85,95.17,97.75,196600
2023-01-13,97.5,99.52,97.5,98.53,207100
2023-01-17,98.29,98.29,93.64,94.63,268300
2023-01-18,94.73,95.23,92.69,93.67,260600
2023-01-19,94.14,94.93,93.42,93.66,195400
2023-01-20,94.11,94.51,92.24,93.16,318400
2023-01-23,93.41,94.46,92.07,93.12,256300
2023-01-24,93.18,93.18,91.0,91.12,206000
2023-01-25,90.75,91.82,90.18,91.8,193200
2023-01-26,92.4,92.8,91.46,92.07,169400
2023-01-27,91.74,91.89,90.31,91.38,265500
2023-01-30,91.28,91.95,90.7,91.7,237500
2023-01-31,92.61,93.25,91.37,93.25,269200
2023-02-01,93.34,94.51,92.1,93.99,272200
2023-02-02,93.86,94.21,92.88,93.98,388700
2023-02-03,95.08,95.98,91.81,92.4,397700
2023-02-06,92.5,93.05,89.82,90.36,278900
2023-02-07,90.26,90.26,88.56,89.86,224700
2023-02-08,89.5,90.0,88.62,89.82,230500
2023-02-09,90.2,90.5,88.93,89.0,186900
2023-02-10,89.08,90.97,88.77,90.47,223200
2023-02-13,90.54,92.09,90.54,91.2,167500
2023-02-14,91.0,91.5,89.49,90.09,156100
2023-02-15,89.44,91.55,88.87,91.28,200700
2023-02-16,90.89,93.3,90.39,92.54,302300
2023-02-17,92.84,93.61,91.27,91.32,292900
2023-02-21,90.42,91.19,89.76,90.65,174400
2023-02-22,91.02,91.93,90.23,90.48,221200
2023-02-23,90.45,91.68,87.93,89.73,235600
2023-02-24,89.4,90.49,88.49,89.83,219400
2023-02-27,90.03,90.93,89.96,90.63,274400
2023-02-28,90.64,90.89,89.4,89.48,466400
2023-03-01,89.0,90.62,89.0,90.48,236600
2023-03-02,90.49,90.83,90.07,90.82,204800
2023-03-03,91.05,91.59,90.44,91.45,300200
2023-03-06,90.99,90.99,89.47,90.27,379300
2023-03-07,90.13,90.13,88.01,88.18,298400
2023-03-08,88.16,88.75,87.68,88.65,254100
2023-03-09,89.11,89.22,88.19,88.86,203200
2023-03-10,88.7,89.71,87.13,87.59,243800
2023-03-13,86.72,88.72,85.5,86.76,202500
2023-03-14,88.13,89.5,87.77,89.35,257000
2023-03-15,87.99,88.61,86.67,88.24,252900
2023-03-16,87.37,90.22,87.37,89.65,216000
2023-03-17,89.31,91.45,88.78,90.28,728100
2023-03-20,90.7,91.89,90.7,91.6,337700
2023-03-21,91.94,92.84,91.05,91.76,282600
2023-03-22,91.46,91.76,89.18,89.32,273600
2023-03-23,89.18,90.01,87.55,87.83,179300
2023-03-24,87.45,90.76,87.35,90.69,242900
2023-03-27,91.35,92.32,90.81,91.57,140800
2023-03-28,91.23,92.01,90.63,91.91,176900
2023-03-29,92.44,92.74,90.44,91.59,438400
2023-03-30,92.01,93.23,91.57,93.01,449900
2023-03-31,93.62,95.62,93.27,95.54,592700
2023-04-03,95.57,97.75,94.76,95.16,802800
2023-04-04,95.27,96.01,94.39,94.83,344800
2023-04-05,94.88,97.47,94.46,97.3,338900
2023-04-06,97.85,98.1,96.71,97.23,200300
2023-04-10,96.92,99.07,96.86,98.41,322900
2023-04-11,98.62,100.29,98.56,99.12,500600
2023-04-12,99.51,100.3,98.02,98.16,343700
2023-04-13,98.74,98.87,97.78,98.4,282300
2023-04-14,98.4,98.86,97.62,98.47,217000
2023-04-17,98.37,98.58,97.57,98.31,274900
2023-04-18,98.59,98.96,97.37,98.13,184800
2023-04-19,98.29,98.67,97.54,98.33,180600
2023-04-20,98.05,98.42,97.1,98.41,184100
2023-04-21,98.65,99.73,98.08,99.02,185200
2023-04-24,98.87,100.06,98.76,99.96,228900
2023-04-25,99.63,102.26,99.38,101.89,487400
2023-04-26,101.02,101.83,99.63,99.71,515300
2023-04-27,98.26,99.55,95.76,96.13,578400
2023-04-28,95.79,97.46,94.92,97.09,494400
2023-05-01,97.32,98.75,96.83,97.25,263800
2023-05-02,96.59,96.62,93.98,95.05,313200
2023-05-03,95.65,96.55,93.39,93.73,468400
2023-05-04,93.25,94.85,90.32,92.39,440800
2023-05-05,93.25,94.27,92.39,92.48,340400
2023-05-08,92.5,93.07,91.03,92.64,246900
2023-05-09,92.61,92.88,91.81,91.81,275500
2023-05-10,92.27,92.95,91.4,92.46,164300
2023-05-11,92.2,92.59,91.0,92.56,208900
2023-05-12,92.89,93.31,91.48,91.88,111700
2023-05-15,91.33,92.13,90.75,92.03,168000
2023-05-16,91.5,92.39,90.84,91.25,169200
2023-05-17,91.75,91.75,89.6,91.29,256100
2023-05-18,90.99,91.26,89.75,90.85,256800
2023-05-19,91.62,92.28,90.67,91.86,303800
2023-05-22,91.85,92.99,91.35,91.96,147400
2023-05-23,91.86,91.87,90.64,91.73,258800
2023-05-24,91.52,92.14,90.74,91.82,372000
2023-05-25,91.25,91.43,88.4,88.91,265500
2023-05-26,88.7,89.44,88.12,88.57,246000
2023-05-30,88.41,89.56,87.6,88.05,200500
2023-05-31,88.08,89.45,87.2,88.61,526600
2023-06-01,88.41,89.18,87.14,88.47,216200
2023-06-02,89.46,91.93,89.46,91.61,252800
2023-06-05,91.14,92.46,90.86,91.55,251700
2023-06-06,91.81,93.6,91.12,93.38,297300
2023-06-07,93.58,95.17,92.55,94.12,301600
2023-06-08,93.78,93.8,92.06,93.15,163400
2023-06-09,92.86,93.43,92.5,92.86,112600
2023-06-12,92.66,93.72,92.2,93.43,178400
2023-06-13,93.32,94.32,92.92,93.13,208700
2023-06-14,93.26,93.86,91.87,92.67,289200
2023-06-15,92.87,94.7,91.59,94.6,254200
2023-06-16,95.74,95.74,93.39,94.55,864200
2023-06-20,94.34,94.6,93.72,94.38,270500
2023-06-21,94.21,94.21,92.64,93.52,255900
2023-06-22,93.56,93.56,92.37,92.59,211800
2023-06-23,92.1,92.72,90.26,90.91,445100
2023-06-26,91.11,92.59,90.76,91.9,181800
2023-06-27,91.72,94.2,91.72,93.4,157600
2023-06-28,93.27,94.08,92.75,94.04,146500
2023-06-29,93.97,96.1,93.47,95.35,248100
2023-06-30,95.55,96.2,95.42,95.46,205300
2023-07-03,95.01,95.34,93.35,93.89,92500
2023-07-05,93.58,93.66,91.33,91.79,398100
2023-07-06,90.92,91.57,89.44,90.63,393500
2023-07-07,90.63,91.02,89.01,89.03,320800
2023-07-10,89.03,90.49,88.93,89.3,327600
2023-07-11,89.11,89.84,88.79,89.68,249200
2023-07-12,90.12,90.13,88.93,89.51,299400
2023-07-13,89.63,90.27,89.47,89.84,245400
2023-07-14,89.9,91.29,89.66,91.2,160000
2023-07-17,91.01,91.57,89.93,89.94,220600
2023-07-18,90.16,91.3,89.44,89.76,189300
2023-07-19,90.05,92.64,90.05,92.3,384500
2023-07-20,92.68,93.82,92.18,92.75,326500
2023-07-21,93.1,95.04,92.82,93.38,314000
2023-07-24,93.53,93.57,91.89,92.6,190600
2023-07-25,92.08,93.38,91.38,93.35,207700
2023-07-26,93.21,93.83,91.59,91.75,197700
2023-07-27,91.0,91.85,89.79,90.39,443200
2023-07-28,91.9,94.15,90.79,93.05,490800
2023-07-31,93.11,97.0,92.64,96.87,577800
2023-08-01,96.0,97.82,93.16,94.7,292200
2023-08-02,93.98,97.1,93.98,97.0,371900
2023-08-03,96.92,98.78,96.49,98.5,345500
2023-08-04,98.6,98.6,96.37,96.94,412300
2023-08-07,97.27,97.94,96.54,97.02,233000
2023-08-08,96.41,97.19,95.99,96.97,176000
2023-08-09,97.14,97.35,95.91,97.22,187400
2023-08-10,97.74,98.1,97.28,97.72,181800
2023-08-11,97.5,98.24,97.22,98.1,113900
2023-08-14,97.6,98.81,97.47,98.3,142600
2023-08-15,98.02,98.51,96.7,97.91,179100
2023-08-16,97.95,98.77,97.59,98.0,304400
2023-08-17,97.96,98.5,96.07,96.37,291000
2023-08-18,96.19,97.52,96.18,96.99,184300
2023-08-21,96.79,97.33,95.38,96.54,191800
2023-08-22,96.42,97.6,96.42,97.1,136100
2023-08-23,97.51,98.2,97.28,97.56,141900
2023-08-24,97.31,98.32,97.24,97.32,194100
2023-08-25,97.43,98.16,96.82,98.15,109200
2023-08-28,98.09,99.27,97.83,98.1,173800
2023-08-29,97.84,98.3,96.87,98.14,160000
2023-08-30,97.78,102.21,97.78,101.77,401500
2023-08-31,101.9,104.04,99.95,100.22,541500
2023-09-01,100.46,102.0,98.82,99.13,539500
2023-09-05,99.2,99.56,94.11,95.57,433000
2023-09-06,95.9,96.59,94.67,95.41,197500
2023-09-07,95.0,96.54,95.0,96.18,164800
2023-09-08,96.4,96.4,94.86,96.01,234300
2023-09-11,96.01,96.1,94.32,94.43,239500
2023-09-12,94.23,94.89,93.47,93.67,219200
2023-09-13,93.62,94.08,91.44,93.81,415200
2023-09-14,94.24,94.95,92.92,93.28,371500
2023-09-15,93.0,93.95,91.68,92.98,977300
2023-09-18,92.83,93.95,92.69,93.81,192200
2023-09-19,93.91,94.2,92.4,93.08,164800
2023-09-20,93.2,94.47,93.2,94.21,133400
2023-09-21,94.03,94.4,93.2,93.45,206600
2023-09-22,93.21,93.95,92.89,93.6,176100
2023-09-25,92.92,94.2,92.92,94.11,158300
2023-09-26,93.82,94.37,92.68,92.74,206600
2023-09-27,92.78,93.5,91.36,92.59,182500
2023-09-28,92.81,94.31,92.81,93.97,280600
2023-09-29,94.11,94.47,92.5,92.93,416800
2023-10-02,92.5,92.58,90.97,92.04,285000
2023-10-03,91.26,92.19,90.53,90.62,178000
2023-10-04,90.81,91.69,90.0,91.38,237200
2023-10-05,91.06,92.14,90.82,91.95,206900
2023-10-06,91.93,93.5,90.78,93.0,280300
2023-10-09,92.9,94.63,91.61,94.3,129900
2023-10-10,94.31,97.0,93.8,96.93,332600
2023-10-11,97.55,97.74,95.45,96.9,293800
2023-10-12,97.16,97.49,94.42,94.52,376100
2023-10-13,95.04,96.21,94.75,95.64,298400
2023-10-16,95.62,97.5,95.62,96.26,212000
2023-10-17,96.16,98.9,96.03,97.68,312300
2023-10-18,97.81,99.55,97.07,97.81,215100
2023-10-19,97.73,98.06,96.0,96.44,242100
2023-10-20,96.62,97.52,95.95,96.11,280200
2023-10-23,95.69,96.44,95.15,95.66,276900
2023-10-24,95.75,97.48,95.56,96.7,204000
