Date,Open,High,Low,Close,Volume
2026-06-03,50.0,51.05,50.0,50.05,62417700
2026-06-04,50.2,52.7,50.1,51.85,25390500
2026-06-05,53.5,53.5,50.26,50.99,3918800
2026-06-08,50.99,51.0,50.0,50.63,5037700
2026-06-09,50.85,55.97,49.9,50.69,9725000
2026-06-10,50.88,51.1,49.78,49.85,7588600
2026-06-11,49.89,50.33,48.89,50.25,4658900
2026-06-12,50.64,51.04,49.95,50.41,3138000
2026-06-15,51.03,51.69,51.03,51.35,3482800
2026-06-16,51.49,52.4,51.17,51.82,2116700
2026-06-17,51.76,51.76,50.65,50.87,2402500
2026-06-18,51.22,51.49,50.4,51.45,859800
2026-06-22,50.97,50.97,48.75,49.4,3079400
2026-06-23,48.9,49.47,48.71,49.17,2082200
2026-06-24,49.57,49.9,48.78,49.1,1324200
2026-06-25,48.5,48.97,48.2,48.86,2416800
2026-06-26,49.24,52.0,48.0,48.13,742000
2026-06-29,48.72,49.97,48.72,49.91,3561500
2026-06-30,50.0,50.37,49.64,50.3,21497600
2026-07-01,50.24,50.8,50.15,50.61,5185800
2026-07-02,50.56,50.88,49.8,50.42,7833500
2026-07-06,50.92,51.32,50.21,51.24,10220300
2026-07-07,51.52,51.81,50.95,51.07,1834900
2026-07-08,50.97,51.39,50.13,50.61,605200
2026-07-09,50.12,50.32,49.48,50.31,3293500
2026-07-10,50.3,50.3,49.73,50.14,4404200
2026-07-13,50.27,50.27,49.61,49.67,1568500
2026-07-14,49.68,50.37,49.67,50.27,734100
2026-07-15,50.33,51.84,50.31,51.61,1214500
2026-07-16,52.17,52.17,49.89,50.14,2804500
2026-07-17,49.4,49.51,48.79,49.14,3510300
2026-07-20,49.74,51.46,49.74,49.9,562800
2026-07-21,49.98,49.98,49.33,49.35,2015900
2026-07-22,49.5,49.66,48.89,48.92,816500
2026-07-23,47.51,47.51,46.23,46.81,3080300
2026-07-24,46.61,47.61,46.51,46.74,1728300
2026-07-27,47.39,47.82,47.3,47.42,1473100
2026-07-28,47.64,48.44,47.35,48.29,1987400
2026-07-29,48.58,49.15,48.0,48.64,3410100
2026-07-30,48.39,50.0,47.91,48.49,2460700
2026-07-31,48.13,50.51,48.13,50.2,4031000
2026-08-03,50.76,52.19,50.76,51.88,2262500
2026-08-04,51.6,52.45,51.31,52.23,2799500
2026-08-05,52.59,52.82,50.3,50.81,3178600
2026-08-06,50.81,50.91,50.36,50.48,1258200
2026-08-07,50.36,50.41,50.02,50.08,808300
2026-08-10,50.03,50.35,49.87,50.35,253600
2026-08-11,50.35,50.35,48.98,49.04,1841800
2026-08-12,49.52,49.52,48.7,48.95,279200
2026-08-13,49.35,49.35,48.92,49.13,1350900
2026-08-14,49.2,49.51,48.8,48.97,780900
2026-08-17,49.01,49.07,48.5,48.71,2011100
2026-08-18,48.56,48.76,48.38,48.64,1029000
2026-08-19,48.68,48.84,48.25,48.68,236100
2026-08-20,48.67,48.67,48.05,48.31,1057500
2026-08-21,48.51,48.85,48.37,48.7,204900
2026-08-24,48.7,49.33,48.5,48.88,1286900
2026-08-25,49.19,49.19,48.65,48.79,6709600
2026-08-26,48.79,48.79,48.18,48.37,896000
2026-08-27,48.16,48.35,48.0,48.25,1053600
2026-08-28,48.39,49.02,48.25,48.72,568300
2026-08-31,48.67,48.67,47.67,48.0,405100
2026-09-01,47.89,47.89,47.26,47.47,446000
2026-09-02,47.34,47.95,47.34,47.75,313900
2026-09-03,48.24,48.52,48.1,48.32,371500
2026-09-04,48.3,48.4,47.79,47.94,739400
2026-09-08,47.56,48.05,47.45,47.82,2265100
2026-09-09,47.48,47.48,46.93,47.3,1191900
2026-09-10,46.96,47.53,46.96,47.49,639900
2026-09-11,47.8,48.45,47.77,48.01,679100
2026-09-14,48.17,49.11,48.17,49.02,8610600
2026-09-15,48.72,48.83,48.37,48.63,1330900
2026-09-16,48.86,48.95,48.22,48.43,1677000
2026-09-17,49.43,49.43,48.53,48.89,388000
2026-09-18,49.49,50.0,48.85,48.9,376500
2026-09-21,49.26,49.89,49.23,49.77,881376
