Date,Open,High,Low,Close,Volume
2021-09-22,167.5,169.92,167.0,169.35,787200
2021-09-23,169.73,172.82,169.36,171.81,670100
2021-09-24,170.75,173.29,170.1,172.62,534500
2021-09-27,172.36,172.36,162.28,162.61,1004300
2021-09-28,161.71,161.76,157.1,158.05,1099100
2021-09-29,158.74,160.72,157.74,158.01,644400
2021-09-30,159.0,160.24,155.22,155.46,886300
2021-10-01,156.07,156.29,152.49,155.11,549100
2021-10-04,154.92,155.63,153.64,155.26,893600
2021-10-05,156.0,158.04,153.33,157.28,734000
2021-10-06,155.94,157.37,154.69,156.29,503400
2021-10-07,157.66,159.58,156.05,156.6,812700
2021-10-08,157.2,157.2,154.46,155.46,447500
2021-10-11,155.0,155.78,153.29,153.56,552400
2021-10-12,154.09,155.22,153.33,153.84,361700
2021-10-13,155.2,155.95,154.31,154.77,545600
2021-10-14,156.07,158.16,156.07,157.25,543000
2021-10-15,158.87,158.87,155.71,156.13,740500
2021-10-18,155.59,159.68,155.59,159.4,579300
2021-10-19,159.92,161.0,159.07,159.53,546500
2021-10-20,159.42,162.72,159.31,162.31,707600
2021-10-21,163.05,164.71,161.48,164.0,613100
2021-10-22,164.0,165.84,163.12,165.15,496100
2021-10-25,165.12,165.71,163.87,164.06,502900
2021-10-26,164.81,164.81,159.43,160.3,975800
2021-10-27,158.59,158.59,145.31,146.21,1802300
2021-10-28,145.87,147.59,144.24,145.05,1258000
2021-10-29,144.51,145.23,142.2,143.6,1237400
2021-11-01,144.48,144.77,140.88,141.33,1033300
2021-11-02,142.01,145.31,141.64,144.25,1055700
2021-11-03,144.17,144.6,141.73,143.14,1165300
2021-11-04,143.36,143.84,142.1,142.7,840300
2021-11-05,143.65,144.11,140.72,142.18,905900
2021-11-08,143.04,146.58,143.04,146.46,1105300
2021-11-09,146.1,148.87,143.97,144.94,706700
2021-11-10,144.63,144.63,141.93,143.03,593700
2021-11-11,144.18,144.59,141.93,142.04,591000
2021-11-12,145.16,145.16,142.1,143.08,500400
2021-11-15,143.5,145.49,142.84,145.28,610800
