Date,Open,High,Low,Close,Volume
2021-09-29,22.55,23.24,22.48,22.67,96800
2021-09-30,22.86,23.15,22.72,22.84,167400
2021-10-01,22.98,23.37,22.98,23.26,77200
2021-10-04,23.25,23.52,22.93,23.38,48800
2021-10-05,23.47,23.69,22.99,22.99,62800
2021-10-06,22.8,22.91,22.48,22.84,105800
2021-10-07,23.08,23.55,23.08,23.17,46400
2021-10-08,23.01,23.19,23.0,23.14,30000
2021-10-11,23.14,23.18,22.99,22.99,26400
2021-10-12,22.95,23.45,22.95,23.3,39600
2021-10-13,23.33,23.54,23.04,23.34,75200
2021-10-14,23.75,24.0,23.56,23.9,52000
2021-10-15,24.27,24.27,23.34,23.4,50000
2021-10-18,23.27,23.33,22.97,23.01,52600
2021-10-19,23.69,24.15,23.35,24.01,83800
2021-10-20,24.0,24.19,23.65,24.14,36000
2021-10-21,24.31,24.43,24.1,24.3,22000
2021-10-22,24.37,24.74,24.15,24.48,37000
2021-10-25,23.65,24.83,23.65,24.75,35200
2021-10-26,24.72,25.1,24.22,25.03,65200
2021-10-27,25.0,25.15,24.54,24.75,56000
2021-10-28,25.07,25.07,24.81,24.98,58000
2021-10-29,24.92,25.1,24.76,24.92,44400
2021-11-01,25.09,25.41,25.09,25.25,34600
2021-11-02,25.08,25.58,25.03,25.1,40400
2021-11-03,25.25,25.62,24.97,25.6,50400
2021-11-04,25.59,25.73,25.14,25.51,21400
2021-11-05,25.76,26.7,25.76,26.6,60600
2021-11-08,26.92,27.16,26.66,26.66,41000
2021-11-09,26.65,26.67,26.13,26.18,33000
2021-11-10,26.17,26.8,26.17,26.67,42000
2021-11-11,26.98,27.59,26.76,27.39,83200
2021-11-12,27.42,27.44,26.98,27.15,21000
2021-11-15,27.24,27.39,26.67,26.93,61000
2021-11-16,27.01,27.67,26.77,27.56,56000
2021-11-17,27.5,27.97,27.12,27.6,80000
2021-11-18,27.94,27.94,26.9,27.0,55400
2021-11-19,26.7,27.99,26.59,26.59,34200
2021-11-22,27.07,27.15,26.59,26.72,31400
2021-11-23,26.08,26.95,26.08,26.93,66800
2021-11-24,26.63,26.71,26.37,26.59,16600
2021-11-26,26.04,26.22,25.07,25.47,38800
2021-11-29,25.75,25.83,25.17,25.3,47000
2021-11-30,25.17,25.17,23.92,24.0,74600
2021-12-01,24.58,26.92,23.83,24.1,70200
2021-12-02,24.77,24.89,24.44,24.86,31400
2021-12-03,25.67,25.77,24.17,24.25,50000
2021-12-06,24.15,26.0,24.15,25.17,69400
2021-12-07,25.41,25.99,25.32,25.53,43600
2021-12-08,25.65,25.72,25.17,25.56,26800
2021-12-09,25.28,25.5,25.0,25.15,27000
2021-12-10,25.11,25.11,24.67,24.73,27000
2021-12-13,24.81,25.5,24.24,24.49,31400
2021-12-14,24.09,24.26,23.88,23.92,64600
2021-12-15,24.09,25.17,23.63,24.7,65600
2021-12-16,25.01,25.42,24.65,24.77,57200
2021-12-17,24.68,25.25,24.5,25.12,114800
2021-12-20,24.73,24.85,23.83,24.26,49600
2021-12-21,24.84,24.92,24.5,24.69,34200
2021-12-22,24.59,25.23,24.59,25.23,39000
2021-12-23,25.44,25.6,25.25,25.5,33800
2021-12-27,24.61,26.17,24.61,26.12,42200
2021-12-28,26.12,26.12,25.74,25.79,27400
2021-12-29,25.59,25.92,25.3,25.42,39800
2021-12-30,25.42,25.78,24.98,25.17,44400
2021-12-31,25.04,25.34,24.98,25.32,21400
2022-01-03,25.57,26.25,25.57,26.22,43800
2022-01-04,26.87,27.33,26.55,26.75,56000
2022-01-05,26.92,27.23,25.66,25.89,42200
2022-01-06,25.85,26.0,25.43,25.75,61000
2022-01-07,25.5,25.57,25.06,25.17,51200
2022-01-10,24.8,24.92,24.5,24.92,30200
2022-01-11,24.91,25.32,24.5,25.25,27600
2022-01-12,25.36,25.36,25.08,25.16,29200
2022-01-13,25.35,25.75,25.35,25.55,26400
2022-01-14,25.4,25.7,25.27,25.59,44400
2022-01-18,25.25,25.25,24.64,24.82,34600
2022-01-19,24.92,24.92,24.28,24.33,61600
2022-01-20,24.78,24.78,23.93,23.94,27800
2022-01-21,23.69,24.51,23.69,24.16,64200
2022-01-24,23.95,25.0,23.59,24.94,92400
2022-01-25,24.6,24.6,23.9,24.49,57800
2022-01-26,24.6,24.6,23.41,23.86,51600
2022-01-27,23.82,24.45,23.38,23.72,68200
2022-01-28,23.61,24.1,23.19,24.1,29200
