Date,Open,High,Low,Close,Volume
2021-09-21,254.37,255.1,252.22,252.71,669416
2021-09-22,254.46,254.48,249.69,250.4,884407
2021-09-23,252.04,256.98,250.79,254.93,748568
2021-09-24,255.07,256.62,252.91,254.61,455939
2021-09-27,253.52,253.96,248.77,249.77,523334
2021-09-28,248.4,248.4,241.57,243.14,663946
2021-09-29,244.18,248.27,244.18,246.49,576878
2021-09-30,247.02,249.13,241.79,241.79,673374
2021-10-01,241.37,241.45,234.85,240.1,769870
2021-10-04,238.4,240.62,235.44,236.29,806652
2021-10-05,237.36,239.12,235.93,237.2,514954
2021-10-06,236.42,237.07,232.86,236.61,531832
2021-10-07,237.92,241.83,237.09,239.95,645904
2021-10-08,240.26,240.57,237.75,239.12,594455
2021-10-11,238.41,238.87,234.96,235.58,476542
2021-10-12,236.76,237.18,234.24,235.38,433823
2021-10-13,236.26,236.26,232.3,234.94,442786
2021-10-14,236.86,238.83,236.25,236.86,812006
2021-10-15,238.12,238.12,232.75,233.33,932597
2021-10-18,232.73,236.15,231.33,235.64,561397
2021-10-19,238.51,239.68,236.38,237.16,479801
2021-10-20,238.52,241.15,237.79,239.38,550456
2021-10-21,240.47,242.1,235.13,240.39,693977
2021-10-22,240.07,243.01,240.0,242.4,478288
2021-10-25,242.43,242.66,239.65,241.47,677215
2021-10-26,241.37,244.74,240.13,243.61,544170
2021-10-27,243.68,244.21,240.56,240.97,602370
2021-10-28,245.82,246.55,238.56,245.04,1176571
2021-10-29,245.04,246.9,242.03,246.58,780462
2021-11-01,246.69,249.67,243.73,248.09,900587
2021-11-02,248.32,248.93,245.21,245.91,714347
2021-11-03,245.4,246.98,242.25,246.98,631819
2021-11-04,246.82,247.59,243.57,244.19,503314
2021-11-05,240.55,242.42,235.4,236.12,1012680
2021-11-08,237.85,241.35,236.25,241.07,472002
2021-11-09,240.52,241.51,234.66,237.59,1185534
2021-11-10,237.65,244.65,237.65,243.85,798853
2021-11-11,243.81,247.34,241.37,246.46,531948
2021-11-12,254.3,257.0,249.57,255.35,1528216
2021-11-15,252.52,252.71,244.3,245.11,797340
2021-11-16,245.89,250.53,245.57,247.74,521356
2021-11-17,248.53,251.79,247.15,248.91,420670
2021-11-18,247.12,249.22,244.18,246.98,464203
2021-11-19,248.52,248.52,242.21,243.4,725056
2021-11-22,242.42,246.48,241.99,243.78,571757
2021-11-23,242.87,246.16,240.86,245.63,384120
2021-11-24,244.64,246.1,242.1,243.75,316026
2021-11-26,246.0,254.3,243.99,248.54,724124
2021-11-29,248.54,253.43,247.07,250.79,575249
2021-11-30,249.34,250.56,244.39,245.13,1237332
2021-12-01,245.22,250.52,244.14,245.23,528922
2021-12-02,245.87,252.8,245.87,250.23,733669
2021-12-03,250.88,253.46,247.22,249.42,583397
2021-12-06,250.47,252.11,246.68,248.51,497261
2021-12-07,251.47,254.98,250.29,254.39,531133
2021-12-08,254.93,255.82,249.55,255.01,500636
2021-12-09,245.54,249.93,241.89,242.24,2860064
2021-12-10,244.5,251.38,242.41,247.76,1694551
2021-12-13,247.76,255.87,247.72,251.24,1327076
2021-12-14,251.8,254.02,249.96,253.14,1191005
2021-12-15,254.71,264.98,253.28,263.88,1246411
2021-12-16,263.25,268.93,263.2,266.43,1210211
2021-12-17,265.05,268.0,264.14,264.54,1583389
2021-12-20,265.46,267.83,260.73,265.82,1004416
2021-12-21,266.36,267.41,257.41,259.96,922004
2021-12-22,260.99,264.88,260.16,261.36,764166
2021-12-23,263.08,263.45,256.44,259.37,1398779
2021-12-27,262.12,264.38,260.51,263.58,1245014
2021-12-28,264.09,266.21,263.57,263.75,499705
2021-12-29,265.69,267.05,262.54,265.18,1178084
2021-12-30,266.92,270.63,266.9,269.19,621925
2021-12-31,269.11,272.48,269.03,269.94,555810
2022-01-03,268.99,269.75,254.72,256.17,1130593
2022-01-04,255.58,256.06,246.74,249.32,1486079
2022-01-05,249.46,252.03,246.08,246.19,934459
2022-01-06,246.57,252.52,244.1,247.9,998246
2022-01-07,247.9,250.58,244.14,245.08,748219
2022-01-10,244.59,251.13,244.54,250.53,822366
2022-01-11,249.45,251.35,246.01,250.81,804790
2022-01-12,247.06,247.06,238.75,242.95,1324981
2022-01-13,242.25,242.44,236.57,238.67,1022341
2022-01-14,238.22,241.41,233.58,237.18,1066340
2022-01-18,234.34,236.27,232.32,233.49,1001855
2022-01-19,233.96,236.9,232.9,233.69,1141651
2022-01-20,235.52,239.3,232.34,232.71,826906
2022-01-21,234.36,236.47,232.71,233.31,2315545
2022-01-24,233.95,234.64,226.99,233.81,1226740
2022-01-25,231.06,233.72,227.95,230.28,1075769
2022-01-26,228.95,233.66,227.62,229.21,907804
2022-01-27,229.79,232.15,227.05,228.29,918629
2022-01-28,226.67,232.25,223.83,232.03,1052954
2022-01-31,230.75,233.71,228.13,233.13,1099514
2022-02-01,234.54,235.06,229.73,234.5,1015124
2022-02-02,233.73,236.91,231.74,234.69,811541
2022-02-03,233.51,240.91,233.51,238.86,1111853
2022-02-04,237.64,240.86,237.04,238.38,577926
2022-02-07,238.3,239.27,234.91,235.88,624835
2022-02-08,234.94,240.46,234.43,238.99,1325214
2022-02-09,240.55,243.04,240.51,241.97,972406
2022-02-10,246.63,249.31,237.22,242.43,2345809
2022-02-11,243.52,246.01,233.32,237.34,1989509
2022-02-14,236.41,239.36,233.1,234.26,988702
2022-02-15,235.38,237.14,225.31,227.34,1982990
2022-02-16,226.8,232.57,224.62,231.63,1343372
2022-02-17,231.01,231.49,224.48,225.02,1067155
2022-02-18,224.87,229.38,224.46,227.21,901634
2022-02-22,227.23,230.04,226.41,228.97,1074372
2022-02-23,229.36,233.86,228.87,230.65,1921415
2022-02-24,227.65,233.57,226.68,233.43,1127916
2022-02-25,233.68,239.11,232.98,237.65,675702
2022-02-28,234.14,235.98,230.82,233.04,1280167
2022-03-01,232.31,234.71,229.69,231.14,1129895
2022-03-02,230.64,235.48,228.14,232.34,2297969
2022-03-03,235.21,235.21,229.66,232.35,1150381
2022-03-04,230.81,231.84,228.14,231.22,1191005
2022-03-07,231.04,231.68,225.79,229.17,1267247
2022-03-08,227.84,228.52,222.26,223.21,1134318
2022-03-09,228.03,229.68,224.18,228.2,936438
2022-03-10,225.27,229.22,224.43,228.71,642994
2022-03-11,229.34,231.84,227.92,228.08,722146
2022-03-14,229.34,231.39,226.87,228.23,887666
2022-03-15,229.47,233.74,229.3,233.27,665342
2022-03-16,233.85,236.43,232.5,235.41,703871
2022-03-17,234.92,236.95,233.25,235.68,696421
2022-03-18,234.83,236.64,231.83,236.45,1576056
2022-03-21,236.26,239.41,235.88,237.68,656845
2022-03-22,238.11,241.6,236.65,238.35,629258
2022-03-23,237.31,237.72,232.04,233.41,1180878
2022-03-24,234.47,234.79,232.19,233.2,691532
2022-03-25,234.52,235.68,232.86,235.36,1004998
2022-03-28,235.17,237.47,233.29,237.47,561164
2022-03-29,238.07,240.03,236.73,237.76,621227
2022-03-30,237.4,237.43,229.37,231.1,1173312
