Date,Open,High,Low,Close,Volume
2021-09-29,202.79,206.29,202.14,205.45,607300
2021-09-30,206.73,208.48,199.35,199.38,825300
2021-10-01,199.84,200.34,195.31,200.02,774300
2021-10-04,200.32,204.21,198.49,199.96,859200
2021-10-05,199.82,201.8,198.19,198.22,688300
2021-10-06,196.52,198.29,193.89,198.21,678300
2021-10-07,198.91,201.33,198.31,199.6,419100
2021-10-08,199.78,201.1,199.12,200.2,320500
2021-10-11,200.65,204.23,200.41,201.78,427600
2021-10-12,201.47,202.59,199.64,200.13,833800
2021-10-13,199.46,200.18,194.27,199.26,714600
2021-10-14,201.62,204.35,200.13,203.06,457700
2021-10-15,204.36,205.58,203.0,204.17,689300
2021-10-18,202.94,203.75,200.74,200.8,427700
2021-10-19,202.21,203.73,201.59,202.59,356900
2021-10-20,202.88,207.43,202.8,206.09,493500
2021-10-21,206.0,207.25,204.72,207.19,383600
2021-10-22,207.98,209.31,206.85,209.09,339700
2021-10-25,209.3,210.17,207.28,207.45,629000
2021-10-26,207.76,209.15,206.0,207.97,777800
2021-10-27,207.56,208.42,202.61,203.03,713600
2021-10-28,203.73,206.06,203.32,205.02,688100
2021-10-29,204.11,208.6,203.34,207.88,963500
2021-11-01,208.58,210.67,207.74,208.08,1282200
2021-11-02,216.2,222.13,212.51,218.93,1910100
2021-11-03,218.92,225.3,217.53,224.23,1317600
2021-11-04,222.65,223.76,218.64,223.09,934300
2021-11-05,224.01,227.81,219.92,221.69,954300
2021-11-08,221.96,223.42,219.85,220.23,831900
2021-11-09,219.98,222.2,218.53,219.46,1069100
2021-11-10,220.01,221.92,218.37,219.64,727100
2021-11-11,219.03,223.45,219.03,222.86,647100
2021-11-12,223.55,226.12,222.39,224.83,666200
2021-11-15,224.84,226.23,221.41,221.93,960700
2021-11-16,222.13,223.91,220.18,220.61,1679700
2021-11-17,220.33,225.3,219.61,223.82,659100
2021-11-18,224.43,225.61,222.72,225.44,1367500
2021-11-19,226.0,227.87,220.52,220.9,1078000
2021-11-22,220.36,224.42,220.02,222.07,1232800
2021-11-23,222.58,226.74,222.36,226.45,1007500
2021-11-24,225.54,229.13,225.26,226.02,867900
