Date,Open,High,Low,Close,Volume
2021-09-30,100.23,100.38,96.25,97.31,12258400
2021-10-01,97.93,99.91,97.06,99.05,7912700
2021-10-04,99.05,100.51,96.97,97.15,9482100
2021-10-05,98.22,99.73,97.47,99.2,8850300
2021-10-06,98.22,99.46,97.22,99.1,6912700
2021-10-07,100.56,100.92,98.69,98.8,7959600
2021-10-08,99.02,100.69,98.39,100.04,5301100
2021-10-11,100.08,100.68,97.21,97.29,7003900
2021-10-12,97.29,98.72,96.69,97.78,7913300
2021-10-13,98.12,99.18,96.68,98.57,10170900
2021-10-14,101.22,101.58,97.81,101.01,14766800
2021-10-15,102.46,103.22,101.85,102.14,11678100
2021-10-18,101.76,103.94,100.55,101.41,8924300
2021-10-19,101.55,102.45,101.3,101.75,6189500
2021-10-20,101.08,101.92,99.93,100.66,7426900
2021-10-21,100.36,101.75,99.57,100.28,5931400
2021-10-22,100.74,102.24,100.57,101.8,6761500
2021-10-25,102.3,102.74,101.66,101.91,3836000
2021-10-26,102.12,103.98,101.69,103.47,7649500
2021-10-27,102.97,103.84,101.83,101.87,7542400
2021-10-28,101.89,102.63,100.8,102.5,6663000
2021-10-29,102.11,103.31,101.93,102.78,8056900
2021-11-01,103.89,104.33,102.69,104.0,5432400
2021-11-02,103.93,105.34,103.37,104.66,7191700
2021-11-03,104.39,104.73,101.88,102.61,9009000
2021-11-04,102.23,102.31,98.17,99.79,14823800
2021-11-05,101.33,101.98,99.73,99.87,8449600
2021-11-08,100.46,101.8,99.97,100.07,7332000
2021-11-09,99.46,100.31,98.28,99.71,8756900
2021-11-10,98.74,99.62,97.72,97.77,9191500
2021-11-11,98.04,99.31,97.47,98.88,6249600
2021-11-12,99.21,99.89,98.05,99.85,7270300
2021-11-15,100.03,100.8,99.96,100.21,5652200
2021-11-16,100.0,101.56,99.51,100.69,6448500
2021-11-17,100.51,100.63,97.35,97.68,9670700
2021-11-18,97.93,98.26,96.49,97.68,6850200
2021-11-19,96.22,97.88,94.95,96.91,9923400
2021-11-22,98.29,100.53,97.82,99.32,10430400
2021-11-23,100.31,102.13,100.18,101.86,8559200
