Date,Open,High,Low,Close,Volume
2021-09-23,259.29,259.5,251.58,255.38,1204700
2021-09-24,255.82,256.39,247.38,253.43,989900
2021-09-27,249.9,249.9,239.11,241.46,1757400
2021-09-28,243.12,243.19,234.65,235.75,1670800
2021-09-29,239.22,243.69,233.13,233.33,1074500
2021-09-30,234.64,239.22,234.25,237.34,1226800
2021-10-01,238.19,240.21,234.78,238.08,943800
2021-10-04,235.0,236.1,223.54,224.96,1797600
2021-10-05,225.91,229.6,224.01,227.83,1157600
2021-10-06,226.18,234.41,225.35,231.92,1209400
2021-10-07,234.18,237.45,233.57,233.96,1329000
2021-10-08,235.28,235.28,228.26,228.55,1105700
2021-10-11,226.59,230.36,225.1,225.86,1415100
2021-10-12,227.94,236.53,227.94,235.17,1354100
2021-10-13,237.37,247.58,237.37,247.2,1508800
2021-10-14,251.0,261.3,251.0,255.53,2518400
2021-10-15,252.24,257.04,250.38,255.02,1201800
2021-10-18,253.97,260.38,252.61,259.92,1309700
2021-10-19,260.14,262.44,257.31,257.71,981400
2021-10-20,258.66,262.5,254.62,256.28,613500
2021-10-21,254.73,261.08,254.73,259.77,786100
2021-10-22,259.17,260.82,256.18,260.38,739400
2021-10-25,260.0,265.07,258.52,261.05,818600
2021-10-26,262.53,263.5,255.34,255.71,973000
2021-10-27,256.15,258.3,249.07,250.01,1243900
2021-10-28,248.57,248.75,239.57,244.63,2124600
2021-10-29,244.97,249.79,244.01,247.18,1044300
2021-11-01,247.2,250.21,244.01,250.2,962900
2021-11-02,251.46,256.69,250.54,253.7,908400
2021-11-03,254.7,255.0,248.51,254.25,786800
2021-11-04,255.8,257.52,250.89,255.7,1092000
2021-11-05,257.38,258.61,250.77,254.89,723500
2021-11-08,254.8,261.37,254.0,257.95,1034300
2021-11-09,259.24,268.49,258.0,268.28,1430700
2021-11-10,266.92,269.91,256.67,258.04,1178700
2021-11-11,261.02,263.27,255.26,255.53,777100
2021-11-12,257.32,262.97,256.0,261.5,1091700
2021-11-15,261.61,262.0,257.11,260.0,696900
2021-11-16,260.0,268.18,258.02,267.95,1095500
2021-11-17,266.41,269.33,263.06,266.42,854800
2021-11-18,267.41,272.27,261.8,264.39,1140500
2021-11-19,264.35,264.39,239.91,240.68,3026000
2021-11-22,239.54,240.0,226.05,226.25,2275200
2021-11-23,224.6,224.65,214.57,215.64,2524200
2021-11-24,212.86,220.53,208.24,219.58,1900800
2021-11-26,221.1,224.21,217.01,222.69,920800
2021-11-29,224.0,225.73,218.84,223.61,1459000
2021-11-30,226.46,226.46,213.52,215.23,1968500
2021-12-01,218.54,219.5,196.78,198.08,2994300
2021-12-02,215.75,224.62,213.19,221.18,5852500
2021-12-03,219.95,225.0,210.23,214.59,2753900
2021-12-06,212.52,218.67,203.94,217.88,2120900
2021-12-07,225.0,232.76,224.99,230.44,1969900
2021-12-08,230.44,244.18,227.53,240.07,2053100
2021-12-09,239.18,242.9,226.73,228.16,2041700
2021-12-10,229.0,233.66,222.48,223.66,1346300
2021-12-13,221.61,227.9,219.02,221.91,1272300
2021-12-14,217.95,222.0,212.39,217.36,1485300
2021-12-15,217.03,224.89,212.88,222.55,1953400
2021-12-16,223.09,223.75,206.81,211.8,2362300
2021-12-17,206.39,218.86,200.22,217.91,4725500
2021-12-20,214.32,223.1,210.93,218.91,1919300
2021-12-21,220.7,229.1,217.45,228.38,1551400
2021-12-22,228.38,234.79,225.87,228.34,971100
2021-12-23,227.38,229.38,224.91,228.31,596300
2021-12-27,227.95,232.0,227.62,229.41,798200
2021-12-28,229.92,230.1,223.14,224.47,545600
2021-12-29,223.15,224.36,218.98,224.18,818400
2021-12-30,224.97,229.67,224.45,225.05,735200
2021-12-31,225.0,227.61,223.49,224.17,771000
2022-01-03,223.05,226.49,218.62,222.66,1249400
2022-01-04,221.75,222.9,207.07,215.01,1968900
2022-01-05,208.11,212.54,197.64,198.59,2045900
2022-01-06,197.65,206.53,192.75,202.22,2153900
2022-01-07,199.56,207.03,195.95,196.67,1781400
2022-01-10,189.06,201.88,184.02,201.24,2915500
2022-01-11,198.61,213.31,197.46,207.98,1965200
2022-01-12,211.06,220.88,211.04,213.93,2197400
2022-01-13,212.9,214.38,201.78,202.0,2014500
2022-01-14,198.15,205.07,196.0,204.41,1702700
2022-01-18,199.0,204.35,195.83,197.2,1573300
2022-01-19,197.47,204.0,195.6,197.42,1298800
2022-01-20,203.02,210.41,200.16,200.32,2227200
2022-01-21,198.71,205.88,176.38,188.26,6285500
2022-01-24,181.62,191.67,172.53,190.9,4120900
2022-01-25,184.96,188.29,174.52,177.66,3547600
2022-01-26,184.01,190.98,176.22,178.04,3094000
2022-01-27,183.47,185.26,175.11,175.6,1572800
2022-01-28,175.99,184.62,171.86,184.24,1942000
2022-01-31,185.77,198.13,185.77,197.89,1763500
2022-02-01,199.4,201.63,192.82,201.42,1464800
2022-02-02,195.55,198.33,187.11,191.24,2521700
2022-02-03,185.09,188.47,180.08,182.8,1810600
2022-02-04,182.8,191.22,181.33,188.86,1273500
2022-02-07,187.94,195.39,186.79,188.09,968500
2022-02-08,184.72,191.49,182.56,190.45,1052600
2022-02-09,195.0,196.35,190.0,195.46,933500
2022-02-10,191.27,203.79,190.0,196.28,1749200
2022-02-11,197.81,201.47,190.23,191.77,1495500
2022-02-14,190.8,196.0,187.67,189.41,1285100
2022-02-15,193.18,196.95,190.94,195.43,1256900
2022-02-16,191.99,192.99,186.01,188.55,1579800
2022-02-17,183.9,185.66,171.51,173.45,2752500
2022-02-18,174.21,175.25,163.45,164.67,3044500
2022-02-22,164.68,173.59,163.42,168.93,3693600
2022-02-23,169.98,171.32,159.48,159.51,1932000
2022-02-24,154.04,174.03,152.51,173.56,3230200
2022-02-25,173.01,177.62,168.6,177.37,2272000
2022-02-28,177.37,186.11,177.37,182.84,4097100
2022-03-01,185.08,188.9,182.32,184.14,2399800
2022-03-02,184.2,184.65,177.0,182.7,2912600
2022-03-03,174.0,177.95,161.12,167.98,5256500
2022-03-04,167.2,172.98,157.06,158.41,2693900
2022-03-07,159.63,161.6,152.89,154.4,2141900
2022-03-08,155.49,164.22,152.53,159.55,2536400
2022-03-09,165.13,171.88,161.99,170.3,2456700
2022-03-10,167.55,168.57,162.72,165.72,1374900
2022-03-11,167.21,167.25,153.82,154.06,2057000
2022-03-14,152.5,156.24,144.28,146.1,2393800
2022-03-15,146.7,149.35,143.3,148.93,2026400
2022-03-16,150.95,157.72,145.88,155.79,3572600
2022-03-17,154.61,161.44,152.39,161.12,1849000
2022-03-18,160.89,174.95,160.63,174.5,4094800
2022-03-21,171.36,176.18,163.83,169.41,1919500
2022-03-22,155.88,169.46,154.45,166.43,8609300
2022-03-23,160.25,160.25,148.41,148.55,7244000
2022-03-24,149.78,149.78,137.18,144.5,8354700
2022-03-25,144.91,144.99,135.46,138.11,5503400
2022-03-28,139.73,150.26,139.0,149.86,4860600
2022-03-29,152.0,158.34,151.38,156.81,4143900
2022-03-30,154.22,158.49,151.92,152.6,2101100
2022-03-31,152.12,152.88,147.63,150.96,2764100
2022-04-01,151.22,153.12,147.0,148.79,2149300
2022-04-04,149.75,161.59,149.4,160.42,2664800
2022-04-05,161.06,161.61,155.28,156.79,1827300
2022-04-06,152.74,153.08,148.17,150.1,1499400
2022-04-07,148.19,151.42,144.62,147.57,1305900
2022-04-08,146.3,147.5,142.4,142.86,1241400
2022-04-11,141.43,147.77,138.76,144.93,2206000
2022-04-12,148.0,151.76,143.22,143.36,1442500
2022-04-13,142.68,151.63,140.87,150.25,2219100
2022-04-14,150.14,150.78,143.22,143.57,2036900
2022-04-18,142.84,143.57,136.85,139.71,1607100
2022-04-19,140.0,150.8,139.57,149.05,1941800
2022-04-20,149.57,149.57,143.62,144.76,1361200
2022-04-21,147.49,149.66,137.57,138.77,2081600
2022-04-22,137.27,141.63,134.18,136.33,1813900
2022-04-25,134.78,140.23,134.41,138.4,1574100
2022-04-26,136.74,137.98,129.61,129.69,1643400
2022-04-27,128.36,132.9,126.69,127.06,1448600
2022-04-28,129.98,132.96,124.25,131.7,1667300
