Date,Open,High,Low,Close,Volume
2021-10-04,214.89,221.95,213.94,216.35,152500
2021-10-05,216.9,218.36,213.39,215.39,172400
2021-10-06,213.58,217.01,208.97,214.22,227900
2021-10-07,216.43,223.91,213.67,219.74,303400
2021-10-08,219.38,222.6,216.35,217.0,101500
2021-10-11,217.55,221.26,213.97,215.48,93000
2021-10-12,215.53,219.16,214.36,216.39,108900
2021-10-13,215.95,218.92,211.0,214.5,102900
2021-10-14,216.64,221.09,214.66,220.4,150500
2021-10-15,221.22,224.87,220.22,221.65,98700
2021-10-18,220.38,226.36,218.53,226.01,94500
2021-10-19,227.8,229.25,224.8,226.51,68600
2021-10-20,226.0,228.93,224.55,228.54,80000
2021-10-21,240.73,240.73,226.7,229.49,219500
2021-10-22,229.58,231.23,223.85,224.4,190400
2021-10-25,223.85,224.7,220.0,220.41,165900
2021-10-26,221.21,225.05,219.05,222.59,149600
2021-10-27,220.94,224.52,218.18,221.97,159700
2021-10-28,223.48,228.89,221.73,228.51,68800
2021-10-29,229.12,234.23,228.82,233.93,174100
2021-11-01,233.93,234.74,231.44,233.15,193600
2021-11-02,232.9,232.98,224.79,226.45,154800
2021-11-03,225.39,228.22,222.33,227.78,291900
2021-11-04,228.74,232.16,227.6,229.96,109700
2021-11-05,233.12,239.33,227.59,237.5,122900
2021-11-08,240.37,242.74,235.64,241.35,82500
2021-11-09,242.14,242.14,238.01,240.09,59300
2021-11-10,239.18,241.44,235.81,236.1,77300
2021-11-11,236.56,239.63,234.35,234.38,186200
2021-11-12,233.31,235.42,227.46,231.14,121400
2021-11-15,231.3,231.3,223.9,229.64,118400
2021-11-16,228.41,231.58,218.4,219.06,236600
2021-11-17,217.93,221.65,213.21,217.43,191200
2021-11-18,218.4,220.5,213.66,219.21,178500
2021-11-19,218.65,218.65,209.75,209.78,142900
2021-11-22,211.71,212.9,204.96,205.5,136700
2021-11-23,206.75,208.73,202.92,207.2,160900
2021-11-24,206.44,210.65,205.31,208.32,89900
2021-11-26,201.27,205.85,195.34,200.56,124700
2021-11-29,204.59,208.17,199.86,200.59,100600
2021-11-30,198.86,201.25,195.18,197.69,156000
2021-12-01,201.83,202.27,190.39,190.82,166700
2021-12-02,192.36,199.78,192.36,198.92,243000
2021-12-03,202.0,206.18,199.13,201.66,157500
2021-12-06,204.19,207.1,200.14,205.68,99300
2021-12-07,208.69,215.79,205.25,206.07,140500
2021-12-08,206.09,208.95,205.76,208.55,79100
2021-12-09,206.48,208.16,204.26,204.48,109000
2021-12-10,205.39,207.81,203.4,205.67,113300
2021-12-13,205.7,207.49,201.32,204.22,122200
2021-12-14,203.2,209.48,199.06,199.95,104500
2021-12-15,199.55,204.69,196.9,202.75,127000
2021-12-16,204.76,206.07,197.63,198.93,140900
2021-12-17,200.26,203.71,196.74,200.31,233200
2021-12-20,195.29,196.27,188.51,193.71,190000
2021-12-21,196.98,202.24,196.63,202.17,112500
2021-12-22,201.88,203.84,197.24,202.77,79200
2021-12-23,203.68,206.16,201.3,205.02,137500
2021-12-27,205.86,207.53,202.92,204.28,109900
2021-12-28,203.62,207.79,203.58,206.01,76700
2021-12-29,206.85,206.85,202.09,203.69,236500
2021-12-30,203.48,217.71,201.55,201.96,59300
2021-12-31,201.78,203.27,200.42,201.97,62800
2022-01-03,203.7,205.57,200.76,204.9,198200
2022-01-04,205.52,210.08,203.24,208.83,119800
2022-01-05,207.58,213.66,207.58,209.36,288100
2022-01-06,208.98,214.8,203.0,211.98,167500
