Date,Open,High,Low,Close,Volume
2021-09-22,142.44,143.13,141.08,141.26,265500
2021-09-23,140.85,143.23,140.85,141.71,344300
2021-09-24,142.31,142.4,140.02,140.39,273300
2021-09-27,141.1,142.99,139.69,139.8,441300
2021-09-28,140.37,141.61,137.91,137.98,634500
2021-09-29,138.24,140.69,137.92,139.58,803600
2021-09-30,140.04,141.84,138.51,139.4,481800
2021-10-01,140.05,140.61,137.66,139.56,340800
2021-10-04,139.4,141.39,138.12,139.15,331400
2021-10-05,139.09,140.87,138.39,139.81,474600
2021-10-06,139.59,144.17,138.75,143.96,500700
2021-10-07,145.02,147.41,145.02,145.96,377900
2021-10-08,146.63,149.31,146.63,147.31,375900
2021-10-11,147.7,149.57,145.19,145.29,406300
2021-10-12,145.05,147.53,144.87,146.09,402300
2021-10-13,144.97,146.57,142.75,146.0,803100
2021-10-14,147.09,149.51,146.87,148.28,355800
2021-10-15,148.88,150.03,146.86,147.92,359800
2021-10-18,147.33,147.92,145.81,146.11,379800
2021-10-19,147.57,148.53,146.22,146.51,311300
2021-10-20,146.34,148.42,146.34,147.35,373100
2021-10-21,147.21,148.87,147.21,148.0,393500
2021-10-22,148.86,149.41,147.02,147.61,375300
2021-10-25,147.44,150.68,146.39,149.78,592200
2021-10-26,150.8,157.05,148.02,153.92,845200
2021-10-27,154.8,156.73,147.48,147.48,668200
2021-10-28,147.53,149.29,143.92,145.27,542300
2021-10-29,145.74,146.29,141.57,141.8,458100
2021-11-01,147.83,149.46,146.5,147.84,464700
2021-11-02,148.17,153.46,147.84,152.86,403900
2021-11-03,152.56,153.92,151.54,152.72,343500
2021-11-04,152.53,152.53,146.84,147.51,362100
2021-11-05,148.02,154.32,148.02,152.55,466200
2021-11-08,156.87,158.95,154.72,158.55,495700
2021-11-09,157.13,158.51,155.6,155.98,351700
2021-11-10,156.85,158.0,153.48,154.85,412000
2021-11-11,154.64,156.75,153.7,156.0,444500
2021-11-12,157.08,158.53,152.61,156.38,581200
2021-11-15,156.62,156.99,154.37,155.67,460600
2021-11-16,155.84,161.12,155.62,160.25,560600
2021-11-17,159.72,163.12,158.01,162.69,661600
2021-11-18,162.56,163.86,160.95,163.22,590600
2021-11-19,163.61,164.62,161.99,163.66,557200
2021-11-22,162.62,166.76,160.97,165.35,543800
2021-11-23,166.2,167.84,164.88,167.38,601800
2021-11-24,167.15,167.15,163.27,163.27,576000
2021-11-26,158.57,159.71,155.13,156.14,418200
2021-11-29,157.43,157.43,154.31,155.1,503500
2021-11-30,153.43,155.94,151.16,154.11,3315600
2021-12-01,156.6,159.48,155.35,155.48,496200
2021-12-02,156.56,164.33,155.65,162.62,553600
2021-12-03,163.32,165.94,161.14,162.02,527000
2021-12-06,163.77,165.15,162.01,164.78,489400
2021-12-07,164.44,166.35,163.82,165.15,377700
2021-12-08,164.41,165.76,163.54,165.4,333700
2021-12-09,164.36,167.77,164.36,167.13,350700
2021-12-10,167.38,167.64,164.88,165.5,371900
2021-12-13,164.2,165.69,162.96,164.68,426100
2021-12-14,164.5,168.87,164.15,166.64,446500
2021-12-15,166.64,169.17,164.77,167.48,418100
2021-12-16,168.38,168.82,166.14,167.1,411400
2021-12-17,167.53,170.67,166.76,168.25,1121800
2021-12-20,166.43,168.01,164.83,165.48,406400
2021-12-21,165.92,167.87,165.52,166.58,450400
2021-12-22,166.31,167.66,165.69,166.44,357700
2021-12-23,166.97,168.72,165.87,167.66,310700
2021-12-27,167.72,169.25,167.11,168.74,280100
2021-12-28,168.82,171.4,168.82,171.1,198800
2021-12-29,171.1,173.25,171.08,172.82,171700
2021-12-30,173.41,174.55,169.61,169.79,260100
2021-12-31,169.32,170.68,169.06,169.33,213600
2022-01-03,169.89,171.19,166.22,167.51,422000
2022-01-04,168.36,168.87,164.53,165.01,458700
2022-01-05,165.02,165.37,162.76,162.88,358700
2022-01-06,163.61,166.96,163.35,165.26,233800
2022-01-07,164.79,166.62,163.99,166.19,244400
2022-01-10,167.65,167.65,164.87,166.99,275400
2022-01-11,167.7,168.2,164.39,168.04,262000
2022-01-12,169.36,169.77,166.37,169.11,354900
2022-01-13,170.81,171.96,169.49,169.68,338400
2022-01-14,168.92,171.47,168.68,171.32,210800
2022-01-18,171.17,172.73,169.7,170.26,248000
2022-01-19,170.43,171.66,168.18,168.25,423600
2022-01-20,168.24,170.51,167.1,167.4,296200
2022-01-21,167.4,168.04,165.15,165.82,220500
2022-01-24,164.71,165.59,160.59,165.42,468400
2022-01-25,164.97,167.55,160.41,165.29,325800
2022-01-26,171.16,171.71,157.09,159.71,593200
2022-01-27,160.02,161.97,151.76,153.26,595200
2022-01-28,153.83,156.09,152.25,155.99,693300
2022-01-31,154.87,157.35,152.57,157.17,927500
2022-02-01,157.94,159.44,155.46,157.96,662500
2022-02-02,158.02,159.28,155.95,157.66,633200
2022-02-03,157.46,158.83,154.86,155.38,929000
2022-02-04,154.82,156.45,150.8,154.65,827400
2022-02-07,156.74,158.03,155.28,156.0,872200
2022-02-08,156.13,156.96,154.09,154.09,505300
2022-02-09,154.64,156.22,153.81,155.66,460000
2022-02-10,154.33,158.77,153.8,154.36,391200
2022-02-11,154.7,156.23,153.15,153.69,314100
2022-02-14,153.16,156.23,153.06,155.19,680400
2022-02-15,156.33,157.46,155.42,156.33,293600
2022-02-16,156.39,157.15,155.41,155.82,377500
2022-02-17,154.49,154.52,151.62,153.65,398900
2022-02-18,153.86,155.3,153.53,153.7,247700
2022-02-22,153.56,153.78,148.95,150.0,505400
2022-02-23,150.76,151.96,149.64,149.69,430500
2022-02-24,146.78,150.8,145.31,150.34,614500
2022-02-25,150.02,153.72,150.02,153.63,333600
2022-02-28,151.0,152.35,149.5,150.78,255900
2022-03-01,148.74,149.83,144.27,145.49,367500
2022-03-02,146.01,150.01,145.22,149.04,370500
2022-03-03,149.54,149.54,146.4,147.5,270400
2022-03-04,145.35,145.9,142.05,144.53,407200
2022-03-07,143.12,143.51,139.77,139.88,522800
2022-03-08,140.35,141.58,134.7,137.77,379800
2022-03-09,139.72,142.87,138.62,142.24,434700
2022-03-10,140.22,141.85,137.61,140.85,373100
2022-03-11,141.3,142.51,139.4,141.02,350300
2022-03-14,142.7,143.22,139.53,140.85,374300
2022-03-15,141.39,145.81,140.94,145.58,360900
2022-03-16,146.89,149.16,144.62,147.81,545500
2022-03-17,148.0,149.16,145.46,148.85,391100
2022-03-18,148.24,150.46,146.29,150.33,1100000
2022-03-21,153.24,154.24,147.78,149.26,353100
2022-03-22,149.63,151.43,149.37,150.7,321400
2022-03-23,150.25,150.25,148.54,149.32,293200
2022-03-24,149.94,151.45,149.41,151.01,332000
2022-03-25,151.52,153.77,151.52,152.97,317000
2022-03-28,152.73,155.35,152.08,154.78,402600
2022-03-29,156.17,158.09,154.78,158.05,345900
2022-03-30,158.53,158.85,156.65,158.31,292800
2022-03-31,158.63,160.42,158.44,158.51,347900
2022-04-01,159.07,162.08,158.19,161.9,401700
2022-04-04,164.75,166.77,159.26,159.71,732900
2022-04-05,160.0,162.17,157.5,157.8,433700
2022-04-06,156.95,159.91,156.69,158.75,451300
2022-04-07,158.21,158.83,155.39,157.03,310300
2022-04-08,157.99,159.15,156.33,157.71,239200
2022-04-11,157.34,160.49,154.75,155.0,429200
2022-04-12,155.36,156.76,151.69,151.94,340600
2022-04-13,151.98,153.77,151.01,153.76,312100
2022-04-14,153.87,155.63,152.67,154.16,229700
2022-04-18,153.46,154.33,150.47,151.54,215100
2022-04-19,152.0,153.06,151.08,152.23,231700
2022-04-20,152.78,155.56,152.23,154.32,233400
2022-04-21,155.68,156.35,152.55,152.77,182500
2022-04-22,152.91,153.33,148.27,148.35,241200
2022-04-25,147.53,149.03,142.67,148.57,283900
2022-04-26,147.77,148.62,144.8,144.85,215000
2022-04-27,144.99,148.18,144.86,146.97,301000
2022-04-28,147.69,148.53,145.55,147.92,237500
2022-04-29,147.61,148.54,143.29,143.52,445300
2022-05-02,143.52,145.0,141.98,144.45,410400
2022-05-03,144.41,147.4,143.9,146.85,290500
2022-05-04,145.34,146.75,140.67,145.62,494500
2022-05-05,143.54,148.5,142.31,146.29,399500
