Date,Open,High,Low,Close,Volume
2021-09-27,234.46,234.46,228.91,231.58,2261300
2021-09-28,229.97,231.72,226.85,228.01,2975500
2021-09-29,224.24,230.31,224.24,228.99,1369100
2021-09-30,229.99,235.99,227.33,232.46,3080900
2021-10-01,232.84,243.42,232.37,240.93,2518400
2021-10-04,241.11,242.08,236.04,237.41,2764800
2021-10-05,237.65,244.36,237.56,243.08,1360500
2021-10-06,240.92,244.32,237.29,241.33,1082300
2021-10-07,243.22,244.62,240.66,241.5,1729900
2021-10-08,242.92,243.33,240.34,242.89,1408200
2021-10-11,243.17,244.47,240.49,242.66,885900
2021-10-12,243.06,244.2,241.32,241.9,671300
2021-10-13,242.17,244.61,239.84,243.95,970600
2021-10-14,245.13,248.58,244.97,248.15,1103300
2021-10-15,249.55,249.7,245.71,246.91,789300
2021-10-18,245.63,246.4,244.01,244.9,800100
2021-10-19,246.0,248.54,246.0,248.1,878100
2021-10-20,245.8,247.37,243.45,244.14,1520800
2021-10-21,243.47,248.0,241.21,246.87,1014500
2021-10-22,247.72,249.15,245.97,247.76,743300
2021-10-25,248.46,249.22,244.48,244.81,1016300
2021-10-26,244.92,245.64,243.14,244.01,1002600
2021-10-27,243.27,244.99,239.54,240.26,1222400
2021-10-28,240.26,249.45,240.21,248.52,2956900
2021-10-29,246.99,248.81,239.69,242.28,2288400
2021-11-01,242.23,244.78,233.5,237.62,1765400
2021-11-02,238.53,239.62,235.24,237.04,808200
2021-11-03,237.23,237.23,233.44,234.85,1223400
2021-11-04,233.99,235.58,230.12,231.06,722500
2021-11-05,231.22,233.96,228.8,231.31,906600
2021-11-08,231.57,233.86,230.86,232.7,1798400
2021-11-09,231.45,233.68,229.81,233.38,2030700
2021-11-10,234.17,236.85,230.67,231.35,1178400
2021-11-11,231.52,232.01,228.41,230.3,550500
2021-11-12,231.52,231.92,229.39,230.91,597900
2021-11-15,230.91,231.89,228.31,229.36,1019500
2021-11-16,229.95,232.6,229.1,230.72,867400
2021-11-17,229.84,231.6,229.11,229.7,803400
2021-11-18,231.15,232.55,227.08,228.44,867800
2021-11-19,227.79,233.24,225.38,232.8,1380200
2021-11-22,230.8,236.68,230.55,233.44,1000300
2021-11-23,234.63,236.85,231.77,235.1,1224300
2021-11-24,234.96,236.79,232.79,236.13,667700
2021-11-26,228.12,232.56,227.85,228.99,874700
2021-11-29,230.26,231.84,226.98,230.39,1539100
2021-11-30,227.26,230.81,225.09,225.84,1270900
2021-12-01,228.01,231.11,226.27,227.0,2390700
2021-12-02,227.17,232.64,226.53,231.97,1264100
2021-12-03,233.41,233.93,228.57,230.84,1581400
2021-12-06,232.0,235.18,231.08,232.5,1246100
2021-12-07,233.67,235.74,230.58,231.61,1805700
2021-12-08,232.72,235.43,231.38,235.0,1760400
2021-12-09,234.71,234.71,231.26,232.35,1023300
2021-12-10,234.89,234.89,230.8,233.77,879800
2021-12-13,234.0,234.76,231.55,231.94,884800
2021-12-14,231.11,232.88,229.34,232.17,2075600
2021-12-15,231.45,234.84,228.43,234.65,1412800
2021-12-16,234.65,236.87,231.83,233.16,1518900
2021-12-17,233.0,235.89,230.47,232.88,2789500
2021-12-20,231.44,232.74,229.0,231.95,2503300
2021-12-21,234.47,238.42,232.08,236.25,1624100
2021-12-22,236.04,238.7,233.72,237.01,1485800
2021-12-23,237.19,239.12,235.98,236.46,844200
2021-12-27,236.6,239.11,235.27,239.06,1088400
2021-12-28,239.17,240.51,238.53,238.72,910800
2021-12-29,238.32,239.8,235.66,238.43,580300
2021-12-30,238.3,239.58,236.95,237.12,677200
2021-12-31,237.63,239.15,236.92,237.49,447500
2022-01-03,237.28,237.95,234.2,235.57,848600
2022-01-04,232.61,239.57,232.61,238.67,952100
2022-01-05,239.43,239.65,236.24,237.01,1070500
2022-01-06,236.36,238.1,234.22,234.34,1128100
2022-01-07,233.05,235.5,231.26,231.56,1233500
2022-01-10,228.78,235.94,226.4,232.62,1124400
2022-01-11,232.79,234.68,228.89,233.96,1196200
2022-01-12,234.34,235.0,232.48,233.77,813500
2022-01-13,234.43,235.02,230.03,231.21,953300
2022-01-14,230.35,233.37,223.82,229.12,1676000
2022-01-18,228.39,229.29,221.8,227.16,1429300
2022-01-19,227.03,230.67,224.91,226.56,1358300
2022-01-20,230.08,231.4,226.56,228.24,999400
2022-01-21,229.06,231.63,224.72,225.64,1099300
2022-01-24,224.25,232.09,221.2,230.84,1826100
2022-01-25,226.16,233.04,222.17,226.65,1462900
