Date,Open,High,Low,Close,Volume
2021-10-04,144.48,145.66,140.98,142.46,1168329
2021-10-05,142.5,144.67,141.67,141.76,1190577
2021-10-06,140.23,142.34,138.52,142.08,1129807
2021-10-07,143.14,145.5,142.68,143.44,1020524
2021-10-08,143.35,143.83,142.14,142.38,513867
2021-10-11,142.11,143.71,139.57,139.6,816378
2021-10-12,139.62,140.22,138.16,138.65,796087
2021-10-13,138.68,138.96,137.35,138.61,907018
2021-10-14,139.87,141.65,139.67,141.39,821219
2021-10-15,142.57,142.9,141.52,142.1,909799
2021-10-18,140.96,141.52,138.77,140.75,1057295
2021-10-19,139.32,145.46,139.32,144.58,1049776
2021-10-20,145.63,146.85,143.8,145.76,1119095
2021-10-21,145.77,147.31,145.29,146.42,761685
2021-10-22,146.36,147.13,145.55,146.04,330424
2021-10-25,145.99,147.43,144.92,146.63,849853
2021-10-26,147.13,147.13,145.42,145.47,476066
2021-10-27,145.61,145.61,142.01,142.05,678564
2021-10-28,141.83,142.72,140.71,141.28,952029
2021-10-29,138.84,139.31,135.18,138.95,1681063
2021-11-01,139.36,142.89,138.96,141.54,1176672
2021-11-02,141.64,142.46,140.3,141.43,910932
2021-11-03,140.98,144.41,140.98,144.41,1450034
2021-11-04,140.77,141.75,132.71,133.74,3757440
2021-11-05,138.12,141.83,135.8,137.53,3066413
2021-11-08,137.29,137.85,133.03,133.57,2834251
2021-11-09,132.99,134.36,129.89,130.47,4217541
2021-11-10,130.1,132.07,129.54,129.97,1354038
2021-11-11,129.44,130.28,126.47,128.83,1642026
2021-11-12,129.32,129.48,127.6,128.52,1666746
2021-11-15,128.6,129.06,126.36,127.31,1500504
2021-11-16,126.9,129.54,126.16,127.92,1663759
2021-11-17,127.31,128.78,126.3,127.26,1361042
2021-11-18,127.55,127.87,125.13,125.14,1351669
2021-11-19,125.13,126.0,123.43,125.06,1971832
2021-11-22,125.24,128.32,124.83,126.43,1396062
2021-11-23,123.83,127.05,123.83,126.68,1584964
2021-11-24,126.1,127.84,126.07,126.48,1222816
2021-11-26,123.44,124.94,121.19,121.96,1404817
2021-11-29,123.08,123.17,119.83,119.9,1471664
2021-11-30,118.94,119.82,116.07,116.12,2515466
2021-12-01,117.68,121.59,116.28,116.3,2070094
2021-12-02,116.87,119.79,116.8,119.35,1447047
2021-12-03,119.83,120.3,116.54,117.69,1794569
2021-12-06,119.71,123.23,119.12,121.83,2323165
2021-12-07,123.97,126.53,123.74,124.69,1861210
2021-12-08,124.74,126.46,124.38,125.2,1327361
2021-12-09,123.28,124.64,121.53,121.79,2521749
2021-12-10,123.15,123.15,119.19,120.86,1696204
2021-12-13,120.86,123.28,120.86,121.81,1621735
2021-12-14,121.3,122.69,119.5,119.69,1330451
2021-12-15,119.1,119.82,114.83,117.17,3248929
2021-12-16,117.83,119.85,116.02,116.96,3340702
2021-12-17,116.5,119.64,115.19,117.33,4066646
2021-12-20,115.68,116.46,113.2,115.43,2584167
2021-12-21,116.65,119.9,116.02,118.89,1907560
2021-12-22,118.51,121.1,117.89,121.1,1020936
2021-12-23,121.99,123.37,121.25,123.29,1438704
2021-12-27,123.29,124.16,121.67,124.09,1221065
2021-12-28,123.99,125.61,123.83,124.48,1506581
2021-12-29,124.35,125.62,124.02,124.5,2508771
2021-12-30,124.63,125.63,124.34,124.53,1304701
2021-12-31,124.23,125.3,123.3,123.34,941008
2022-01-03,123.64,126.16,122.93,125.37,1184809
2022-01-04,125.15,127.94,124.51,126.64,1400800
2022-01-05,127.28,129.7,126.14,126.22,1895715
2022-01-06,127.08,128.5,124.93,125.17,1088813
2022-01-07,123.5,125.69,123.33,124.42,1690230
2022-01-10,123.63,124.17,121.84,123.2,1942065
2022-01-11,123.85,125.33,122.98,124.64,1488041
2022-01-12,124.33,124.83,120.41,121.92,1902307
2022-01-13,122.5,125.76,122.39,124.34,1861622
2022-01-14,123.16,124.14,121.13,123.67,1446738
2022-01-18,123.16,123.52,121.29,122.67,2185042
2022-01-19,119.93,122.48,119.59,119.68,1795084
2022-01-20,119.16,123.3,119.16,119.46,1734314
2022-01-21,119.26,120.67,117.64,118.97,3061366
2022-01-24,116.69,120.1,114.89,120.05,2113045
2022-01-25,117.83,119.36,115.5,117.43,2417410
2022-01-26,117.93,119.56,116.05,116.98,2914591
2022-01-27,118.23,118.98,116.85,117.71,1933928
2022-01-28,117.94,118.25,114.45,117.37,2317912
2022-01-31,116.5,119.53,115.96,119.44,1487217
2022-02-01,119.58,120.6,118.74,120.38,1066874
2022-02-02,117.7,119.06,115.83,118.17,2534933
2022-02-03,118.16,118.84,116.93,117.74,1927336
2022-02-04,117.48,120.17,117.0,119.25,1807547
2022-02-07,110.97,115.43,108.28,108.42,6482408
2022-02-08,105.62,116.82,105.31,116.39,4657660
2022-02-09,116.83,118.64,116.27,116.55,2209865
2022-02-10,115.58,117.67,114.85,115.31,2519071
2022-02-11,115.9,116.96,112.67,112.83,1900556
2022-02-14,113.19,114.52,112.2,113.58,1146699
2022-02-15,115.27,118.72,114.95,118.58,1553961
2022-02-16,117.9,119.11,116.17,118.93,1778604
2022-02-17,118.38,118.38,116.01,116.48,1307379
2022-02-18,116.35,118.24,116.35,117.5,1234352
2022-02-22,118.02,120.73,117.48,119.39,2144769
2022-02-23,119.89,120.8,118.34,119.01,1475990
2022-02-24,117.12,119.98,116.33,119.88,1470634
2022-02-25,120.56,123.12,118.99,123.01,1641614
2022-02-28,121.57,123.7,121.32,123.49,2497647
2022-03-01,124.77,126.46,121.08,124.14,7107800
2022-03-02,122.54,124.3,121.86,122.69,2070900
2022-03-03,123.72,123.94,121.18,122.13,1504100
2022-03-04,120.59,121.16,119.05,120.44,1363800
2022-03-07,120.28,120.28,115.72,116.68,1654900
2022-03-08,115.91,117.96,114.27,115.75,1719000
2022-03-09,117.97,118.96,117.07,117.64,1201900
2022-03-10,116.76,119.42,115.83,119.34,1441500
2022-03-11,120.27,121.26,118.18,118.82,2031200
2022-03-14,119.82,120.68,117.05,117.69,1384800
2022-03-15,119.31,120.17,118.01,119.2,1269000
2022-03-16,120.0,122.3,119.34,121.99,1599300
2022-03-17,120.98,122.63,120.17,122.28,1830200
2022-03-18,122.36,122.82,119.7,120.77,2951500
2022-03-21,120.73,121.3,120.06,121.04,1444100
2022-03-22,121.26,121.73,119.94,120.48,1819700
2022-03-23,119.79,121.68,117.86,120.74,2420000
2022-03-24,121.3,125.89,121.16,124.15,2393500
2022-03-25,124.61,125.34,123.82,125.28,1129700
2022-03-28,125.4,126.04,123.33,125.68,1603300
2022-03-29,126.84,129.6,126.84,129.58,1712200
2022-03-30,129.05,129.9,127.95,128.69,1150200
2022-03-31,128.42,129.81,127.84,127.9,1363100
2022-04-01,126.75,128.54,125.88,127.73,1616900
2022-04-04,126.93,127.28,124.66,125.86,1349700
2022-04-05,125.43,129.3,125.43,129.13,2187100
2022-04-06,128.39,128.59,125.78,127.85,2057700
2022-04-07,127.32,129.93,126.95,129.91,1800200
2022-04-08,129.93,130.66,129.09,129.62,1107600
2022-04-11,129.1,130.02,126.46,126.9,841800
2022-04-12,127.12,128.14,125.69,126.64,1216100
2022-04-13,126.05,128.05,125.81,127.95,1037300
2022-04-14,128.16,128.75,125.95,126.0,1087300
2022-04-18,125.62,127.18,124.74,125.23,976000
2022-04-19,126.07,130.86,126.03,130.6,2137000
2022-04-20,131.45,134.19,131.1,133.85,1976600
2022-04-21,134.96,135.05,131.61,131.66,1315200
2022-04-22,129.66,129.9,124.92,125.7,1615800
2022-04-25,125.2,127.91,124.72,127.81,952800
2022-04-26,126.36,127.65,124.06,124.15,825300
2022-04-27,123.69,124.79,122.51,122.88,1206400
2022-04-28,124.15,124.91,122.71,124.61,1205400
2022-04-29,123.3,124.47,120.4,120.75,1205600
2022-05-02,121.33,122.53,118.13,120.65,1913500
2022-05-03,123.99,125.78,120.15,120.68,3135900
2022-05-04,120.59,126.79,119.86,126.32,2106000
2022-05-05,124.91,126.18,121.36,122.54,1892800
2022-05-06,122.1,122.15,119.34,120.33,1202100
2022-05-09,118.66,119.82,114.64,115.0,1533100
2022-05-10,116.28,116.71,113.02,114.17,1885800
2022-05-11,113.62,116.42,113.24,113.42,1315600
2022-05-12,112.61,114.56,111.5,113.1,1100000
2022-05-13,114.27,116.26,114.0,115.07,1166500
2022-05-16,114.79,115.74,114.24,115.12,967400
2022-05-17,116.96,119.56,116.35,119.38,1069200
2022-05-18,118.0,118.65,116.09,116.45,1216800
2022-05-19,115.09,117.58,115.09,116.91,800200
2022-05-20,118.32,119.49,115.53,117.61,845400
