Date,Open,High,Low,Close,Volume
2015-03-27,31.09,31.89,30.4,30.52,54589014
2015-04-03,30.88,31.91,30.71,31.58,42000166
2015-04-10,31.89,33.16,31.14,31.6,76197712
2015-04-17,31.58,32.92,31.46,32.34,61044653
2015-04-24,32.51,32.99,31.48,31.77,48101333
2015-05-01,31.91,34.34,31.89,34.0,55746691
2015-05-08,33.95,34.24,32.34,33.21,30143696
2015-05-15,33.31,33.38,32.46,32.54,24568456
2015-05-22,32.49,32.51,31.07,31.09,38627965
2015-05-29,31.02,31.02,29.89,30.04,32790220
2015-06-05,30.13,30.76,29.53,29.85,32886393
2015-06-12,29.8,29.85,28.88,28.98,32858636
2015-06-19,28.76,29.1,28.48,28.67,29978943
2015-06-26,28.6,28.6,27.75,28.09,37608822
2015-07-03,27.59,27.9,26.29,26.67,35510403
2015-07-10,26.31,26.75,24.97,25.54,66350311
2015-07-17,25.88,26.1,24.9,25.21,36649022
2015-07-24,25.11,25.16,23.19,23.57,57120807
2015-07-31,23.33,24.63,23.04,23.72,51931378
2015-08-07,23.6,24.39,22.49,22.61,52839076
2015-08-14,22.9,24.25,22.3,22.61,51665709
2015-08-21,22.37,22.8,20.98,20.98,36887265
2015-08-28,19.7,22.64,19.15,22.61,68565335
2015-09-04,22.28,23.43,21.65,22.8,74857843
2015-09-11,23.72,23.89,22.85,23.19,40219059
2015-09-18,23.02,24.41,22.4,23.96,51071370
2015-09-25,23.98,24.27,21.29,21.8,45241200
2015-10-02,22.73,23.67,21.87,22.88,100692510
2015-10-09,23.09,26.87,23.07,24.65,109190138
2015-10-16,24.7,24.73,22.66,22.95,77846525
2015-10-23,22.66,23.0,21.75,21.96,51346525
2015-10-30,21.94,22.08,20.71,21.46,62647566
2015-11-06,21.51,23.02,21.46,21.84,51459176
2015-11-13,21.55,21.63,18.77,19.2,71086475
2015-11-20,19.15,21.39,19.13,20.88,62242738
2015-11-27,21.75,22.73,21.31,22.4,44407990
2015-12-04,22.42,23.07,21.41,22.44,53295297
2015-12-11,22.73,22.76,20.43,21.29,75811111
2015-12-18,21.24,22.61,20.86,22.18,60047400
