Date,Open,High,Low,Close,Volume
2015-03-27,31.78,32.01,30.65,30.81,837305200
2015-04-03,31.01,31.62,30.77,31.33,648127200
2015-04-10,31.12,32.03,31.08,31.77,728830000
2015-04-17,32.09,32.14,31.11,31.19,684744400
2015-04-24,31.39,32.66,31.29,32.57,829762800
2015-05-01,33.08,33.63,31.15,32.24,1683889200
2015-05-08,32.38,32.64,30.84,31.91,1087568000
2015-05-15,31.85,32.37,31.2,32.19,833206000
2015-05-22,32.1,33.24,32.09,33.13,869189600
2015-05-29,33.15,33.23,32.28,32.57,792594400
2015-06-05,32.57,32.85,32.09,32.16,683363200
2015-06-12,32.22,32.54,31.41,31.79,880458400
2015-06-19,31.52,32.08,31.43,31.65,794100800
2015-06-26,31.87,32.45,31.63,31.69,782376000
2015-07-03,31.36,31.74,31.12,31.61,603927600
2015-07-10,31.24,31.56,29.81,30.82,1102873200
2015-07-17,31.26,32.4,31.08,32.4,756979600
2015-07-24,32.74,33.24,30.5,31.12,1377076000
2015-07-31,30.77,30.98,30.23,30.33,766394400
2015-08-07,30.38,30.64,28.02,28.88,1540002400
2015-08-14,29.13,30.0,27.41,28.99,1378868800
2015-08-21,29.01,29.41,26.41,26.44,1282036000
2015-08-28,23.72,28.33,23.0,28.32,2001452000
2015-09-04,28.01,28.63,26.84,27.32,1192776800
2015-09-11,27.94,28.55,27.44,28.55,1010650800
2015-09-18,29.15,29.22,27.97,28.36,1109104000
2015-09-25,28.42,29.17,28.09,28.68,970785200
2015-10-02,28.46,28.64,26.83,27.59,1255585200
2015-10-09,27.47,28.07,27.05,28.03,1047091200
2015-10-16,28.18,28.19,27.39,27.76,739540000
2015-10-23,27.7,29.81,27.53,29.77,886172800
2015-10-30,29.52,30.31,28.5,29.88,1289448800
2015-11-06,30.2,30.95,29.9,30.26,780813600
2015-11-13,30.24,30.45,28.07,28.08,866221200
2015-11-20,27.84,29.98,27.75,29.83,759924800
2015-11-27,29.82,29.93,29.28,29.45,438881600
2015-12-04,29.5,29.85,28.56,29.76,827063200
2015-12-11,29.75,29.97,28.21,28.3,755416000
2015-12-18,28.05,28.2,26.45,26.51,1260425600
2015-12-25,26.82,27.25,26.39,27.01,506431200
2016-01-01,26.9,27.36,26.2,26.32,495046000
2016-01-08,25.65,26.46,24.11,24.24,1375160800
2016-01-15,24.74,25.3,23.84,24.28,1217348800
2016-01-22,24.6,25.36,23.35,25.35,973536400
2016-01-29,25.38,25.38,23.1,24.33,1521346000
2016-02-05,24.12,24.33,23.42,23.5,868619200
2016-02-12,23.28,24.09,23.15,23.5,924489200
2016-02-19,23.75,24.72,23.65,24.01,673265200
2016-02-26,24.08,24.5,23.33,24.23,636211600
2016-03-04,24.22,25.94,24.16,25.75,807215200
2016-03-11,25.6,25.71,25.04,25.57,622057200
2016-03-18,25.48,26.62,25.44,26.48,728292800
2016-03-25,26.48,26.91,26.22,26.42,479134400
2016-04-01,26.5,27.6,26.22,27.5,591860000
2016-04-08,27.6,28.05,27.03,27.17,582890400
2016-04-15,27.24,28.1,27.17,27.46,649240000
2016-04-22,27.22,27.24,26.16,26.42,756212000
2016-04-29,26.25,26.41,23.13,23.43,1397696400
2016-05-06,23.49,23.98,22.96,23.18,902429200
2016-05-13,23.25,23.44,22.37,22.63,864199200
2016-05-20,23.1,23.86,22.91,23.81,850828800
2016-05-27,23.97,25.18,23.92,25.09,816000000
2016-06-03,24.9,25.1,24.16,24.48,560708000
2016-06-10,24.5,25.47,24.39,24.71,499457600
2016-06-17,24.67,24.78,23.83,23.83,766930400
2016-06-24,24.0,24.22,23.16,23.35,826916000
2016-07-01,23.25,24.12,22.88,23.97,737313600
2016-07-08,23.85,24.22,23.59,24.17,450824000
2016-07-15,24.19,24.83,24.18,24.69,571642400
2016-07-22,24.67,25.25,24.58,24.67,590262000
2016-07-29,24.56,26.14,24.1,26.05,1026284000
2016-08-05,26.1,26.91,26.0,26.87,680596800
2016-08-12,26.88,27.24,26.79,27.05,498023200
2016-08-19,27.03,27.56,27.02,27.34,529485600
2016-08-26,27.22,27.33,26.58,26.74,494422000
2016-09-02,26.66,27.0,26.38,26.93,532002400
2016-09-09,26.98,27.19,25.78,25.78,675214800
2016-09-16,25.66,29.03,25.63,28.73,1552912800
2016-09-23,28.8,29.05,27.89,28.18,804382800
2016-09-30,27.91,28.66,27.89,28.26,625536000
2016-10-07,28.18,28.64,28.07,28.51,504117600
2016-10-14,28.75,29.67,28.68,29.41,834833600
2016-10-21,29.33,29.55,28.45,29.15,462126000
2016-10-28,29.27,29.59,28.33,28.43,840902400
2016-11-04,28.41,28.56,27.03,27.21,625386000
2016-11-11,27.52,27.93,26.46,27.11,829076000
2016-11-18,26.93,27.64,26.02,27.51,793365600
2016-11-25,27.53,28.1,27.5,27.95,376529600
2016-12-02,27.86,28.12,27.21,27.48,622000000
2016-12-09,27.5,28.67,27.06,28.49,607958400
2016-12-16,28.32,29.18,28.12,28.99,780062400
2016-12-23,28.95,29.38,28.9,29.13,453292000
2016-12-30,29.13,29.5,28.86,28.95,339314400
2017-01-06,28.95,29.54,28.69,29.48,415382000
2017-01-13,29.49,29.98,29.49,29.76,555242800
2017-01-20,29.58,30.12,29.56,30.0,465392000
2017-01-27,30.0,30.61,29.88,30.49,498157200
2017-02-03,30.23,32.62,30.16,32.27,999124800
2017-02-10,32.28,33.24,32.22,33.03,545796800
2017-02-17,33.27,34.07,33.19,33.93,546670000
2017-02-24,34.06,34.37,33.82,34.17,351635600
2017-03-03,34.28,35.07,34.07,34.94,509896000
2017-03-10,34.84,34.99,34.26,34.78,398688800
2017-03-17,34.71,35.26,34.71,35.0,486158400
2017-03-24,35.1,35.7,34.93,35.16,518696000
2017-03-31,34.85,36.12,34.65,35.92,508035600
2017-04-07,35.93,36.37,35.76,35.83,421664800
2017-04-14,35.9,35.97,35.01,35.26,349942800
2017-04-21,35.37,35.73,35.11,35.57,356994000
2017-04-28,35.88,36.22,35.79,35.91,364614800
2017-05-05,36.28,37.24,36.07,37.24,701406800
2017-05-12,37.26,39.1,37.26,39.03,693882400
2017-05-19,39.0,39.16,37.43,38.26,629419600
2017-05-26,38.5,38.72,38.17,38.4,412906000
2017-06-02,38.35,38.86,38.06,38.86,355011600
2017-06-09,38.58,38.99,36.51,37.24,636638800
2017-06-16,36.44,36.88,35.55,35.57,882121600
2017-06-23,35.92,36.79,35.92,36.57,533012000
2017-06-30,36.79,37.07,35.57,36.01,508240800
2017-07-07,36.22,36.33,35.6,36.04,316711600
2017-07-14,36.03,37.33,35.84,37.26,444353600
2017-07-21,37.21,37.94,37.14,37.57,424326400
2017-07-28,37.65,38.5,36.83,37.38,423272400
2017-08-04,37.47,39.94,37.03,39.1,691234000
2017-08-11,39.26,40.46,38.66,39.37,605076400
2017-08-18,39.83,40.63,39.18,39.38,538514000
2017-08-25,39.38,40.19,38.78,39.97,450684800
2017-09-01,40.03,41.24,39.98,41.01,504514800
2017-09-08,40.94,41.06,39.63,39.66,406640800
2017-09-15,40.12,40.99,39.48,39.97,884310000
2017-09-22,40.03,40.12,37.64,37.97,744754000
2017-09-29,37.5,38.68,37.29,38.53,619427200
2017-10-06,38.56,38.87,38.12,38.83,375137200
2017-10-13,38.95,39.5,38.78,39.25,325219200
2017-10-20,39.47,40.22,38.76,39.06,504205200
2017-10-27,39.22,40.9,38.82,40.76,489613200
2017-11-03,40.97,43.56,40.93,43.12,860709600
2017-11-10,43.09,44.06,42.93,43.67,553701600
2017-11-17,43.38,43.62,42.1,42.54,465838800
2017-11-24,42.57,43.88,42.39,43.74,324037200
2017-12-01,43.76,43.77,41.79,42.76,680394000
2017-12-08,43.12,43.15,41.62,42.34,549924400
2017-12-15,42.3,43.54,42.2,43.49,556588800
2017-12-22,43.72,44.3,43.31,43.75,470529600
2017-12-29,42.7,42.96,42.31,42.31,388655200
2018-01-05,42.54,43.84,42.31,43.75,404673600
2018-01-12,43.59,44.34,43.25,44.27,440790000
2018-01-19,44.47,45.03,43.77,44.62,510284800
2018-01-26,44.33,44.86,42.51,42.88,766299200
2018-02-02,42.54,42.54,40.03,40.12,1051968400
2018-02-09,39.78,40.97,37.56,39.1,1270616000
2018-02-16,39.62,43.71,39.38,43.11,901347600
2018-02-23,43.01,43.91,42.75,43.88,544825600
2018-03-02,44.09,45.15,43.11,44.05,808513600
2018-03-09,43.8,45.0,43.57,44.99,559410800
2018-03-16,45.07,45.88,44.4,44.51,621670000
2018-03-23,44.33,44.37,41.24,41.24,690682800
2018-03-30,42.02,43.79,41.3,41.94,634123200
2018-04-06,41.66,43.56,41.12,42.1,657635200
2018-04-13,42.47,43.96,42.46,43.68,511486000
2018-04-20,43.76,44.74,41.36,41.43,676952800
2018-04-27,41.71,41.73,40.16,40.58,648833600
2018-05-04,40.53,46.06,40.46,45.96,1011222800
2018-05-11,46.29,47.59,45.92,47.15,593067600
2018-05-18,47.25,47.38,46.28,46.58,396995200
2018-05-25,47.0,47.41,46.44,47.15,377579600
2018-06-01,46.9,47.56,46.53,47.56,368519600
2018-06-08,47.91,48.55,47.44,47.92,467079200
2018-06-15,47.84,48.22,47.06,47.21,560749200
2018-06-22,46.97,47.31,45.86,46.23,502417600
2018-06-29,45.85,46.82,45.18,46.28,486482000
2018-07-06,45.96,47.11,45.85,46.99,263102000
2018-07-13,47.38,47.96,46.9,47.83,340328800
2018-07-20,47.88,48.16,47.3,47.86,351736000
2018-07-27,47.67,48.99,47.39,47.74,377988800
2018-08-03,47.97,52.19,47.27,52.0,896758400
2018-08-10,52.0,52.44,51.13,51.88,486568400
2018-08-17,52.33,54.49,51.92,54.4,557495600
2018-08-24,54.53,54.79,53.46,54.04,451300800
2018-08-31,54.29,57.22,54.08,56.91,650762400
2018-09-07,57.1,57.42,55.18,55.33,530531600
2018-09-14,55.24,57.09,54.12,55.96,792999600
2018-09-21,55.54,55.74,53.83,54.42,874984400
2018-09-28,54.21,56.61,54.16,56.44,517372400
2018-10-05,56.99,58.37,55.15,56.07,570665200
2018-10-12,55.55,56.82,53.08,55.53,768031200
2018-10-19,55.29,55.75,53.25,54.83,594081600
2018-10-26,54.95,56.06,53.17,54.08,742398400
2018-11-02,54.8,55.59,51.36,51.87,1082425200
2018-11-09,51.08,52.53,49.54,51.12,764797600
2018-11-16,49.75,49.96,46.48,48.38,968906000
2018-11-23,47.5,47.67,43.03,43.07,657994800
2018-11-30,43.56,45.7,42.56,44.65,854999600
2018-12-07,46.12,46.24,42.08,42.12,670107200
2018-12-14,41.25,43.14,40.83,41.37,870150800
2018-12-21,41.36,42.09,37.41,37.68,1150777200
2018-12-28,37.04,39.63,36.65,39.06,764640800
2019-01-04,39.63,39.84,35.5,37.06,887850000
2019-01-11,37.17,38.63,36.47,38.07,814824400
2019-01-18,37.71,39.47,37.31,39.21,621168000
2019-01-25,39.1,39.53,37.92,39.44,450006400
2019-02-01,38.95,42.25,38.42,41.63,809187200
2019-02-08,41.85,43.89,41.82,42.6,605593600
2019-02-15,42.76,43.12,42.31,42.6,448918400
2019-02-22,42.43,43.33,42.37,43.24,325000400
2019-03-01,43.54,43.97,43.18,43.74,483522400
2019-03-08,43.92,44.44,42.38,43.23,467119200
2019-03-15,43.87,46.83,43.84,46.53,632534000
2019-03-22,46.45,49.42,46.18,47.76,729373200
2019-03-29,47.88,48.22,46.15,47.49,671354400
2019-04-05,47.91,49.28,47.1,49.25,446161600
2019-04-12,49.1,50.71,49.05,49.72,528026800
2019-04-19,49.65,51.04,49.5,50.97,385342400
2019-04-26,50.71,52.12,50.53,51.08,389981600
2019-05-03,51.1,53.83,49.78,52.94,745822400
2019-05-10,51.07,52.21,48.19,49.29,694654400
2019-05-17,46.93,48.12,45.71,47.25,745662000
2019-05-24,45.88,47.0,44.45,44.74,627880400
2019-05-31,44.73,45.15,43.75,43.77,418765600
2019-06-07,43.9,47.98,42.57,47.54,617392800
2019-06-14,47.95,49.2,47.58,48.19,447372400
2019-06-21,48.22,50.21,48.04,49.69,526635600
2019-06-28,49.63,50.39,48.82,49.48,469474000
2019-07-05,50.79,51.27,50.16,51.06,291262800
2019-07-12,50.2,51.1,49.6,50.83,406402800
2019-07-19,51.02,51.62,50.59,50.65,349566400
2019-07-26,50.91,52.43,50.9,51.94,348612800
2019-08-02,52.12,55.34,50.41,51.01,879082000
2019-08-09,49.5,50.88,48.15,50.25,692845600
2019-08-16,49.9,53.03,49.79,51.62,644382400
2019-08-23,52.65,53.61,50.25,50.66,567620000
2019-08-30,51.47,52.61,50.83,52.19,439958400
2019-09-06,51.61,53.6,51.06,53.31,329948400
2019-09-13,53.71,56.6,52.77,54.69,701467600
2019-09-20,54.43,55.94,54.37,54.43,569162000
2019-09-27,54.74,55.62,54.28,54.71,465780800
2019-10-04,55.22,57.06,53.78,56.75,634486800
2019-10-11,56.57,59.41,56.08,59.05,588705600
2019-10-18,58.72,59.53,58.3,59.1,422709600
2019-10-25,59.38,61.68,59.33,61.65,388122000
2019-11-01,61.85,63.98,59.31,63.96,654221600
2019-11-08,64.33,65.11,63.84,65.04,423960800
2019-11-15,64.57,66.44,64.57,66.44,461333600
2019-11-22,66.45,67.0,65.1,65.44,455825200
2019-11-29,65.68,67.0,65.62,66.81,301081200
2019-12-06,66.82,67.75,64.07,67.68,456599200
2019-12-13,67.5,68.82,66.23,68.79,568117600
2019-12-20,69.25,70.66,69.25,69.86,732720000
2019-12-27,70.13,73.49,70.09,72.45,386438000
2020-01-03,72.36,75.15,71.31,74.36,526723200
2020-01-10,73.45,78.17,73.19,77.58,670091600
2020-01-17,77.91,79.68,77.39,79.68,652055600
2020-01-24,79.3,80.83,78.91,79.58,463685200
2020-01-31,77.51,81.96,76.22,77.38,866734800
2020-02-07,76.07,81.31,75.56,80.01,652341200
2020-02-14,78.54,81.81,78.46,81.24,492263600
2020-02-21,78.84,81.16,77.62,78.26,476635200
2020-02-28,74.32,76.04,64.09,68.34,1398039200
2020-03-06,70.57,76.0,69.43,72.26,1293800800
2020-03-13,65.94,71.61,62.0,69.49,1616839600
2020-03-20,60.49,64.77,57.0,57.31,1620263600
2020-03-27,57.02,64.67,53.15,61.94,1384190000
2020-04-03,62.69,65.62,59.22,60.35,837010800
2020-04-10,62.72,67.93,62.35,67.0,735437600
2020-04-17,67.08,72.06,66.46,70.7,829547200
2020-04-24,69.49,70.75,66.36,70.74,678844800
2020-05-01,70.45,74.75,69.55,72.27,790054000
2020-05-08,72.29,77.59,71.58,77.53,672706400
2020-05-15,77.03,79.92,75.05,76.93,834147600
2020-05-22,78.29,80.22,77.58,79.72,532904800
2020-05-29,80.88,81.06,78.27,79.49,525560400
2020-06-05,79.44,82.94,79.3,82.88,497736000
2020-06-12,82.56,88.69,81.83,84.7,811826800
2020-06-19,83.31,89.14,83.14,87.43,779940400
2020-06-26,87.83,93.1,87.79,88.41,883003200
2020-07-03,88.31,92.62,87.82,91.03,495648000
2020-07-10,92.5,96.32,92.47,95.92,564072000
2020-07-17,97.26,99.96,93.88,96.33,718600800
2020-07-24,96.42,99.25,89.14,92.61,665196000
2020-07-31,93.71,106.42,93.25,106.26,847635600
2020-08-07,108.2,114.41,107.89,111.11,1003474000
2020-08-14,112.6,116.04,109.11,114.91,941551200
2020-08-21,116.06,124.87,113.96,124.37,835695200
2020-08-28,128.7,128.79,123.05,124.81,1063638000
2020-09-04,127.58,137.98,110.89,120.96,1167976600
2020-09-11,113.95,120.5,110.0,112.0,771441800
2020-09-18,114.72,118.83,106.09,106.84,944587000
2020-09-25,104.54,112.86,103.1,112.28,847212600
2020-10-02,115.01,117.72,112.22,113.02,640562200
2020-10-09,113.91,117.0,112.25,116.97,548575100
2020-10-16,120.06,125.39,118.15,119.02,881222300
2020-10-23,119.96,120.42,114.28,115.04,519569600
2020-10-30,114.01,117.28,107.72,108.86,684467100
2020-11-06,109.11,119.62,107.32,118.69,609571800
2020-11-13,120.5,121.99,114.13,119.26,589577900
2020-11-20,118.92,120.99,116.81,117.34,389493400
2020-11-27,117.18,117.62,112.59,116.59,365024000
2020-12-04,116.97,123.78,116.81,122.25,543370600
