Date,Open,High,Low,Close,Volume
2015-02-27,58.95,59.65,57.82,58.54,7106800
2015-03-06,58.81,59.78,57.45,57.93,6960100
2015-03-13,57.97,58.59,56.68,57.53,6394200
2015-03-20,57.81,61.32,57.65,61.07,13441500
2015-03-27,60.68,61.09,56.27,58.84,14051300
2015-04-03,62.1,64.94,61.85,62.24,18763100
2015-04-10,61.59,64.39,61.33,64.24,9562900
2015-04-17,64.25,64.65,62.46,63.42,9228000
2015-04-24,63.67,64.74,61.85,62.53,10590800
2015-05-01,62.02,63.65,61.29,63.27,11771900
2015-05-08,63.63,63.9,61.26,62.72,8526700
2015-05-15,62.75,63.93,61.59,63.18,8922100
2015-05-22,63.23,67.47,63.03,67.1,22125900
2015-05-29,66.95,68.75,65.94,67.96,10059400
2015-06-05,68.41,68.97,66.41,67.37,9470300
2015-06-12,67.43,67.88,65.27,66.26,10214100
2015-06-19,65.75,68.63,65.37,67.91,10416500
2015-06-26,68.34,68.6,65.26,65.8,11983100
2015-07-03,65.41,66.28,63.82,64.38,8624400
2015-07-10,63.85,64.31,60.88,61.51,12524700
2015-07-17,62.06,63.25,61.65,62.46,9166900
2015-07-24,62.61,62.73,57.16,58.49,14488800
2015-07-31,58.22,59.56,57.53,58.33,11083900
2015-08-07,58.43,60.84,58.0,59.61,12502900
2015-08-14,59.95,61.23,58.27,58.84,9658100
2015-08-21,58.47,60.82,53.03,53.78,27263400
2015-08-28,51.49,56.99,50.56,56.45,24658000
2015-09-04,56.32,56.41,53.23,53.96,12329500
2015-09-11,55.99,58.65,55.31,56.35,12063000
2015-09-18,57.28,58.96,56.21,56.67,14607300
2015-09-25,56.88,57.38,52.48,54.44,13255900
2015-10-02,54.27,56.54,53.13,55.69,15400600
2015-10-09,56.18,58.06,55.92,56.69,14610000
2015-10-16,56.78,64.16,55.96,60.19,23788100
2015-10-23,59.94,64.11,59.53,63.62,14165800
2015-10-30,63.25,63.39,59.27,60.12,13238400
2015-11-06,60.19,61.98,59.83,61.7,7433100
2015-11-13,61.53,61.55,57.8,58.13,8989900
2015-11-20,58.08,60.83,57.78,59.42,12555400
2015-11-27,58.9,61.36,56.5,60.45,18482700
2015-12-04,60.39,62.4,56.77,59.21,17544200
2015-12-11,59.22,59.49,56.29,56.93,14309900
2015-12-18,56.88,57.87,55.12,55.17,16527900
2015-12-25,55.83,57.0,55.35,56.8,4589100
2016-01-01,56.67,57.75,55.32,55.32,5422500
2016-01-08,54.24,54.84,49.98,49.98,18086300
2016-01-15,51.04,52.35,47.24,49.82,20165700
2016-01-22,50.33,51.76,48.49,51.38,14516400
2016-01-29,51.27,53.94,50.77,53.86,13824100
2016-02-05,53.38,53.7,49.56,49.82,12151300
2016-02-12,49.25,50.13,48.17,49.64,14161900
2016-02-19,49.79,53.98,49.79,52.1,13189700
2016-02-26,52.67,53.62,50.1,53.44,10437400
2016-03-04,53.46,56.21,52.99,55.78,11142600
2016-03-11,55.16,56.49,54.42,55.94,10629200
2016-03-18,55.57,59.06,55.16,59.01,12426600
2016-03-25,58.76,58.98,57.67,58.64,8063100
2016-04-01,58.63,59.45,57.89,58.98,7269200
2016-04-08,58.97,59.25,57.83,58.8,7339400
2016-04-15,59.09,59.85,58.07,58.66,7950800
2016-04-22,58.68,59.37,57.76,58.48,8563200
2016-04-29,58.45,59.87,55.88,56.32,9916600
2016-05-06,56.31,57.04,54.84,55.47,9893000
2016-05-13,55.69,56.52,54.33,54.72,10501300
2016-05-20,54.87,57.1,53.0,56.54,11730000
2016-05-27,56.77,58.72,56.61,58.44,6644900
2016-06-03,58.43,58.77,57.2,58.11,5596500
2016-06-10,58.05,58.4,56.61,56.96,11169400
2016-06-17,56.86,57.55,55.61,55.99,9443900
2016-06-24,56.78,58.12,54.75,55.04,14911600
2016-07-01,53.86,56.92,52.17,56.63,13812700
2016-07-08,55.99,57.79,54.55,57.74,6814700
2016-07-15,57.99,60.25,57.84,60.15,9282100
2016-07-22,60.5,60.92,59.66,60.4,6803900
2016-07-29,60.49,66.91,60.2,63.83,29170600
2016-08-05,64.19,64.32,62.24,63.69,10936300
2016-08-12,63.83,64.36,62.87,64.24,8510600
2016-08-19,64.24,65.49,63.16,64.14,12352200
2016-08-26,64.4,64.74,62.56,62.96,10972200
2016-09-02,63.09,63.53,61.6,63.15,8609300
2016-09-09,63.24,63.43,59.37,59.62,9630200
2016-09-16,59.13,62.85,59.01,62.05,13772100
2016-09-23,62.42,64.02,62.21,63.23,12023100
2016-09-30,62.79,64.97,61.81,64.45,12985400
2016-10-07,64.29,65.18,63.74,64.42,8788700
2016-10-14,64.78,64.88,59.54,62.06,16360900
2016-10-21,61.65,63.68,61.27,62.91,12998900
2016-10-28,63.53,64.29,63.06,63.53,11449800
2016-11-04,64.04,64.44,62.84,63.43,12643400
2016-11-11,64.53,65.97,62.5,65.32,12017200
2016-11-18,65.42,68.58,65.33,68.47,14394500
2016-11-25,68.75,74.87,68.71,74.2,19349000
2016-12-02,74.01,74.86,68.42,70.11,18614300
2016-12-09,70.84,74.82,70.15,73.14,11550500
2016-12-16,72.85,74.0,71.97,72.09,14145700
2016-12-23,72.41,74.29,72.15,73.84,8455000
2016-12-30,73.81,74.62,72.39,72.62,5837500
2017-01-06,72.6,74.13,71.0,71.6,8795200
2017-01-13,71.64,72.88,71.0,72.67,9991900
2017-01-20,72.23,73.65,71.85,72.88,8281500
2017-01-27,72.74,76.94,72.41,76.93,17455500
2017-02-03,76.76,76.76,74.6,75.52,12307900
2017-02-10,75.65,77.77,74.94,76.53,11183300
2017-02-17,77.01,82.57,76.81,82.48,18658100
2017-02-24,82.5,82.87,80.82,81.68,11173700
2017-03-03,81.65,84.08,81.24,83.18,11175100
2017-03-10,83.0,84.24,82.03,82.2,18492000
2017-03-17,82.15,83.73,82.05,83.26,22545800
2017-03-24,83.26,83.7,81.31,81.64,14253400
2017-03-31,81.0,82.61,80.39,81.95,11082600
2017-04-07,82.02,82.27,79.59,80.01,18918700
2017-04-14,80.0,80.12,76.47,76.51,14074500
2017-04-21,76.78,78.89,75.82,77.63,15805700
2017-04-28,79.47,80.07,75.96,76.2,15254300
2017-05-05,75.05,76.49,74.65,75.79,18815900
2017-05-12,75.66,80.01,75.36,78.63,18514000
2017-05-19,79.17,82.27,78.37,81.24,19689100
2017-05-26,81.57,82.95,80.9,82.81,11830700
2017-06-02,83.0,90.49,79.92,80.91,41902800
2017-06-09,81.01,82.98,77.58,78.6,26676800
2017-06-16,78.01,81.86,77.93,80.04,21452600
2017-06-23,81.0,82.14,79.0,81.55,25662600
2017-06-30,81.95,82.1,76.18,77.8,15041800
2017-07-07,78.27,78.85,76.07,78.47,9837200
2017-07-14,78.51,81.69,77.76,81.55,11384500
2017-07-21,81.61,81.85,78.43,78.96,10906600
2017-07-28,78.96,81.3,78.42,79.24,10449600
2017-08-04,79.46,79.93,77.53,77.78,10723700
2017-08-11,79.65,79.88,76.41,78.04,10195900
2017-08-18,78.66,80.9,77.03,77.74,10110500
2017-08-25,77.81,79.84,76.95,78.97,7118100
2017-09-01,79.21,85.18,78.54,84.38,19278200
2017-09-08,83.74,84.1,80.1,80.44,12600500
2017-09-15,80.81,84.06,80.81,83.84,13876300
2017-09-22,85.0,85.71,82.91,84.92,12294100
2017-09-29,84.47,86.41,83.6,86.17,8000100
2017-10-06,86.59,88.35,85.58,87.87,10239500
2017-10-13,87.96,89.67,87.28,89.06,9344800
2017-10-20,89.48,89.93,87.38,88.93,7740500
2017-10-27,89.43,91.38,88.38,91.21,9606900
2017-11-03,91.35,92.11,90.19,91.81,7968100
2017-11-10,92.42,92.96,87.98,89.59,10445400
2017-11-17,89.36,91.05,88.67,90.42,11492700
2017-11-24,90.97,93.99,88.01,89.15,18210300
2017-12-01,88.49,88.83,83.59,85.4,20275700
2017-12-08,85.56,86.92,83.85,85.52,16195100
2017-12-15,85.49,87.21,84.82,86.69,12693600
2017-12-22,87.21,89.14,87.2,88.85,10532200
2017-12-29,88.28,89.86,87.68,89.03,8593900
2018-01-05,89.24,92.28,88.93,91.67,8031500
2018-01-12,91.81,92.59,89.79,92.02,12441400
2018-01-19,92.38,98.38,92.35,96.14,15432500
2018-01-26,96.39,97.12,91.93,93.84,22356100
2018-02-02,93.2,94.44,89.06,89.11,15459800
2018-02-09,88.75,89.61,80.95,83.93,24742800
2018-02-16,84.3,86.79,83.39,86.09,13580600
2018-02-23,87.28,90.43,86.92,90.37,11110300
2018-03-02,90.57,94.92,86.79,89.53,16623200
2018-03-09,88.83,94.85,88.77,94.73,12856200
2018-03-16,94.74,96.85,93.16,94.15,13179400
2018-03-23,93.73,93.89,87.65,87.7,11732700
2018-03-30,89.33,94.32,88.94,91.13,13442400
2018-04-06,90.47,92.45,87.54,88.31,12163800
2018-04-13,89.12,93.6,87.9,92.78,11363200
2018-04-20,93.18,95.54,88.66,89.76,14142900
2018-04-27,90.17,90.19,87.21,87.68,13299700
2018-05-04,87.77,90.32,86.03,90.27,12103100
2018-05-11,89.86,93.64,89.86,92.6,8654800
2018-05-18,93.19,95.57,92.79,94.88,12287300
2018-05-25,95.57,96.37,93.99,95.45,9445000
2018-06-01,94.68,98.43,93.0,98.4,14085500
2018-06-08,98.5,103.59,97.43,101.06,12638000
2018-06-15,100.86,102.98,100.1,101.5,10672100
2018-06-22,100.45,101.34,98.68,99.09,12955300
2018-06-29,98.14,99.41,95.05,95.92,16900500
2018-07-06,95.04,97.41,94.37,97.2,6463100
2018-07-13,97.42,98.74,95.9,98.12,9059100
2018-07-20,98.35,99.4,96.46,97.81,7720700
2018-07-27,97.39,99.18,95.09,96.98,11674600
2018-08-03,97.57,97.57,94.75,96.56,9493200
2018-08-10,96.19,98.71,94.08,94.94,7976100
2018-08-17,95.19,96.24,92.67,94.58,10421300
2018-08-24,94.79,98.98,92.05,98.78,19093600
2018-08-31,99.29,100.87,98.2,98.85,12552300
2018-09-07,97.49,98.89,93.59,93.96,15003300
2018-09-14,94.56,95.18,89.35,92.53,18503700
2018-09-21,92.11,95.7,91.16,94.56,14085800
2018-09-28,94.14,95.37,90.55,92.46,16012200
2018-10-05,92.81,93.92,86.26,87.15,16243900
2018-10-12,86.79,87.23,83.07,84.17,23803900
2018-10-19,83.71,86.42,81.55,82.34,17567700
2018-10-26,83.01,83.39,76.62,79.03,23513400
2018-11-02,81.32,89.01,78.98,87.18,20677400
2018-11-09,87.09,90.08,85.59,87.59,11743000
2018-11-16,86.4,89.96,84.1,89.48,16713300
2018-11-23,89.62,90.83,83.84,88.64,18192700
2018-11-30,90.31,91.97,88.0,91.92,15121300
2018-12-07,93.34,94.62,86.17,86.42,13340100
2018-12-14,86.36,91.04,86.0,87.27,11612100
2018-12-21,87.25,89.36,81.53,82.32,18768300
2018-12-28,82.11,86.9,80.08,85.46,8013300
2019-01-04,86.09,86.54,80.46,82.69,12118900
2019-01-11,82.54,91.11,82.08,90.06,15043600
2019-01-18,88.68,91.53,85.44,91.36,11901500
2019-01-25,90.57,98.15,87.77,97.67,15119700
2019-02-01,94.95,100.63,94.86,100.54,12748000
2019-02-08,100.47,103.48,98.73,100.73,14173400
2019-02-15,102.4,105.83,101.02,105.74,13603900
2019-02-22,105.44,108.28,104.15,105.91,14300400
2019-03-01,106.8,108.79,104.95,108.44,14721700
2019-03-08,109.0,109.48,104.12,105.41,14687900
2019-03-15,105.45,110.65,105.43,109.39,13625900
2019-03-22,109.03,111.12,107.32,107.4,13356700
2019-03-29,104.84,107.47,103.3,105.27,14014800
2019-04-05,106.52,111.8,106.26,111.46,12834200
2019-04-12,110.75,114.29,109.95,114.21,9830600
2019-04-19,114.44,115.93,112.62,114.79,8277800
2019-04-26,114.41,118.54,112.16,114.44,16658700
2019-05-03,114.25,117.96,113.4,116.95,10803200
2019-05-10,114.07,115.39,107.68,110.6,14863500
2019-05-17,107.14,108.83,100.19,100.83,19355600
2019-05-24,97.88,103.1,96.72,98.42,20000100
2019-05-31,98.66,99.57,95.94,96.62,10910000
2019-06-07,97.31,102.43,95.51,100.69,13201700
2019-06-14,104.29,108.56,102.78,104.02,12034200
2019-06-21,104.2,114.36,103.47,113.67,14312100
2019-06-28,113.71,114.42,109.85,112.87,16582500
2019-07-05,117.17,118.14,111.31,112.86,6410200
2019-07-12,112.19,116.26,111.4,116.2,9058600
2019-07-19,116.9,117.69,113.25,115.78,8584300
2019-07-26,116.05,124.79,115.55,121.8,12263400
2019-08-02,122.08,122.5,112.24,112.68,11014100
2019-08-09,109.44,112.46,106.14,110.66,12110800
2019-08-16,110.22,113.58,107.81,110.52,11021400
2019-08-23,113.06,113.72,103.72,104.17,15419800
2019-08-30,105.57,110.96,105.0,109.83,10117200
2019-09-06,108.71,113.9,105.83,112.67,7300300
2019-09-13,113.19,118.46,111.25,116.52,8755600
2019-09-20,115.18,116.84,114.44,115.33,8809400
2019-09-27,114.95,115.14,109.76,111.04,9398300
2019-10-04,112.15,116.19,108.0,113.03,9977800
2019-10-11,112.92,113.29,106.09,111.22,11221100
2019-10-18,110.57,113.41,108.42,109.48,9238000
2019-10-25,110.19,112.24,104.58,106.83,12458500
2019-11-01,107.7,110.99,104.95,109.37,13233700
2019-11-08,111.07,114.43,110.35,113.02,8664700
2019-11-15,112.55,114.95,111.42,113.4,8093800
2019-11-22,113.03,113.03,107.85,110.65,11395600
2019-11-29,111.62,116.31,107.51,112.95,15448900
2019-12-06,113.06,116.1,108.67,115.89,11308100
2019-12-13,115.78,119.47,114.03,118.77,10639200
2019-12-20,119.52,120.5,116.86,119.82,12278300
2019-12-27,120.0,120.55,118.99,119.45,4327000
2020-01-03,119.28,120.65,117.73,118.31,4724500
2020-01-10,116.25,121.69,115.61,118.57,9259600
2020-01-17,118.78,120.59,117.23,119.47,8130500
2020-01-24,118.19,122.2,116.9,117.57,8345500
2020-01-31,114.65,114.98,109.2,109.75,14915600
2020-02-07,110.7,117.19,109.55,112.27,9638900
2020-02-14,110.91,119.37,110.45,117.65,10695500
2020-02-21,116.23,127.3,116.07,122.76,13549300
2020-02-28,119.34,119.69,103.5,109.05,18763900
2020-03-06,110.09,113.19,104.51,107.0,15574800
2020-03-13,99.61,103.61,87.25,99.79,28342700
2020-03-20,89.84,96.9,79.08,85.08,27601000
2020-03-27,85.78,97.44,80.51,88.67,19648200
2020-04-03,89.54,92.27,82.9,86.56,15824200
2020-04-10,90.14,103.57,89.92,98.79,13295900
2020-04-17,97.52,104.73,97.33,102.8,11949000
2020-04-24,102.16,106.43,96.05,105.92,14182000
2020-05-01,106.61,114.06,103.23,103.64,11279900
2020-05-08,103.13,109.87,100.99,109.83,8142800
2020-05-15,108.04,110.66,100.09,101.8,12215600
2020-05-22,105.08,115.57,104.57,111.06,15667000
2020-05-29,113.87,115.39,110.41,112.95,9125300
2020-06-05,112.37,127.39,111.33,124.59,13287400
2020-06-12,125.0,125.35,115.43,118.41,12523200
2020-06-19,116.15,124.39,115.07,120.18,11625200
2020-06-26,120.02,124.51,117.14,117.87,10904600
2020-07-03,118.91,123.2,117.11,121.24,7018100
2020-07-10,122.96,125.08,120.99,124.5,8622400
2020-07-17,121.73,122.93,113.81,116.75,31645600
2020-07-24,117.04,117.85,110.47,112.21,20789200
2020-07-31,113.12,117.76,112.91,114.85,18772800
2020-08-07,115.87,118.04,114.93,116.32,13903200
2020-08-14,116.24,119.57,115.46,117.18,16304100
2020-08-21,118.43,119.47,115.74,116.02,18955500
2020-08-28,117.21,121.25,116.22,119.58,13940300
2020-09-04,118.75,122.52,114.25,117.44,20539700
2020-09-11,114.39,116.85,112.5,113.8,13843200
2020-09-18,115.78,117.73,112.6,114.91,15452300
2020-09-25,112.97,115.63,110.66,113.48,13201100
2020-10-02,115.32,119.64,114.0,114.01,13816000
2020-10-09,115.36,124.41,114.97,123.33,20420600
2020-10-16,124.72,126.49,120.9,123.64,11253100
2020-10-23,124.62,125.81,122.33,124.2,13656500
2020-10-30,123.38,123.65,115.64,118.53,13827900
2020-11-06,120.14,133.78,117.62,133.5,16328000
2020-11-13,138.56,140.38,133.9,136.27,16642400
2020-11-20,137.78,140.17,131.5,134.88,13539200
2020-11-27,135.28,138.55,132.84,137.75,10905600
2020-12-04,137.65,144.14,137.1,143.97,13447600
2020-12-11,144.68,146.31,139.49,141.15,13511600
2020-12-18,142.06,145.26,141.57,144.56,12936900
2020-12-25,141.73,145.62,141.31,144.47,6656100
2021-01-01,146.41,147.83,142.74,147.73,5527300
2021-01-08,148.45,159.81,144.62,156.74,13374500
2021-01-15,156.13,161.78,155.01,157.75,12172200
2021-01-22,158.46,162.98,155.42,155.58,10904900
2021-01-29,157.0,157.29,146.65,147.33,19535300
2021-02-05,148.34,154.25,147.0,148.76,12395500
2021-02-12,150.16,161.4,148.76,160.78,11116200
2021-02-19,162.85,164.4,155.0,163.8,13740000
2021-02-26,162.31,163.41,152.26,155.82,18137900
2021-03-05,157.08,159.41,142.25,148.88,17977800
2021-03-12,147.77,152.12,143.77,149.54,20457600
2021-03-19,149.62,154.87,147.74,151.91,15768900
2021-03-26,153.22,157.37,146.51,157.11,15031100
2021-04-02,155.03,160.49,151.5,160.38,11695800
2021-04-09,162.16,163.9,158.63,161.24,11963100
2021-04-16,160.64,161.33,157.36,159.51,9005600
2021-04-23,158.48,159.97,153.57,159.02,14361200
2021-04-30,158.63,161.92,152.57,153.16,19110500
2021-05-07,154.0,158.35,148.55,157.26,19012100
2021-05-14,156.83,157.17,145.62,149.61,22413700
2021-05-21,148.37,161.2,144.07,159.36,25881800
2021-05-28,160.99,165.62,160.73,164.6,16997600
2021-06-04,163.76,166.32,161.02,165.58,10050300
2021-06-11,164.66,167.87,163.24,167.6,12970800
2021-06-18,167.77,168.93,161.47,162.19,13822200
2021-06-25,162.57,169.47,162.18,167.66,13233400
2021-07-02,168.94,172.45,168.44,170.67,11770300
2021-07-09,171.53,171.53,160.18,166.27,11996700
2021-07-16,166.52,170.0,160.26,160.44,12003900
