Date,Open,High,Low,Close,Volume
2015-03-27,47.07,47.72,46.17,46.46,19053600
2015-04-03,46.76,48.34,46.56,47.35,19123900
2015-04-10,47.36,48.65,47.34,47.96,16396400
2015-04-17,47.9,48.49,47.6,48.28,16855000
2015-04-24,48.35,48.75,47.69,48.21,11386200
2015-05-01,48.35,49.93,48.3,49.78,17892100
2015-05-08,49.78,51.38,49.34,51.25,19761900
2015-05-15,51.09,53.16,51.0,53.04,18339000
2015-05-22,52.8,53.25,52.21,52.67,13370200
2015-05-29,52.59,53.26,52.05,52.85,14615000
2015-06-05,52.89,53.31,50.82,51.01,16793500
2015-06-12,51.15,52.69,50.81,51.91,13608000
2015-06-19,51.42,51.79,50.26,51.5,18056100
2015-06-26,51.73,52.42,49.53,49.57,14979200
2015-07-03,49.34,49.67,48.19,48.65,16377200
2015-07-10,48.16,48.6,46.73,47.21,23958100
2015-07-17,47.55,48.05,47.22,48.02,14134100
2015-07-24,48.04,48.38,47.05,47.19,14677100
2015-07-31,46.93,48.39,46.81,47.42,18572900
2015-08-07,47.42,49.5,46.3,46.42,21264700
2015-08-14,46.7,47.78,45.39,47.2,20736200
2015-08-21,46.48,48.17,45.09,45.12,19880700
2015-08-28,42.84,45.17,42.53,44.65,26464000
2015-09-04,44.45,45.06,42.65,42.9,18968800
2015-09-11,43.71,44.33,42.55,42.82,12504600
2015-09-18,42.9,44.9,42.75,43.23,19920600
2015-09-25,43.5,43.76,41.31,42.5,16819500
2015-10-02,42.14,42.44,40.66,42.42,20463000
2015-10-09,42.7,45.53,42.7,45.42,16912000
2015-10-16,45.33,45.98,44.66,45.96,12461300
2015-10-23,45.82,46.98,45.25,46.89,13786800
2015-10-30,46.81,47.03,45.45,45.66,14249600
2015-11-06,45.81,46.29,41.74,42.13,32522300
2015-11-13,41.89,42.03,37.69,37.76,27976500
2015-11-20,37.59,38.42,35.6,35.83,32374300
2015-11-27,35.81,37.03,35.71,36.46,22215900
2015-12-04,36.53,37.02,35.41,35.97,33749600
2015-12-11,35.97,36.02,34.11,34.22,24286800
2015-12-18,34.19,35.46,33.84,35.0,31877600
2015-12-25,35.23,37.17,35.05,36.65,16429600
2016-01-01,36.66,37.17,36.09,36.68,10079700
2016-01-08,36.11,36.27,34.31,34.39,22927800
