Date,Open,High,Low,Close,Volume
2015-04-03,41.54,42.7,41.39,42.29,5699500
2015-04-10,42.36,43.0,41.27,42.12,8525900
2015-04-17,42.01,42.42,40.96,41.13,6141900
2015-04-24,41.25,42.73,41.25,42.32,6318200
2015-05-01,42.73,42.84,40.67,41.2,7446600
2015-05-08,41.24,41.93,39.7,40.39,9355300
2015-05-15,40.29,40.8,39.66,40.54,6849200
2015-05-22,40.34,41.21,40.27,40.65,5241700
2015-05-29,40.67,40.67,40.01,40.23,4380900
2015-06-05,40.25,40.49,38.28,38.37,6651200
2015-06-12,38.02,38.36,37.75,37.77,6875100
2015-06-19,37.75,38.76,37.4,38.26,5945400
2015-06-26,38.12,38.5,37.26,37.73,6485800
2015-07-03,37.72,38.67,37.52,38.5,6334100
2015-07-10,38.41,39.68,38.17,39.02,6600600
2015-07-17,39.15,39.78,38.62,39.39,5465000
2015-07-24,39.33,39.33,37.92,38.53,5675200
2015-07-31,38.59,41.34,38.46,41.08,8022500
2015-08-07,41.26,42.33,40.93,42.12,7518600
2015-08-14,42.13,42.82,40.99,42.74,11220200
2015-08-21,42.78,43.85,42.51,42.51,9052000
2015-08-28,41.07,41.98,39.66,41.07,12689400
2015-09-04,40.94,41.01,38.35,38.56,9458600
2015-09-11,38.69,39.12,38.15,38.82,6074300
2015-09-18,38.84,41.07,38.7,40.37,9734100
2015-09-25,40.52,41.83,40.36,41.37,7827000
2015-10-02,41.39,42.44,41.24,42.32,7637500
2015-10-09,42.45,43.24,42.0,43.12,7205800
2015-10-16,43.2,44.44,43.14,44.1,7227800
2015-10-23,43.97,44.65,43.68,43.99,6016600
2015-10-30,44.06,44.71,42.95,43.68,7667800
2015-11-06,43.7,44.49,42.18,42.55,7894100
2015-11-13,42.35,44.51,41.88,43.13,9463300
2015-11-20,43.24,44.34,42.37,44.11,13884500
2015-11-27,44.03,44.17,42.75,43.31,4861700
2015-12-04,43.45,44.09,41.98,43.34,12706000
2015-12-11,42.8,43.07,41.33,41.72,9950200
2015-12-18,41.7,44.06,41.41,43.2,12425300
2015-12-25,43.28,43.95,42.44,43.68,4460700
2016-01-01,43.61,44.44,42.92,43.23,5036400
2016-01-08,43.13,44.08,42.35,43.51,12264100
2016-01-15,43.54,43.97,42.86,43.51,9802300
2016-01-22,44.0,44.0,41.5,42.95,11695100
2016-01-29,43.06,44.97,42.54,44.92,9196300
2016-02-05,44.73,47.9,44.69,46.49,14984700
2016-02-12,46.62,46.94,44.84,45.25,9899000
2016-02-19,45.32,46.69,44.91,45.6,11868300
2016-02-26,45.56,48.22,45.46,46.49,11567200
2016-03-04,46.4,47.6,45.56,47.35,9921300
2016-03-11,46.83,48.5,46.7,48.22,9166400
2016-03-18,48.01,49.42,47.54,48.98,9274700
2016-03-25,48.89,49.28,48.16,49.25,5699200
2016-04-01,49.49,50.58,48.92,50.54,7764700
2016-04-08,50.57,51.06,48.7,48.78,13231600
2016-04-15,48.86,49.13,48.06,48.73,7545300
2016-04-22,48.74,49.27,46.29,46.55,6835900
2016-04-29,46.48,48.06,46.4,48.0,9444300
2016-05-06,48.05,49.27,47.8,48.19,9263900
2016-05-13,48.28,49.0,47.35,48.07,11541700
2016-05-20,47.94,48.17,46.3,47.24,12666100
2016-05-27,47.29,48.14,46.65,48.11,6430900
2016-06-03,48.2,50.25,47.97,50.0,14296400
2016-06-10,49.47,51.02,49.27,50.96,8181700
2016-06-17,50.96,51.4,50.45,51.27,7655500
2016-06-24,51.4,52.31,50.8,51.79,7065000
2016-07-01,51.73,53.93,51.5,53.75,9508800
2016-07-08,53.75,54.08,51.98,53.15,10107700
2016-07-15,52.93,53.09,50.65,52.51,7181300
2016-07-22,52.52,52.97,51.68,52.87,6733300
2016-07-29,52.83,52.94,51.26,52.44,5637600
2016-08-05,52.43,52.59,50.87,51.0,7958100
