Date,Open,High,Low,Close,Volume
2015-03-27,12.83,12.98,12.33,12.48,21120000
2015-04-03,12.52,12.95,12.48,12.84,16977300
2015-04-10,12.86,13.38,12.85,13.2,21177900
2015-04-17,13.17,13.42,12.97,13.16,19076900
2015-04-24,13.18,13.67,13.0,13.46,31835300
2015-05-01,13.54,13.61,13.05,13.27,25785800
2015-05-08,13.42,13.83,13.3,13.66,30405400
2015-05-15,13.29,13.84,13.2,13.7,75071500
2015-05-22,13.66,13.79,13.31,13.7,27458100
2015-05-29,13.68,13.7,13.29,13.6,20625800
2015-06-05,13.59,13.73,12.9,13.15,33465400
2015-06-12,13.12,13.65,13.02,13.35,28152200
2015-06-19,13.33,13.97,13.28,13.85,25606800
2015-06-26,13.89,14.02,13.33,13.46,23915000
2015-07-03,13.41,13.52,13.05,13.3,19944800
2015-07-10,13.24,13.34,12.78,13.1,32928900
2015-07-17,13.17,13.38,13.02,13.21,25900300
2015-07-24,13.17,13.22,12.68,12.79,22304400
2015-07-31,12.73,13.01,12.66,12.8,26844500
2015-08-07,12.82,12.94,12.34,12.64,18006900
2015-08-14,12.58,13.21,12.27,12.81,26321000
2015-08-21,12.8,12.99,11.92,12.0,23814700
2015-08-28,11.27,12.14,11.15,12.1,47750000
2015-09-04,12.03,12.07,11.0,11.03,29699300
2015-09-11,11.24,11.56,11.05,11.13,24141500
2015-09-18,11.12,11.38,10.88,10.94,34048000
2015-09-25,11.0,11.09,9.85,9.96,42584000
2015-10-02,9.92,10.09,9.42,10.09,40236200
2015-10-09,10.15,10.84,10.14,10.72,35757600
2015-10-16,10.73,10.85,10.51,10.78,25597200
2015-10-23,10.68,11.16,10.52,11.05,32508900
2015-10-30,10.99,11.21,10.75,10.95,27979600
2015-11-06,10.98,11.09,9.61,10.2,39475900
2015-11-13,10.16,10.23,9.72,9.8,28953600
2015-11-20,9.77,9.92,9.45,9.67,24288400
2015-11-27,9.67,10.02,9.58,9.99,18541300
2015-12-04,10.0,10.09,9.3,9.32,33454800
2015-12-11,9.26,9.43,8.96,8.97,24735800
2015-12-18,9.05,9.5,8.76,9.06,40124900
2015-12-25,9.08,9.65,9.01,9.58,17077300
2016-01-01,9.56,9.73,9.37,9.57,14973000
2016-01-08,9.44,9.59,8.78,9.13,29373900
2016-01-15,9.12,9.22,8.32,8.54,41184400
2016-01-22,8.64,9.39,8.22,9.17,34642600
2016-01-29,9.13,9.51,8.74,9.5,33179900
2016-02-05,9.47,10.11,9.27,9.75,39534300
2016-02-12,9.68,9.71,8.88,9.17,30584800
2016-02-19,9.28,9.76,9.2,9.41,19684900
2016-02-26,9.66,10.14,9.32,9.87,27579800
2016-03-04,9.85,10.82,9.76,10.79,24806300
2016-03-11,10.74,11.01,10.43,10.91,30776200
2016-03-18,10.87,11.7,10.81,11.62,34385500
2016-03-25,11.6,11.65,11.16,11.57,26118500
2016-04-01,11.61,11.8,11.35,11.57,28107100
2016-04-08,11.56,11.66,10.79,10.96,33034800
2016-04-15,11.01,11.34,10.96,11.25,19061000
2016-04-22,11.25,11.54,11.06,11.18,16316000
2016-04-29,11.17,11.48,10.92,11.16,20444300
2016-05-06,11.15,11.37,10.95,11.08,18978200
2016-05-13,10.95,11.49,10.8,11.16,19402700
2016-05-20,11.18,11.24,10.49,10.89,21761400
2016-05-27,10.86,11.13,10.73,11.11,17937500
2016-06-03,11.12,11.3,10.79,11.22,23330900
2016-06-10,11.24,11.55,11.16,11.2,20399500
2016-06-17,11.17,11.62,10.91,11.61,24725500
2016-06-24,11.71,12.14,11.63,11.89,31905100
2016-07-01,11.73,12.53,11.29,12.33,39937800
2016-07-08,12.25,12.32,12.0,12.32,19237000
2016-07-15,12.32,12.68,12.24,12.63,18987000
2016-07-22,12.63,12.68,12.35,12.65,14924300
2016-07-29,12.64,12.72,12.1,12.35,18793900
2016-08-05,12.33,12.59,12.07,12.23,24218200
2016-08-12,12.28,12.37,12.03,12.22,17057000
2016-08-19,12.24,12.5,11.89,12.22,25022900
2016-08-26,12.22,12.4,11.96,12.02,18077300
2016-09-02,12.07,12.26,11.85,12.23,21854900
2016-09-09,12.3,13.08,12.25,12.33,26717400
2016-09-16,12.28,12.65,12.22,12.54,28374400
2016-09-23,12.59,13.32,12.52,13.26,20029700
2016-09-30,13.23,13.27,12.8,12.85,25009700
2016-10-07,12.64,12.75,11.58,11.59,47844200
2016-10-14,11.67,11.88,11.45,11.57,24562100
2016-10-21,11.6,12.26,11.6,12.02,25189900
2016-10-28,12.11,12.14,11.59,11.65,21215200
2016-11-04,11.7,12.47,11.25,12.11,37076600
2016-11-11,12.27,12.48,11.13,11.26,30367200
2016-11-18,11.19,11.67,11.08,11.4,30849800
2016-11-25,11.45,11.64,11.25,11.63,18024700
2016-12-02,11.72,12.01,10.98,11.18,28473300
2016-12-09,11.16,11.96,11.07,11.92,26030500
2016-12-16,11.88,12.47,11.66,11.75,31864800
2016-12-23,11.84,12.1,11.68,11.73,19649100
2016-12-30,11.74,11.92,11.59,11.62,10552700
2017-01-06,11.67,11.85,11.26,11.82,22574200
2017-01-13,11.87,11.9,11.29,11.72,25697500
2017-01-20,11.8,12.06,11.35,11.41,19648700
2017-01-27,11.42,11.64,11.19,11.4,42912500
2017-02-03,11.29,11.63,11.13,11.37,26538000
2017-02-10,11.39,11.63,11.23,11.61,21941400
2017-02-17,11.64,11.73,11.25,11.46,21200400
2017-02-24,11.46,11.93,11.39,11.93,20575400
2017-03-03,11.71,11.74,11.1,11.55,43176800
2017-03-10,11.55,11.61,11.04,11.15,26767400
2017-03-17,11.17,11.47,10.93,11.46,23500700
2017-03-24,11.48,11.48,11.1,11.23,19949500
2017-03-31,11.26,11.39,11.03,11.18,33927600
2017-04-07,11.17,11.32,11.03,11.04,33533800
2017-04-14,11.05,11.41,11.01,11.36,30454000
2017-04-21,11.38,11.47,11.25,11.38,26362100
2017-04-28,11.4,11.62,11.21,11.31,35356800
2017-05-05,11.31,11.41,11.05,11.32,23407300
2017-05-12,11.08,11.7,10.95,11.33,30624200
2017-05-19,11.34,11.51,10.98,11.2,24671600
2017-05-26,11.17,11.85,11.15,11.79,25805700
2017-06-02,11.76,12.0,11.58,11.91,19300000
2017-06-09,11.87,12.0,11.43,11.72,23956900
2017-06-16,11.73,12.05,11.67,11.92,26111000
2017-06-23,11.93,11.97,11.49,11.56,19254900
2017-06-30,11.63,11.84,11.11,11.11,26535100
2017-07-07,11.15,11.19,10.6,10.76,19332600
2017-07-14,10.85,11.23,10.8,11.03,26519100
2017-07-21,11.05,11.44,10.97,11.42,17777400
2017-07-28,11.42,11.45,10.96,10.98,23696900
2017-08-04,11.0,11.26,10.92,11.08,41158600
2017-08-11,11.08,11.66,11.0,11.1,38033500
