Date,Open,High,Low,Close,Volume
2015-03-27,62.19,62.94,60.23,60.93,2615700
2015-04-03,61.2,62.02,60.73,61.41,1737500
2015-04-10,60.9,62.19,60.82,61.79,1601400
2015-04-17,61.66,62.38,60.62,60.92,1825100
2015-04-24,61.0,61.64,59.98,60.09,2158000
2015-05-01,60.28,63.01,59.73,61.92,4339400
2015-05-08,62.06,65.44,61.95,64.66,4924200
2015-05-15,64.5,65.74,63.96,65.25,4242900
2015-05-22,65.13,66.86,65.1,66.3,3017900
2015-05-29,66.1,66.28,65.45,65.85,2692300
2015-06-05,66.02,66.48,65.38,65.92,2286400
2015-06-12,65.84,67.81,65.22,66.82,3459700
2015-06-19,66.23,69.39,65.94,68.56,3697700
2015-06-26,68.83,69.24,67.54,68.37,3569200
2015-07-03,67.74,69.27,66.52,68.61,2519500
2015-07-10,67.94,70.39,67.82,70.2,3335400
2015-07-17,70.58,73.69,70.36,72.72,3099200
2015-07-24,72.78,73.9,72.29,73.06,2420600
2015-07-31,72.66,76.25,71.94,74.6,4256200
2015-08-07,75.81,77.11,75.03,77.06,2969600
2015-08-14,77.51,79.99,77.33,79.6,3082400
2015-08-21,79.47,80.08,74.6,74.85,3704800
2015-08-28,72.0,76.83,70.36,74.79,4046100
2015-09-04,74.42,74.88,71.79,72.44,2543500
2015-09-11,73.57,77.0,72.87,76.82,2924900
2015-09-18,76.86,78.19,75.13,75.5,3521600
2015-09-25,75.94,78.34,75.17,78.09,2543400
2015-10-02,77.59,79.53,76.31,78.25,3139000
2015-10-09,78.59,82.07,78.45,80.56,3134200
2015-10-16,80.56,80.95,79.56,80.07,2574400
2015-10-23,80.06,82.38,78.72,81.85,3593700
2015-10-30,82.01,82.58,78.33,81.53,2748800
2015-11-06,81.46,85.13,81.34,84.9,2429700
2015-11-13,84.89,85.25,82.06,82.15,1764200
2015-11-20,82.08,86.62,81.56,86.29,2972800
2015-11-27,86.2,86.99,84.41,85.15,1546800
2015-12-04,85.33,86.92,82.75,86.56,3506900
2015-12-11,86.55,87.2,81.82,82.29,3036400
2015-12-18,82.22,82.96,78.82,79.09,3555700
2015-12-25,79.44,81.28,78.62,80.88,1148100
2016-01-01,80.51,82.18,79.79,80.54,1143400
2016-01-08,78.94,80.44,75.96,76.07,3548300
2016-01-15,77.21,79.93,76.51,78.27,3617800
2016-01-22,79.12,79.68,75.69,79.47,2725200
2016-01-29,79.42,81.31,78.0,81.31,2955500
2016-02-05,80.85,81.49,78.06,78.48,2869100
2016-02-12,77.34,77.34,64.36,67.07,7957800
2016-02-19,67.35,70.34,66.45,70.33,4422500
2016-02-26,70.99,73.41,69.46,72.74,3627200
2016-03-04,72.51,74.81,71.1,74.11,4052900
2016-03-11,73.74,77.96,71.97,77.6,4597100
2016-03-18,77.21,78.86,76.74,78.02,3472800
2016-03-25,78.02,79.25,76.41,77.18,2354200
2016-04-01,77.37,78.69,76.33,78.11,3386900
2016-04-08,78.08,78.44,76.62,77.91,2883100
2016-04-15,78.07,81.98,77.71,80.84,2664400
2016-04-22,80.2,81.97,78.94,79.63,2762000
2016-04-29,79.09,85.69,78.43,84.57,4879100
2016-05-06,85.0,86.75,84.97,86.36,2755700
2016-05-13,86.33,88.02,85.96,87.01,2090000
2016-05-20,86.93,88.45,86.08,87.7,1923000
2016-05-27,87.75,89.22,86.57,87.45,2212100
2016-06-03,87.52,88.16,84.43,85.01,3339900
2016-06-10,85.33,85.43,83.68,84.77,2456400
2016-06-17,84.22,85.58,83.16,85.51,2939900
2016-06-24,86.05,87.21,82.78,83.21,2502800
2016-07-01,82.28,88.24,80.83,87.95,2743400
2016-07-08,87.62,87.74,83.99,86.43,1879200
2016-07-15,86.83,89.0,86.53,87.93,1276400
2016-07-22,87.83,88.26,86.88,87.9,1279100
2016-07-29,87.74,88.17,82.64,83.01,2214000
2016-08-05,83.09,84.89,82.64,84.81,2251000
2016-08-12,84.86,85.67,84.38,85.19,1220600
2016-08-19,85.26,86.88,85.12,86.87,1301500
2016-08-26,87.04,88.89,86.15,87.69,1737600
2016-09-02,87.69,90.29,87.69,90.24,1605800
2016-09-09,90.22,90.33,88.92,89.23,1390100
2016-09-16,88.74,90.59,87.0,87.86,2619800
2016-09-23,88.19,91.52,88.19,90.14,1835900
2016-09-30,89.87,92.63,89.56,92.25,1612800
2016-10-07,91.91,92.24,88.97,89.93,2160400
2016-10-14,90.13,91.87,89.54,90.98,1630100
2016-10-21,91.11,92.08,82.14,82.81,2970100
2016-10-28,83.0,84.48,79.59,79.98,3172900
2016-11-04,80.18,81.21,78.5,79.73,2321900
2016-11-11,80.88,84.22,79.6,82.99,3170400
2016-11-18,83.39,86.72,83.34,85.79,2908200
2016-11-25,86.35,86.83,85.07,86.41,1226700
2016-12-02,86.02,87.41,85.47,86.1,1990800
2016-12-09,86.45,93.82,85.86,92.16,2827400
2016-12-16,91.96,93.82,90.78,91.34,2843500
2016-12-23,91.36,93.57,91.21,93.28,1643500
2016-12-30,93.36,94.4,92.47,92.86,1275600
2017-01-06,93.64,96.33,92.49,95.98,1660100
2017-01-13,95.06,96.03,93.93,94.83,1846800
2017-01-20,94.31,96.66,93.74,96.15,1493900
2017-01-27,96.1,98.98,95.68,97.88,1455500
2017-02-03,97.7,98.36,96.43,98.01,1684000
2017-02-10,97.52,97.94,89.55,92.93,2957500
2017-02-17,93.05,97.09,92.94,96.75,1900900
2017-02-24,96.37,99.05,96.36,98.76,1538500
2017-03-03,98.68,101.32,97.75,99.87,1860300
2017-03-10,99.02,100.63,98.77,99.64,1377400
2017-03-17,99.48,100.11,98.05,98.97,2192700
2017-03-24,98.61,98.61,94.68,95.06,2069500
2017-03-31,93.86,96.14,93.36,95.67,2034600
2017-04-07,95.82,96.16,93.61,94.69,2027700
2017-04-14,94.69,95.94,92.35,92.68,1253700
2017-04-21,93.19,95.65,92.87,94.7,1673300
2017-04-28,95.57,98.01,95.55,96.24,1755100
2017-05-05,96.9,106.02,96.27,103.92,2760500
2017-05-12,104.19,105.99,101.96,102.05,1912000
2017-05-19,102.3,102.75,99.11,99.53,1810100
2017-05-26,100.04,100.68,98.67,99.28,1590900
2017-06-02,99.18,100.45,97.28,100.16,1783000
2017-06-09,100.17,101.92,98.01,101.68,2066300
2017-06-16,101.9,104.52,100.79,104.48,2048200
2017-06-23,105.0,105.12,100.23,101.25,2034300
2017-06-30,102.29,105.85,102.02,103.69,1984100
2017-07-07,104.28,106.47,103.78,105.32,1285300
2017-07-14,105.01,105.48,103.9,104.63,1556800
2017-07-21,104.63,106.3,103.91,105.41,1243800
2017-07-28,105.73,106.99,104.23,105.47,1156500
2017-08-04,105.66,106.45,100.77,104.94,1999200
2017-08-11,104.59,105.82,102.21,102.54,1355500
2017-08-18,103.17,104.95,99.64,100.01,1052300
2017-08-25,99.75,100.59,97.5,98.49,1202900
2017-09-01,98.38,98.5,93.05,94.6,2175300
2017-09-08,94.23,94.23,86.0,90.77,2529300
2017-09-15,92.32,94.75,91.47,93.85,2858000
2017-09-22,94.19,94.51,92.33,94.45,1916400
2017-09-29,94.11,96.68,91.89,95.52,2145100
2017-10-06,95.62,96.17,94.44,96.04,2345200
2017-10-13,96.0,96.46,92.9,95.71,2101800
2017-10-20,95.86,102.23,95.85,99.89,3530100
2017-10-27,100.04,101.56,98.83,100.05,1997800
2017-11-03,99.98,102.85,97.51,100.14,2654700
2017-11-10,100.17,100.41,97.75,98.15,1954800
2017-11-17,97.67,99.6,96.96,98.62,2003600
2017-11-24,98.61,99.56,97.72,97.86,912600
2017-12-01,98.2,102.5,97.78,99.77,2601400
2017-12-08,100.39,100.96,97.39,99.13,2527400
2017-12-15,99.09,101.51,97.65,98.31,2449400
2017-12-22,98.8,102.14,98.11,101.03,2016700
2017-12-29,101.01,102.27,100.72,100.84,1029000
2018-01-05,101.44,101.48,98.6,101.31,1577600
2018-01-12,101.03,101.46,94.61,95.39,2201900
2018-01-19,95.61,95.69,93.52,94.08,1331100
2018-01-26,94.21,96.01,92.94,95.49,1824000
2018-02-02,95.56,96.26,91.22,91.95,1899100
2018-02-09,90.93,91.99,84.98,88.01,2621600
2018-02-16,88.32,90.84,86.07,89.92,2292100
2018-02-23,89.71,89.84,87.34,88.56,1168900
2018-03-02,88.63,89.24,84.34,86.44,2909000
2018-03-09,86.27,91.09,85.58,90.81,5207400
2018-03-16,90.67,90.8,87.46,89.93,4005400
2018-03-23,89.91,91.83,87.26,87.49,3215400
2018-03-30,88.37,91.86,88.37,91.41,2160700
2018-04-06,90.82,92.3,87.08,89.54,2528000
2018-04-13,89.89,92.49,89.5,91.51,2642200
2018-04-20,92.2,94.21,91.2,93.41,3053400
2018-04-27,93.57,94.5,92.51,93.99,1711900
2018-05-04,94.33,94.46,84.88,87.93,3646300
2018-05-11,88.5,88.5,85.14,87.57,2802200
2018-05-18,87.69,97.06,86.99,95.92,5144000
2018-05-25,96.39,99.48,94.92,96.5,4009900
2018-06-01,95.71,97.34,93.01,94.06,3071400
2018-06-08,94.24,98.36,93.19,98.29,3475900
2018-06-15,98.41,98.65,93.7,95.49,4181100
2018-06-22,94.82,104.33,94.58,102.37,6676100
2018-06-29,102.5,105.99,99.99,103.49,6038600
2018-07-06,103.23,106.0,102.4,104.72,3898500
2018-07-13,105.4,109.01,104.48,108.02,4882500
2018-07-20,108.64,108.97,106.0,107.47,3920600
2018-07-27,106.87,111.43,106.04,109.18,3354100
2018-08-03,109.22,111.12,107.17,108.14,3322200
2018-08-10,107.89,110.54,104.15,106.28,5167200
2018-08-17,106.17,109.94,105.06,105.27,3741300
2018-08-24,105.19,106.67,103.13,104.63,2985600
2018-08-31,105.21,106.14,101.53,102.82,3197200
2018-09-07,102.61,104.42,100.89,103.96,3057100
2018-09-14,103.99,104.34,100.15,103.85,2605300
2018-09-21,104.12,106.36,102.64,105.21,4256600
2018-09-28,105.23,108.44,102.99,107.95,4620100
2018-10-05,108.09,108.9,105.67,108.13,3216500
2018-10-12,108.09,108.85,100.41,102.37,2944600
2018-10-19,102.79,107.92,102.06,106.17,2171600
2018-10-26,106.11,106.37,93.92,95.85,3306100
2018-11-02,96.69,99.23,94.39,96.65,2277100
2018-11-09,96.93,105.19,96.25,104.78,2967300
2018-11-16,105.0,105.37,98.61,99.9,2544800
2018-11-23,99.61,100.64,96.37,97.34,1504700
2018-11-30,98.02,99.37,96.84,97.24,2561700
2018-12-07,98.21,98.21,89.57,91.03,2647500
2018-12-14,91.11,92.94,88.86,90.26,2051000
2018-12-21,90.0,91.29,85.06,85.29,2672600
2018-12-28,84.7,89.24,82.31,88.16,1415100
2019-01-04,88.63,90.6,88.24,90.45,1442700
2019-01-11,90.09,93.26,90.01,92.58,1385900
2019-01-18,92.01,96.8,91.72,96.38,2382200
2019-01-25,96.14,97.52,94.23,95.24,1151600
2019-02-01,94.47,97.49,93.51,97.17,2343300
2019-02-08,97.29,98.3,95.89,97.13,2367200
2019-02-15,97.23,102.81,96.08,98.21,3298800
2019-02-22,98.19,99.55,97.51,98.34,1777700
2019-03-01,98.8,104.31,98.12,104.14,2575700
2019-03-08,104.67,104.93,99.34,99.96,2495500
2019-03-15,100.42,102.04,96.62,98.73,4219700
2019-03-22,98.8,100.65,94.42,94.56,11099200
2019-03-29,94.46,96.36,94.0,94.91,3849000
2019-04-05,95.33,96.43,94.77,95.87,2347000
2019-04-12,95.99,96.99,93.7,95.84,2188400
2019-04-19,95.83,96.45,93.17,93.23,1806900
2019-04-26,92.87,93.6,91.84,93.51,3275500
2019-05-03,93.78,95.38,93.37,94.58,2082900
2019-05-10,93.14,98.98,92.91,97.2,3383200
2019-05-17,96.16,96.96,94.31,94.74,2377500
2019-05-24,94.68,101.18,94.45,100.85,4556400
2019-05-31,100.76,102.0,99.35,99.96,2952200
2019-06-07,100.02,105.0,100.0,104.34,2648200
2019-06-14,104.24,106.75,103.29,106.12,3203200
2019-06-21,106.32,108.4,106.12,106.89,2910500
2019-06-28,106.96,107.12,102.72,106.38,3332800
2019-07-05,106.97,110.12,106.73,110.12,2000900
2019-07-12,109.83,111.62,109.57,111.59,1733400
2019-07-19,111.97,112.76,110.85,111.16,1640800
2019-07-26,111.19,114.73,110.97,114.42,1945500
2019-08-02,114.44,115.35,111.0,111.08,2243000
2019-08-09,109.72,120.59,107.31,119.84,3639900
2019-08-16,119.27,125.09,119.07,124.53,4812300
2019-08-23,125.66,125.87,118.88,119.43,2519500
2019-08-30,120.15,123.22,119.93,123.0,2355100
2019-09-06,122.39,125.32,121.93,124.41,1748000
2019-09-13,125.0,126.48,122.23,125.0,3075600
2019-09-20,124.26,127.76,124.26,126.64,2823000
2019-09-27,126.37,127.49,125.36,125.47,1933500
2019-10-04,125.99,126.79,121.25,126.79,1886700
2019-10-11,126.19,126.83,123.24,125.78,1677000
2019-10-18,125.25,126.47,124.46,125.67,1465200
2019-10-25,126.67,127.93,124.91,125.57,1709700
2019-11-01,126.1,127.89,124.31,127.7,1657800
2019-11-08,128.06,131.04,124.5,130.07,2748800
2019-11-15,128.98,132.64,128.18,132.09,2252600
2019-11-22,131.73,133.97,129.94,131.82,2165700
2019-11-29,132.69,134.25,131.55,132.87,1424600
2019-12-06,133.44,133.58,127.94,131.58,2030200
2019-12-13,131.52,131.74,129.4,130.15,1592000
2019-12-20,130.52,132.86,129.53,131.26,2396800
2019-12-27,130.96,131.17,127.87,129.66,1076400
2020-01-03,129.99,133.05,129.45,132.99,1100000
2020-01-10,132.29,134.89,131.91,132.44,1360100
2020-01-17,132.74,133.8,129.71,133.77,2231500
2020-01-24,133.31,133.57,128.29,129.18,1384900
2020-01-31,127.55,132.8,126.88,130.56,1674900
2020-02-07,131.62,137.83,131.25,136.36,1654200
2020-02-14,135.9,142.56,132.55,142.52,2257100
2020-02-21,141.94,142.61,139.38,140.1,1664300
2020-02-28,137.26,139.12,117.93,120.59,3831400
2020-03-06,120.8,129.65,115.91,119.69,2553500
2020-03-13,113.0,115.5,95.37,104.53,2962000
2020-03-20,93.0,100.15,76.27,91.05,4867600
2020-03-27,91.6,108.31,88.46,104.7,2973500
2020-04-03,104.55,108.66,97.56,98.75,2589300
2020-04-10,102.81,114.74,99.87,112.39,1612600
2020-04-17,111.81,112.61,99.47,105.81,2004100
2020-04-24,103.75,105.45,100.35,104.65,2421000
2020-05-01,105.09,112.56,101.52,102.32,2074900
2020-05-08,102.13,105.5,97.35,98.8,3065900
2020-05-15,97.7,99.13,83.89,91.11,4634200
2020-05-22,94.89,102.59,94.7,101.37,3074300
2020-05-29,104.94,107.11,101.7,102.58,1618700
2020-06-05,103.18,116.27,102.5,114.88,2315500
2020-06-12,116.0,117.82,104.34,107.03,2397900
2020-06-19,103.24,111.71,103.24,106.28,2424700
2020-06-26,105.68,107.4,97.67,99.21,3278900
2020-07-03,100.53,103.97,99.36,100.5,1414700
2020-07-10,103.11,104.17,96.72,100.37,2228200
2020-07-17,101.3,106.4,99.6,104.17,1804900
2020-07-24,103.89,108.3,102.65,106.79,1366400
2020-07-31,106.14,107.9,104.2,107.47,1790800
2020-08-07,107.84,124.81,106.49,122.21,2857100
2020-08-14,123.11,128.49,121.49,125.07,1665400
2020-08-21,125.12,125.75,120.48,120.64,1403600
2020-08-28,120.7,125.24,120.65,122.68,1603000
2020-09-04,122.6,126.57,120.51,122.67,1637100
2020-09-11,121.93,123.13,118.09,118.7,1461200
2020-09-18,119.85,121.36,116.11,119.93,1814400
2020-09-25,117.75,123.34,116.4,117.82,2388000
2020-10-02,119.17,124.42,118.41,123.43,1571500
2020-10-09,124.98,127.47,122.28,125.57,1989500
2020-10-16,125.3,126.95,119.47,123.47,1384500
2020-10-23,123.4,127.0,121.46,125.99,1199200
2020-10-30,124.32,125.96,118.58,124.37,1431500
2020-11-06,125.5,131.3,123.78,127.09,2865800
2020-11-13,136.44,136.87,129.39,133.51,2847100
2020-11-20,136.52,139.68,133.19,133.89,2076000
2020-11-27,135.58,136.89,133.5,133.79,1432100
2020-12-04,132.88,133.77,129.04,132.58,2522800
2020-12-11,131.54,133.35,130.36,132.22,1885300
2020-12-18,133.75,135.2,130.25,131.29,2375400
2020-12-25,130.92,133.45,128.98,132.62,1051800
2021-01-01,132.99,136.4,132.01,136.22,836800
2021-01-08,136.21,140.75,131.0,138.61,1595400
2021-01-15,137.33,141.48,137.28,140.17,1504600
2021-01-22,141.39,143.67,134.72,134.9,1166000
2021-01-29,133.69,136.04,128.0,135.47,2507600
2021-02-05,135.83,136.29,130.26,134.36,3121500
2021-02-12,134.81,136.14,126.77,128.13,4052300
2021-02-19,129.08,129.08,121.55,123.31,3016400
2021-02-26,122.72,130.08,122.24,123.22,2922600
2021-03-05,124.43,132.23,124.43,131.92,2438900
2021-03-12,132.6,138.9,132.17,136.28,2570400
2021-03-19,136.3,144.63,135.07,143.71,3626100
2021-03-26,143.25,144.85,139.71,144.65,1943200
2021-04-02,143.08,144.93,139.89,142.3,1357600
2021-04-09,142.5,147.15,141.78,146.96,1467800
2021-04-16,147.31,152.98,146.31,152.5,1845400
2021-04-23,153.52,156.25,152.12,155.79,1198000
2021-04-30,156.1,157.4,154.29,155.6,1193500
2021-05-07,156.5,163.24,153.74,160.71,1750600
2021-05-14,161.89,162.61,155.14,161.23,1604900
2021-05-21,160.75,162.84,155.06,158.91,1633400
2021-05-28,159.78,161.75,156.59,161.15,1996800
