Date,Open,High,Low,Close,Volume
2015-04-03,47.11,47.72,46.3,46.86,3511800
2015-04-10,46.5,47.86,46.5,47.65,2846000
2015-04-17,47.69,48.21,47.11,47.66,3406500
2015-04-24,47.75,49.11,47.21,49.06,5058100
2015-05-01,49.06,49.08,47.71,47.92,5501500
2015-05-08,47.98,48.26,46.85,47.86,4730700
2015-05-15,47.68,48.55,47.19,48.02,6073500
2015-05-22,48.06,49.59,47.98,49.22,6259400
2015-05-29,49.02,49.23,48.25,48.45,9302100
2015-06-05,48.66,48.91,47.67,47.89,3760400
2015-06-12,47.93,48.71,47.28,48.51,4520900
2015-06-19,47.99,49.5,47.98,49.03,5444200
2015-06-26,49.2,49.34,48.09,48.17,4706200
2015-07-03,47.8,48.01,47.12,47.58,4003100
2015-07-10,47.16,47.73,46.85,47.58,4285200
2015-07-17,47.86,48.26,47.7,48.22,3341400
2015-07-24,48.18,48.33,47.43,47.43,3187000
2015-07-31,47.25,48.27,47.12,47.43,5153200
2015-08-07,47.39,48.29,47.13,47.6,3624900
2015-08-14,48.05,48.22,46.83,47.3,3762400
2015-08-21,47.07,47.78,44.81,44.81,3552500
2015-08-28,42.71,44.34,39.99,43.87,5589400
2015-09-04,43.79,43.88,41.58,41.67,5497000
2015-09-11,42.25,42.99,41.76,42.0,5406800
2015-09-18,41.98,42.91,41.62,41.85,7100800
2015-09-25,42.29,42.44,41.57,41.99,6741000
2015-10-02,41.8,41.9,40.5,41.81,5653200
2015-10-09,41.91,42.69,41.68,42.56,5616500
2015-10-16,42.51,42.9,41.64,42.85,4642700
2015-10-23,42.76,43.94,42.56,43.56,6002400
2015-10-30,43.57,44.3,43.32,43.73,6612400
2015-11-06,43.19,44.31,42.91,44.06,5570100
2015-11-13,44.0,44.44,42.86,42.98,4003700
2015-11-20,42.85,44.38,42.79,44.19,4039900
2015-11-27,44.32,44.54,43.76,44.0,2601600
2015-12-04,44.14,44.34,42.76,43.92,5509300
2015-12-11,43.85,44.04,42.89,43.41,5709800
2015-12-18,43.45,43.84,40.07,40.08,11745600
2015-12-25,40.27,41.3,39.43,41.15,5559400
2016-01-01,40.98,41.79,40.78,40.94,3333400
2016-01-08,40.4,40.49,38.25,38.3,5344600
2016-01-15,38.35,38.41,36.78,37.61,8892500
2016-01-22,37.99,38.09,35.96,37.65,3938700
2016-01-29,37.58,37.7,36.22,37.64,9313100
2016-02-05,37.56,38.86,37.19,38.32,7523900
2016-02-12,37.93,38.56,37.19,38.49,4987600
2016-02-19,38.98,39.81,38.68,39.43,4418400
2016-02-26,39.68,40.27,38.98,40.06,3368600
2016-03-04,39.86,41.0,39.67,41.0,4657700
2016-03-11,40.84,42.6,40.59,42.6,3908000
2016-03-18,42.5,44.0,42.01,43.68,5213200
2016-03-25,44.12,44.32,43.66,43.98,2832600
2016-04-01,44.04,44.7,43.75,44.63,4284700
2016-04-08,44.57,44.73,43.17,43.59,4036700
2016-04-15,43.57,44.96,43.21,44.94,3358000
2016-04-22,44.82,45.67,44.67,45.03,4298200
2016-04-29,44.99,46.45,44.35,46.04,4981600
2016-05-06,46.22,47.43,46.12,46.96,5522300
2016-05-13,46.77,47.79,46.72,47.13,3504600
2016-05-20,47.06,48.08,46.89,47.78,4437100
2016-05-27,47.63,48.64,47.48,48.2,43429400
2016-06-03,48.46,48.51,47.17,47.86,5704600
2016-06-10,47.86,48.36,47.63,48.03,5827000
2016-06-17,47.95,48.19,46.01,46.59,6029900
2016-06-24,47.04,47.56,45.32,45.35,6979800
2016-07-01,44.75,47.84,43.9,47.8,7171000
2016-07-08,47.45,48.76,47.15,48.7,4471600
2016-07-15,48.9,49.39,48.71,49.02,5372500
2016-07-22,48.91,49.21,48.43,49.16,2938700
2016-07-29,49.06,49.77,48.14,49.19,6330000
2016-08-05,49.19,49.65,48.81,49.3,5395500
2016-08-12,49.31,49.97,49.21,49.38,3605500
2016-08-19,49.43,49.72,48.19,48.54,10997200
2016-08-26,48.54,49.35,48.26,49.02,6020100
2016-09-02,49.03,49.99,49.01,49.99,3656700
2016-09-09,49.95,50.49,49.15,49.17,3729300
2016-09-16,49.0,50.26,48.94,49.65,6310600
2016-09-23,50.02,51.24,49.56,50.68,4263600
2016-09-30,50.32,51.09,49.6,50.87,4190300
2016-10-07,50.72,50.89,49.83,50.57,3138700
2016-10-14,50.93,51.08,49.68,50.24,2628400
2016-10-21,50.33,50.42,48.63,48.97,3373700
2016-10-28,49.31,49.7,47.76,48.33,4375000
2016-11-04,48.51,48.55,47.16,47.48,4240100
2016-11-11,48.22,51.62,48.07,51.54,5011200
2016-11-18,51.78,52.34,50.57,51.52,5122400
2016-11-25,51.61,51.95,51.13,51.86,2760900
2016-12-02,51.64,51.84,48.97,49.16,6210700
2016-12-09,49.54,50.76,49.21,50.76,7779400
2016-12-16,50.7,51.74,50.11,51.55,14324800
2016-12-23,51.53,52.12,51.21,52.01,3546800
2016-12-30,52.03,52.16,51.6,51.96,3346200
2017-01-06,52.0,53.36,51.8,53.14,4622800
2017-01-13,52.99,53.14,51.96,52.81,3743900
2017-01-20,52.42,53.06,52.14,52.84,2424800
2017-01-27,52.74,54.65,52.58,54.62,4422200
2017-02-03,54.26,54.51,53.19,54.01,4381000
2017-02-10,53.82,55.31,53.63,55.17,3359200
2017-02-17,55.35,56.94,55.16,56.94,3978000
2017-02-24,56.7,57.19,55.79,56.86,3225500
2017-03-03,56.86,57.82,56.46,56.86,4094600
2017-03-10,56.42,56.73,55.85,56.66,3508200
2017-03-17,56.56,57.53,56.51,56.93,9107700
2017-03-24,56.95,57.27,55.84,56.44,4503400
2017-03-31,55.87,57.1,55.54,56.54,3460400
2017-04-07,56.6,56.66,55.73,56.33,4014400
2017-04-14,56.26,56.54,55.47,55.51,3812600
2017-04-21,55.74,56.48,55.49,55.61,5167900
2017-04-28,56.49,56.99,55.25,55.81,4469900
2017-05-05,56.1,56.21,54.82,55.71,5762700
2017-05-12,55.83,55.93,54.62,54.73,4142900
2017-05-19,54.67,55.94,54.5,55.76,4354300
2017-05-26,55.9,57.57,55.67,57.12,3840200
2017-06-02,56.81,57.55,56.34,57.35,4085600
2017-06-09,57.24,57.95,56.19,57.88,3872000
2017-06-16,57.87,59.03,57.65,58.97,5973200
2017-06-23,58.99,59.11,56.7,56.71,3955300
2017-06-30,56.95,57.75,56.43,57.25,4919500
2017-07-07,57.6,58.07,57.08,57.71,2493200
2017-07-14,57.71,57.84,56.72,57.61,3628900
2017-07-21,57.6,58.78,57.11,58.65,3175200
2017-07-28,58.69,59.64,56.2,59.41,3175400
2017-08-04,59.57,59.57,58.57,59.02,3095800
2017-08-11,59.0,59.12,58.35,58.42,3032700
2017-08-18,58.82,59.38,57.52,57.94,2388300
2017-08-25,57.9,58.69,57.67,58.38,2663500
2017-09-01,58.43,58.63,57.68,57.92,2668900
2017-09-08,57.7,59.92,57.19,59.69,4166100
2017-09-15,59.49,61.44,59.19,60.38,6595900
2017-09-22,60.34,61.03,60.13,60.99,3940800
2017-09-29,60.91,61.87,60.48,61.55,4626500
2017-10-06,61.68,62.12,60.87,61.76,3128700
2017-10-13,61.75,62.31,61.45,62.02,2469500
2017-10-20,62.07,63.14,61.49,62.92,2835600
2017-10-27,63.02,63.2,61.91,62.54,3231800
2017-11-03,62.5,64.06,62.14,63.69,3570200
2017-11-10,63.38,64.45,63.14,64.08,3037500
2017-11-17,63.98,66.12,63.67,65.97,5915900
2017-11-24,66.12,67.05,65.39,65.39,7392300
2017-12-01,65.31,67.32,64.8,66.57,10026900
2017-12-08,67.13,67.3,65.14,65.69,5166400
2017-12-15,65.71,65.81,63.56,63.98,10355400
2017-12-22,64.47,64.87,62.4,62.6,5911800
