Date,Open,High,Low,Close,Volume
2015-03-27,72.95,73.53,69.35,71.29,5890300
2015-04-03,71.66,72.24,69.88,70.84,4467100
2015-04-10,70.52,71.89,70.5,71.45,4830100
2015-04-17,71.45,72.67,70.37,71.9,6500900
2015-04-24,72.0,76.72,72.0,75.74,7791500
2015-05-01,76.08,77.31,73.0,74.66,12972500
2015-05-08,74.93,76.62,74.27,76.43,7210400
2015-05-15,76.19,78.44,74.7,77.96,7156900
2015-05-22,77.85,78.07,76.56,77.66,5007800
2015-05-29,77.59,78.09,76.01,76.27,4626500
2015-06-05,76.38,76.5,74.57,75.24,8085100
2015-06-12,75.21,75.88,72.19,73.44,7171500
2015-06-19,72.66,73.58,72.18,72.29,5894600
2015-06-26,72.73,73.52,70.65,71.13,7186700
2015-07-03,70.29,70.91,69.13,69.91,4948500
2015-07-10,69.21,70.36,68.72,69.98,5920200
2015-07-17,70.44,73.0,70.1,72.72,4928400
2015-07-24,72.16,74.18,72.14,72.52,5473400
2015-07-31,72.21,76.98,67.13,76.71,21747200
2015-08-07,76.04,76.55,73.53,74.53,7289600
2015-08-14,74.98,75.39,71.76,73.37,6944000
2015-08-21,73.01,74.19,67.91,68.04,7548800
2015-08-28,65.01,71.97,63.14,71.9,13591300
2015-09-04,71.66,74.71,69.67,72.58,9841300
2015-09-11,73.75,75.32,73.06,74.67,5477000
2015-09-18,74.45,75.4,71.79,71.95,9080400
2015-09-25,72.32,72.6,69.02,70.55,9826200
2015-10-02,70.07,70.91,67.1,70.23,8112700
2015-10-09,70.82,74.04,70.41,73.46,5927300
2015-10-16,73.57,73.59,70.11,70.95,6040100
2015-10-23,70.47,74.49,70.01,74.08,6668600
2015-10-30,73.9,76.39,60.25,60.82,37830800
2015-11-06,60.73,63.55,60.69,62.38,10318300
2015-11-13,62.19,62.36,58.56,58.57,8190200
2015-11-20,58.59,60.0,55.36,56.92,12867200
2015-11-27,56.94,58.17,56.45,57.9,6753800
2015-12-04,58.01,58.51,54.53,56.62,11440400
2015-12-11,56.34,56.35,51.56,51.81,12655600
2015-12-18,52.37,53.93,50.56,52.32,14753500
2015-12-25,52.82,53.51,51.99,53.04,4180000
2016-01-01,53.11,53.83,52.6,52.63,3927700
2016-01-08,51.8,52.65,48.05,48.1,16587100
2016-01-15,48.27,48.87,43.93,44.15,23636200
2016-01-22,44.82,47.89,43.75,46.91,12418600
2016-01-29,46.81,46.9,43.28,45.62,10757400
2016-02-05,45.5,45.54,42.68,43.2,14379700
2016-02-12,42.51,50.9,39.43,50.76,34068300
2016-02-19,51.27,54.83,50.47,53.13,15679000
2016-02-26,53.63,55.6,53.02,55.24,15600500
2016-03-04,55.29,56.31,53.97,55.57,16039200
2016-03-11,55.0,56.29,53.9,56.07,11799600
2016-03-18,55.75,57.05,54.19,55.95,9458000
2016-03-25,55.85,57.0,54.39,54.84,5903800
2016-04-01,55.1,55.8,54.02,55.22,7303400
2016-04-08,55.17,55.84,52.2,52.38,8441500
2016-04-15,52.69,52.99,49.8,50.93,10331800
2016-04-22,50.54,52.25,49.87,51.13,10573500
2016-04-29,51.0,57.5,50.38,50.99,17610300
2016-05-06,50.75,51.18,48.88,49.94,10138700
2016-05-13,49.65,52.03,49.56,50.49,7631600
2016-05-20,50.49,51.99,50.06,51.73,5787900
2016-05-27,51.61,54.5,50.8,54.2,7412600
2016-06-03,54.42,54.97,52.99,53.55,4489400
2016-06-10,53.77,55.5,52.67,52.73,6243100
2016-06-17,52.47,54.06,51.97,53.19,7513600
2016-06-24,54.04,57.17,53.17,53.35,10446800
2016-07-01,52.7,56.33,50.91,55.5,9382800
2016-07-08,55.1,56.64,53.72,56.38,5679500
2016-07-15,56.66,58.01,55.89,57.25,8053900
2016-07-22,57.39,58.14,57.01,57.89,5637000
2016-07-29,57.83,58.47,47.8,50.53,33292800
