Date,Open,High,Low,Close,Volume
2015-03-27,52.25,53.03,50.84,51.55,4713500
2015-04-03,51.96,53.46,51.64,52.89,4034600
2015-04-10,52.8,59.88,52.8,58.75,7645200
2015-04-17,58.61,59.68,58.07,59.05,4901100
2015-04-24,59.26,59.66,58.17,59.0,3849500
2015-05-01,59.08,60.78,57.95,60.44,4635400
2015-05-08,60.69,64.99,59.59,63.16,9054500
2015-05-15,63.16,64.8,62.01,64.38,5416600
2015-05-22,64.24,64.24,61.66,61.87,5061000
2015-05-29,61.45,61.65,59.9,60.15,3709900
2015-06-05,60.38,61.95,59.77,61.13,4519800
2015-06-12,61.17,61.68,59.58,59.78,3363100
2015-06-19,59.53,59.7,57.53,58.6,5200500
2015-06-26,58.84,59.29,57.62,59.1,4403000
2015-07-03,58.67,59.0,53.82,55.03,5843700
2015-07-10,54.26,54.91,52.96,54.0,4773400
2015-07-17,54.33,55.65,52.97,53.01,3788300
2015-07-24,52.89,53.37,49.4,49.81,3454900
2015-07-31,49.41,54.81,49.03,54.2,6853600
2015-08-07,54.1,54.31,49.55,51.24,8179500
2015-08-14,51.24,52.73,50.12,51.11,4181600
2015-08-21,50.82,51.95,46.67,46.81,5160400
2015-08-28,44.27,46.58,42.31,45.3,10094600
2015-09-04,44.95,45.52,41.89,42.43,9347800
2015-09-11,43.27,44.03,41.6,42.0,7008300
2015-09-18,41.74,45.75,41.37,45.71,12109100
2015-09-25,46.09,47.19,43.46,45.13,8281100
2015-10-02,44.82,46.15,41.5,46.15,7437300
2015-10-09,46.48,51.88,46.38,50.72,8219300
2015-10-16,51.08,52.73,49.87,52.45,6479700
2015-10-23,52.08,53.66,51.02,52.58,6385400
2015-10-30,52.43,54.59,51.02,53.52,7401400
2015-11-06,54.26,55.48,48.16,50.68,14197100
2015-11-13,50.38,50.82,46.49,47.62,8685500
2015-11-20,47.43,51.97,47.02,51.67,6732000
2015-11-27,51.57,53.34,51.24,53.11,4138900
2015-12-04,53.29,53.8,51.8,52.99,5646500
2015-12-11,52.53,52.66,47.31,47.95,5498200
2015-12-18,47.83,53.31,46.34,51.18,8706900
2015-12-25,51.6,56.5,50.79,55.95,3449600
2016-01-01,55.72,57.99,55.13,56.01,3012700
2016-01-08,54.97,56.1,48.97,49.01,6405200
2016-01-15,49.24,51.27,45.78,47.91,6825700
2016-01-22,48.48,52.27,46.16,51.29,6433900
2016-01-29,51.09,52.66,49.7,52.64,8652300
2016-02-05,51.87,54.26,50.72,51.54,7784500
2016-02-12,50.91,52.02,47.49,51.38,7120800
2016-02-19,52.19,55.6,50.95,54.48,7516200
2016-02-26,54.84,56.86,51.03,56.56,5295500
2016-03-04,56.6,59.88,56.03,59.17,6721200
2016-03-11,59.02,61.9,57.92,61.24,7202200
2016-03-18,60.38,62.87,58.84,61.38,7373000
2016-03-25,61.38,62.56,60.34,61.92,4146400
2016-04-01,61.99,65.5,61.51,65.2,6364700
2016-04-08,65.38,66.93,63.73,64.85,6417700
2016-04-15,65.13,66.32,64.43,65.37,7861800
2016-04-22,64.89,66.71,64.5,66.24,6973700
2016-04-29,66.37,68.75,65.57,66.16,4772100
2016-05-06,66.42,69.07,66.18,68.63,5313100
2016-05-13,68.37,76.43,67.06,76.16,13469400
2016-05-20,76.82,78.4,75.0,76.36,8136300
2016-05-27,75.86,80.21,75.86,80.09,6514000
2016-06-03,80.0,80.35,77.53,80.0,4264900
2016-06-10,80.48,82.37,79.25,79.83,5575400
2016-06-17,79.36,84.99,77.02,82.8,8146500
2016-06-24,83.51,84.71,78.6,78.98,7218300
2016-07-01,77.44,82.28,74.86,81.32,33829100
2016-07-08,80.08,83.99,78.81,83.58,4840600
2016-07-15,83.92,87.29,83.11,86.35,5137300
2016-07-22,86.23,86.89,83.85,85.01,4412000
2016-07-29,85.0,86.23,83.31,84.17,5720000
2016-08-05,84.22,84.76,80.39,82.33,10851900
2016-08-12,82.33,83.73,81.4,83.01,6553400
2016-08-19,83.48,84.79,80.18,82.74,6211000
2016-08-26,82.28,86.5,81.33,81.79,5587300
2016-09-02,81.93,83.5,79.56,81.96,4886200
2016-09-09,82.13,83.07,76.51,76.82,4714300
2016-09-16,75.6,77.72,75.11,76.73,8651100
2016-09-23,77.11,81.8,76.79,80.75,5999700
2016-09-30,80.86,85.84,80.78,85.49,5790200
2016-10-07,85.2,85.45,81.63,82.37,4950800
2016-10-14,83.22,84.48,79.08,80.86,3237500
2016-10-21,80.81,83.44,80.75,82.2,2683300
2016-10-28,83.04,84.04,80.68,82.91,3012200
2016-11-04,82.96,84.48,81.8,83.48,4657200
2016-11-11,85.02,86.88,79.21,80.43,8274500
2016-11-18,80.72,83.28,76.32,82.46,5710300
2016-11-25,82.81,84.6,82.58,84.0,2133500
2016-12-02,84.1,88.73,83.1,84.86,5263200
2016-12-09,85.56,92.24,85.41,90.69,5745400
2016-12-16,90.9,91.8,88.08,89.23,5559100
2016-12-23,89.46,89.99,87.72,88.82,2273500
2016-12-30,88.89,89.46,85.6,86.08,1658200
2017-01-06,87.15,91.39,86.98,90.81,3587300
2017-01-13,90.73,94.94,89.09,94.0,5214200
2017-01-20,95.14,95.79,92.3,93.36,3260600
2017-01-27,93.38,95.89,92.85,95.42,3603600
2017-02-03,94.79,94.85,91.5,94.27,4021900
