Date,Open,High,Low,Close,Volume
2017-05-05,22.15,22.68,21.56,22.28,15666500
2017-05-12,22.19,22.34,20.97,21.5,4809700
2017-05-19,21.7,21.75,20.68,21.0,4599500
2017-05-26,21.15,22.25,21.1,21.97,3523900
2017-06-02,22.26,22.87,21.82,22.28,4209500
2017-06-09,22.13,22.57,21.43,21.98,3393800
2017-06-16,22.04,22.5,20.56,21.38,2414400
2017-06-23,21.28,21.59,19.99,20.88,2469700
2017-06-30,20.84,22.44,20.51,21.98,3107300
2017-07-07,21.92,22.16,20.61,21.18,1048200
2017-07-14,21.1,21.94,20.79,21.51,1260100
2017-07-21,21.38,21.84,20.8,21.12,934600
2017-07-28,21.17,21.47,20.8,21.09,793000
2017-08-04,21.12,21.59,20.11,20.33,2046800
2017-08-11,20.16,20.16,18.55,18.97,2478900
2017-08-18,19.47,19.47,18.12,18.37,1178700
2017-08-25,18.35,18.65,17.98,18.38,976000
2017-09-01,18.39,19.41,17.66,19.3,2483200
2017-09-08,19.3,19.95,19.1,19.23,2038600
2017-09-15,19.35,19.54,19.0,19.5,1348100
2017-09-22,19.54,19.67,19.18,19.59,906900
2017-09-29,19.49,20.47,19.37,20.47,1646800
2017-10-06,20.32,20.69,19.8,20.07,622600
2017-10-13,20.12,20.84,19.86,20.09,683700
2017-10-20,20.11,20.19,18.79,19.1,940100
2017-10-27,19.08,19.27,17.94,18.3,1036100
2017-11-03,18.2,19.25,17.59,18.32,1558200
2017-11-10,18.5,19.0,17.58,17.7,4055300
2017-11-17,17.61,17.63,16.62,17.24,1671800
2017-11-24,17.25,17.75,16.64,17.42,1485100
2017-12-01,17.43,18.24,16.91,18.01,4248000
2017-12-08,17.9,18.8,17.61,18.6,1858000
2017-12-15,18.68,19.64,18.64,19.32,4929300
2017-12-22,19.38,19.67,18.36,18.55,10132200
2017-12-29,18.66,19.9,18.15,19.72,6225000
2018-01-05,19.75,21.56,19.75,20.81,7072700
2018-01-12,20.75,21.26,20.39,21.04,4655100
2018-01-19,21.1,21.43,20.5,20.71,4302400
2018-01-26,20.8,22.39,20.8,22.02,2779400
2018-02-02,21.95,22.12,20.36,20.61,3675900
2018-02-09,20.41,20.85,18.35,19.27,2462900
2018-02-16,19.5,20.83,19.12,20.52,3356500
2018-02-23,20.62,20.63,18.74,19.19,2313400
2018-03-02,19.23,19.3,18.33,18.48,3981600
2018-03-09,18.41,18.59,17.85,18.15,1641300
2018-03-16,18.12,18.42,16.52,16.8,2035600
2018-03-23,16.7,16.74,15.9,16.12,2921500
2018-03-30,16.31,16.33,15.62,15.99,2459400
2018-04-06,15.96,16.04,14.85,15.68,2437600
2018-04-13,14.93,16.12,14.93,16.09,2363900
2018-04-20,16.16,17.31,16.0,16.54,2093100
