Date,Open,High,Low,Close,Volume
2015-03-27,2.81,2.85,2.53,2.72,88290400
2015-04-03,2.73,2.76,2.65,2.69,33870600
2015-04-10,2.68,2.78,2.68,2.76,31578000
2015-04-17,2.76,2.94,2.45,2.58,118839600
2015-04-24,2.56,2.57,2.25,2.3,118210200
2015-05-01,2.3,2.37,2.25,2.31,59933900
2015-05-08,2.31,2.36,2.24,2.31,65308200
2015-05-15,2.31,2.39,2.3,2.32,44560200
2015-05-22,2.35,2.37,2.27,2.28,41242000
2015-05-29,2.27,2.33,2.2,2.28,47623900
2015-06-05,2.29,2.34,2.25,2.33,40897500
2015-06-12,2.31,2.36,2.28,2.31,38885400
2015-06-19,2.32,2.59,2.29,2.58,96872600
2015-06-26,2.61,2.67,2.37,2.47,170260800
2015-07-03,2.41,2.63,2.31,2.53,92913700
2015-07-10,2.46,2.54,1.93,1.96,122970000
2015-07-17,1.97,2.09,1.74,1.79,87191400
2015-07-24,1.82,1.84,1.65,1.67,70340600
2015-07-31,1.67,1.99,1.61,1.93,75684400
2015-08-07,1.93,2.21,1.9,2.09,70938400
2015-08-14,1.92,1.98,1.79,1.84,59949700
2015-08-21,1.82,1.88,1.68,1.78,52530700
2015-08-28,1.69,1.87,1.65,1.85,62794300
2015-09-04,1.82,1.87,1.71,1.82,35172300
2015-09-11,1.85,2.14,1.81,2.01,53922500
2015-09-18,2.0,2.0,1.81,1.87,45556800
2015-09-25,1.87,1.9,1.66,1.71,41894500
2015-10-02,1.69,1.83,1.65,1.83,31115700
2015-10-09,1.82,1.96,1.77,1.96,41841000
2015-10-16,1.96,2.06,1.85,1.94,73441300
2015-10-23,1.91,2.21,1.91,2.21,48971700
2015-10-30,2.21,2.21,2.1,2.12,28417200
2015-11-06,2.13,2.3,2.11,2.15,36069100
2015-11-13,2.15,2.18,1.94,1.99,25422500
2015-11-20,1.99,2.25,1.95,2.22,34790900
2015-11-27,2.22,2.4,2.17,2.33,30244300
2015-12-04,2.34,2.37,2.2,2.28,34705000
2015-12-11,2.26,2.5,2.21,2.36,51204500
2015-12-18,2.36,2.6,2.3,2.45,63955400
2015-12-25,2.47,3.0,2.43,2.92,74026000
2016-01-01,2.91,3.06,2.86,2.87,52484100
2016-01-08,2.77,2.82,2.1,2.14,123274400
2016-01-15,2.16,2.46,1.99,2.03,87231000
2016-01-22,2.08,2.18,1.75,2.02,90855900
2016-01-29,2.01,2.2,2.01,2.2,54128000
2016-02-05,2.17,2.19,1.95,1.98,46218000
2016-02-12,1.97,2.0,1.81,1.83,53862200
2016-02-19,1.86,1.98,1.82,1.91,44231100
2016-02-26,1.94,2.1,1.93,2.07,37038200
2016-03-04,2.06,2.55,2.05,2.37,68798600
2016-03-11,2.36,2.54,2.15,2.52,62849500
2016-03-18,2.53,2.93,2.45,2.93,123768600
2016-03-25,2.9,2.9,2.62,2.79,43988000
2016-04-01,2.81,2.98,2.7,2.83,53575000
2016-04-08,2.83,2.87,2.61,2.74,49734100
2016-04-15,2.76,2.85,2.68,2.7,49697800
2016-04-22,2.67,3.99,2.6,3.99,185807300
2016-04-29,3.81,3.82,3.31,3.55,179079400
2016-05-06,3.58,3.8,3.54,3.68,72815000
2016-05-13,3.66,3.73,3.45,3.67,58980700
2016-05-20,3.67,3.98,3.65,3.87,85753900
2016-05-27,3.9,4.63,3.88,4.6,151509800
2016-06-03,4.67,4.71,4.07,4.16,107972400
2016-06-10,4.2,4.67,4.17,4.32,89405700
2016-06-17,4.32,5.27,4.3,5.26,140910200
2016-06-24,5.39,5.52,4.76,4.88,193243600
2016-07-01,4.88,5.4,4.65,5.07,137745700
2016-07-08,5.03,5.15,4.82,5.1,79679900
2016-07-15,5.13,5.24,5.0,5.14,90162300
2016-07-22,5.19,5.97,5.1,5.84,224241700
2016-07-29,5.93,7.16,5.92,6.86,288222600
2016-08-05,6.89,6.92,6.15,6.61,133928200
2016-08-12,6.7,6.85,6.25,6.73,106012000
2016-08-19,6.79,8.0,6.61,7.62,174812100
2016-08-26,7.83,7.95,7.2,7.67,139833400
2016-09-02,7.72,7.79,7.09,7.51,92636200
2016-09-09,7.56,7.6,5.85,5.9,344359200
2016-09-16,5.83,6.22,5.66,6.05,293583900
2016-09-23,6.12,6.65,6.08,6.55,197148700
2016-09-30,6.54,7.04,6.29,6.91,165989200
2016-10-07,6.95,7.15,6.62,6.75,147581000
2016-10-14,6.82,7.12,6.24,6.75,177240100
2016-10-21,6.92,6.98,6.37,6.52,207847500
2016-10-28,6.57,7.53,6.54,7.2,294545200
2016-11-04,7.24,7.46,6.46,6.56,181994300
2016-11-11,6.79,7.18,6.22,6.69,224448900
2016-11-18,6.83,8.83,6.61,8.71,323160700
2016-11-25,8.87,9.22,8.5,8.77,185768800
2016-12-02,8.72,9.23,8.26,8.53,216332400
2016-12-09,8.69,10.66,8.45,10.34,343764100
2016-12-16,10.4,11.23,10.27,10.66,283928300
2016-12-23,10.81,11.75,10.52,11.58,218953100
2016-12-30,11.65,12.42,11.01,11.34,209920700
2017-01-06,11.42,11.69,11.02,11.32,169271900
2017-01-13,11.37,11.64,10.33,10.58,219505000
2017-01-20,10.17,10.25,9.42,9.75,196422800
2017-01-27,9.68,10.98,9.68,10.67,202260800
2017-02-03,10.62,12.66,10.22,12.24,433730400
2017-02-10,12.46,14.27,12.38,13.58,503020000
2017-02-17,13.7,13.95,12.6,13.13,225005000
2017-02-24,13.41,14.5,13.4,14.12,264468300
2017-03-03,14.27,15.55,12.79,13.03,578383100
2017-03-10,13.0,13.93,12.38,13.91,375540000
2017-03-17,14.48,14.68,13.36,13.49,450199300
2017-03-24,13.68,14.5,13.54,13.7,320007200
2017-03-31,13.35,14.75,13.21,14.55,246669500
2017-04-07,14.6,14.74,12.83,13.52,375594500
2017-04-14,13.52,13.59,12.22,12.31,197922600
2017-04-21,12.53,13.21,12.37,13.0,179517000
2017-04-28,13.23,13.76,13.05,13.3,190349400
2017-05-05,13.43,13.63,9.85,10.19,606062600
2017-05-12,10.22,11.4,10.0,11.26,281133400
2017-05-19,11.41,12.77,10.81,11.41,514081200
2017-05-26,11.49,11.55,10.62,11.0,236891800
2017-06-02,10.95,11.49,10.57,10.9,169326200
2017-06-09,10.84,13.4,10.8,12.28,589181300
2017-06-16,11.75,12.48,11.21,11.44,386439000
2017-06-23,11.63,14.67,11.62,14.17,718972700
2017-06-30,14.39,14.49,12.36,12.48,422500900
2017-07-07,12.57,13.75,12.13,13.36,316699200
2017-07-14,13.61,14.49,13.27,13.92,421672400
2017-07-21,14.03,14.12,13.15,13.88,300768300
2017-07-28,14.0,15.65,13.68,13.95,602212800
2017-08-04,14.09,14.22,13.02,13.12,302572200
2017-08-11,13.33,13.57,11.88,12.23,310358500
2017-08-18,12.58,13.19,12.25,12.37,271948500
2017-08-25,12.42,12.71,11.86,12.43,209268800
2017-09-01,12.53,13.49,11.93,13.19,218501400
2017-09-08,12.88,13.18,12.04,12.25,182331000
2017-09-15,12.46,12.74,12.11,12.52,222527500
2017-09-22,12.77,14.24,12.74,13.3,469023900
2017-09-29,13.25,13.28,12.43,12.75,282160600
2017-10-06,12.8,13.5,12.62,13.23,224955600
2017-10-13,13.26,14.41,13.26,14.22,243473000
2017-10-20,14.25,14.35,13.69,13.81,168487300
2017-10-27,13.94,14.36,11.35,11.84,504767500
2017-11-03,11.26,11.42,10.65,11.12,375467400
2017-11-10,12.04,12.27,11.03,11.26,350346100
2017-11-17,11.18,11.75,10.77,11.38,213414000
2017-11-24,11.47,11.51,11.19,11.38,102694200
2017-12-01,11.34,11.74,10.53,10.73,255791600
2017-12-08,10.85,10.86,9.7,9.94,271147200
2017-12-15,9.97,10.32,9.88,10.29,182131300
2017-12-22,10.6,11.19,10.2,10.54,211699700
2017-12-29,10.38,10.74,10.27,10.28,88648000
2018-01-05,10.42,12.43,10.34,11.88,371524900
2018-01-12,12.01,12.3,11.56,12.02,263972300
2018-01-19,12.05,12.88,11.8,12.59,190594300
2018-01-26,12.61,13.05,12.32,12.95,210337800
2018-02-02,13.13,13.85,12.43,12.45,445835500
2018-02-09,12.05,12.18,10.63,11.31,401380500
2018-02-16,11.47,12.63,11.43,11.82,255505200
2018-02-23,11.72,12.19,11.63,12.07,158496200
2018-03-02,12.14,12.88,11.43,11.81,262958900
2018-03-09,11.69,12.82,11.55,11.7,383774800
2018-03-16,11.76,12.04,11.1,11.47,442557000
2018-03-23,11.41,11.74,10.57,10.63,277905900
2018-03-30,10.71,10.8,9.79,10.05,257943300
2018-04-06,9.99,10.2,9.04,9.61,303919000
2018-04-13,9.75,10.22,9.52,9.93,197121200
2018-04-20,10.0,10.65,9.9,9.99,213538500
2018-04-27,10.09,11.36,9.56,11.11,398173400
2018-05-04,11.06,11.29,10.77,11.28,204513200
2018-05-11,11.32,12.18,11.3,11.95,232434000
2018-05-18,12.14,13.26,12.11,13.0,260566900
2018-05-25,13.25,13.72,12.71,13.54,229134800
2018-06-01,13.45,14.4,13.26,14.4,216240500
2018-06-08,14.76,15.97,14.31,15.25,409548500
2018-06-15,15.21,16.79,15.01,16.34,428628300
2018-06-22,16.18,17.34,15.46,15.8,428036400
2018-06-29,15.64,15.76,14.54,14.99,294890800
2018-07-06,14.8,16.39,14.74,16.36,181297800
2018-07-13,16.73,16.84,16.02,16.27,222964800
2018-07-20,16.42,17.0,16.41,16.5,232617900
2018-07-27,16.47,19.88,15.72,18.94,540312100
2018-08-03,19.4,20.18,18.0,18.49,460821200
2018-08-10,18.89,19.77,18.46,19.06,320958200
2018-08-17,19.16,20.28,18.73,19.77,387312800
2018-08-24,19.79,24.0,19.35,23.98,458387200
2018-08-31,24.94,27.3,24.01,25.17,852866500
2018-09-07,25.62,29.94,25.57,27.38,717181900
2018-09-14,28.15,34.14,27.84,32.72,1041955800
2018-09-21,31.75,33.37,30.51,31.02,734280200
2018-09-28,31.13,33.6,29.98,30.89,569638000
2018-10-05,30.69,31.91,26.54,27.35,613996300
2018-10-12,26.73,27.71,24.55,26.34,615007400
2018-10-19,26.38,28.53,23.6,23.66,462943000
2018-10-26,24.46,25.64,17.05,17.63,659273700
2018-11-02,18.21,21.06,16.17,20.23,564677200
2018-11-09,20.12,22.22,18.88,21.03,552416500
2018-11-16,20.68,21.77,18.8,20.66,488510600
2018-11-23,20.4,20.59,17.18,19.38,339644500
2018-11-30,19.96,21.88,19.11,21.3,499090800
2018-12-07,22.48,23.75,19.17,19.46,476199500
2018-12-14,19.35,21.14,19.27,19.9,439174500
2018-12-21,20.01,20.02,16.76,16.93,589235800
2018-12-28,16.52,18.31,16.03,17.82,392332300
2019-01-04,18.15,19.07,16.94,19.0,401037100
2019-01-11,19.44,21.44,18.9,20.27,593112300
2019-01-18,19.96,21.05,19.02,20.77,378134700
2019-01-25,20.48,22.03,19.55,21.93,363997900
2019-02-01,20.32,25.14,19.05,24.51,765719600
2019-02-08,24.43,24.66,22.27,23.05,436607300
2019-02-15,23.05,24.05,22.59,23.68,328803600
2019-02-22,23.63,24.41,23.61,24.36,216868400
2019-03-01,25.01,25.52,23.11,23.68,261809300
2019-03-08,23.89,24.13,21.04,22.01,246243700
2019-03-15,22.15,24.15,21.98,23.29,256875100
2019-03-22,23.3,28.11,23.04,26.37,587009700
2019-03-29,26.29,26.99,24.55,25.52,360947900
2019-04-05,26.42,29.95,25.83,28.98,461863400
2019-04-12,28.69,28.95,27.19,27.85,283760400
2019-04-19,27.8,28.27,26.96,27.68,176274300
2019-04-26,27.62,28.86,27.05,27.88,236197100
2019-05-03,27.9,29.15,26.61,28.22,409783400
2019-05-10,26.72,28.1,26.03,27.96,368261400
2019-05-17,26.98,28.46,26.1,27.5,370403700
2019-05-24,26.98,27.59,26.03,26.44,263516900
2019-05-31,27.27,29.67,27.06,27.41,380876100
2019-06-07,28.75,32.6,27.29,32.41,552672100
2019-06-14,33.53,34.3,30.02,30.36,370731400
2019-06-21,30.25,31.36,28.97,29.1,374823600
2019-06-28,29.32,31.11,28.67,30.37,280184100
2019-07-05,31.79,32.04,30.73,31.5,155471500
2019-07-12,31.8,34.03,30.1,33.21,286089100
2019-07-19,33.34,34.86,32.42,32.51,278127400
2019-07-26,32.8,34.77,32.74,34.02,198470500
2019-08-02,34.14,34.18,28.94,29.44,378600700
2019-08-09,28.26,35.55,27.65,34.19,493251800
2019-08-16,34.16,34.65,29.21,31.18,478611400
2019-08-23,32.0,32.19,29.4,29.54,288311400
2019-08-30,30.34,31.87,29.6,31.45,244407400
2019-09-06,30.83,32.05,30.48,30.56,194178100
2019-09-13,30.93,31.18,29.51,30.69,255026800
2019-09-20,30.37,31.32,29.65,30.05,255848100
2019-09-27,30.12,30.8,28.35,28.72,270401100
2019-10-04,28.89,29.54,27.43,29.01,208790000
2019-10-11,28.9,30.2,27.92,29.75,226181400
2019-10-18,29.71,31.41,29.38,30.97,205444900
2019-10-25,31.5,32.86,30.83,32.71,188127000
2019-11-01,33.16,35.0,32.03,34.89,340272700
2019-11-08,35.19,37.18,34.76,36.29,313571600
2019-11-15,35.96,39.37,35.58,38.56,298611900
2019-11-22,38.65,41.79,38.19,39.15,385245000
2019-11-29,39.5,40.17,38.81,39.15,140612800
2019-12-06,39.32,40.22,37.15,39.63,198241400
2019-12-13,39.46,42.95,38.82,41.15,260165800
2019-12-20,41.73,44.26,41.73,44.15,256747900
2019-12-27,44.58,47.31,44.39,46.18,194462800
2020-01-03,46.14,49.39,44.66,48.6,226281400
2020-01-10,48.02,49.96,47.14,48.17,280409800
2020-01-17,48.66,51.05,47.91,50.93,229651300
2020-01-24,50.96,52.81,49.47,50.35,210007500
2020-01-31,48.45,50.85,46.1,47.0,354354900
2020-02-07,46.4,50.67,46.23,49.73,237800900
2020-02-14,49.47,55.4,49.35,55.31,285691100
2020-02-21,54.94,59.27,52.89,53.28,291205000
2020-02-28,48.18,51.24,41.04,45.48,468449900
2020-03-06,47.42,50.2,44.66,48.59,560502400
2020-03-13,43.03,46.34,39.0,43.9,452840300
2020-03-20,39.08,43.37,36.75,39.61,480035600
2020-03-27,40.62,47.98,38.95,46.58,450538700
2020-04-03,47.24,48.53,41.7,42.59,402412500
2020-04-10,44.3,50.25,44.06,48.38,329593600
2020-04-17,48.47,58.08,48.23,56.6,413426200
2020-04-24,55.98,58.63,51.41,56.18,401739000
2020-05-01,57.44,58.0,49.09,49.88,388977400
2020-05-08,49.82,53.51,49.73,53.19,256931900
2020-05-15,52.9,56.58,51.3,54.2,341967100
2020-05-22,54.98,56.98,53.78,55.17,251866100
2020-05-29,56.01,56.08,49.09,53.8,272370300
2020-06-05,53.31,54.11,52.01,53.1,225262300
2020-06-12,53.3,59.0,52.11,53.5,348224700
2020-06-19,52.58,56.07,52.41,54.23,245993100
2020-06-26,54.67,55.37,49.45,50.1,262944600
2020-07-03,50.15,53.19,48.42,52.34,153633800
2020-07-10,52.9,58.15,52.07,55.88,251586800
2020-07-17,56.68,58.35,52.26,55.04,226589700
2020-07-24,55.23,69.94,54.83,69.4,537078300
2020-07-31,69.28,78.96,67.02,77.43,486977700
2020-08-07,78.19,87.29,77.06,84.85,384452400
2020-08-14,85.05,85.16,76.1,81.3,336724400
2020-08-21,82.09,84.41,79.12,83.81,191157300
2020-08-28,84.55,87.72,82.35,85.55,217345300
2020-09-04,85.05,94.28,76.33,82.01,366578900
2020-09-11,78.05,83.31,75.04,76.34,215382000
2020-09-18,76.8,80.33,73.85,74.93,250418600
2020-09-25,74.23,78.79,73.88,78.06,265431300
2020-10-02,79.12,85.25,77.52,81.8,266140300
2020-10-09,82.55,88.72,82.35,83.1,277422700
2020-10-16,83.65,86.09,82.41,83.17,196007500
2020-10-23,83.62,84.65,78.42,81.96,195899400
2020-10-30,82.55,84.97,74.23,75.29,406756200
2020-11-06,75.85,86.09,73.76,85.88,253944400
2020-11-13,84.24,87.05,77.63,81.43,237995000
2020-11-20,81.21,86.1,80.48,84.64,183207500
2020-11-27,85.52,88.0,83.32,87.19,147411500
