Date,Open,High,Low,Close,Volume
2015-04-03,96.57,97.29,94.15,96.78,11816200
2015-04-10,96.69,98.64,95.01,95.07,9491700
2015-04-17,95.0,96.94,93.89,96.1,11518100
2015-04-24,96.14,96.5,94.83,95.32,9755700
2015-05-01,95.68,96.83,93.11,93.48,13951700
2015-05-08,93.45,95.17,92.24,94.95,12817500
2015-05-15,94.4,95.55,92.1,95.51,12276800
2015-05-22,95.09,95.77,93.34,94.35,10231500
2015-05-29,94.06,95.35,92.58,92.79,13125800
2015-06-05,92.7,95.69,92.5,92.52,16307300
2015-06-12,92.63,93.84,91.99,93.2,9887600
2015-06-19,92.25,97.06,91.99,95.97,12646900
2015-06-26,96.26,96.97,93.67,94.24,9122100
2015-07-03,94.14,95.1,92.87,94.91,7265300
2015-07-10,94.5,95.96,94.1,95.42,8168500
2015-07-17,96.04,98.02,95.26,96.95,9058200
2015-07-24,96.68,98.31,96.1,96.79,10807400
2015-07-31,96.76,97.47,93.77,95.11,12735600
2015-08-07,95.25,99.71,94.76,99.65,12900600
2015-08-14,99.74,101.28,99.01,101.08,11712400
2015-08-21,100.82,101.54,96.62,96.7,11279500
2015-08-28,91.74,94.57,89.39,93.45,21066800
2015-09-04,93.28,93.54,88.59,89.02,12550100
2015-09-11,90.32,91.36,87.95,89.26,9460700
2015-09-18,89.29,93.02,88.52,90.49,10895000
2015-09-25,90.59,90.78,87.37,88.84,7899800
2015-10-02,88.52,89.8,86.83,89.74,10608000
2015-10-09,90.13,95.76,90.13,94.94,12791400
2015-10-16,94.9,96.26,92.7,96.13,8814000
2015-10-23,95.68,99.94,95.68,99.17,9422500
2015-10-30,99.17,102.62,98.55,102.23,11175400
2015-11-06,102.81,104.12,96.99,98.03,12806300
2015-11-13,97.83,98.27,96.2,96.38,8009800
2015-11-20,96.47,100.87,96.0,100.49,7248400
2015-11-27,100.49,100.67,98.32,99.68,3787200
2015-12-04,99.95,101.24,97.17,97.55,11289500
2015-12-11,97.06,97.98,93.25,93.68,12449700
2015-12-18,93.38,97.88,92.88,94.6,10921000
2015-12-25,95.42,98.7,94.79,98.14,5559900
2016-01-01,97.74,99.59,96.88,96.95,4789400
2016-01-08,96.29,98.75,93.9,94.23,12634000
2016-01-15,94.73,95.18,87.85,88.39,13305600
2016-01-22,89.76,93.59,86.21,93.25,14630300
2016-01-29,93.28,94.5,90.93,94.34,12409000
2016-02-05,93.6,93.9,88.4,88.84,13272100
2016-02-12,88.41,88.46,83.07,85.67,12337600
2016-02-19,87.09,88.01,85.78,87.32,9922400
2016-02-26,88.02,91.8,87.01,90.01,17691700
2016-03-04,90.16,96.33,90.01,95.94,12633400
2016-03-11,95.46,98.56,93.69,98.46,10009300
2016-03-18,97.69,102.9,96.69,100.51,13069000
2016-03-25,100.01,100.96,98.87,100.35,6074600
2016-04-01,100.46,104.82,99.8,104.5,9166300
2016-04-08,104.7,106.07,103.74,105.71,9383200
2016-04-15,106.25,106.75,104.87,105.78,8143600
2016-04-22,105.22,105.89,102.38,104.19,10324000
2016-04-29,104.09,105.34,102.29,104.88,9249000
2016-05-06,105.0,106.72,103.15,106.57,9467400
2016-05-13,106.63,107.24,105.37,105.7,5808900
2016-05-20,105.75,106.72,103.11,104.01,7305200
2016-05-27,104.28,106.54,103.63,106.06,7213400
2016-06-03,105.96,107.29,104.87,106.97,6076700
2016-06-10,107.11,109.38,106.66,108.79,7750100
2016-06-17,108.77,109.8,106.5,106.94,9115500
2016-06-24,107.84,111.47,107.37,108.27,10854200
2016-07-01,107.64,114.5,106.64,113.6,11678600
2016-07-08,113.62,114.23,111.62,113.66,8655300
2016-07-15,113.66,117.54,112.74,116.82,11520600
2016-07-22,116.79,118.26,116.13,117.84,7317800
2016-07-29,117.9,118.11,115.56,115.77,9473300
2016-08-05,115.87,117.25,115.28,116.58,9922500
2016-08-12,116.54,116.94,115.47,116.5,5866900
2016-08-19,116.62,117.11,113.05,113.61,8335000
2016-08-26,113.64,116.36,112.29,113.23,7593500
2016-09-02,113.74,115.53,112.67,115.09,8086500
2016-09-09,115.6,117.31,110.19,110.19,10336400
2016-09-16,109.45,111.83,107.57,108.0,11321200
2016-09-23,108.6,113.4,108.02,112.99,8898000
2016-09-30,112.5,114.89,111.53,113.33,9720300
2016-10-07,112.9,113.23,106.04,108.51,14143100
2016-10-14,108.55,114.59,108.24,113.35,9719700
2016-10-21,112.99,115.79,112.88,115.71,8033800
2016-10-28,116.13,118.09,115.24,116.13,12080800
2016-11-04,116.95,117.46,112.02,112.98,12930000
2016-11-11,114.6,116.16,103.18,105.71,22818100
2016-11-18,105.17,107.19,100.41,105.09,19913900
2016-11-25,106.37,108.17,105.43,107.3,8447000
2016-12-02,107.19,108.04,99.72,102.57,18544200
2016-12-09,102.34,103.86,100.79,102.91,17202700
2016-12-16,102.68,108.17,102.65,105.8,16417400
2016-12-23,106.47,107.87,105.3,106.03,6514900
2016-12-30,106.26,106.82,105.41,105.68,5317300
2017-01-06,106.73,106.94,105.18,105.27,7876800
2017-01-13,105.5,105.82,102.51,103.45,10805800
2017-01-20,103.58,106.42,103.41,104.2,8480000
2017-01-27,104.5,105.19,103.66,103.82,8580300
2017-02-03,104.05,105.65,102.73,105.25,9103200
2017-02-10,105.06,106.0,102.91,105.49,8540400
2017-02-17,105.69,109.8,105.6,108.11,11231800
2017-02-24,108.11,113.21,108.02,112.89,10042700
2017-03-03,114.01,115.76,112.79,115.67,12682600
2017-03-10,115.38,115.53,112.78,113.58,9749300
2017-03-17,113.7,116.28,113.21,116.01,10177400
2017-03-24,116.03,119.76,115.74,119.32,12838600
2017-03-31,118.72,121.85,118.55,121.54,12057700
2017-04-07,121.43,122.69,120.44,122.12,9636700
