Date,Open,High,Low,Close,Volume
2015-04-03,18.59,18.89,18.42,18.61,173208000
2015-04-10,18.5,19.36,18.47,19.13,252156000
2015-04-17,19.18,19.39,18.72,18.78,246628000
2015-04-24,18.93,22.63,18.85,22.25,765824000
2015-05-01,22.19,22.35,20.8,21.14,408136000
2015-05-08,21.24,21.76,20.73,21.68,267084000
2015-05-15,21.63,21.95,21.22,21.3,249332000
2015-05-22,21.3,21.84,20.92,21.38,263852000
2015-05-29,21.31,21.62,21.1,21.46,188076000
2015-06-05,21.52,21.92,21.31,21.35,221376000
2015-06-12,21.28,21.94,20.96,21.5,232208000
2015-06-19,21.38,22.25,21.13,21.75,288136000
2015-06-26,21.85,22.35,21.68,21.91,251028000
2015-07-03,21.75,22.0,21.45,21.89,173612000
2015-07-10,21.76,22.24,21.28,22.18,248258000
2015-07-17,22.41,24.27,22.38,24.15,414164000
2015-07-24,24.63,29.03,23.78,26.47,846660000
2015-07-31,26.39,27.25,26.16,26.81,465708000
2015-08-07,26.87,27.14,25.91,26.13,332558000
2015-08-14,26.43,26.73,25.65,26.58,282896000
2015-08-21,26.56,26.97,24.72,24.72,361830000
2015-08-28,23.18,26.13,22.55,25.9,619934000
2015-09-04,25.82,25.97,24.67,24.95,328322000
2015-09-11,25.43,26.5,25.43,26.47,279706000
2015-09-18,26.47,27.35,25.86,27.01,371570000
2015-09-25,27.22,27.49,26.07,26.21,337892000
2015-10-02,26.0,26.63,24.52,26.63,445260000
2015-10-09,26.85,27.58,25.99,26.99,398402000
2015-10-16,27.0,28.55,26.98,28.54,370980000
2015-10-23,28.54,30.97,27.63,29.95,610746000
2015-10-30,30.11,31.54,29.81,31.3,395068000
2015-11-06,31.36,33.11,31.02,32.97,394398000
2015-11-13,32.93,33.8,32.02,32.12,469428000
2015-11-20,32.05,33.64,31.11,33.42,496544000
2015-11-27,33.58,34.14,33.06,33.66,271864000
2015-12-04,33.79,34.24,33.07,33.63,486348000
2015-12-11,33.74,34.0,31.98,32.01,429456000
2015-12-18,32.09,34.12,31.76,33.21,471410000
