Date,Open,High,Low,Close,Volume
2015-04-03,4.26,4.42,4.09,4.13,52744000
2015-04-10,4.13,4.2,4.02,4.08,37608000
2015-04-17,4.09,4.24,4.05,4.06,36924800
2015-04-24,4.09,4.34,3.98,4.15,29856000
2015-05-01,4.17,4.18,3.95,4.04,31369600
2015-05-08,4.01,4.12,3.95,4.11,22478400
2015-05-15,4.12,4.31,4.0,4.09,80150400
2015-05-22,4.09,4.31,4.07,4.3,43052800
2015-05-29,4.31,4.37,4.25,4.37,42363200
2015-06-05,4.37,4.87,4.32,4.82,81766400
2015-06-12,4.88,5.11,4.82,5.07,70987200
2015-06-19,5.06,5.49,5.02,5.42,81193600
2015-06-26,5.44,5.53,5.09,5.14,91915200
2015-07-03,5.06,5.22,5.03,5.12,45195200
2015-07-10,5.09,5.14,4.79,5.03,54635200
2015-07-17,5.07,5.3,4.91,5.29,43537600
2015-07-24,5.31,5.52,5.17,5.3,43286400
2015-07-31,5.33,5.36,4.94,5.28,45843200
2015-08-07,5.27,5.47,5.08,5.26,75811200
2015-08-14,5.28,5.34,4.88,5.05,45691200
2015-08-21,4.99,5.16,4.45,4.62,42438400
2015-08-28,4.38,4.81,3.96,4.77,46731200
2015-09-04,4.74,4.77,4.41,4.68,44971200
2015-09-11,4.73,4.92,3.82,4.03,99588800
2015-09-18,4.09,4.25,3.88,4.18,111540800
2015-09-25,4.23,4.24,3.94,3.97,75417600
2015-10-02,3.97,4.05,3.73,3.92,55272000
2015-10-09,3.97,4.31,3.86,4.2,65116800
2015-10-16,4.2,4.25,4.05,4.22,35632000
2015-10-23,4.22,4.31,3.94,4.28,40004800
2015-10-30,4.26,4.3,4.01,4.03,35406400
2015-11-06,3.91,4.5,3.67,4.4,111300800
2015-11-13,4.44,4.54,4.04,4.07,48600000
2015-11-20,4.07,4.55,4.05,4.46,42078400
2015-11-27,4.46,4.69,4.45,4.56,28235200
2015-12-04,4.6,4.75,4.51,4.64,31384000
2015-12-11,4.62,4.68,4.21,4.22,31268800
2015-12-18,4.24,4.6,4.23,4.39,104472000
2015-12-25,4.42,4.7,4.39,4.69,28790400
2016-01-01,4.66,4.97,4.66,4.86,50833600
2016-01-08,4.87,4.95,4.24,4.3,79083200
2016-01-15,4.34,4.35,3.89,4.05,49225600
2016-01-22,4.09,4.1,3.72,4.02,46345600
2016-01-29,4.02,4.02,3.65,3.75,70561600
2016-02-05,3.72,3.95,3.35,3.7,87899200
2016-02-12,3.64,3.65,3.28,3.52,68995200
2016-02-19,3.57,4.2,3.57,4.06,123443200
2016-02-26,4.12,4.34,4.07,4.31,59297600
2016-03-04,4.31,4.37,4.01,4.02,65939200
2016-03-11,4.01,4.1,3.77,3.93,85764800
2016-03-18,3.86,3.86,3.44,3.65,117054400
2016-03-25,3.67,3.83,3.64,3.69,52028800
2016-04-01,3.71,4.0,3.62,3.88,64876800
2016-04-08,3.89,4.14,3.86,4.06,50272000
2016-04-15,4.06,4.07,3.85,3.96,37064000
2016-04-22,3.94,4.11,3.86,4.1,37512000
