Date,Open,High,Low,Close,Volume
2015-04-03,96.57,98.25,95.32,96.63,5140900
2015-04-10,96.17,98.94,95.83,98.25,4008200
2015-04-17,98.27,99.03,95.69,96.17,5341800
2015-04-24,96.73,98.15,96.26,97.84,5096900
2015-05-01,98.51,99.26,95.87,98.42,6187700
2015-05-08,98.5,100.0,96.67,99.89,10575400
2015-05-15,99.63,100.85,98.2,99.55,6680700
2015-05-22,99.63,103.33,99.4,102.89,6718100
2015-05-29,102.38,103.4,101.18,101.22,5109400
2015-06-05,101.47,102.2,100.09,100.97,4477900
2015-06-12,100.72,103.41,100.38,102.23,4630700
2015-06-19,101.43,104.7,101.33,102.99,5535400
2015-06-26,103.44,104.14,102.58,102.75,5561100
2015-07-03,102.0,102.33,99.15,99.51,5554600
2015-07-10,98.54,102.13,98.33,101.78,5436100
2015-07-17,102.57,102.91,101.56,102.41,3494500
2015-07-24,102.36,102.97,101.21,101.28,3463800
2015-07-31,100.97,103.38,100.38,100.77,4466600
2015-08-07,100.79,102.5,98.34,101.32,5566700
2015-08-14,102.22,103.12,99.58,101.3,4923100
2015-08-21,100.75,102.83,96.5,96.53,5544600
2015-08-28,91.83,95.62,89.27,93.54,9942600
2015-09-04,92.95,93.8,89.59,90.29,7649900
2015-09-11,91.42,93.7,90.42,91.32,6447200
2015-09-18,91.32,93.67,89.0,89.31,8065800
2015-09-25,90.17,90.89,87.75,90.02,6825900
2015-10-02,89.3,90.06,86.38,89.78,7644600
2015-10-09,90.29,92.33,89.92,91.29,4792600
2015-10-16,91.16,92.29,89.92,91.62,5278600
2015-10-23,91.57,93.34,90.1,92.49,6731400
2015-10-30,92.67,94.93,91.56,93.31,5973200
2015-11-06,93.37,95.75,92.92,93.57,9460300
2015-11-13,93.4,94.05,91.75,93.1,5411500
2015-11-20,92.77,95.35,92.39,94.86,7464600
2015-11-27,94.86,95.27,93.74,94.65,2563000
2015-12-04,94.32,96.69,93.15,96.65,5086200
2015-12-11,96.19,96.9,92.3,93.3,6130200
2015-12-18,93.59,97.79,90.81,90.99,10933300
2015-12-25,91.47,92.53,89.2,92.05,4064200
2016-01-01,91.74,94.16,91.23,92.21,3034300
2016-01-08,90.71,91.45,86.83,87.02,7599300
2016-01-15,87.53,88.09,85.09,86.09,6309900
2016-01-22,86.76,87.08,83.83,86.41,4510300
2016-01-29,86.19,87.99,85.24,87.83,6809100
2016-02-05,87.53,92.89,85.91,92.87,6669500
2016-02-12,92.27,94.98,90.86,93.8,9094000
2016-02-19,94.65,95.58,92.98,93.58,6948600
2016-02-26,94.36,96.5,92.88,95.76,7944200
2016-03-04,95.44,99.46,95.26,98.93,7386900
2016-03-11,98.33,100.59,97.62,100.48,5151100
2016-03-18,99.93,102.58,98.91,101.47,9214600
2016-03-25,101.08,102.23,99.67,101.13,9268900
2016-04-01,101.51,105.01,101.25,104.87,7306300
2016-04-08,104.63,105.24,100.68,101.31,6773900
2016-04-15,101.96,104.4,101.24,104.3,3801200
2016-04-22,103.89,106.17,102.94,103.23,4883700
2016-04-29,103.04,105.37,102.27,105.12,5524300
2016-05-06,105.55,106.78,104.3,104.78,5700600
2016-05-13,104.68,106.42,104.36,105.81,4778700
2016-05-20,105.6,106.64,103.94,105.39,4680100
2016-05-27,104.96,109.0,103.88,108.63,5579500
2016-06-03,108.87,109.65,107.79,108.72,5570300
2016-06-10,108.8,110.04,108.49,109.37,5017400
2016-06-17,108.86,109.48,105.09,106.86,7396700
2016-06-24,107.98,109.02,103.41,104.01,8368600
2016-07-01,102.57,110.17,100.55,109.77,7859400
2016-07-08,109.13,109.76,107.33,109.57,3826200
2016-07-15,109.98,111.6,109.57,110.84,3944900
2016-07-22,110.96,111.13,108.99,110.56,3475700
2016-07-29,110.5,111.22,105.35,107.07,5308200
2016-08-05,107.07,110.92,106.93,110.65,5065600
2016-08-12,110.5,110.83,109.44,109.61,3638900
2016-08-19,109.66,110.0,108.13,108.56,3705400
2016-08-26,108.58,111.2,108.48,110.03,2774500
2016-09-02,110.38,112.15,110.11,112.1,3804700
2016-09-09,112.18,112.5,108.93,108.93,2784800
2016-09-16,108.52,111.38,108.46,109.4,3728300
2016-09-23,109.96,113.78,109.53,112.15,4514400
2016-09-30,111.91,112.95,110.46,112.49,3894400
2016-10-07,111.99,113.7,111.01,112.5,3655100
2016-10-14,113.52,113.75,109.56,110.69,4295300
2016-10-21,111.0,111.23,108.63,109.55,3841400
2016-10-28,110.21,112.81,107.19,111.3,5000000
2016-11-04,111.28,111.52,107.5,107.79,4297500
2016-11-11,109.48,113.62,109.33,110.49,7975300
2016-11-18,110.96,112.18,109.18,111.96,5933700
2016-11-25,112.68,113.97,112.38,113.81,3821200
2016-12-02,113.23,114.5,111.34,111.62,6913300
2016-12-09,112.42,116.59,111.79,113.03,7998800
2016-12-16,112.99,113.7,111.42,112.09,6529400
2016-12-23,112.02,113.14,111.15,112.89,3422200
2016-12-30,112.91,113.06,111.06,111.53,1787800
2017-01-06,112.09,114.84,111.44,114.35,3235700
2017-01-13,113.91,114.26,111.45,113.29,3944500
2017-01-20,112.78,115.0,111.32,112.07,5424400
2017-01-27,111.97,113.41,111.3,113.39,5161200
2017-02-03,112.85,114.23,109.82,114.06,6587300
2017-02-10,113.27,117.76,113.02,115.59,4585900
2017-02-17,115.53,117.64,114.96,117.53,4165100
2017-02-24,117.2,117.8,114.92,116.56,4172400
2017-03-03,116.82,117.89,115.32,116.48,4169100
2017-03-10,115.8,117.95,114.95,117.86,5307100
2017-03-17,118.0,119.88,118.0,118.91,5691400
2017-03-24,118.82,118.97,117.07,117.54,4422400
2017-03-31,116.41,119.35,116.05,118.69,5064900
2017-04-07,118.59,120.4,117.41,119.64,5227200
2017-04-14,119.77,120.31,118.1,118.1,3320300
2017-04-21,118.16,121.05,118.16,118.43,5251400
2017-04-28,119.51,120.87,118.76,119.84,5239500
2017-05-05,119.91,122.39,119.49,122.27,4756500
2017-05-12,122.54,125.37,122.23,124.24,7699600
2017-05-19,124.19,127.89,124.06,127.28,6467700
2017-05-26,127.1,130.6,126.88,130.01,6640500
2017-06-02,129.93,131.89,129.62,131.4,5871200
2017-06-09,131.3,132.81,129.82,132.64,6310600
2017-06-16,132.48,136.49,132.22,136.46,6688500
2017-06-23,137.0,137.28,132.39,132.4,7022900
2017-06-30,132.5,134.92,132.19,132.95,5627300
2017-07-07,133.59,135.48,132.38,135.01,3939500
2017-07-14,134.93,136.59,133.85,136.22,4204900
2017-07-21,136.13,139.37,135.82,139.14,3689000
