Date,Open,High,Low,Close,Volume
2015-03-20,58.75,67.0,57.57,59.55,18987500
2015-03-27,59.57,61.4,58.21,59.41,16833700
2015-04-03,60.3,61.61,59.75,61.44,10625200
2015-04-10,61.85,68.17,61.6,67.84,20288200
2015-04-17,68.03,71.87,67.02,70.38,17259600
2015-04-24,70.4,71.58,65.82,66.32,13083500
2015-05-01,66.95,69.24,66.21,68.48,15791700
2015-05-08,68.5,70.14,64.07,65.54,21832600
2015-05-15,65.45,65.45,62.1,63.42,17983800
2015-05-22,63.28,63.9,61.2,62.53,12979600
2015-05-29,61.63,61.93,58.83,59.84,14168500
2015-06-05,59.89,60.03,57.83,59.35,16908000
2015-06-12,59.01,59.61,57.49,58.18,16841900
2015-06-19,57.56,60.13,56.06,56.54,15405000
2015-06-26,56.75,59.4,56.2,58.48,16781300
2015-07-03,57.43,58.85,55.82,56.78,11743400
2015-07-10,55.66,56.69,52.79,52.94,15102000
2015-07-17,52.9,54.53,50.57,50.64,17829000
2015-07-24,50.3,50.54,45.03,45.08,24943900
2015-07-31,44.28,47.59,43.84,45.86,30133300
2015-08-07,45.05,47.31,43.04,46.11,30274000
2015-08-14,46.6,49.68,46.33,47.0,34947900
2015-08-21,46.81,48.43,43.14,43.23,20176100
2015-08-28,40.67,45.4,38.4,44.86,35274000
2015-09-04,44.09,45.67,41.21,42.5,27613800
2015-09-11,43.11,44.54,39.28,40.2,24623300
2015-09-18,40.1,43.78,39.13,39.65,36591000
2015-09-25,40.02,40.23,36.54,38.2,24989400
2015-10-02,37.63,42.81,35.79,42.61,31458300
2015-10-09,43.1,47.98,42.83,46.47,26848000
2015-10-16,46.56,47.1,43.62,46.52,21523600
2015-10-23,45.82,46.79,44.82,46.49,18931100
2015-10-30,46.35,47.8,42.64,47.13,22101200
2015-11-06,46.74,50.94,46.55,47.67,26353900
2015-11-13,53.5,56.31,47.3,48.97,44067200
2015-11-20,49.1,51.11,48.28,49.1,16380900
2015-11-27,48.85,51.44,48.38,49.42,11502100
2015-12-04,49.76,49.99,43.74,45.79,18765400
2015-12-11,44.73,46.54,42.68,42.92,27891800
2015-12-18,42.5,45.44,41.6,42.69,29775100
2015-12-25,42.67,46.56,41.98,45.8,16467100
2016-01-01,44.71,46.34,44.39,44.47,13498700
2016-01-08,44.25,45.11,35.07,36.65,34816600
2016-01-15,36.67,37.64,33.56,35.33,42616000
2016-01-22,35.5,40.06,32.2,39.38,31580900
2016-01-29,38.36,42.54,37.08,42.54,28910500
2016-02-05,41.27,43.8,37.76,39.05,30631400
2016-02-12,38.2,38.36,33.23,36.53,30882800
2016-02-19,37.19,40.89,36.27,37.33,21701600
2016-02-26,38.34,40.48,36.09,39.47,31512600
2016-03-04,39.49,48.94,36.26,48.04,36649100
2016-03-11,48.03,51.11,44.75,48.97,36555100
2016-03-18,47.72,51.81,46.83,49.63,27550500
2016-03-25,49.14,51.32,46.59,48.85,17461400
2016-04-01,48.98,49.51,47.05,47.5,18896300
2016-04-08,47.54,51.64,46.15,50.66,15929400
2016-04-15,51.18,53.69,49.92,52.05,17108100
2016-04-22,50.27,56.66,50.07,56.2,18127400
2016-04-29,55.66,58.06,53.29,54.4,19490800
2016-05-06,54.61,55.57,50.08,53.84,27760200
2016-05-13,53.45,55.6,51.69,53.02,23332700
2016-05-20,54.38,58.21,54.12,57.11,30662100
2016-05-27,56.76,59.59,56.44,58.29,15567600
2016-06-03,58.26,59.25,54.17,54.58,13439700
2016-06-10,55.47,59.02,53.03,53.52,16354100
2016-06-17,53.03,55.41,51.91,53.87,15131700
2016-06-24,54.99,58.18,54.27,54.86,18058600
2016-07-01,53.88,57.38,51.38,56.67,14819600
2016-07-08,55.41,56.67,53.72,55.17,9710900
2016-07-15,55.54,58.34,55.04,57.12,12288600
2016-07-22,56.91,57.07,53.17,53.65,11771000
2016-07-29,53.04,53.89,51.0,52.5,11376200
2016-08-05,51.82,52.9,48.05,49.64,21095000
2016-08-12,50.15,51.75,48.71,49.01,16849900
2016-08-19,49.37,53.75,48.87,53.49,15140000
2016-08-26,52.58,53.48,51.96,52.35,9922600
2016-09-02,52.05,53.83,48.53,51.29,13439600
2016-09-09,51.38,59.78,50.73,59.4,37133100
2016-09-16,59.08,60.19,56.56,58.56,28903600
2016-09-23,59.09,62.19,57.33,60.02,27216700
2016-09-30,61.11,66.0,58.11,63.87,29526600
2016-10-07,63.73,65.81,62.77,63.33,19970500
2016-10-14,63.98,65.0,60.51,61.77,16973300
2016-10-21,61.64,64.91,60.63,62.19,17888100
2016-10-28,62.25,62.73,59.91,60.72,14321400
2016-11-04,60.42,60.74,54.61,56.14,25323700
