Date,Open,High,Low,Close,Volume
2015-04-03,65.37,68.21,65.37,68.05,10604100
2015-04-10,68.43,71.42,67.94,71.01,13913363
2015-04-17,71.18,71.22,69.36,69.8,9200297
2015-04-24,70.35,70.54,68.83,70.0,9326995
2015-05-01,69.84,70.78,67.96,70.7,12270364
2015-05-08,70.76,72.52,70.06,71.53,10468099
2015-05-15,71.42,73.14,70.37,73.13,8425682
2015-05-22,73.13,73.83,72.53,72.94,8727272
2015-05-29,72.35,73.79,71.99,72.91,7302711
2015-06-05,73.17,74.38,72.21,73.19,9731779
2015-06-12,72.99,74.33,72.3,73.4,8195194
2015-06-19,73.23,75.34,72.77,74.74,15395546
2015-06-26,75.92,75.92,73.11,74.27,26319131
2015-07-03,73.1,73.62,70.53,72.08,12770947
2015-07-10,71.37,72.18,65.21,66.39,24130334
2015-07-17,67.08,67.66,63.64,65.33,17523858
2015-07-24,65.1,66.35,64.52,64.84,15262766
2015-07-31,64.18,66.38,62.82,65.45,16579241
2015-08-07,65.71,67.06,64.27,66.38,12505146
2015-08-14,67.7,68.42,62.59,63.89,16600357
2015-08-21,63.78,65.67,60.33,60.41,12044649
2015-08-28,57.51,63.68,55.55,63.16,16949906
2015-09-04,63.2,64.49,59.51,60.36,11015327
2015-09-11,65.67,65.67,60.78,64.04,10299766
2015-09-18,64.03,67.35,63.7,65.09,13205317
2015-09-25,65.53,65.53,59.57,61.41,13039132
2015-10-02,60.71,65.41,58.32,65.36,14513799
2015-10-09,65.9,69.09,65.14,68.64,11710966
2015-10-16,68.12,69.14,66.38,67.98,9936259
2015-10-23,67.72,71.46,67.39,71.3,12139849
2015-10-30,71.09,72.25,67.03,69.73,18990532
2015-11-06,70.07,70.96,68.82,69.82,10786510
2015-11-13,69.4,70.76,67.21,67.31,9491986
2015-11-20,67.34,73.39,67.02,72.26,13515378
2015-11-27,72.16,74.1,71.58,73.42,8280614
2015-12-04,73.77,74.51,71.44,73.64,12940113
2015-12-11,73.58,73.99,68.51,68.73,12616690
2015-12-18,68.87,72.05,67.99,70.0,11689254
2015-12-25,70.93,73.62,69.66,72.79,6661952
2016-01-01,72.46,73.81,71.7,71.86,4105113
2016-01-08,70.79,71.08,61.58,61.68,19723869
2016-01-15,61.89,64.92,55.12,56.55,31618198
2016-01-22,57.27,57.79,53.2,54.52,18970609
2016-01-29,54.34,56.98,53.23,54.43,18112365
2016-02-05,54.23,55.87,47.78,49.82,21005390
2016-02-12,49.02,51.5,46.6,51.33,24434907
2016-02-19,52.28,56.29,51.79,54.62,14668531
2016-02-26,55.41,57.02,52.07,55.93,17099746
2016-03-04,55.92,60.75,55.65,59.96,15975940
2016-03-11,59.35,59.68,56.3,58.91,13421249
2016-03-18,58.32,61.63,57.99,60.89,13313165
2016-03-25,60.82,61.64,59.47,60.66,9486258
2016-04-01,60.75,63.6,60.14,61.77,10220312
2016-04-08,61.44,61.59,57.53,60.01,15320029
2016-04-15,60.54,65.13,60.2,63.89,17467906
2016-04-22,64.52,64.89,62.78,63.48,11474752
2016-04-29,63.19,65.38,61.38,61.72,10528583
2016-05-06,62.09,62.09,57.7,59.06,17301721
2016-05-13,58.62,60.06,57.24,57.39,8157378
2016-05-20,57.59,57.82,55.0,55.96,13708048
2016-05-27,55.82,57.91,55.41,56.81,10085264
2016-06-03,57.02,57.38,55.22,56.22,10317064
2016-06-10,56.4,58.13,55.83,56.44,9221533
2016-06-17,56.02,56.42,53.81,55.71,10526197
2016-06-24,57.3,59.29,51.89,52.03,19104583
2016-07-01,51.32,54.47,48.65,53.33,21288251
2016-07-08,52.71,54.59,49.43,54.36,11534282
2016-07-15,54.8,57.11,54.62,56.22,12324049
2016-07-22,55.52,58.26,55.44,57.3,9258873
2016-07-29,57.38,58.99,54.87,56.85,13160579
2016-08-05,56.82,57.18,52.28,55.54,19616262
2016-08-12,55.46,56.06,53.39,53.63,8579340
2016-08-19,53.75,54.9,53.3,54.74,11937756
2016-08-26,54.64,58.47,54.21,58.36,17714738
2016-09-02,58.27,60.46,57.91,58.82,16698064
2016-09-09,59.43,59.53,56.94,57.01,12130066
2016-09-16,56.25,58.66,55.96,58.48,16513268
2016-09-23,59.02,59.51,57.38,58.26,9517636
2016-09-30,57.95,60.22,56.87,59.78,13772708
2016-10-07,59.64,60.3,58.42,58.78,8316284
2016-10-14,59.15,59.64,54.32,55.31,10202059
2016-10-21,55.26,56.24,52.88,53.58,16004334
2016-10-28,54.26,54.82,52.36,54.24,12460051
2016-11-04,54.42,57.07,54.0,55.96,15623886
2016-11-11,56.74,58.98,53.28,54.68,25838472
2016-11-18,55.06,57.85,54.79,57.16,15546819
2016-11-25,57.49,58.08,53.23,56.6,8879141
2016-12-02,56.58,56.92,50.71,53.41,19806544
2016-12-09,54.03,60.31,53.19,59.95,17398116
2016-12-16,59.94,59.94,56.97,57.08,12517792
2016-12-23,56.84,58.32,56.24,56.83,10644661
2016-12-30,56.71,57.75,55.97,56.45,5117373
2017-01-06,56.87,58.85,55.84,57.98,9489361
2017-01-13,58.05,60.2,57.01,60.04,13677746
2017-01-20,59.93,60.86,58.92,59.23,9147208
2017-01-27,59.04,61.94,58.28,59.51,12885832
2017-02-03,59.45,62.46,57.87,61.81,17015043
2017-02-10,61.76,62.56,61.15,62.3,10742011
2017-02-17,62.51,64.09,62.51,63.25,10055797
2017-02-24,63.31,64.58,62.57,64.28,10109840
2017-03-03,64.12,65.48,63.52,64.69,11088101
2017-03-10,64.17,65.17,63.13,64.62,7508266
2017-03-17,66.1,69.77,65.86,68.61,16720970
2017-03-24,68.63,68.73,64.66,66.14,12042261
2017-03-31,65.52,68.02,64.88,67.47,7551810
2017-04-07,67.67,67.75,62.11,62.98,13854429
2017-04-14,62.98,63.88,61.81,61.82,8319743
2017-04-21,61.87,65.47,61.58,64.21,9336062
2017-04-28,65.26,67.68,65.2,67.39,12139729
2017-05-05,67.4,75.09,64.74,73.51,28250479
2017-05-12,73.24,74.37,72.33,72.67,13155450
2017-05-19,72.88,73.45,70.02,72.0,12911482
2017-05-26,72.42,73.76,71.94,73.34,7456489
2017-06-02,73.05,75.38,72.23,74.64,9957374
2017-06-09,74.56,75.48,71.54,71.83,11987741
2017-06-16,71.78,72.99,70.58,71.26,9895576
2017-06-23,71.44,72.61,70.56,72.11,7898377
2017-06-30,72.11,73.84,71.69,73.47,11023082
2017-07-07,74.0,74.89,72.48,74.7,5930045
2017-07-14,74.74,78.32,74.53,76.64,11744608
2017-07-21,76.85,78.32,75.28,76.22,8722143
2017-07-28,76.19,76.64,75.18,75.4,10060211
2017-08-04,75.82,78.47,72.88,78.11,13584572
2017-08-11,78.03,79.32,76.05,77.4,10283780
2017-08-18,78.21,79.16,76.66,77.34,8052274
2017-08-25,77.56,80.0,77.12,79.01,5777104
2017-09-01,79.23,82.15,78.45,81.83,6489084
2017-09-08,81.73,82.37,80.31,81.02,6183558
2017-09-15,81.58,84.24,81.14,83.98,9477431
2017-09-22,84.17,86.3,83.62,86.15,7690794
2017-09-29,86.14,87.25,80.92,82.48,18665082
2017-10-06,82.51,86.28,82.15,84.2,9624409
2017-10-13,84.26,84.65,81.62,81.71,9958806
2017-10-20,82.15,82.63,80.33,81.17,9497116
2017-10-27,81.68,83.4,81.17,82.76,7055998
2017-11-03,82.35,84.77,80.67,81.22,11793998
2017-11-10,81.55,82.1,79.26,79.87,8291589
2017-11-17,79.61,84.07,79.35,82.73,12796357
2017-11-24,85.5,86.33,84.03,84.54,8978161
