Date,Open,High,Low,Close,Volume
2015-04-03,22.9,23.23,22.5,22.67,7701848
2015-04-10,22.59,22.82,22.29,22.4,10396643
2015-04-17,22.4,22.58,21.85,21.98,12860973
2015-04-24,22.01,22.96,21.99,22.86,9991807
2015-05-01,22.87,23.0,21.99,22.28,6802706
2015-05-08,22.3,22.98,21.97,22.76,7557668
2015-05-15,22.71,23.26,22.14,22.81,15078634
2015-05-22,22.83,23.36,22.59,22.94,20201472
2015-05-29,22.99,23.1,22.44,22.64,21217232
2015-06-05,22.7,22.92,22.53,22.75,12386195
2015-06-12,22.74,22.82,22.17,22.34,9936684
2015-06-19,22.3,22.92,22.19,22.87,12608903
2015-06-26,22.95,23.1,22.66,22.85,24982216
2015-07-03,22.68,22.82,22.25,22.44,18216213
2015-07-10,22.32,22.82,22.31,22.81,11419465
2015-07-17,22.99,23.24,22.82,23.11,7035109
2015-07-24,23.16,23.44,22.79,22.95,6757278
2015-07-31,22.88,23.26,22.45,22.97,8127597
2015-08-07,23.0,23.72,22.93,23.36,8427450
2015-08-14,23.41,23.66,22.0,23.62,13609011
2015-08-21,23.19,24.39,23.19,23.29,30766807
2015-08-28,20.85,23.1,20.28,22.82,18066634
2015-09-04,22.76,22.77,22.11,22.35,8983664
2015-09-11,22.81,23.77,22.4,22.88,5713680
2015-09-18,22.87,23.21,22.37,22.87,10131415
2015-09-25,23.05,23.15,22.24,22.48,5711049
2015-10-02,22.42,22.81,20.48,22.26,22927430
2015-10-09,22.42,22.55,21.74,22.3,11854493
2015-10-16,22.32,22.53,21.68,22.49,9171610
2015-10-23,22.46,22.67,22.02,22.26,9549714
2015-10-30,22.25,22.64,21.91,21.91,9965077
2015-11-06,21.99,22.41,21.76,22.02,9458859
2015-11-13,21.96,22.27,21.29,21.35,12132463
2015-11-20,21.31,24.05,21.16,23.57,33136542
2015-11-27,23.78,24.17,23.5,23.98,12224150
2015-12-04,23.97,24.7,23.53,24.57,25330266
2015-12-11,24.6,24.66,23.42,23.49,11459767
2015-12-18,23.55,25.31,23.11,23.23,13196973
2015-12-25,23.28,23.61,22.92,23.31,6632904
2016-01-01,23.26,23.75,23.03,23.29,4516624
2016-01-08,22.86,23.54,22.58,22.97,15318932
2016-01-15,23.08,23.42,21.98,22.46,17668447
2016-01-22,22.61,22.91,21.53,22.9,10242907
2016-01-29,22.92,23.18,22.12,23.07,12588958
2016-02-05,22.99,24.16,22.62,22.64,15165058
2016-02-12,22.52,23.9,21.07,21.88,28027693
2016-02-19,21.96,22.41,21.53,21.77,14299849
2016-02-26,21.97,23.03,21.96,22.79,8050590
2016-03-04,22.79,23.35,22.53,23.28,8489912
2016-03-11,23.06,23.41,22.68,23.2,7032754
