Date,Open,High,Low,Close,Volume
2015-04-03,7.05,7.86,6.6,7.6,6330600
2015-04-10,7.59,8.04,7.37,7.91,8642200
2015-04-17,8.75,8.9,6.84,7.08,18187300
2015-04-24,7.1,7.41,6.62,7.28,6680100
2015-05-01,7.28,7.37,6.77,6.97,5282800
2015-05-08,7.01,7.19,6.73,7.04,4943700
2015-05-15,7.04,7.1,5.99,6.29,10077500
2015-05-22,6.26,6.32,6.02,6.26,3720600
2015-05-29,6.3,6.45,6.06,6.3,3380700
2015-06-05,6.24,6.65,6.11,6.56,3692300
2015-06-12,6.55,6.86,6.31,6.72,4452000
2015-06-19,6.64,7.4,6.51,7.13,7999300
2015-06-26,7.2,7.5,7.01,7.13,6418500
2015-07-03,7.02,7.4,6.79,6.84,4078700
2015-07-10,6.8,7.18,6.5,6.68,4616600
2015-07-17,6.74,7.1,6.6,6.85,2907000
2015-07-24,6.87,6.9,6.41,6.45,2979700
2015-07-31,6.4,6.41,6.01,6.18,4431200
2015-08-07,6.19,7.17,5.89,6.11,7662900
2015-08-14,6.12,6.37,4.83,5.5,6796500
2015-08-21,5.5,6.1,5.3,5.57,5657200
2015-08-28,4.9,5.79,4.35,5.77,5883000
2015-09-04,5.69,6.06,5.24,5.52,4888000
2015-09-11,5.61,6.6,5.41,6.4,7172100
2015-09-18,6.31,7.84,6.16,7.34,10423600
2015-09-25,7.58,9.36,6.68,7.26,34950700
2015-10-02,7.27,7.39,5.29,5.8,13395100
2015-10-09,5.99,6.24,5.49,5.89,7162800
2015-10-16,5.85,5.89,5.11,5.38,6807600
2015-10-23,5.33,5.56,4.83,5.35,7044700
2015-10-30,5.38,5.43,5.09,5.15,4823800
2015-11-06,5.17,5.54,5.12,5.35,4461200
2015-11-13,5.32,5.88,5.27,5.68,5105500
2015-11-20,5.98,6.14,5.3,5.39,6674300
2015-11-27,5.38,6.33,5.28,6.29,3439000
2015-12-04,6.35,6.4,5.42,5.54,4506700
2015-12-11,5.86,6.45,5.6,5.64,6102600
2015-12-18,5.65,6.31,5.46,5.98,7416800
2015-12-25,6.1,6.23,5.82,6.2,2507100
2016-01-01,6.18,6.3,6.05,6.15,2439700
2016-01-08,5.97,6.05,5.01,5.36,6265100
2016-01-15,5.36,5.49,4.41,4.58,5763700
2016-01-22,4.7,4.75,3.26,4.19,6018600
2016-01-29,4.16,4.25,3.36,3.48,4153300
2016-02-05,3.45,3.86,3.12,3.46,4134200
2016-02-12,3.4,3.62,3.07,3.36,4011300
2016-02-19,3.4,4.01,3.4,3.94,2940100
2016-02-26,3.98,4.17,3.57,3.97,2575600
2016-03-04,3.96,4.55,3.87,4.33,3322400
2016-03-11,4.32,5.0,4.25,4.49,3208300
2016-03-18,4.46,4.68,4.04,4.53,2732000
2016-03-25,4.48,4.99,4.25,4.57,1794800
2016-04-01,4.6,5.13,4.26,4.9,2573300
2016-04-08,4.9,5.48,4.9,5.19,3150000
2016-04-15,5.22,6.35,5.05,6.23,5421300
2016-04-22,6.18,6.55,5.88,6.26,3759900
2016-04-29,6.23,6.37,5.74,5.79,2967200
2016-05-06,5.78,6.03,5.43,5.59,2416500
2016-05-13,5.65,5.89,5.18,5.23,3178400
2016-05-20,5.24,5.49,4.85,5.42,3541000
2016-05-27,5.48,5.94,5.46,5.89,1924500
2016-06-03,5.93,6.24,5.83,6.12,1600500
2016-06-10,6.17,6.25,5.8,5.85,1984800
2016-06-17,5.79,6.04,5.56,5.74,2187300
2016-06-24,5.82,5.99,5.28,5.47,2651800
2016-07-01,5.42,5.58,5.08,5.5,2020600
2016-07-08,5.43,5.74,5.32,5.73,1262800
2016-07-15,5.76,5.98,5.52,5.81,1586900
2016-07-22,5.8,5.94,5.48,5.65,1596600
2016-07-29,5.65,6.12,5.5,5.96,1599900
2016-08-05,5.97,6.09,5.64,5.99,2255000
2016-08-12,6.01,6.44,5.5,5.96,4425000
2016-08-19,5.93,7.73,5.93,7.5,7155800
2016-08-26,7.58,8.22,6.68,6.95,8015600
2016-09-02,6.83,7.47,6.6,7.15,3734900
2016-09-09,7.09,7.75,7.09,7.16,2790200
2016-09-16,7.01,7.28,6.8,7.08,4372500
2016-09-23,7.1,7.59,6.98,7.22,3005400
2016-09-30,7.15,8.09,6.83,7.35,9922700
2016-10-07,7.47,7.74,6.8,7.04,5224900
2016-10-14,7.2,7.28,6.64,6.64,3235600
2016-10-21,6.61,6.86,6.43,6.7,2200300
2016-10-28,6.72,6.76,5.8,5.86,2310900
2016-11-04,5.83,6.06,5.55,5.68,3021100
2016-11-11,5.78,6.18,4.09,4.18,12679200
2016-11-18,4.25,5.01,4.25,4.42,6048800
2016-11-25,4.44,4.7,4.22,4.67,5477500
2016-12-02,4.67,4.67,1.32,1.44,34508700
2016-12-09,1.4,1.45,1.33,1.35,8071400
2016-12-16,1.35,1.36,1.23,1.24,9603300
2016-12-23,1.24,1.59,1.2,1.59,12336300
2016-12-30,1.59,1.73,1.43,1.55,9099100
2017-01-06,1.56,1.96,1.42,1.96,8713000
2017-01-13,2.0,2.38,1.79,2.06,14458000
2017-01-20,2.06,2.06,1.8,1.82,3257700
2017-01-27,1.81,1.85,1.7,1.78,3137500
2017-02-03,1.78,2.08,1.7,1.9,5029100
2017-02-10,1.94,2.15,1.8,1.97,5654200
2017-02-17,2.0,2.23,1.9,2.17,5942100
2017-02-24,2.2,2.21,2.08,2.15,2304100
2017-03-03,2.16,2.45,2.15,2.22,5626600
2017-03-10,2.2,2.25,2.07,2.12,2650600
2017-03-17,2.15,2.19,2.03,2.05,2653800
2017-03-24,2.04,2.08,1.75,1.87,2898700
2017-03-31,1.85,1.95,1.8,1.85,1904500
2017-04-07,1.86,1.93,1.61,1.66,3744900
2017-04-14,1.67,1.68,1.57,1.58,2177200
2017-04-21,1.58,1.64,1.44,1.52,4137000
2017-04-28,1.55,1.65,1.47,1.55,4484200
2017-05-05,1.54,2.04,1.52,1.75,7407300
2017-05-12,1.74,1.82,1.56,1.7,2997500
2017-05-19,1.72,1.78,1.61,1.64,3133400
2017-05-26,1.64,1.67,1.51,1.54,2090300
2017-06-02,1.55,1.64,1.42,1.62,2261900
2017-06-09,1.52,1.73,1.52,1.62,1871400
2017-06-16,1.64,1.69,1.53,1.59,2160100
2017-06-23,1.59,1.9,1.55,1.55,13056400
2017-06-30,1.59,1.68,1.55,1.62,5033100
2017-07-07,1.64,1.72,1.6,1.62,1574300
2017-07-14,1.62,1.62,1.5,1.52,2553100
2017-07-21,1.55,1.56,1.48,1.51,1826100
2017-07-28,1.51,1.9,1.5,1.79,6304100
2017-08-04,1.8,1.84,1.63,1.84,3067700
2017-08-11,1.84,2.17,1.72,1.84,5393400
2017-08-18,1.87,2.26,1.84,2.12,3848700
2017-08-25,2.18,2.83,1.97,2.58,8773500
2017-09-01,2.6,2.95,2.41,2.86,5332200
2017-09-08,2.86,3.42,2.81,3.11,5851400
2017-09-15,3.16,3.89,2.65,3.3,13174600
2017-09-22,3.61,3.67,3.03,3.55,8354200
2017-09-29,3.6,4.42,3.58,4.33,6900200
2017-10-06,4.48,4.54,4.2,4.25,4909400
2017-10-13,4.23,4.44,3.94,4.0,5191800
2017-10-20,4.0,4.07,3.72,3.87,3199500
2017-10-27,3.88,3.95,3.3,3.65,2871500
2017-11-03,3.65,3.75,3.39,3.71,1890100
2017-11-10,3.66,3.78,3.48,3.68,1888200
2017-11-17,3.64,3.87,3.41,3.7,2206700
2017-11-24,3.7,3.77,3.61,3.7,1294200
2017-12-01,3.9,4.1,3.33,3.49,10470300
2017-12-08,3.54,3.68,3.29,3.45,5894000
2017-12-15,3.45,3.65,3.01,3.14,6983900
2017-12-22,3.15,3.83,3.14,3.71,6864200
2017-12-29,3.7,4.04,3.62,3.68,4780900
2018-01-05,3.69,5.23,3.57,4.87,12334000
2018-01-12,4.88,6.25,4.31,5.72,18267900
2018-01-19,5.9,6.4,5.3,6.29,14617500
2018-01-26,6.31,6.75,5.84,6.12,9122600
2018-02-02,6.24,6.35,5.83,5.9,5140900
2018-02-09,5.81,6.11,5.14,5.59,6075500
2018-02-16,5.42,5.95,4.77,5.57,7167600
2018-02-23,5.48,5.83,5.35,5.8,3130300
2018-03-02,5.86,6.8,5.86,6.66,8919100
2018-03-09,6.62,7.8,6.61,7.41,9222300
2018-03-16,7.42,7.93,7.25,7.53,11651500
2018-03-23,7.53,7.55,6.71,6.75,5260500
2018-03-30,6.83,8.09,6.52,7.21,9174600
2018-04-06,7.19,7.27,6.26,6.37,6828400
2018-04-13,6.43,7.41,6.37,7.22,5868400
2018-04-20,7.23,7.23,6.74,6.97,3804200
2018-04-27,7.0,7.04,6.33,6.66,3638700
2018-05-04,6.74,7.46,6.31,7.17,6297200
2018-05-11,7.17,9.89,7.17,9.88,13038400
2018-05-18,9.98,10.38,8.87,10.0,8715000
2018-05-25,10.17,10.35,9.56,10.05,5456600
2018-06-01,10.0,11.57,9.96,10.91,8213400
2018-06-08,10.99,11.14,9.67,10.31,7205400
2018-06-15,10.27,11.84,10.11,11.07,8049700
2018-06-22,11.68,14.24,11.43,13.26,25178000
2018-06-29,13.0,13.95,12.61,13.6,9678800
2018-07-06,13.71,15.88,13.33,15.83,7755300
2018-07-13,16.0,16.64,15.58,16.41,7364500
2018-07-20,16.2,17.18,15.53,16.03,7742700
2018-07-27,16.08,17.5,15.66,16.07,8259200
2018-08-03,15.96,16.22,12.25,14.54,12644000
2018-08-10,14.43,17.0,13.76,16.89,7582200
2018-08-17,16.96,17.19,13.95,14.51,8546900
2018-08-24,14.63,14.78,13.8,14.69,6143500
2018-08-31,14.93,15.1,14.19,14.76,5371800
2018-09-07,14.6,22.39,13.82,19.74,38031900
2018-09-14,19.89,21.18,18.2,18.91,8591500
2018-09-21,18.98,18.99,17.68,17.77,7479000
2018-09-28,17.77,19.54,17.43,19.17,5262900
2018-10-05,19.17,20.31,14.22,14.74,30750500
2018-10-12,14.71,14.87,12.31,13.11,18465600
2018-10-19,12.91,14.23,12.75,13.05,9986700
2018-10-26,13.08,13.29,11.98,12.66,8207100
2018-11-02,12.81,14.66,11.89,14.49,9611800
2018-11-09,14.6,16.09,13.75,14.49,9885500
2018-11-16,14.49,14.49,11.83,13.39,8677300
2018-11-23,13.32,13.55,11.55,13.0,5379700
2018-11-30,13.2,14.98,13.01,14.52,5832600
2018-12-07,15.02,15.18,13.01,13.13,6834800
2018-12-14,13.16,15.47,12.89,14.32,8376300
2018-12-21,14.2,14.68,11.14,11.21,10629800
2018-12-28,10.98,12.31,10.41,11.94,7979300
2019-01-04,12.16,13.32,11.67,13.18,8435900
2019-01-11,13.21,15.28,12.86,14.87,9478700
