Date,Open,High,Low,Close,Volume
2015-03-27,13.5,13.63,11.7,12.82,167876000
2015-04-03,12.98,13.09,12.36,12.5,72263000
2015-04-10,12.34,12.8,12.25,12.68,69596000
2015-04-17,12.73,12.75,12.09,12.19,85696000
2015-04-24,12.25,12.8,11.59,11.95,139603000
2015-05-01,12.0,12.34,11.46,12.28,125919000
2015-05-08,12.28,12.49,11.54,12.33,89160000
2015-05-15,12.36,12.95,12.13,12.79,80445000
2015-05-22,12.8,13.38,12.73,13.26,96923000
2015-05-29,13.44,14.92,13.06,14.81,508396000
2015-06-05,14.82,15.05,13.93,14.38,221903000
2015-06-12,14.36,14.4,13.65,14.05,191772000
2015-06-19,13.92,14.4,13.9,14.29,133171000
2015-06-26,14.42,14.51,13.48,13.52,156081000
2015-07-03,13.28,13.77,13.1,13.76,145024000
2015-07-10,13.62,13.76,12.37,12.98,265244000
2015-07-17,13.14,13.5,12.85,13.37,137670000
2015-07-24,13.45,13.64,12.54,12.85,183360000
2015-07-31,12.73,12.95,12.35,12.51,165931000
2015-08-07,12.64,12.75,11.88,12.26,185477000
2015-08-14,12.35,12.74,12.06,12.2,123923000
2015-08-21,12.13,12.58,11.13,11.15,169914000
2015-08-28,10.11,12.77,10.0,12.76,300519000
2015-09-04,12.66,12.8,11.81,12.11,171413000
2015-09-11,12.54,13.18,12.48,13.11,142809000
2015-09-18,13.25,13.49,12.66,12.76,156703000
2015-09-25,12.84,12.94,11.94,12.67,140959000
2015-10-02,12.6,12.82,11.81,12.33,212714000
2015-10-09,12.4,12.49,11.15,11.69,268103000
2015-10-16,11.76,12.2,11.24,12.11,159371000
2015-10-23,12.1,12.98,11.74,12.96,138552000
2015-10-30,12.81,12.81,11.87,12.31,208473000
2015-11-06,12.37,12.98,12.01,12.97,168983000
2015-11-13,12.84,12.89,11.52,11.75,165374000
2015-11-20,11.75,12.67,11.71,12.64,128771000
2015-11-27,12.68,13.05,12.34,13.0,86320000
2015-12-04,12.94,14.79,12.71,14.76,311224000
2015-12-11,14.67,14.97,14.43,14.44,170987000
2015-12-18,14.41,14.55,13.85,14.02,178377000
2015-12-25,14.31,14.73,14.19,14.63,71917000
2016-01-01,14.59,14.89,14.39,14.52,73475000
2016-01-08,14.21,14.33,12.81,12.82,234664000
2016-01-15,12.95,13.17,11.93,12.0,268381000
2016-01-22,12.28,12.65,11.72,12.45,265664000
2016-01-29,12.44,13.43,12.01,13.37,548067000
2016-02-05,13.33,13.87,12.7,12.84,292644000
2016-02-12,12.7,12.7,11.43,12.17,306753000
2016-02-19,12.33,13.2,12.3,12.87,141583000
2016-02-26,13.0,13.5,12.54,13.31,125030000
2016-03-04,13.33,14.79,13.29,14.61,256487000
2016-03-11,14.48,15.0,13.94,14.88,216099000
2016-03-18,14.71,15.3,14.61,15.25,209517000
2016-03-25,15.26,15.56,15.08,15.3,115380000
2016-04-01,15.33,15.79,15.12,15.78,121422000
2016-04-08,15.8,15.83,15.37,15.61,144325000
2016-04-15,15.74,15.97,15.3,15.55,112069000
2016-04-22,15.53,15.68,14.87,15.03,101108000
2016-04-29,15.02,15.41,14.32,14.57,136696000
2016-05-06,14.62,14.68,13.92,14.19,111267000
2016-05-13,14.2,14.62,13.95,14.01,100645000
2016-05-20,14.09,14.77,13.99,14.67,107608000
2016-05-27,14.82,15.43,14.79,15.33,96377000
2016-06-03,15.4,16.6,15.33,16.26,192566000
2016-06-10,16.34,16.59,16.0,16.08,147770000
2016-06-17,16.01,16.23,15.49,15.6,144258000
2016-06-24,15.84,15.96,14.84,14.87,141042000
2016-07-01,14.65,15.72,14.23,15.42,185362000
2016-07-08,15.16,15.52,14.72,15.51,92913000
2016-07-15,15.71,16.16,15.63,16.12,104050000
2016-07-22,16.24,16.38,15.67,15.97,86681000
2016-07-29,15.96,16.76,15.93,16.2,114293000
2016-08-05,16.28,17.02,16.13,17.01,101156000
2016-08-12,17.0,17.32,16.79,17.25,103625000
2016-08-19,17.34,17.58,17.18,17.49,97958000
2016-08-26,17.5,17.86,17.41,17.72,98257000
2016-09-02,17.73,17.94,16.88,17.31,197113000
2016-09-09,17.36,17.4,16.07,16.08,131271000
2016-09-16,15.91,17.3,15.88,17.12,231389000
2016-09-23,17.16,17.36,16.55,16.67,112499000
2016-09-30,16.51,17.47,16.28,17.25,151019000
2016-10-07,17.3,17.5,16.81,17.42,111408000
2016-10-14,17.47,17.59,16.68,17.01,106200000
2016-10-21,16.97,17.46,16.87,17.29,82151000
2016-10-28,17.42,17.7,16.9,16.93,102960000
2016-11-04,17.0,17.53,16.58,17.22,134677000
2016-11-11,17.44,17.8,16.33,16.75,158565000
2016-11-18,16.65,16.92,16.3,16.82,104524000
2016-11-25,16.91,17.78,16.91,17.67,82729000
2016-12-02,17.61,17.71,16.06,16.42,149667000
2016-12-09,16.6,18.19,16.24,17.91,207320000
2016-12-16,17.81,18.19,17.62,17.84,232709000
2016-12-23,17.91,18.4,17.81,18.19,97118000
