Date,Open,High,Low,Close,Volume
2015-03-27,53.49,53.79,51.96,52.36,2587000
2015-04-03,52.71,53.74,52.27,53.0,1915000
2015-04-10,52.74,54.13,52.63,54.04,2804600
2015-04-17,53.98,54.36,50.94,51.07,3177500
2015-04-24,51.36,51.93,51.11,51.91,3668700
2015-05-01,52.05,56.84,51.44,56.16,6844100
2015-05-08,56.3,58.49,56.06,58.2,4598200
2015-05-15,58.2,60.62,57.99,60.52,6798700
2015-05-22,60.4,62.78,60.03,62.58,5254200
2015-05-29,62.4,63.42,61.75,61.91,3748100
2015-06-05,61.97,62.12,59.68,60.8,4264200
2015-06-12,60.82,62.77,60.6,62.09,4275700
2015-06-19,61.73,63.15,60.98,62.23,4425800
2015-06-26,62.45,62.84,61.34,62.2,5008300
2015-07-03,61.7,62.6,60.9,62.17,2691500
2015-07-10,61.5,62.25,60.61,61.6,3192200
2015-07-17,62.12,64.04,61.36,61.82,4158700
2015-07-24,61.84,62.35,59.93,60.11,2837500
2015-07-31,59.74,63.94,59.38,60.85,4407600
2015-08-07,61.0,63.07,59.86,63.04,4250400
2015-08-14,63.29,64.81,62.8,63.97,3737700
2015-08-21,63.61,64.76,60.25,60.25,2927700
2015-08-28,55.11,59.67,53.56,59.57,5002800
2015-09-04,59.13,59.63,55.91,57.44,3917200
2015-09-11,58.5,59.63,58.0,58.71,2552600
2015-09-18,58.71,61.06,58.13,59.16,3544500
2015-09-25,59.47,59.83,55.9,56.73,3833800
2015-10-02,56.44,59.51,55.29,59.48,4687500
2015-10-09,59.83,60.37,58.28,59.61,3695700
2015-10-16,59.67,60.04,58.03,59.87,3535000
2015-10-23,59.73,64.18,59.48,63.91,2423400
2015-10-30,63.84,66.09,62.33,64.97,3889300
2015-11-06,65.03,65.99,64.13,65.09,5169400
2015-11-13,64.93,65.56,62.03,62.37,4232200
2015-11-20,62.42,66.65,62.26,65.95,3452600
2015-11-27,65.85,66.44,64.94,66.17,2000900
2015-12-04,65.85,66.64,63.48,65.56,4286200
2015-12-11,65.17,65.94,62.79,62.94,3524200
2015-12-18,63.08,64.71,61.99,62.06,4484200
2015-12-25,62.67,64.33,62.32,64.06,1790200
2016-01-01,63.7,64.47,62.63,62.66,2417500
2016-01-08,61.68,61.77,59.08,59.69,4810300
2016-01-15,59.84,60.52,57.87,58.94,4877100
2016-01-22,59.65,60.79,57.06,60.74,3520600
2016-01-29,60.14,60.97,57.62,60.89,4843500
2016-02-05,60.67,66.37,59.38,63.2,8433900
2016-02-12,62.73,64.5,60.37,63.98,5296700
2016-02-19,64.71,65.62,63.69,64.59,3534000
2016-02-26,64.59,66.89,62.99,66.45,3273500
2016-03-04,66.04,68.33,65.12,67.86,5756500
2016-03-11,67.46,70.36,67.08,69.85,5116600
2016-03-18,69.63,70.74,68.33,70.46,8536400
2016-03-25,70.46,71.96,70.46,70.99,2989100
2016-04-01,71.3,72.96,71.11,72.86,3198100
2016-04-08,73.0,73.22,71.33,71.72,4650800
2016-04-15,71.83,72.65,71.25,72.59,3123400
2016-04-22,72.28,74.33,72.03,73.52,2864900
2016-04-29,73.26,75.14,72.28,72.61,5118400
2016-05-06,72.65,75.19,72.26,74.87,4746500
2016-05-13,74.83,76.81,74.72,75.58,3296800
2016-05-20,75.74,76.96,73.28,73.31,4265000
2016-05-27,73.34,75.44,73.33,74.67,2562900
2016-06-03,74.75,75.84,73.59,75.75,2866800
2016-06-10,75.86,77.25,75.59,77.11,2695600
2016-06-17,76.68,77.01,74.34,75.04,3434100
2016-06-24,76.0,77.38,73.28,73.62,2783000
2016-07-01,72.96,74.75,70.91,72.62,5244800
2016-07-08,72.17,73.36,70.81,73.3,3718600
2016-07-15,73.5,74.18,72.69,73.53,3788300
2016-07-22,73.35,74.28,72.03,72.6,2714200
2016-07-29,72.62,78.82,71.85,77.89,5212500
2016-08-05,77.62,78.95,76.74,78.46,3429700
2016-08-12,78.33,79.27,77.87,78.19,2888100
2016-08-19,78.4,78.66,76.29,77.45,2427500
2016-08-26,77.17,78.3,76.47,76.93,2612100
2016-09-02,77.14,78.37,76.81,78.14,2408100
2016-09-09,78.51,78.55,75.33,75.33,2398600
2016-09-16,74.96,77.25,74.68,76.41,2643600
2016-09-23,76.95,78.96,76.89,78.25,2597400
2016-09-30,77.78,78.45,76.94,77.79,2147400
2016-10-07,77.36,78.33,75.54,76.4,3651200
2016-10-14,76.93,77.36,74.77,76.45,2145100
2016-10-21,76.66,77.48,74.91,75.5,2214900
2016-10-28,76.11,76.51,68.55,68.61,7525200
2016-11-04,68.67,71.68,68.66,70.68,5127700
2016-11-11,71.67,71.79,68.93,69.55,3800800
2016-11-18,69.58,72.44,69.15,70.58,4238000
2016-11-25,70.58,72.02,70.11,71.71,2135100
2016-12-02,71.6,73.31,70.72,71.72,5003400
2016-12-09,71.81,74.16,71.81,72.62,4393900
2016-12-16,72.6,73.5,71.4,71.94,4064200
2016-12-23,71.73,72.36,70.3,71.43,2205700
2016-12-30,71.66,72.26,70.02,70.22,1462800
2017-01-06,70.76,72.52,69.53,72.4,3120100
2017-01-13,72.48,73.39,71.39,72.15,2886500
2017-01-20,72.16,73.43,71.95,72.41,2465400
2017-01-27,72.3,74.82,72.01,73.77,3510800
2017-02-03,73.23,80.84,71.71,79.05,8717400
2017-02-10,78.8,79.86,78.17,79.27,3876600
2017-02-17,79.37,80.46,78.82,79.41,3114600
2017-02-24,79.4,80.92,79.26,80.25,2255500
2017-03-03,80.16,82.11,80.02,81.76,3532300
2017-03-10,81.19,81.8,79.45,80.5,3497100
2017-03-17,80.51,80.94,79.51,80.39,2689100
2017-03-24,80.23,80.31,78.47,79.61,2796400
2017-03-31,78.82,80.8,78.61,80.6,3143300
2017-04-07,80.86,81.23,79.26,79.54,3025500
2017-04-14,79.6,80.24,79.13,79.48,2862800
2017-04-21,79.77,82.39,79.63,81.69,4103400
