Date,Open,High,Low,Close,Volume
2015-04-03,78.35,79.77,77.62,79.7,25062200
2015-04-10,79.34,80.1,78.26,79.59,23886200
2015-04-17,79.73,81.17,76.53,77.32,44545200
2015-04-24,77.39,78.65,76.96,77.99,29091800
2015-05-01,77.83,77.96,76.94,77.68,28331000
2015-05-08,77.96,79.64,77.39,78.98,30241800
2015-05-15,79.05,81.16,78.44,80.22,24827700
2015-05-22,80.28,81.6,79.78,81.25,22275600
2015-05-29,81.12,81.46,79.58,79.72,22215900
2015-06-05,79.94,81.27,78.95,79.39,23490700
2015-06-12,79.43,80.77,78.8,79.53,26522200
2015-06-19,79.0,80.9,78.82,80.19,36554700
2015-06-26,80.68,81.92,79.83,79.88,38880300
2015-07-03,79.22,79.35,77.65,78.21,26243900
2015-07-10,77.55,77.85,75.75,77.31,25422600
2015-07-17,77.97,79.36,77.77,79.22,18709600
2015-07-24,79.2,79.63,75.68,75.9,32817000
2015-07-31,75.44,76.67,74.3,76.06,31084100
2015-08-07,75.86,80.22,74.34,79.72,43070800
2015-08-14,79.69,81.65,79.5,80.91,38318400
2015-08-21,80.39,81.66,77.03,77.03,30071500
2015-08-28,73.36,77.18,71.71,76.65,39102000
2015-09-04,76.26,77.26,73.57,74.08,26453400
2015-09-11,75.58,76.51,74.79,75.5,19614300
2015-09-18,75.16,78.4,74.78,75.95,30703600
2015-09-25,76.42,77.32,73.85,75.1,22083700
2015-10-02,74.46,74.7,72.5,74.41,25903400
2015-10-09,75.05,77.85,75.04,77.33,19750200
2015-10-16,77.16,77.5,75.94,77.21,17470600
2015-10-23,76.95,77.61,71.39,74.59,46353100
2015-10-30,73.3,74.97,73.06,73.26,28728100
2015-11-06,73.43,74.85,73.27,74.3,35285700
2015-11-13,74.08,74.26,71.1,71.2,25903200
2015-11-20,70.83,73.35,70.21,72.42,26210200
2015-11-27,72.46,72.74,71.0,71.85,14063300
2015-12-04,71.85,72.44,70.12,71.1,25517900
2015-12-11,70.82,71.09,68.48,68.86,34383500
2015-12-18,68.99,70.96,67.57,67.87,40920900
2015-12-25,68.15,70.51,67.99,70.16,15764600
2016-01-01,70.0,70.75,69.36,69.55,13023500
2016-01-08,68.09,68.18,63.08,63.63,51137200
2016-01-15,63.74,64.9,61.5,62.91,42316100
2016-01-22,63.41,64.32,54.14,55.06,69471600
2016-01-29,54.46,55.82,52.15,53.5,74383300
2016-02-05,53.41,54.99,52.83,53.98,47353700
2016-02-12,53.24,53.45,50.27,52.66,42823600
2016-02-19,53.01,55.03,52.73,54.71,30862600
2016-02-26,54.71,55.9,53.56,55.38,28291000
2016-03-04,55.3,58.65,54.81,58.29,39065500
2016-03-11,58.0,60.0,57.63,59.46,40720800
2016-03-18,59.51,61.45,58.63,61.22,25969000
2016-03-25,60.99,61.38,59.6,60.47,15603800
2016-04-01,60.77,61.66,59.46,61.1,23053100
2016-04-08,61.01,61.06,58.7,59.5,20773500
2016-04-15,59.67,62.84,59.28,62.14,21497000
2016-04-22,61.81,67.34,61.73,65.93,31850200
2016-04-29,65.64,66.67,64.85,65.43,21570000
2016-05-06,65.58,66.05,63.45,64.51,21778300
2016-05-13,64.23,65.36,63.77,64.12,21394700
2016-05-20,64.02,64.3,62.32,63.92,28039100
2016-05-27,63.86,65.76,63.56,65.52,20326700
2016-06-03,65.7,66.41,64.77,65.49,16476200
2016-06-10,65.55,66.6,64.71,64.97,18118700
2016-06-17,64.8,64.89,60.38,61.86,36251600
2016-06-24,62.65,63.41,60.0,60.06,25535800
2016-07-01,59.34,61.52,57.15,60.69,34844900
2016-07-08,60.22,61.6,58.25,61.49,21242000
2016-07-15,61.95,64.11,61.86,63.78,19926700
2016-07-22,63.96,64.8,62.88,64.28,28978300
2016-07-29,64.2,64.97,63.98,64.46,15751400
2016-08-05,64.49,65.71,63.2,65.52,17023200
2016-08-12,65.83,66.25,64.58,65.38,14392200
2016-08-19,65.27,65.85,65.07,65.53,14587500
2016-08-26,65.53,66.28,64.52,64.79,18778000
2016-09-02,65.0,65.97,64.42,65.19,19522600
2016-09-09,65.16,66.71,65.05,65.12,16380900
2016-09-16,64.72,66.09,63.16,63.66,31056900
2016-09-23,63.96,65.08,63.67,63.85,18463100
2016-09-30,63.44,64.81,62.85,64.04,22882500
2016-10-07,63.83,64.53,61.48,61.76,22017700
2016-10-14,62.15,62.49,59.5,60.15,18927500
