Date,Open,High,Low,Close,Volume
2015-03-27,167.8,169.16,160.02,168.0,1842800
2015-04-03,169.0,172.76,162.27,166.64,3388100
2015-04-10,165.46,169.67,165.01,167.0,1583900
2015-04-17,167.56,169.57,164.36,165.62,1115400
2015-04-24,166.83,169.59,166.09,167.74,952900
2015-05-01,168.0,170.75,164.38,170.36,1791000
2015-05-08,170.07,174.94,168.08,174.26,1345200
2015-05-15,173.95,183.5,172.32,183.02,2355100
2015-05-22,182.43,183.53,179.51,181.68,2304900
2015-05-29,181.36,182.99,175.46,176.49,3730700
2015-06-05,177.42,180.75,174.6,179.99,1393400
2015-06-12,178.98,181.85,176.53,181.57,1254700
2015-06-19,180.35,186.56,179.5,185.96,1432200
2015-06-26,186.59,187.65,180.02,182.27,1726300
2015-07-03,180.18,189.37,179.0,189.0,2098300
2015-07-10,187.3,191.87,185.48,191.43,2574000
2015-07-17,192.6,197.02,191.21,193.89,2488000
2015-07-24,195.04,196.49,190.34,191.92,2232500
2015-07-31,190.88,202.03,189.38,201.19,1965100
2015-08-07,201.68,207.55,199.43,206.57,2121600
2015-08-14,207.7,211.82,205.38,210.88,2077600
2015-08-21,210.5,211.62,197.02,197.19,1947700
2015-08-28,186.1,199.02,184.92,198.03,2659100
2015-09-04,197.84,198.58,191.0,195.68,1324600
2015-09-11,199.42,204.42,186.0,190.22,1833400
2015-09-18,190.3,197.53,188.32,191.35,2631400
2015-09-25,191.92,194.4,172.24,176.16,3371200
2015-10-02,174.9,178.18,168.33,178.18,2318000
2015-10-09,179.0,202.2,173.19,201.51,4546100
2015-10-16,201.55,201.55,195.0,198.9,1962300
2015-10-23,198.31,211.7,198.04,209.0,2375400
2015-10-30,209.53,220.92,205.41,218.6,2066400
2015-11-06,219.49,219.92,209.16,210.61,2443700
2015-11-13,210.0,214.62,207.72,211.79,1583000
2015-11-20,211.52,227.49,211.01,226.36,1753600
2015-11-27,226.1,231.99,224.47,231.59,913200
2015-12-04,233.29,234.43,223.57,226.72,1688000
2015-12-11,226.45,236.94,224.0,234.06,1949800
2015-12-18,233.75,236.32,229.87,232.73,2733800
2015-12-25,233.47,241.36,232.27,240.08,1533800
2016-01-01,239.3,241.9,232.9,233.8,1503200
2016-01-08,231.54,237.88,204.56,215.48,3938700
2016-01-15,218.87,220.65,198.71,203.06,3501800
2016-01-22,204.84,207.35,195.7,199.57,2524900
2016-01-29,198.75,202.48,188.74,202.43,2583000
2016-02-05,199.9,202.1,182.85,184.35,2692800
2016-02-12,181.29,184.33,169.42,179.68,3665300
2016-02-19,182.22,196.79,181.01,191.06,2337300
2016-02-26,193.1,209.65,191.95,208.74,2378000
2016-03-04,208.96,222.85,207.45,220.3,2887700
2016-03-11,219.59,221.12,209.06,215.65,2147300
2016-03-18,213.6,225.18,213.28,220.24,3043800
2016-03-25,220.24,223.86,212.93,214.91,1415700
2016-04-01,215.03,223.87,212.6,223.34,2191300
2016-04-08,222.32,258.12,217.47,250.12,4931900
2016-04-15,251.0,257.13,247.4,256.69,2015300
2016-04-22,255.73,260.83,254.02,256.03,1514000
2016-04-29,256.09,257.93,239.4,243.89,2645800
2016-05-06,245.35,245.99,240.0,245.51,10549200
2016-05-13,245.0,255.04,245.0,247.34,1737500
2016-05-20,247.35,253.39,243.19,250.84,1691000
2016-05-27,250.43,258.27,249.92,256.21,1257600
2016-06-03,257.32,264.0,251.08,254.69,1698400
2016-06-10,254.89,260.26,251.07,251.59,1495800
2016-06-17,249.77,255.49,244.05,244.58,1647700
2016-06-24,248.72,255.0,244.54,246.67,1948800
2016-07-01,244.34,253.78,231.89,250.25,2834500
2016-07-08,248.23,265.1,244.0,264.62,1368800
2016-07-15,265.65,270.98,259.86,265.42,2059600
2016-07-22,265.5,269.05,262.01,264.96,1124800
2016-07-29,264.25,264.9,260.12,262.43,894300
2016-08-05,262.43,268.15,257.12,267.69,1017800
2016-08-12,268.75,276.85,267.25,274.08,1000300
2016-08-19,273.95,279.05,271.85,277.56,863300
2016-08-26,277.0,280.89,271.4,273.06,1016200
2016-09-02,273.43,278.21,271.9,274.0,1069600
2016-09-09,274.58,275.3,260.08,261.4,1097200
2016-09-16,259.44,265.16,254.31,260.2,1393800
2016-09-23,261.57,265.64,252.27,259.75,1780000
2016-09-30,258.54,266.12,257.9,264.6,1346500
2016-10-07,264.6,267.08,228.8,240.74,5105900
2016-10-14,240.93,250.85,238.69,248.02,2601200
2016-10-21,247.35,247.84,238.45,239.83,1816100
2016-10-28,240.56,242.48,222.51,223.1,2714400
2016-11-04,225.01,227.56,216.89,226.32,2779000
2016-11-11,231.27,258.33,224.43,253.56,3707400
2016-11-18,254.0,261.43,246.92,248.96,2661200
2016-11-25,249.9,257.94,248.61,257.53,1346900
2016-12-02,255.85,256.81,249.43,249.99,2097700
2016-12-09,250.68,254.55,245.68,248.83,2210900
2016-12-16,247.84,250.14,243.27,248.16,2181900
2016-12-23,248.0,249.15,228.07,234.92,3134700
2016-12-30,235.01,236.81,229.33,230.86,1241000
2017-01-06,232.89,241.6,230.96,237.36,2498100
2017-01-13,208.34,216.69,193.06,215.18,9024700
2017-01-20,214.22,214.22,202.8,207.86,3400900
2017-01-27,207.18,213.21,203.31,205.36,4929800
2017-02-03,204.85,209.21,199.65,206.35,3856600
2017-02-10,205.25,213.71,203.97,212.16,2307600
2017-02-17,212.95,220.3,209.34,220.29,3711300
2017-02-24,219.52,225.36,215.37,218.13,3374400
2017-03-03,218.77,221.28,209.03,209.57,3741200
2017-03-10,207.55,212.42,202.4,211.59,3420100
2017-03-17,211.38,211.76,205.45,208.34,2780000
2017-03-24,208.01,208.86,199.09,200.0,3242000
2017-03-31,199.98,208.24,196.78,204.0,3845600
2017-04-07,204.61,209.18,169.53,173.12,10944900
2017-04-14,173.08,177.99,172.72,172.72,3711700
2017-04-21,172.72,179.13,172.6,177.65,3130700
2017-04-28,180.0,180.71,174.95,176.1,3420100
2017-05-05,176.44,185.32,175.06,185.2,3270900
2017-05-12,185.09,194.73,170.16,173.43,6597800
2017-05-19,174.68,177.69,167.88,169.24,3872100
2017-05-26,170.0,171.97,163.87,164.87,3620300
2017-06-02,163.92,169.74,157.33,167.75,3725000
2017-06-09,166.89,179.01,165.92,177.18,3807000
2017-06-16,176.88,184.09,174.16,176.49,3551100
2017-06-23,176.43,179.35,173.77,177.15,2600800
2017-06-30,177.19,204.95,174.77,203.28,5532500
2017-07-07,204.63,205.98,197.41,198.53,2193900
2017-07-14,198.13,207.48,196.95,204.7,2850500
2017-07-21,203.97,206.11,199.0,205.26,1997800
2017-07-28,205.78,208.83,201.38,204.11,2150900
2017-08-04,205.0,205.0,197.76,199.87,1806700
2017-08-11,199.63,199.71,182.92,185.69,2030400
2017-08-18,187.05,188.36,178.2,178.33,2264200
2017-08-25,178.4,181.47,175.16,176.75,2134100
2017-09-01,177.3,178.9,172.32,176.96,1683000
2017-09-08,176.73,180.99,175.39,179.75,1283900
2017-09-15,180.88,182.64,167.06,170.5,3608600
2017-09-22,171.01,171.99,153.28,163.99,3829900
2017-09-29,163.57,172.21,162.83,171.28,2274800
2017-10-06,171.83,180.84,158.0,174.2,6317100
2017-10-13,173.0,175.2,162.04,162.53,3395600
2017-10-20,163.2,166.83,159.77,160.9,2726100
2017-10-27,161.29,161.79,155.01,158.69,4053400
2017-11-03,157.95,169.75,157.4,162.07,3372700
2017-11-10,162.23,166.84,157.03,160.18,2264000
2017-11-17,159.55,165.4,159.11,161.82,2066700
2017-11-24,162.4,163.94,157.76,157.99,1149100
2017-12-01,158.41,174.77,156.27,167.01,3107600
2017-12-08,169.56,176.86,163.29,171.65,2862100
2017-12-15,171.85,174.67,160.44,165.83,4088100
2017-12-22,167.66,176.05,167.14,172.18,1957600
2017-12-29,172.42,180.24,171.52,176.0,1393400
2018-01-05,176.67,185.82,175.92,185.36,2547600
2018-01-12,186.09,186.99,153.38,158.74,11943000
2018-01-19,160.12,165.71,159.4,163.15,5026300
2018-01-26,163.01,170.32,161.44,168.42,3183400
2018-02-02,167.73,168.25,149.04,149.95,3619000
2018-02-09,148.76,150.67,141.77,147.05,3830100
2018-02-16,148.07,155.17,146.4,151.14,1987600
2018-02-23,150.57,151.4,144.87,146.56,1875700
2018-03-02,147.48,150.4,141.68,146.97,3111800
2018-03-09,147.21,154.52,145.63,152.69,3052400
2018-03-16,152.62,153.94,148.26,150.13,1917200
2018-03-23,149.94,149.97,131.64,132.4,4165800
2018-03-30,134.93,140.9,133.83,139.19,2436500
2018-04-06,138.16,139.34,119.02,131.83,7849000
2018-04-13,132.61,133.59,128.72,130.8,3730200
2018-04-20,131.35,133.54,127.5,127.93,3359100
2018-04-27,127.39,131.25,122.44,122.66,4068400
2018-05-04,121.93,123.07,110.67,112.12,7176600
2018-05-11,112.59,115.37,109.98,114.34,4538800
2018-05-18,114.31,119.56,113.95,118.16,3085100
2018-05-25,118.77,121.6,116.86,119.6,2627000
2018-06-01,118.56,122.02,117.93,118.59,3081400
2018-06-08,119.14,122.46,116.71,121.84,2747400
2018-06-15,122.4,125.0,119.06,122.21,12643000
2018-06-22,121.9,124.34,117.19,121.41,2988600
2018-06-29,120.46,123.15,113.91,115.87,3949700
2018-07-06,115.26,139.69,115.01,128.47,7868200
2018-07-13,129.33,135.5,127.42,134.46,4573700
2018-07-20,133.77,134.52,129.57,130.29,3037200
2018-07-27,130.31,134.89,129.1,134.34,1943800
2018-08-03,134.2,140.81,134.08,136.48,2673500
2018-08-10,136.43,138.43,133.18,135.71,1511200
2018-08-17,136.11,143.91,134.84,143.69,2104800
