Date,Open,High,Low,Close,Volume
2015-03-27,85.25,85.53,82.39,84.58,61148100
2015-04-03,85.03,85.15,81.25,82.28,56598000
2015-04-10,82.05,87.69,81.61,84.58,94515700
2015-04-17,85.16,85.71,81.61,81.9,74682300
2015-04-24,82.25,84.99,81.52,84.57,69385600
2015-05-01,85.53,86.27,80.11,81.17,81762900
2015-05-08,81.17,89.29,77.77,87.06,178756300
2015-05-15,86.7,88.96,86.06,88.46,80383100
2015-05-22,87.61,95.06,86.47,93.27,126942900
2015-05-29,93.65,93.92,89.32,89.32,53300400
2015-06-05,90.09,91.6,89.49,90.71,49242100
2015-06-12,90.65,91.6,86.12,86.63,67929400
2015-06-19,86.3,87.8,85.17,85.74,53500300
2015-06-26,86.07,86.4,82.82,83.28,49618200
2015-07-03,83.28,83.69,80.8,82.07,40461400
2015-07-10,80.56,81.5,76.21,80.3,99804000
2015-07-17,80.92,83.7,80.21,83.36,50493900
2015-07-24,83.56,85.38,82.0,83.02,41298200
2015-07-31,80.85,81.7,78.2,78.34,51107300
2015-08-07,78.2,80.75,77.11,78.82,43317400
2015-08-14,79.86,80.99,71.03,74.76,110944500
2015-08-21,74.85,75.24,68.18,68.18,92136100
2015-08-28,58.16,71.59,58.0,70.07,116442400
2015-09-04,69.18,69.3,63.34,63.91,89306700
2015-09-11,65.78,66.81,60.25,64.63,114504900
2015-09-18,62.55,68.08,61.11,65.75,118321200
2015-09-25,65.38,66.4,58.21,59.24,97592400
2015-10-02,58.81,63.24,57.2,63.2,84703700
2015-10-09,63.47,69.45,62.2,68.71,72404900
2015-10-16,69.64,73.64,67.43,71.99,75044500
2015-10-23,71.8,75.76,68.89,75.62,72102700
2015-10-30,75.44,84.44,75.13,83.83,137834800
2015-11-06,83.52,86.42,80.77,83.61,108385400
2015-11-13,83.44,83.47,75.64,75.85,113807800
2015-11-20,75.83,80.79,75.77,79.95,82970800
2015-11-27,80.45,82.68,79.27,81.38,62980800
2015-12-04,81.5,85.82,81.38,84.85,199345300
2015-12-11,84.8,85.2,79.42,79.74,79730400
2015-12-18,80.15,85.32,78.99,82.65,66879800
2015-12-25,83.15,85.1,82.43,83.71,35886600
2016-01-01,82.56,83.51,81.25,81.27,29990900
2016-01-08,78.18,78.68,70.67,70.8,96997200
2016-01-15,71.29,73.24,67.54,69.59,81339700
2016-01-22,71.94,73.34,65.34,70.37,69297300
2016-01-29,70.8,73.15,65.4,67.03,103273500
2016-02-05,66.5,67.74,60.87,62.64,103037500
2016-02-12,60.9,63.09,59.25,60.89,66572900
2016-02-19,64.42,68.5,64.04,67.28,63075200
2016-02-26,68.3,69.53,64.66,66.91,63887700
2016-03-04,67.64,72.96,67.56,72.22,64854900
2016-03-11,72.2,74.01,70.61,74.01,49665700
2016-03-18,74.01,76.3,71.75,76.25,49918700
2016-03-25,77.09,79.68,73.53,75.86,44281900
2016-04-01,76.45,79.84,74.9,78.73,49893800
2016-04-08,78.33,79.55,76.62,77.47,47832200
2016-04-15,78.07,79.86,76.87,78.97,53483400
2016-04-22,78.52,81.78,77.71,79.89,54889200
2016-04-29,79.8,79.84,75.66,76.94,50416400
2016-05-06,76.89,79.94,75.01,79.2,70876900
2016-05-13,78.94,80.49,76.97,77.16,51057400
2016-05-20,77.86,80.2,77.59,78.79,51078900
2016-05-27,78.95,81.31,74.12,80.97,125023300
2016-06-03,81.0,82.03,75.71,76.62,210458100
2016-06-10,77.11,78.53,75.76,75.92,63073700
2016-06-17,75.25,78.77,74.85,77.0,77547800
2016-06-24,77.9,79.46,75.43,76.29,53182600
2016-07-01,75.8,80.05,73.3,79.65,57614100
2016-07-08,79.04,79.55,77.68,78.99,35431100
2016-07-15,79.33,82.88,79.24,81.25,61732200
2016-07-22,80.6,85.0,80.6,84.49,52055900
2016-07-29,84.47,84.79,81.94,82.48,48715400
2016-08-05,82.79,85.08,82.59,84.59,46591900
2016-08-12,84.99,98.35,84.3,98.25,181210800
2016-08-19,98.28,98.86,95.05,96.86,105584400
2016-08-26,96.47,96.63,93.12,95.06,65770100
2016-09-02,94.6,99.67,94.21,99.25,82299500
2016-09-09,100.45,104.3,99.05,99.62,85288500
2016-09-16,97.38,105.39,97.0,104.64,98087200
2016-09-23,105.16,109.76,100.93,107.71,109806200
2016-09-30,106.52,109.87,104.57,105.79,96547800
2016-10-07,105.45,107.55,104.98,106.0,53934800
2016-10-14,106.79,109.0,99.0,101.85,80047700
2016-10-21,101.5,104.99,101.27,103.94,45560700
2016-10-28,104.98,105.3,101.55,101.93,44750900
2016-11-04,102.65,104.1,96.46,97.57,100526200
2016-11-11,100.07,100.62,91.1,92.99,91309900
2016-11-18,92.45,95.3,87.88,93.39,78571700
2016-11-25,94.05,94.66,91.45,93.01,35953800
2016-12-02,93.02,96.06,89.18,90.48,75684200
2016-12-09,90.05,93.64,89.5,93.28,50027500
2016-12-16,92.05,93.73,88.56,88.67,59557900
2016-12-23,88.61,90.43,86.01,86.79,48454400
2016-12-30,86.72,88.75,86.71,87.81,24327300
2017-01-06,89.0,94.81,88.08,93.89,44740900
2017-01-13,94.16,97.9,93.31,96.27,53471800
2017-01-20,96.32,97.15,95.0,96.06,29728900
2017-01-27,96.48,104.57,96.26,102.07,95130400
2017-02-03,101.2,102.38,100.06,100.39,33455400
2017-02-10,100.17,104.18,100.02,102.36,38816900
2017-02-17,102.82,104.44,100.11,100.52,48076300
2017-02-24,101.03,105.2,100.91,102.95,41421200
2017-03-03,102.5,104.99,102.03,103.31,39519100
2017-03-10,102.76,104.29,102.1,103.39,26986900
2017-03-17,103.52,106.5,102.6,105.61,56786600
2017-03-24,106.23,109.13,103.98,108.04,54467800
2017-03-31,106.65,110.45,106.51,107.83,42565400
2017-04-07,108.85,109.47,106.76,108.99,36642900
2017-04-14,109.0,111.88,108.84,110.21,39767500
2017-04-21,110.91,113.6,110.3,113.11,47778800
2017-04-28,114.04,115.99,114.02,115.5,47926400
2017-05-05,115.63,118.69,114.8,116.04,42048600
2017-05-12,116.9,120.5,116.2,120.34,52228500
2017-05-19,121.03,126.4,114.0,123.22,107405900
2017-05-26,124.98,125.68,121.95,123.99,56280200
2017-06-02,124.08,124.88,122.0,124.13,36169100
2017-06-09,124.02,148.29,123.87,139.44,164468200
2017-06-16,139.17,142.24,133.1,134.87,172860900
2017-06-23,137.81,144.68,137.4,143.01,110100300
2017-06-30,144.03,145.36,137.52,140.9,89369700
2017-07-07,141.75,145.0,139.49,142.43,43951900
2017-07-14,143.0,152.25,142.25,151.83,61980000
2017-07-21,153.53,156.41,150.31,151.89,75744300
2017-07-28,152.77,160.39,150.85,157.56,74083600
2017-08-04,158.9,159.39,149.1,153.33,71818000
2017-08-11,154.83,159.84,147.5,151.7,84002400
2017-08-18,154.77,169.5,153.1,167.5,142888600
2017-08-25,168.29,177.0,166.98,171.74,113753100
2017-09-01,171.15,172.9,164.35,171.04,89626600
2017-09-08,169.47,171.93,167.0,169.0,62419100
2017-09-15,171.5,179.93,171.5,176.7,105343600
2017-09-22,178.89,180.87,175.3,178.14,80396900
2017-09-29,176.48,177.0,166.79,172.71,104532900
2017-10-06,174.57,180.0,172.57,179.2,61343200
2017-10-13,178.97,184.7,177.97,178.45,73736200
2017-10-20,180.0,180.12,175.3,177.32,80216800
2017-10-27,177.8,178.01,168.58,176.15,80906300
2017-11-03,178.43,191.22,177.59,183.21,131008300
2017-11-10,184.07,189.86,181.05,186.41,86385300
2017-11-17,186.77,187.88,176.74,185.13,79993600
2017-11-24,187.6,191.75,186.61,191.19,69936700
2017-12-01,190.49,191.45,173.62,174.61,121168400
2017-12-08,177.2,178.96,164.25,177.62,130644100
2017-12-15,179.9,180.68,169.61,173.55,131122800
2017-12-22,174.6,176.66,170.51,176.29,85418000
2017-12-29,174.55,175.15,171.2,172.43,42278800
2018-01-05,176.4,190.75,175.7,190.7,87680900
2018-01-12,190.46,192.49,186.58,187.79,77859000
2018-01-19,190.4,191.74,179.32,184.05,78315000
2018-01-26,184.98,205.23,181.68,205.22,129009700
2018-02-02,204.83,206.2,186.8,187.31,157131400
2018-02-09,183.7,190.47,168.88,176.67,146661400
2018-02-16,180.44,189.56,175.09,183.68,85204200
2018-02-23,183.67,193.4,183.0,193.29,66146600
2018-03-02,194.46,195.15,175.45,179.76,98244600
