Date,Open,High,Low,Close,Volume
2015-04-03,140.0,151.0,138.61,150.88,1480200
2015-04-10,150.99,152.05,149.0,150.71,1130700
2015-04-17,150.85,153.47,146.67,149.16,1085700
2015-04-24,149.76,152.08,147.89,150.55,1341700
2015-05-01,150.71,154.64,150.13,154.0,1651700
2015-05-08,154.4,157.89,151.33,151.57,1741800
2015-05-15,152.0,155.62,150.1,150.39,1921700
2015-05-22,149.95,150.38,144.49,146.72,1637100
2015-05-29,145.82,146.55,140.06,141.14,1330100
2015-06-05,142.17,144.78,140.0,140.26,1080300
2015-06-12,140.41,142.31,136.02,138.19,1618100
2015-06-19,137.0,138.65,135.51,137.79,1775600
2015-06-26,138.64,144.0,138.08,143.82,1910100
2015-07-03,142.24,142.49,138.64,139.44,924600
2015-07-10,137.62,139.78,135.43,139.56,919600
2015-07-17,140.64,142.18,136.0,137.0,907600
2015-07-24,136.84,138.56,131.46,131.79,1024100
2015-07-31,131.43,132.27,129.2,131.9,1307400
2015-08-07,131.64,134.2,129.61,129.89,957000
2015-08-14,130.57,132.52,112.82,116.51,3310200
2015-08-21,115.77,116.74,110.01,110.24,2295100
2015-08-28,105.86,112.22,81.78,111.97,4016800
2015-09-04,110.83,111.94,105.65,107.39,1724100
2015-09-11,109.45,111.26,106.32,110.88,1731500
2015-09-18,110.59,111.69,106.4,108.06,2574800
2015-09-25,108.93,109.54,101.41,101.8,2403800
2015-10-02,101.02,110.84,100.12,106.64,3361600
2015-10-09,107.45,117.19,106.98,116.82,1810900
2015-10-16,116.83,117.72,112.8,114.39,1574100
2015-10-23,113.68,116.5,111.52,114.19,1567500
2015-10-30,114.05,115.79,112.15,113.18,1551100
2015-11-06,113.25,118.99,112.49,113.99,1731500
2015-11-13,113.75,115.94,109.21,109.63,2298800
2015-11-20,109.6,113.33,108.97,111.86,1724400
2015-11-27,111.63,112.96,105.37,106.14,1022400
2015-12-04,105.69,107.59,102.68,106.15,2784300
2015-12-11,105.57,106.77,98.93,98.99,1944700
2015-12-18,98.96,102.67,96.11,96.14,2172300
2015-12-25,97.0,100.98,95.32,99.98,1091600
2016-01-01,99.67,100.32,96.2,97.32,688900
2016-01-08,95.46,97.09,89.25,89.48,2233400
2016-01-15,90.46,92.85,86.88,87.51,1896400
2016-01-22,88.5,91.25,84.72,91.09,1354700
2016-01-29,91.16,101.37,89.13,101.36,1947000
2016-02-05,100.22,101.71,95.18,99.29,2058100
2016-02-12,98.67,113.18,92.89,110.75,3038400
2016-02-19,110.99,113.69,109.81,112.95,1818200
2016-02-26,115.98,120.9,112.94,118.58,2362500
2016-03-04,119.51,129.72,117.05,129.71,2175500
2016-03-11,129.03,130.34,124.92,129.44,2181000
2016-03-18,129.01,134.89,124.97,134.08,2252900
2016-03-25,134.0,134.0,122.76,123.99,2092300
2016-04-01,123.95,131.39,122.27,127.99,1920800
2016-04-08,127.18,128.4,121.38,125.62,2676300
2016-04-15,130.01,147.95,130.01,138.89,3347700
2016-04-22,138.0,144.44,136.64,142.43,1959100
2016-04-29,141.67,146.12,139.47,145.42,1857500
2016-05-06,145.51,146.35,133.66,140.02,2458400
2016-05-13,139.17,153.23,136.78,144.55,2283400
2016-05-20,144.77,149.52,138.01,139.5,1940200
2016-05-27,138.86,145.85,137.51,142.38,1260600
2016-06-03,142.38,150.12,139.31,149.74,1636200
2016-06-10,151.04,156.89,146.48,147.18,1754000
2016-06-17,145.13,153.97,142.98,151.06,1619800
2016-06-24,153.0,155.03,140.97,146.35,1335200
2016-07-01,152.39,155.6,141.05,153.92,2015300
2016-07-08,152.44,156.95,147.79,156.33,1078900
2016-07-15,159.32,160.09,154.33,156.08,1639100
2016-07-22,156.0,162.3,155.94,161.93,1069600
2016-07-29,161.02,163.15,158.54,160.33,1242100
2016-08-05,159.61,161.57,157.35,159.86,963100
2016-08-12,160.52,163.96,150.42,158.9,1919800
2016-08-19,159.2,160.65,155.48,159.57,1271900
2016-08-26,158.3,162.1,156.47,157.0,1236600
2016-09-02,157.41,162.41,155.87,162.15,1166000
2016-09-09,162.83,166.26,154.47,154.53,861600
2016-09-16,153.0,156.12,150.48,151.16,1793600
2016-09-23,153.66,161.04,152.2,156.87,1195700
2016-09-30,155.07,155.23,150.94,152.22,1277800
2016-10-07,152.62,152.98,145.71,146.53,1531900
2016-10-14,147.58,150.28,144.23,146.65,1138300
2016-10-21,146.78,153.09,145.02,151.01,1608000
2016-10-28,152.31,152.35,147.13,148.31,975900
2016-11-04,149.33,157.69,146.18,155.82,1840000
2016-11-11,159.0,165.0,154.13,155.05,2984700
2016-11-18,155.43,156.64,146.03,152.7,2430000
2016-11-25,154.17,154.55,148.44,152.69,1226400
2016-12-02,152.0,161.07,150.21,155.08,2222800
2016-12-09,156.09,160.3,155.27,159.91,1367700
2016-12-16,159.14,159.74,155.14,156.8,1248900
2016-12-23,156.8,158.69,154.96,155.78,951900
2016-12-30,155.44,159.73,154.1,157.86,472400
2017-01-06,160.0,164.94,157.41,164.69,906700
2017-01-13,165.02,165.79,160.69,161.25,898300
2017-01-20,159.59,162.65,158.02,160.12,791900
2017-01-27,160.92,168.88,159.77,166.13,1402600
2017-02-03,165.01,166.82,161.81,163.96,849100
2017-02-10,162.99,172.48,161.82,172.11,2325600
2017-02-17,172.71,173.8,165.02,166.24,1174200
2017-02-24,168.06,171.36,166.0,167.69,954100
2017-03-03,168.03,168.61,163.33,167.54,1281600
2017-03-10,167.89,168.39,156.87,158.22,1621500
2017-03-17,158.51,165.1,156.17,164.0,2204900
2017-03-24,164.0,166.82,158.64,164.21,2152800
2017-03-31,162.15,167.98,161.12,163.3,1897300
2017-04-07,164.33,166.6,160.03,160.18,1189700
2017-04-14,160.05,162.13,152.72,152.86,1013000
2017-04-21,153.86,156.05,151.58,153.06,1810100
2017-04-28,155.22,156.14,150.71,153.66,1345100
2017-05-05,153.78,158.0,152.13,157.34,1347000
2017-05-12,156.79,168.29,155.02,167.26,1921400
2017-05-19,168.94,173.62,166.27,172.52,2319800
2017-05-26,172.26,176.24,168.36,169.0,1868400
2017-06-02,167.37,170.0,166.7,167.76,1022000
2017-06-09,168.38,175.07,167.21,173.63,1435500
2017-06-16,173.0,180.92,170.53,178.57,1669700
2017-06-23,179.3,185.1,178.77,180.35,1507200
2017-06-30,181.41,183.01,175.91,179.39,1953200
2017-07-07,180.29,182.94,179.66,182.03,622800
2017-07-14,182.37,188.3,181.0,186.5,1132900
2017-07-21,185.87,187.06,184.12,185.6,895400
2017-07-28,185.98,188.95,183.35,188.91,975600
2017-08-04,188.94,190.5,185.0,189.11,1187200
2017-08-11,189.46,202.66,187.19,194.77,1163700
2017-08-18,195.06,203.1,194.51,201.98,1148400
2017-08-25,202.45,206.25,200.67,206.02,1540000
2017-09-01,205.43,206.55,200.9,204.78,1041800
2017-09-08,203.58,208.05,200.5,203.56,912700
2017-09-15,205.0,212.97,204.96,212.85,1167200
2017-09-22,211.43,213.83,201.68,202.38,1713300
2017-09-29,201.31,207.01,200.61,205.02,1274100
2017-10-06,205.59,211.8,204.67,206.18,926200
2017-10-13,205.46,208.76,201.16,208.66,1138900
2017-10-20,208.92,209.36,204.86,208.62,834800
2017-10-27,208.78,211.03,204.56,210.66,971500
2017-11-03,209.69,213.1,204.27,207.32,1057000
2017-11-10,208.02,211.99,195.97,206.56,2088100
2017-11-17,201.0,209.07,197.65,208.62,1412300
2017-11-24,209.42,214.28,207.87,213.79,816100
2017-12-01,211.34,215.69,207.95,211.22,1678700
2017-12-08,214.21,214.32,204.83,209.07,1346200
2017-12-15,208.66,211.48,189.69,192.0,2628700
2017-12-22,193.75,210.32,192.32,206.84,1950800
2017-12-29,205.79,209.28,203.79,207.43,445400
2018-01-05,209.5,223.91,208.25,223.17,916000
2018-01-12,223.11,224.36,217.73,222.88,824200
2018-01-19,223.0,230.0,219.03,229.99,734000
2018-01-26,230.0,237.47,227.05,236.23,1178000
2018-02-02,234.42,237.99,220.78,224.0,1691500
