Date,Open,High,Low,Close,Volume
2015-03-27,53.49,54.04,50.89,51.08,7527300
2015-04-03,51.51,51.88,50.94,51.59,7498800
2015-04-10,51.1,52.27,51.03,51.73,8699800
2015-04-17,51.73,52.76,51.04,51.18,8036900
2015-04-24,51.45,52.06,50.91,51.79,6976500
2015-05-01,52.0,52.35,51.49,52.14,11749500
2015-05-08,52.14,52.65,51.61,52.29,8900300
2015-05-15,52.27,52.49,50.93,51.79,7800000
2015-05-22,51.77,52.23,51.46,51.52,4723700
2015-05-29,51.3,51.73,50.79,50.91,5471700
2015-06-05,51.11,51.26,50.12,50.42,8154700
2015-06-12,49.71,50.55,49.4,50.05,9902500
2015-06-19,49.53,51.55,49.34,51.44,13629400
2015-06-26,51.94,51.94,50.15,50.48,12453000
2015-07-03,49.81,49.96,48.69,49.21,7470700
2015-07-10,48.49,49.32,47.59,48.78,9838800
2015-07-17,49.17,49.64,48.57,49.41,7603500
2015-07-24,49.46,49.58,46.3,46.4,13141300
2015-07-31,46.02,47.03,45.51,45.55,16308600
2015-08-07,45.46,45.72,44.04,44.33,14509800
2015-08-14,44.61,44.94,42.88,43.62,15584100
2015-08-21,43.57,43.94,40.95,40.98,21478700
2015-08-28,39.01,41.25,38.25,41.24,35056500
2015-09-04,40.8,41.15,38.85,39.01,17766400
2015-09-11,39.82,40.99,38.99,39.42,16078300
2015-09-18,39.45,40.1,38.4,38.51,22232300
2015-09-25,38.82,38.86,36.81,37.36,16146300
2015-10-02,36.9,37.81,36.1,37.76,20722100
2015-10-09,38.09,39.66,38.01,38.85,19479000
2015-10-16,38.81,38.93,37.38,38.47,20940500
2015-10-23,38.27,40.59,37.88,40.18,25610800
2015-10-30,40.19,40.83,39.19,40.76,20699000
2015-11-06,40.85,42.03,40.68,40.86,15418000
2015-11-13,40.79,41.09,39.6,39.62,15124300
2015-11-20,39.51,42.0,39.39,41.34,12050500
2015-11-27,41.39,41.93,40.11,41.58,8463000
2015-12-04,41.68,42.23,40.25,41.14,13964100
2015-12-11,41.09,41.22,35.92,36.18,21451700
2015-12-18,36.06,36.39,34.62,35.0,32736200
2015-12-25,35.34,37.56,34.93,36.97,17096200
2016-01-01,36.78,37.55,36.6,36.82,9808400
2016-01-08,35.64,36.43,33.54,33.65,21230300
2016-01-15,33.66,34.51,31.97,32.61,27092100
2016-01-22,33.17,34.5,31.87,34.04,20737700
2016-01-29,33.79,34.66,32.49,34.66,21533000
2016-02-05,34.25,34.33,31.17,33.71,27821300
2016-02-12,33.22,33.42,31.0,32.32,25263500
2016-02-19,32.97,34.82,32.86,34.08,14400400
2016-02-26,34.76,36.68,33.73,36.15,17697900
2016-03-04,36.05,38.8,35.83,38.47,16860200
2016-03-11,37.88,38.58,35.97,38.36,15724100
2016-03-18,38.17,39.49,36.19,39.09,18584200
2016-03-25,38.94,39.36,37.67,38.09,10034300
2016-04-01,38.25,39.94,37.63,39.46,13139000
2016-04-08,39.57,39.57,36.98,37.24,14173600
2016-04-15,37.61,40.2,37.05,39.51,19911600
2016-04-22,39.42,41.24,39.21,40.67,14099100
2016-04-29,40.37,40.62,37.11,37.34,18176500
2016-05-06,37.37,37.88,35.38,36.1,13749800
2016-05-13,36.01,36.59,34.94,35.04,19271300
2016-05-20,35.15,35.9,34.78,35.56,15118300
2016-05-27,35.45,37.62,35.4,37.36,13171700
2016-06-03,37.56,37.64,34.99,35.59,15965200
2016-06-10,35.64,36.25,33.55,33.79,16977900
2016-06-17,33.54,33.81,32.2,33.35,18010400
2016-06-24,33.98,34.58,32.01,32.05,17233400
2016-07-01,31.64,33.84,30.56,33.07,23939700
2016-07-08,32.6,34.01,31.59,33.98,12101600
2016-07-15,34.03,35.35,33.6,34.69,13719100
2016-07-22,34.84,35.37,34.34,35.17,10305700
2016-07-29,35.1,36.24,34.14,36.19,19346300
2016-08-05,36.17,36.57,34.83,36.43,17587700
2016-08-12,36.52,36.92,35.25,35.53,11475600
2016-08-19,35.73,36.93,35.71,36.82,11852900
2016-08-26,36.7,36.99,35.94,36.16,12565100
2016-09-02,36.25,36.79,35.64,36.15,11903200
2016-09-09,36.13,36.83,35.58,35.58,9157400
2016-09-16,35.3,36.53,34.86,35.1,15115400
2016-09-23,35.42,36.87,34.98,35.19,12181500
2016-09-30,34.81,35.77,34.25,35.57,11587200
2016-10-07,35.54,36.96,35.52,35.92,14998200
2016-10-14,36.21,36.57,33.77,34.09,13475200
2016-10-21,34.08,34.98,33.79,34.48,11288200
2016-10-28,34.78,35.49,33.79,34.19,19923800
2016-11-04,34.32,34.48,33.02,33.8,15661800
2016-11-11,34.34,40.69,33.87,37.22,38772900
2016-11-18,37.47,39.17,37.44,38.89,18690000
2016-11-25,39.35,39.5,38.67,39.32,7049600
2016-12-02,39.01,39.86,38.54,39.21,10095800
2016-12-09,39.53,42.18,39.31,41.01,14293500
2016-12-16,40.86,41.04,39.11,39.28,15652700
2016-12-23,39.55,40.57,38.93,40.48,13004200
2016-12-30,40.65,40.74,39.23,39.58,5454700
2017-01-06,40.24,41.5,39.91,40.75,8735000
2017-01-13,40.7,40.92,39.65,40.5,9895700
2017-01-20,40.41,40.62,39.51,40.61,9738300
2017-01-27,40.42,41.92,39.75,40.32,13448300
2017-02-03,40.25,40.61,39.38,40.31,14133800
2017-02-10,40.07,40.93,39.52,40.88,12672100
2017-02-17,41.12,42.83,40.98,42.53,12023400
2017-02-24,42.71,43.25,42.52,42.74,8426900
2017-03-03,42.79,44.1,42.41,42.68,12214400
2017-03-10,42.56,43.03,42.12,42.58,8640300
2017-03-17,42.68,44.35,42.03,42.22,13512200
2017-03-24,42.08,42.41,40.6,41.26,11194000
