Date,Open,High,Low,Close,Volume
2020-07-24,28.67,30.0,28.43,28.56,25350
2020-07-31,27.67,30.15,26.89,29.96,13287600
2020-08-07,30.17,32.32,30.08,32.01,10594350
2020-08-14,32.45,32.59,30.98,31.4,3454500
2020-08-21,31.6,34.2,30.89,34.07,4378950
2020-08-28,34.48,36.46,34.27,35.15,4074750
2020-09-04,35.11,35.21,32.3,33.93,2841450
2020-09-11,33.46,34.45,33.08,33.72,2536200
2020-09-18,34.03,35.54,32.79,34.67,3783000
2020-09-25,34.26,35.88,33.49,35.82,2109900
2020-10-02,36.07,39.99,35.96,39.76,3382650
2020-10-09,40.23,43.53,40.13,42.49,4195800
2020-10-16,42.91,44.65,42.49,44.35,3327450
2020-10-23,44.65,46.47,42.53,43.02,3024750
2020-10-30,43.11,44.93,41.78,44.51,3319950
2020-11-06,44.67,49.66,44.39,49.16,3225300
2020-11-13,51.54,52.45,46.85,48.94,4726350
2020-11-20,49.24,49.63,47.27,48.27,3324450
2020-11-27,48.73,53.16,48.67,51.94,2782950
2020-12-04,52.63,53.31,48.42,48.63,4884450
2020-12-11,48.63,48.73,45.45,46.96,2665050
2020-12-18,47.72,52.69,47.1,52.35,3420400
2020-12-25,52.72,61.49,52.23,58.57,2235300
2021-01-01,59.45,60.43,57.58,58.27,1983500
2021-01-08,59.16,63.31,57.29,62.4,3597400
2021-01-15,61.68,61.83,55.31,58.02,2796200
2021-01-22,59.11,60.67,57.86,58.67,2124700
2021-01-29,59.0,59.94,52.61,55.95,2872300
2021-02-05,56.24,57.63,53.18,56.5,3228100
2021-02-12,56.22,57.98,48.87,50.53,11905300
2021-02-19,51.27,51.28,46.77,49.19,9368100
2021-02-26,48.35,48.49,44.5,46.18,7232600
2021-03-05,47.21,47.3,39.97,41.49,6822000
2021-03-12,41.4,46.0,40.33,45.41,5979200
2021-03-19,45.35,46.92,44.08,44.27,6764400
2021-03-26,44.0,45.83,43.38,45.48,3467900
2021-04-02,45.12,47.35,44.07,46.94,2779000
2021-04-09,47.88,49.68,46.15,47.38,4381100
2021-04-16,47.25,48.12,46.25,46.52,2922200
2021-04-23,46.02,46.87,42.36,43.93,3438100
2021-04-30,44.79,45.35,41.3,41.48,3234000
2021-05-07,41.97,42.06,39.06,39.89,4011900
2021-05-14,39.86,39.96,37.12,39.4,3557800
2021-05-21,39.2,43.58,38.53,42.47,3556500
2021-05-28,42.61,43.91,41.98,42.72,2379600
2021-06-04,43.09,43.56,41.51,42.42,1785400
2021-06-11,41.99,43.0,40.36,42.41,4005300
2021-06-18,42.66,43.1,39.46,39.69,4954200
2021-06-25,39.98,40.66,38.69,40.33,18948000
2021-07-02,41.11,43.1,40.25,41.98,3956500
2021-07-09,41.94,42.59,40.32,40.86,1948400
2021-07-16,41.15,41.15,38.52,38.9,2599800
2021-07-23,38.47,42.42,37.52,42.3,3674700
2021-07-30,42.02,44.35,41.12,42.44,2799100
2021-08-06,42.62,43.22,41.6,41.82,2313800
2021-08-13,41.5,42.99,41.14,41.3,1989300
2021-08-20,41.18,43.12,40.42,43.04,1827900
2021-08-27,43.4,44.9,43.09,43.91,1916400
2021-09-03,43.75,45.43,43.55,44.31,1316300
2021-09-10,44.16,44.86,42.84,42.89,1097600
2021-09-17,43.29,43.3,41.21,41.7,1525100
2021-09-24,41.0,42.17,39.82,40.07,2250700
2021-10-01,40.0,40.34,38.45,38.86,2118000
2021-10-08,38.66,38.86,37.08,38.08,4006800
2021-10-15,38.43,41.03,38.0,40.08,3296700
2021-10-22,39.69,41.03,38.94,39.3,2119800
2021-10-29,39.4,42.65,39.09,41.41,2489900
2021-11-05,41.44,42.6,41.01,41.41,2585500
2021-11-12,41.84,41.98,39.68,39.88,2982400
2021-11-19,40.0,40.44,38.65,38.87,2295700
2021-11-26,39.12,39.25,36.02,36.68,2781300
2021-12-03,36.9,37.67,34.36,34.56,4589800
2021-12-10,34.56,36.1,33.58,33.76,4831700
2021-12-17,33.71,36.75,33.45,36.39,5161700
2021-12-24,36.0,36.81,35.27,36.65,3091300
2021-12-31,36.66,36.95,35.13,36.83,2440100
