Date,Open,High,Low,Close,Volume
2015-03-27,79.76,81.66,78.33,80.07,6244500
2015-04-03,80.5,84.35,80.34,83.62,5605700
2015-04-10,83.32,85.07,83.32,84.91,3775400
2015-04-17,84.82,87.27,84.51,85.55,4681400
2015-04-24,85.56,86.77,84.06,85.8,3897300
2015-05-01,85.75,89.49,85.62,88.78,7097300
2015-05-08,88.64,90.29,87.96,89.91,6094400
2015-05-15,89.73,92.27,89.4,91.86,5462700
2015-05-22,91.51,93.04,90.8,91.22,4444100
2015-05-29,90.88,92.72,90.25,92.56,3701200
2015-06-05,92.61,92.74,89.21,90.03,3250800
2015-06-12,90.12,92.18,89.33,91.66,3738500
2015-06-19,90.9,92.4,90.27,91.96,3374300
2015-06-26,92.38,93.03,88.75,89.44,3929600
2015-07-03,88.85,90.4,87.67,89.52,3924700
2015-07-10,87.58,87.84,85.33,85.72,5385000
2015-07-17,86.35,88.48,85.61,88.1,4452100
2015-07-24,87.81,88.2,85.8,86.28,2988500
2015-07-31,86.0,86.84,79.81,79.85,8157700
2015-08-07,79.72,80.83,75.66,76.22,6024700
2015-08-14,76.5,78.18,75.26,76.31,6160400
2015-08-21,76.0,76.5,70.95,70.96,4998200
2015-08-28,69.25,72.72,67.06,72.57,8512900
2015-09-04,72.14,72.86,69.69,70.04,4402200
2015-09-11,71.17,71.29,69.2,69.59,2610100
2015-09-18,69.71,72.17,69.5,70.71,3266000
2015-09-25,70.79,71.84,68.31,71.15,3305900
2015-10-02,70.54,74.61,68.75,74.57,5740500
2015-10-09,74.74,77.48,74.42,77.12,5125100
2015-10-16,77.04,78.42,76.4,77.78,3558000
2015-10-23,77.64,79.77,77.37,79.41,3052000
2015-10-30,79.49,79.87,72.77,72.96,6571300
2015-11-06,72.86,73.85,70.72,72.97,6796100
2015-11-13,72.97,73.31,67.55,68.04,4863400
2015-11-20,68.0,69.03,65.32,65.52,6788400
2015-11-27,65.72,68.9,65.32,67.01,5729900
2015-12-04,66.94,67.36,63.98,64.98,5955700
2015-12-11,65.0,65.69,62.15,62.96,6023800
2015-12-18,62.95,66.43,61.55,66.1,8367400
2015-12-25,66.17,68.44,65.25,68.42,3632100
2016-01-01,68.23,69.18,67.74,68.28,2898700
2016-01-08,67.48,67.51,65.53,66.12,5945800
2016-01-15,66.5,67.14,61.06,61.8,7285000
2016-01-22,62.27,62.49,58.32,59.93,5508300
2016-01-29,59.79,62.01,57.91,62.01,7653800
2016-02-05,61.89,62.07,58.16,59.43,6217200
