Date,Open,High,Low,Close,Volume
2015-03-27,47.05,47.6,45.23,45.41,58410000
2015-04-03,45.73,47.07,45.68,46.42,66142500
2015-04-10,46.35,47.96,46.16,47.58,55240000
2015-04-17,47.55,48.53,47.3,47.5,61430000
2015-04-24,47.64,49.4,47.48,49.32,58272500
2015-05-01,49.41,50.49,49.26,50.42,77497500
2015-05-08,50.56,51.24,47.28,48.19,136650000
2015-05-15,48.0,48.38,46.7,47.95,78660000
2015-05-22,47.81,48.87,47.81,48.34,59697500
2015-05-29,48.27,48.48,46.65,46.88,60110000
2015-06-05,46.96,48.06,46.46,47.13,82655000
2015-06-12,47.16,47.54,46.29,46.97,57565000
2015-06-19,46.68,47.32,46.32,46.34,64707500
2015-06-26,46.45,46.48,45.43,45.64,61150000
2015-07-03,45.12,46.99,44.14,45.72,70200000
2015-07-10,45.37,46.14,44.63,45.73,75127500
2015-07-17,46.05,48.8,45.95,48.64,62222500
2015-07-24,48.82,50.6,47.58,47.9,80702500
2015-07-31,47.75,50.2,47.33,49.74,70160000
2015-08-07,50.0,55.8,49.0,52.69,137792500
2015-08-14,53.08,53.36,51.04,51.35,71335000
2015-08-21,51.08,52.36,48.02,48.68,83102500
2015-08-28,46.48,50.58,46.04,50.38,106060000
2015-09-04,50.21,50.6,48.28,49.81,65287500
2015-09-11,50.72,52.16,50.66,51.62,49130000
2015-09-18,51.68,53.54,51.05,51.78,82660000
2015-09-25,52.02,52.47,50.08,50.11,70812500
2015-10-02,49.69,50.67,47.4,50.63,102590000
2015-10-09,50.96,52.66,50.58,52.53,57777500
2015-10-16,52.72,54.12,52.2,53.46,78265000
2015-10-23,53.37,55.75,53.18,54.66,74057500
2015-10-30,55.0,58.64,54.98,58.17,84900000
2015-11-06,58.48,59.06,57.2,58.0,78660000
2015-11-13,54.49,55.48,51.79,51.91,137972500
2015-11-20,51.13,51.99,49.21,51.26,114850000
2015-11-27,51.4,51.71,48.48,49.8,64395000
2015-12-04,49.86,52.11,49.77,52.02,71752500
2015-12-11,52.01,52.6,51.25,51.41,53242500
2015-12-18,51.55,53.68,51.04,51.43,71937500
2015-12-25,51.72,51.98,50.57,50.92,29877500
2016-01-01,50.68,52.16,50.13,51.0,32045000
2016-01-08,50.24,50.35,45.4,45.48,108477500
2016-01-15,45.44,46.42,42.6,43.47,120180000
2016-01-22,43.98,45.06,41.57,44.72,75542500
2016-01-29,44.7,45.06,40.61,42.6,108705000
2016-02-05,42.52,43.79,40.43,40.62,97227500
2016-02-12,39.86,43.16,38.16,42.32,126412500
2016-02-19,43.04,51.4,42.89,51.35,140357500
2016-02-26,51.46,51.66,48.91,50.17,89065000
2016-03-04,50.01,52.36,49.94,51.91,70402500
2016-03-11,51.26,53.12,50.54,53.07,61200000
2016-03-18,52.81,54.47,52.61,53.77,56787500
2016-03-25,53.64,54.04,51.67,52.05,48197500
2016-04-01,52.05,52.92,50.84,51.99,57835000
2016-04-08,51.9,51.93,50.62,50.97,42507500
2016-04-15,51.28,53.6,50.2,53.28,58695000
2016-04-22,53.16,54.76,53.16,53.54,57165000
2016-04-29,53.28,54.74,52.41,53.75,71757500
2016-05-06,53.96,54.35,48.21,50.0,141095000
2016-05-13,50.0,51.61,49.24,51.15,66307500
2016-05-20,51.28,51.84,49.36,49.97,56550000
2016-05-27,49.85,51.2,49.39,50.92,44350000
2016-06-03,51.14,52.15,49.98,52.07,64580000
2016-06-10,52.1,54.96,51.96,52.76,78292500
2016-06-17,52.54,53.52,51.64,52.37,64937500
2016-06-24,52.95,55.76,48.69,49.29,143005000
2016-07-01,48.8,51.03,45.92,50.69,132717500
2016-07-08,50.38,53.22,49.85,53.18,58455000
2016-07-15,53.72,54.68,52.9,53.22,58532500
2016-07-22,53.3,54.52,52.92,53.1,56505000
2016-07-29,53.22,54.16,52.2,54.03,86110000
2016-08-05,54.15,57.4,53.03,56.57,119632500
