Date,Open,High,Low,Close,Volume
2015-04-03,363.1,369.62,361.84,366.4,1842900
2015-04-10,362.86,372.99,361.55,369.45,2103700
2015-04-17,369.95,378.79,363.16,365.4,3414100
2015-04-24,368.0,373.88,365.4,372.98,2104900
2015-05-01,374.59,378.8,362.34,368.64,2817700
2015-05-08,369.79,371.77,361.05,370.04,2060900
2015-05-15,369.55,372.66,362.38,370.85,2153800
2015-05-22,370.16,372.95,367.53,368.08,1940000
2015-05-29,367.01,369.76,364.78,365.78,2033000
2015-06-05,366.08,367.27,350.43,355.32,2694100
2015-06-12,356.45,358.83,352.01,353.43,3093500
2015-06-19,351.63,361.81,348.47,359.19,3015700
2015-06-26,360.85,363.53,350.88,354.47,2535200
2015-07-03,350.38,352.09,343.66,345.4,2264700
2015-07-10,342.36,345.74,333.64,339.46,4460700
2015-07-17,342.57,355.69,340.63,354.54,4656000
2015-07-24,355.97,356.01,340.25,341.41,2800100
2015-07-31,339.5,341.72,334.2,336.32,3388800
2015-08-07,336.67,339.14,329.16,331.85,2820000
2015-08-14,334.1,338.36,319.92,328.14,2920100
2015-08-21,326.25,329.53,306.95,307.27,3490600
2015-08-28,291.4,314.99,275.0,311.23,5918100
2015-09-04,307.26,308.76,291.46,294.24,5804900
2015-09-11,299.63,306.66,296.08,303.31,3390500
2015-09-18,303.25,316.74,300.27,308.87,5012400
2015-09-25,310.2,313.9,299.05,302.98,3369800
2015-10-02,300.12,303.39,289.15,303.36,3951700
2015-10-09,306.19,321.32,305.22,318.11,3999300
2015-10-16,318.69,331.28,311.76,330.83,4106300
2015-10-23,329.34,341.25,321.69,340.79,3334200
2015-10-30,339.91,354.59,333.03,351.97,4470800
2015-11-06,353.66,361.5,352.0,356.7,3484000
2015-11-13,355.5,357.74,342.47,343.25,3674300
2015-11-20,343.26,363.57,342.58,362.46,2806300
2015-11-27,362.85,364.56,355.27,358.39,1910500
2015-12-04,359.16,364.87,350.11,360.76,4264300
2015-12-11,359.42,360.39,321.22,322.78,4300300
2015-12-18,322.68,336.35,314.62,321.47,5595100
2015-12-25,325.63,340.87,322.47,337.4,2164500
2016-01-01,336.94,347.15,334.88,340.52,2202900
2016-01-08,333.04,336.1,307.03,307.78,5686100
2016-01-15,309.07,318.43,290.46,296.58,6901500
2016-01-22,300.4,301.89,280.55,300.56,4637200
2016-01-29,300.06,314.34,289.2,314.26,5234200
2016-02-05,311.91,316.0,290.07,307.75,5283400
2016-02-12,301.36,307.5,286.52,306.8,4960600
2016-02-19,312.03,321.27,307.59,314.29,3148800
2016-02-26,314.29,321.72,297.89,313.92,3707900
2016-03-04,312.6,327.23,311.09,323.76,4263200
2016-03-11,320.52,340.19,316.75,339.65,4130100
2016-03-18,337.46,346.96,329.59,342.56,3560900
2016-03-25,342.77,345.82,331.73,334.28,2303500
2016-04-01,336.0,344.91,332.0,342.53,2771400
2016-04-08,342.0,343.29,326.93,331.6,2430800
2016-04-15,334.91,358.31,332.33,357.74,3894800
2016-04-22,353.0,369.21,351.05,365.47,3406300
2016-04-29,364.01,369.33,353.15,356.33,2443400
2016-05-06,358.77,362.68,350.23,356.01,2854800
2016-05-13,355.95,360.3,346.27,347.29,2303100
2016-05-20,347.61,357.33,345.69,354.01,2832600
2016-05-27,354.0,366.05,353.17,365.09,2095300
2016-06-03,366.3,366.3,351.88,359.37,2066000
2016-06-10,358.88,364.48,345.64,346.97,2355600
2016-06-17,346.16,350.57,332.01,341.88,3286300
2016-06-24,349.51,356.93,331.01,332.51,3365000
2016-07-01,326.48,346.3,317.6,341.28,3960900
2016-07-08,338.66,345.39,329.58,345.2,2532400
2016-07-15,348.04,362.0,345.14,356.85,3301700
2016-07-22,357.56,363.21,355.4,363.05,2328300
2016-07-29,363.0,367.22,358.67,366.25,2291900
2016-08-05,366.66,375.26,364.98,374.75,3501200
2016-08-12,374.54,375.95,364.0,366.6,2430200
2016-08-19,368.0,372.98,366.56,372.05,1689700
2016-08-26,371.9,374.48,366.67,371.09,1923300
2016-09-02,372.14,376.65,366.72,373.85,2363400
2016-09-09,373.81,374.49,362.13,362.18,1939000
2016-09-16,360.0,369.32,358.42,365.97,3663600
2016-09-23,368.87,375.95,365.55,365.65,2604000
2016-09-30,363.0,364.56,354.02,362.46,2732600
2016-10-07,361.7,364.13,355.26,357.21,3537600
2016-10-14,360.01,362.0,344.42,354.91,2885800
2016-10-21,355.42,359.67,344.41,345.55,4188600
2016-10-28,349.32,349.4,336.84,339.69,4244800
2016-11-04,341.49,348.72,337.43,345.8,4021900
2016-11-11,352.04,380.3,349.04,371.19,5066600
2016-11-18,373.78,375.44,367.07,372.78,3566400
2016-11-25,374.44,376.05,370.5,373.67,1649600
2016-12-02,370.98,381.24,366.22,371.36,3317400
2016-12-09,374.33,392.05,371.4,388.54,3787000
2016-12-16,394.28,396.91,385.26,392.62,4964200
2016-12-23,392.25,399.46,384.35,385.74,3642300
2016-12-30,388.01,388.74,378.64,380.54,1792500
2017-01-06,384.62,387.95,380.08,384.3,2346500
2017-01-13,384.35,386.95,372.21,379.35,3304700
2017-01-20,377.1,381.63,373.34,381.4,2272800
2017-01-27,381.34,388.82,372.9,375.06,3238300
2017-02-03,374.81,378.64,365.83,378.0,3711100
2017-02-10,374.55,383.94,373.8,382.89,2598500
2017-02-17,384.74,393.72,383.26,388.76,2976700
2017-02-24,390.94,392.83,385.73,389.16,1727000
2017-03-03,389.55,399.17,386.92,390.17,2757900
2017-03-10,387.72,389.03,381.93,384.58,2020100
2017-03-17,385.62,392.12,381.34,382.85,2399000
2017-03-24,382.12,383.12,372.0,374.41,2126900
2017-03-31,369.26,386.24,368.0,383.51,2587900
2017-04-07,383.83,389.3,378.16,386.02,2257500
2017-04-14,386.08,389.03,378.01,379.0,1576900
2017-04-21,381.18,385.85,375.52,378.06,2832000
2017-04-28,385.93,391.9,384.12,384.57,2558100
2017-05-05,387.2,387.2,381.3,383.76,2337400
2017-05-12,384.64,385.2,377.85,385.12,2126900
2017-05-19,386.6,394.97,381.65,393.32,3702600
2017-05-26,395.69,407.93,393.0,407.02,3590000
2017-06-02,404.84,416.54,404.74,414.71,3866500
2017-06-09,414.73,419.04,411.05,418.5,3038700
2017-06-16,417.75,423.47,416.77,420.51,3334300
2017-06-23,423.24,428.47,419.45,421.62,2812600
2017-06-30,423.59,430.84,421.05,422.41,2448600
2017-07-07,425.92,433.04,424.94,432.38,1552000
2017-07-14,431.71,442.84,429.67,438.34,2736600
2017-07-21,428.0,431.77,420.2,428.65,3449900
2017-07-28,427.62,435.53,421.9,424.0,2625300
2017-08-04,426.48,431.79,424.0,426.51,2268300
2017-08-11,427.04,431.92,422.14,424.16,2323200
2017-08-18,427.79,431.77,414.38,416.55,2611100
2017-08-25,416.36,422.28,411.8,416.37,2044600
2017-09-01,417.33,424.28,408.62,421.78,2353200
2017-09-08,419.47,421.49,409.41,415.95,1845200
2017-09-15,417.49,429.39,417.49,428.72,2496600
2017-09-22,429.39,437.14,428.55,435.49,1795300
2017-09-29,435.49,448.53,433.18,447.09,1938400
2017-10-06,447.73,465.87,446.87,463.22,2897100
2017-10-13,464.91,485.23,460.16,475.49,3939800
2017-10-20,476.63,489.79,472.24,476.62,2267300
2017-10-27,476.99,479.47,465.15,475.13,2518800
2017-11-03,475.33,480.17,468.8,479.11,2147700
2017-11-10,478.75,479.79,462.51,465.83,1602900
2017-11-17,462.38,479.25,461.07,473.99,2088100
2017-11-24,474.99,483.98,472.85,479.74,1232800
2017-12-01,480.7,509.0,480.22,502.08,3116700
2017-12-08,509.11,517.3,506.2,515.49,2493600
2017-12-15,515.13,518.88,506.37,511.87,2543100
2017-12-22,517.0,520.74,508.64,512.12,1785600
2017-12-29,513.33,520.03,510.01,513.71,921700
2018-01-05,518.78,525.94,506.48,525.57,1847900
2018-01-12,523.94,556.37,523.52,555.53,3300000
2018-01-19,562.62,590.56,561.06,590.26,3765400
2018-01-26,592.46,594.52,572.95,586.8,3538300
2018-02-02,585.53,585.53,545.81,548.32,3595700
2018-02-09,539.99,553.03,500.01,521.51,4855800
2018-02-16,526.32,548.48,516.4,541.1,2971300
2018-02-23,541.0,556.06,537.25,549.75,2011200
2018-03-02,553.15,566.4,527.03,537.58,3393300
2018-03-09,532.65,578.65,531.42,577.18,2647400
2018-03-16,578.34,578.8,555.85,563.66,2159700
2018-03-23,563.85,573.47,518.55,521.13,2770500
2018-03-30,529.9,547.05,524.07,541.72,2168200
2018-04-06,537.76,544.58,510.06,519.92,2699300
2018-04-13,527.12,541.49,520.22,524.77,2879600
