Date,Open,High,Low,Close,Volume
2025-06-06,7.25,7.89,6.31,7.55,1116400
2025-06-13,7.53,7.61,4.82,4.96,595600
2025-06-20,4.86,5.23,4.4,4.61,282800
2025-06-27,4.46,4.79,3.92,4.26,179500
2025-07-04,15.0,161.0,12.38,135.0,219631900
2025-07-11,105.58,134.48,38.02,40.62,81945600
2025-07-18,47.4,59.0,39.1,42.35,146355600
2025-07-25,45.0,46.83,37.1,39.8,163272900
2025-08-01,41.49,41.49,30.3,31.68,194188500
2025-08-08,33.0,54.43,30.67,51.43,266480800
2025-08-15,57.96,71.74,54.1,57.81,513519500
2025-08-22,55.67,57.3,47.02,53.49,272740900
2025-08-29,52.59,55.01,43.45,43.62,237976300
2025-09-05,43.19,46.11,39.7,42.04,161564800
2025-09-12,42.05,55.29,41.92,55.09,213316300
2025-09-19,53.86,64.25,50.71,61.29,303173000
2025-09-26,58.31,59.28,47.21,50.5,241544400
2025-10-03,52.12,57.82,50.65,56.65,236853200
2025-10-10,59.58,65.6,52.37,52.47,295174400
2025-10-17,54.21,56.85,48.51,49.85,199242300
2025-10-24,52.75,55.19,46.56,50.41,148117700
2025-10-31,53.94,54.54,44.47,46.65,155161300
2025-11-07,44.78,44.88,35.79,40.23,201469700
2025-11-14,43.41,43.77,33.54,34.4,183048300
2025-11-21,33.75,34.37,24.33,26.0,279022300
2025-11-28,26.94,35.2,26.46,33.12,226553800
2025-12-05,30.51,36.63,28.81,34.06,277293700
2025-12-12,35.35,42.08,33.8,34.86,248061900
2025-12-19,34.52,34.84,28.4,31.36,273815100
2025-12-26,32.68,32.78,27.9,28.31,131183100
2026-01-02,28.0,31.26,26.84,31.19,151414200
2026-01-09,32.48,34.04,29.16,30.06,213660600
2026-01-16,29.94,34.39,29.71,31.16,235456500
2026-01-23,28.77,29.76,26.76,28.8,164064800
2026-01-30,27.75,30.55,24.55,25.1,202483400
2026-02-06,22.88,24.08,17.19,20.47,307019800
2026-02-13,19.4,21.75,18.68,20.96,210423200
2026-02-20,20.61,20.68,19.25,20.13,128650600
2026-02-27,19.5,22.17,18.65,18.98,196529900
2026-03-06,18.9,21.87,18.82,18.88,235537900
2026-03-13,19.76,22.76,19.27,20.54,229677300
2026-03-20,22.27,23.85,20.22,20.94,272723300
2026-03-27,21.2,21.88,18.28,18.39,226451900
2026-04-03,19.18,20.38,17.84,19.45,206420500
2026-04-10,20.0,21.96,19.3,21.28,178853800
2026-04-17,20.98,24.11,20.68,22.95,265269300
2026-04-24,22.18,23.44,21.58,22.14,188140100
2026-05-01,22.03,22.41,20.19,21.88,146589900
2026-05-08,22.16,23.47,21.38,22.17,180884700
2026-05-15,22.02,23.36,19.85,19.87,198908500
2026-05-22,19.34,19.87,18.29,18.88,150432300
2026-05-29,19.29,20.05,17.87,19.27,131610800
2026-06-05,18.46,19.44,15.6,15.9,238873600
2026-06-12,16.63,17.28,15.35,16.11,169279600
2026-06-19,17.19,17.82,15.44,16.14,173752300
2026-06-26,16.28,17.13,12.94,13.56,223942000
2026-07-03,13.72,15.25,12.8,14.36,156009400
2026-07-10,14.32,16.16,14.1,14.98,157497500
2026-07-17,14.76,16.94,14.32,15.69,185158300
2026-07-24,16.01,18.24,15.52,15.79,177835900
2026-07-31,16.7,18.32,16.33,17.28,200081700
2026-08-07,16.96,19.3,16.63,18.82,134826900
2026-08-14,18.75,18.86,17.4,18.08,119841900
2026-08-21,18.2,23.34,18.11,22.83,251775800
2026-08-28,23.6,26.91,23.23,23.8,272496700
2026-09-04,23.96,26.6,22.81,24.97,222706500
2026-09-11,24.76,26.97,23.36,25.03,147863200
2026-09-18,24.6,26.37,22.16,25.99,246594800
2026-09-25,27.56,28.54,27.08,28.45,78215936
